j,section_id,source_digest,middle_saved_tick,retained_path
10,dAy3tnlu3EQ_s4326,4b29aa56d687868bea366ecde8382fff8eac24f2dce52041ef01edca2ccb92ea,5816,C:/Users/neelj/g402_receiver/ncaa_basketball__dAy3tnlu3EQ_s4326.mp4
11,KZK9rv9TnGE_s1474,4c74ce17817b717b4daa4b06b745f47b1c3ac745799a586c20bf074168caf7d1,4987,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s1474.mp4
12,UCVSlzgun0o_s90,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,784,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s90.mp4
13,xv0WyG7_99c_s4530,5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c,7095,C:/Users/neelj/g402_receiver/wnba__xv0WyG7_99c_s4530.mp4
14,s-0Y7aLxXgM_s4830,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,6931,C:/Users/neelj/g402_receiver/ncaa_basketball__s-0Y7aLxXgM_s4830.mp4
15,Vm0FqeGo-8g_s1317,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1056,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s1317.mp4
16,3gBeJyl7Szg_s90,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,1266,C:/Users/neelj/g402_receiver/nba__3gBeJyl7Szg_s90.mp4
17,X5w3V6rh26s_s90,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1247,C:/Users/neelj/g402_receiver/X5w3V6rh26s_s90.mp4
18,Kh7Fj4ogPN4_s5950,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,1920,C:/Users/neelj/g402_receiver/nba__Kh7Fj4ogPN4_s5950.mp4
19,KZK9rv9TnGE_s4242,89f5a7ef57147b8f06215865b7c502a0334f39dd7e52519815af4b407d3f1060,5429,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s4242.mp4
20,6rQ2sV4upfc_s90,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,3741,C:/Users/neelj/g402_receiver/ncaa_basketball__6rQ2sV4upfc_s90.mp4
21,tFnl0NVn6FA_s2774,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,1622,C:/Users/neelj/g402_receiver/tFnl0NVn6FA_s2774.mp4
22,9sq-YMlIo9Q_s2346,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,127,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4
23,Ge4uewCFUFQ_s2382,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,4525,C:/Users/neelj/g402_receiver/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4
24,KZK9rv9TnGE_s90,b66f1198f2b4c2e10e6c195e15717ef045775ad12d35aa5d582997f5298debdd,5649,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s90.mp4
25,3gBeJyl7Szg_s2302,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,775,C:/Users/neelj/g402_receiver/nba__3gBeJyl7Szg_s2302.mp4
26,acb-jHcR5UxPGuE_s1393,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,628,C:/Users/neelj/g402_receiver/basketball__acb-jHcR5UxPGuE_s1393.mp4
27,s-0Y7aLxXgM_s1275,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,6422,C:/Users/neelj/g402_receiver/ncaa_basketball__s-0Y7aLxXgM_s1275.mp4
28,tFnl0NVn6FA_s90,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,1915,C:/Users/neelj/g402_receiver/tFnl0NVn6FA_s90.mp4
29,tZeqmc_-_sA_s2574,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,1938,C:/Users/neelj/g402_receiver/tZeqmc_-_sA_s2574.mp4
