check_key,section_id,frame,slot,call_identity_present,matrix_source_run,deficit_reason,sampled_row
37,9sq-YMlIo9Q_s2346,127,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
38,9sq-YMlIo9Q_s2346,127,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
39,9sq-YMlIo9Q_s2346,127,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
40,9sq-YMlIo9Q_s2346,394,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
41,9sq-YMlIo9Q_s2346,394,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
42,9sq-YMlIo9Q_s2346,394,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
43,9sq-YMlIo9Q_s2346,394,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
44,9sq-YMlIo9Q_s2346,394,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
45,9sq-YMlIo9Q_s2346,394,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
46,J8pMOFvFlsU_s3972,3391,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
47,J8pMOFvFlsU_s3972,3391,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
48,J8pMOFvFlsU_s3972,3391,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
49,J8pMOFvFlsU_s3972,3391,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
50,J8pMOFvFlsU_s3972,3649,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
51,UCVSlzgun0o_s2298,546,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
52,UCVSlzgun0o_s2298,546,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
53,UCVSlzgun0o_s2298,546,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
54,UCVSlzgun0o_s2298,546,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
55,UCVSlzgun0o_s2298,594,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
56,UCVSlzgun0o_s2298,594,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
57,UCVSlzgun0o_s90,784,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
58,UCVSlzgun0o_s90,784,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
59,UCVSlzgun0o_s90,784,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
60,UCVSlzgun0o_s90,784,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
61,UCVSlzgun0o_s90,784,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
62,UCVSlzgun0o_s90,784,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
63,UCVSlzgun0o_s90,850,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
64,Vm0FqeGo-8g_s1317,1056,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
65,Vm0FqeGo-8g_s1317,1056,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
66,Vm0FqeGo-8g_s1317,1056,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
67,Vm0FqeGo-8g_s1317,1056,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
