check_key,section_id,frame,slot,call_identity_present,matrix_source_run,deficit_reason,sampled_row
192,Ge4uewCFUFQ_s4674,4968,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
193,Ge4uewCFUFQ_s4674,4968,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
194,Ge4uewCFUFQ_s4674,4968,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
195,Ge4uewCFUFQ_s4674,4968,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
196,KZK9rv9TnGE_s1474,4987,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
197,KZK9rv9TnGE_s1474,4987,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
198,KZK9rv9TnGE_s1474,4987,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
199,KZK9rv9TnGE_s1474,4987,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
200,KZK9rv9TnGE_s1474,4987,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
201,KZK9rv9TnGE_s1474,4987,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
202,KZK9rv9TnGE_s1474,5143,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
203,KZK9rv9TnGE_s1474,5143,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
204,KZK9rv9TnGE_s1474,5143,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
205,KZK9rv9TnGE_s1474,5143,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
206,KZK9rv9TnGE_s1474,5143,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
207,KZK9rv9TnGE_s1474,5143,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
208,KZK9rv9TnGE_s1474,5143,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
209,KZK9rv9TnGE_s1474,5143,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
210,KZK9rv9TnGE_s1474,5143,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
211,KZK9rv9TnGE_s4242,5429,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
212,KZK9rv9TnGE_s4242,5429,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
213,KZK9rv9TnGE_s4242,5429,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
214,KZK9rv9TnGE_s90,5649,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
215,KZK9rv9TnGE_s90,5649,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
216,KZK9rv9TnGE_s90,5649,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
217,KZK9rv9TnGE_s90,5649,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
218,Kh7Fj4ogPN4_s3606,1533,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
219,Kh7Fj4ogPN4_s3606,1533,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
220,Kh7Fj4ogPN4_s3606,1533,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
221,Kh7Fj4ogPN4_s3606,1533,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
222,Kh7Fj4ogPN4_s3606,1533,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
223,Kh7Fj4ogPN4_s3606,1533,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
224,Kh7Fj4ogPN4_s5950,1920,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
225,Kh7Fj4ogPN4_s5950,1920,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
226,L7o4UCIIqS4_s5222,2729,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
227,L7o4UCIIqS4_s5222,2729,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
228,L7o4UCIIqS4_s5222,2729,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
229,acb-jHcR5UxPGuE_s1393,628,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
230,acb-jHcR5UxPGuE_s1393,628,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
231,acb-jHcR5UxPGuE_s1393,628,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
232,acb-jHcR5UxPGuE_s1393,628,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
233,acb-jHcR5UxPGuE_s1393,628,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
234,acb-jHcR5UxPGuE_s1393,628,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
235,acb-jHcR5UxPGuE_s90,885,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
236,acb-jHcR5UxPGuE_s90,885,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
237,dAy3tnlu3EQ_s4326,5816,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
238,dAy3tnlu3EQ_s4326,5816,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
239,dAy3tnlu3EQ_s4326,5816,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
240,dAy3tnlu3EQ_s4326,5816,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
241,dAy3tnlu3EQ_s4326,5816,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
242,dAy3tnlu3EQ_s4326,6164,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
243,oL9Uaie2v2A_s2438,3027,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
244,oL9Uaie2v2A_s2438,3027,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
245,oL9Uaie2v2A_s2438,3027,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
246,oL9Uaie2v2A_s2438,3027,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
247,oL9Uaie2v2A_s2438,3027,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
248,oL9Uaie2v2A_s2438,3027,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
249,oL9Uaie2v2A_s2438,3027,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
250,oL9Uaie2v2A_s2438,3027,10,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
251,s-0Y7aLxXgM_s1275,6422,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
252,s-0Y7aLxXgM_s1275,6422,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
253,s-0Y7aLxXgM_s1275,6422,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
254,s-0Y7aLxXgM_s1275,6422,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
255,s-0Y7aLxXgM_s1275,6422,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
256,s-0Y7aLxXgM_s1275,6422,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
257,s-0Y7aLxXgM_s1275,6422,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
258,s-0Y7aLxXgM_s1275,6512,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
259,s-0Y7aLxXgM_s1275,6512,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
260,s-0Y7aLxXgM_s1275,6512,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
261,s-0Y7aLxXgM_s1275,6512,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
262,s-0Y7aLxXgM_s1275,6512,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
263,s-0Y7aLxXgM_s1275,6512,7,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
264,s-0Y7aLxXgM_s1275,6512,8,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
265,s-0Y7aLxXgM_s1275,6512,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
266,s-0Y7aLxXgM_s4830,6931,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
267,s-0Y7aLxXgM_s4830,6931,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
268,s-0Y7aLxXgM_s4830,6931,4,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
269,s-0Y7aLxXgM_s4830,6931,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
270,s-0Y7aLxXgM_s4830,6931,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
271,xv0WyG7_99c_s4530,7095,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,YES
272,xv0WyG7_99c_s4530,7095,1,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
273,xv0WyG7_99c_s4530,7095,3,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
274,xv0WyG7_99c_s4530,7557,0,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
275,xv0WyG7_99c_s4530,7557,2,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
276,xv0WyG7_99c_s4530,7557,5,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
277,xv0WyG7_99c_s4530,7557,6,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
278,xv0WyG7_99c_s4530,7557,9,NO,G410_REPLAY_SAME_RUN_SECTION_FRAME,MISSING_CALL_IDENTITY,NO
