j,section_id,frame,slot,player_id,old_x_position,old_y_position,stored_box_x1,stored_box_y1,stored_box_x2,stored_box_y2,shadow_court_x,shadow_court_y,shadow_status,matrix_receipt,source_receipt,call_receipt,would_violate_existing_guard,missing_reason,route,map_w,map_h,frame_w,frame_h
10,dAy3tnlu3EQ_s4326,5816,0,1,2300,830,-261.581,1017.94,-158.426,1130.33,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
11,KZK9rv9TnGE_s1474,4987,1,2,1504,109,200.0,186.0,278.0,369.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
12,UCVSlzgun0o_s90,784,1,2,957,1032,441.0,468.0,591.0,753.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
13,xv0WyG7_99c_s4530,7095,0,1,3196,1202,810.0,253.0,902.0,430.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
14,s-0Y7aLxXgM_s4830,6931,0,1,724,92,1000.0,37.0,1076.0,190.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
15,Vm0FqeGo-8g_s1317,1056,1,2,594,380,1222.0,498.0,1366.0,805.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1920,1020
16,3gBeJyl7Szg_s90,1266,1,2,1531,260,1009.0,280.0,1187.0,476.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
17,X5w3V6rh26s_s90,1247,10,0,12,208,-23.0737,146.034,114.043,407.385,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1920,1020
18,Kh7Fj4ogPN4_s5950,1920,1,2,299,1242,325.399,286.855,420.141,539.209,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
19,KZK9rv9TnGE_s4242,5429,10,0,2767,556,1235.0,106.0,1295.0,306.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
20,6rQ2sV4upfc_s90,3741,0,1,1231,1310,794.951,19.1414,874.773,157.026,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
21,tFnl0NVn6FA_s2774,1622,2,3,3230,1170,840.0,447.0,995.0,736.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1920,1020
22,9sq-YMlIo9Q_s2346,127,0,1,149,1020,1275.0,225.0,1377.0,457.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,RETAINED_WITHOUT_GUARD,3404,1711,1920,1020
23,Ge4uewCFUFQ_s2382,4525,1,2,499,911,235.0,116.0,313.0,315.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
24,KZK9rv9TnGE_s90,5649,0,1,155,1305,474.0,-15.0,676.0,154.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
25,3gBeJyl7Szg_s2302,775,0,1,712,1376,524.152,3.05765,1129.94,640.311,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
26,acb-jHcR5UxPGuE_s1393,628,1,2,886,155,858.8,45.3482,1274.6,415.04,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1280,660
27,s-0Y7aLxXgM_s1275,6422,1,2,3139,624,840.0,287.0,931.0,426.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,DETECTION_FRESH_BOX,3404,1711,1280,660
28,tFnl0NVn6FA_s90,1915,2,3,526,1355,608.891,168.047,979.977,1016.9,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,NON_BOX_WRITE,3404,1711,1920,1020
29,tZeqmc_-_sA_s2574,1938,0,1,1281,1443,829.0,285.0,970.0,497.0,,,UNKNOWN_MISSING_RECEIPT,SAME_RUN_SECTION_FRAME_ONLY,G410_SOURCE_RECEIPT,UNKNOWN_MISSING_CALL_IDENTITY,UNKNOWN,MISSING_CALL_IDENTITY,CLAMP_GUARD_REPRODUCED,3404,1711,1920,1020
