context_id,attempt_id,object_name,competition,ytid,section,source_sha256,target_fraction,planned_pts,status,export_status,delivered_pts,pts_match,frame_sha256
G399_021,a24,ncaa_basketball__iDogCL8td5Q_s2282.mp4,ncaa_basketball,iDogCL8td5Q,2282,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,1/3,43.326622,PLANNED,EXPORTED,43.326622,True,6d03fbfc105bbb44e675112649d3cee4e6ee9d02f7a329bcba0d5a331564c298
G399_022,a24,ncaa_basketball__iDogCL8td5Q_s2282.mp4,ncaa_basketball,iDogCL8td5Q,2282,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,2/3,86.669922,PLANNED,EXPORTED,86.669922,True,116f44fb96bda470c70f8ec8fd577d42a00852c15cba706d681f9ee13074914c
G399_023,a06,9sq-YMlIo9Q_s2346.mp4,unlabelled,9sq-YMlIo9Q,2346,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1/3,44.010633,PLANNED,EXPORTED,44.010633,True,0b254ba8031df4aa3d2bedffc487d0cdf576c53b34af7f1724b7c09e236339fb
G399_024,a06,9sq-YMlIo9Q_s2346.mp4,unlabelled,9sq-YMlIo9Q,2346,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,2/3,88.021267,PLANNED,EXPORTED,88.021267,True,7ba678f2698314a21c2bc9b51318edfe06ee27a5339c30ebddc44317269b74f4
G399_025,a13,RIrGQJ_jsGQ_s1410.mp4,unlabelled,RIrGQJ_jsGQ,1410,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,1/3,44.366667,PLANNED,EXPORTED,44.366667,True,cc02a67d135c3c0c6d758228eaa135e32b7515f39401356dcdcf346977f7d0fa
G399_026,a13,RIrGQJ_jsGQ_s1410.mp4,unlabelled,RIrGQJ_jsGQ,1410,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,2/3,88.700000,PLANNED,EXPORTED,88.7,True,3f8208ca9475522661d7445e297286c3a9d4e83595e7187155bd12e9362d6c5e
G399_027,a15,UCVSlzgun0o_s2298.mp4,unlabelled,UCVSlzgun0o,2298,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1/3,43.676967,PLANNED,EXPORTED,43.676967,True,8078ccbaa46f7916c77d30335cc83191bd592471105f9e0c0572351dd8fdd5aa
G399_028,a15,UCVSlzgun0o_s2298.mp4,unlabelled,UCVSlzgun0o,2298,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,2/3,87.320567,PLANNED,EXPORTED,87.320567,True,b99740bc524cf706ecdb1edea43e284da06236888202379da08cd17cf4d248df
G399_029,a16,UzaYBYy3GZg_s1378.mp4,unlabelled,UzaYBYy3GZg,1378,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,1/3,44.044000,PLANNED,EXPORTED,44.044,True,4a1eb0bf7c0a83c096b609d7f4e0e2fdc65503bf4db5dbc29999a965de1f78c2
G399_030,a16,UzaYBYy3GZg_s1378.mp4,unlabelled,UzaYBYy3GZg,1378,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,2/3,88.054633,PLANNED,EXPORTED,88.054633,True,e527dbffa9fd16e235373fb587730c99510071ba59c623c1433eff7abe4a0831
G399_031,a17,Vm0FqeGo-8g_s1317.mp4,unlabelled,Vm0FqeGo-8g,1317,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1/3,43.676967,PLANNED,EXPORTED,43.676967,True,e9f2ad3ebd1141742ee1a5bd3554ec7738a29ce4b037c93becdec654f4f58bf9
G399_032,a17,Vm0FqeGo-8g_s1317.mp4,unlabelled,Vm0FqeGo-8g,1317,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,2/3,87.353933,PLANNED,EXPORTED,87.353933,True,6b941bf1d10bb63e24c85de53d8f80cb2f7d528a1fb8f91e992a31e1a40faeb2
G399_033,a18,X5w3V6rh26s_s90.mp4,unlabelled,X5w3V6rh26s,90,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1/3,45.011633,PLANNED,EXPORTED,45.011633,True,5d7160033579e282f335c2de883336f33fe1572cbf762af80317aacdc41c5ab8
G399_034,a18,X5w3V6rh26s_s90.mp4,unlabelled,X5w3V6rh26s,90,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,2/3,90.023267,PLANNED,EXPORTED,90.023267,True,b79bd11563b286deebf76c5431eac3e6fdedc1b168dc352b25dca2528b9a8fe2
G399_035,a19,Y1cgaIWW8gk_s1437.mp4,unlabelled,Y1cgaIWW8gk,1437,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1/3,44.333333,PLANNED,EXPORTED,44.333333,True,b54f076ed9ed679a76e171bfca3ffb6b75e8fae34f529ff65308dfe62c7d4889
G399_036,a19,Y1cgaIWW8gk_s1437.mp4,unlabelled,Y1cgaIWW8gk,1437,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,2/3,88.666667,PLANNED,EXPORTED,88.666667,True,622f5e4d5f4b08857745f2bc84c6f3a4e5a2fe495b64a48e0053d1ee6e4ffd84
G399_037,a20,_fl2i6vToTM_s90.mp4,unlabelled,_fl2i6vToTM,90,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,1/3,43.660278,PLANNED,EXPORTED,43.660278,True,7f66f0c4096b8b2a4e9849899c196b1b72aa3461b077bbf63f168ee4f8cc2b79
G399_038,a20,_fl2i6vToTM_s90.mp4,unlabelled,_fl2i6vToTM,90,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,2/3,87.337244,PLANNED,EXPORTED,87.337244,True,53a4cf5468b92c7d27b6403834fcd5cc3a5eecb1bfb687dc76211e98974240df
G399_039,a21,_fl2i6vToTM_s2496.mp4,unlabelled,_fl2i6vToTM,2496,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,1/3,43.660278,PLANNED,EXPORTED,43.660278,True,1bf894ad844d6c58103e13b955dd6aa2a4439a58509bc68961ccc67ca767163a
G399_040,a21,_fl2i6vToTM_s2496.mp4,unlabelled,_fl2i6vToTM,2496,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,2/3,87.337244,PLANNED,EXPORTED,87.337244,True,f9fdee219196ae2d0408b087fc611190c6d4ec07bd7aced519178ea4951c4e7c
G399_041,a22,d3_0714DiHo_s217.mp4,unlabelled,d3_0714DiHo,217,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,1/3,45.360000,PLANNED,EXPORTED,45.36,True,4c8e33a5ef0d6d5b7bb1d3e1e10bea2a195c12d1bbf3d5d9a42ffb05517a9302
G399_042,a22,d3_0714DiHo_s217.mp4,unlabelled,d3_0714DiHo,217,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,2/3,90.720000,PLANNED,EXPORTED,90.72,True,45725f27a12624ff2e86affd8d819ecdb200f9431a7e53a88893c6daa2dcbb72
G399_043,a23,i2y-_7B0IUg_s90.mp4,unlabelled,i2y-_7B0IUg,90,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,1/3,43.680000,PLANNED,EXPORTED,43.68,True,ffee3d9694506f150967cce3e0aef068104c0faa56b473bfdeca4c13353cbf7b
G399_044,a23,i2y-_7B0IUg_s90.mp4,unlabelled,i2y-_7B0IUg,90,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,2/3,87.340000,PLANNED,EXPORTED,87.34,True,4f42664e9029e4cabaa2bb4f831b2abba094c021d0cb8c25c8f66396c9bc8633
G399_045,a25,iwbowtaIIz8_s90.mp4,unlabelled,iwbowtaIIz8,90,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,1/3,44.340000,PLANNED,EXPORTED,44.34,True,414dd480a1b03c6428b513138ddd98dc1982856da0f2008e80969230d683b7f6
G399_046,a25,iwbowtaIIz8_s90.mp4,unlabelled,iwbowtaIIz8,90,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,2/3,88.660000,PLANNED,EXPORTED,88.66,True,dd39aa3cbbff37daca9c208e49ee44db09617944517c10080a070a6e8b684c1a
G399_047,a26,qrWmO434a0k_s1447.mp4,unlabelled,qrWmO434a0k,1447,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,1/3,44.333333,PLANNED,EXPORTED,44.333333,True,6d5af60f53a389464b7728c19a8369876271ead1fe968c1b42df7ffec294455f
G399_048,a26,qrWmO434a0k_s1447.mp4,unlabelled,qrWmO434a0k,1447,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,2/3,88.666667,PLANNED,EXPORTED,88.666667,True,5f3f42f11ba42783efab6750b256331e64e5b1c8d39d5013f34450948c8e3b7f
G399_049,a27,tFnl0NVn6FA_s90.mp4,unlabelled,tFnl0NVn6FA,90,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,1/3,45.333333,PLANNED,EXPORTED,45.333333,True,2bdf0a8b3eb91b9cf23c90ba21e59c8d5c002688031153d51b1e91fa3660ae7c
G399_050,a27,tFnl0NVn6FA_s90.mp4,unlabelled,tFnl0NVn6FA,90,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,2/3,90.666667,PLANNED,EXPORTED,90.666667,True,8a8eb1de7f81e6f2b69bfd1097f9026326bc68d3ab99e8ca4b092ffdcf84e45f
G399_051,a28,tZeqmc_-_sA_s1332.mp4,unlabelled,tZeqmc_-_sA,1332,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,1/3,44.333333,PLANNED,EXPORTED,44.333333,True,3f49d8442c96ae6ee00a74140f4541e3083126e38483d6e451d2f0529035c63a
G399_052,a28,tZeqmc_-_sA_s1332.mp4,unlabelled,tZeqmc_-_sA,1332,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,2/3,88.666667,PLANNED,EXPORTED,88.666667,True,369eb6ce9464361d15d315330c569a958930bcd43f4dc0a144dd2136c0879aa5
G399_053,a29,tZeqmc_-_sA_s2574.mp4,unlabelled,tZeqmc_-_sA,2574,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,1/3,45.000000,PLANNED,EXPORTED,45.0,True,90742317cdabf30c62e481ed29d219f657c070255ff38a4b1f188213edeca321
G399_054,a29,tZeqmc_-_sA_s2574.mp4,unlabelled,tZeqmc_-_sA,2574,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,2/3,90.000000,PLANNED,EXPORTED,90.0,True,dbc6053205a341996e471ea441db410b098375e62bfab37c6a58e23c78a1b0fd
G399_055,a30,wHs1OssEcAw_s2276.mp4,unlabelled,wHs1OssEcAw,2276,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,1/3,45.011633,PLANNED,EXPORTED,45.011633,True,6c48c6cc023453ae60849e27dc917045f4599e940903ec16d21b3111bce0efc7
G399_056,a30,wHs1OssEcAw_s2276.mp4,unlabelled,wHs1OssEcAw,2276,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,2/3,90.023267,PLANNED,EXPORTED,90.023267,True,58c5ebbe4d2a7ed160e394bf14fa7a621219546830c497a7fd06963a34e8cf3d
G399_057,a07,wnba__A0aHQ2A38IY_s90.mp4,wnba,A0aHQ2A38IY,90,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,193608a125e1315783e8e9b39ae611292b5fafa041bc23ec3422597c13d6dc31
G399_058,a07,wnba__A0aHQ2A38IY_s90.mp4,wnba,A0aHQ2A38IY,90,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,2/3,86.686600,PLANNED,EXPORTED,86.6866,True,4e88fe62f03eb0e87bc35d76ed907155b6faa66b6dbd4fe64a0088624c7dc240
G399_059,a08,wnba__A0aHQ2A38IY_s2860.mp4,wnba,A0aHQ2A38IY,2860,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,1/3,43.343300,PLANNED,EXPORTED,43.3433,True,2d8ab51766cf38acdffd1281d5acad7b5637a65244a6e36e270f3670ab1dfebe
G399_060,a08,wnba__A0aHQ2A38IY_s2860.mp4,wnba,A0aHQ2A38IY,2860,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,2/3,86.653233,PLANNED,EXPORTED,86.653233,True,6078b7609ed8fc280109ae2a78a183c0882f1ca87695dc8c1dff9e686b5678d4
