section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S1,G334A,003341,valid,0.458,000070,498848,000659,000658,3.694,000070,502.414,031737,000014,000000,6.665
S1,G334B,003341,no_valid_h,0.054,000071,1600200,001428,001427,-,000000,-,000000,000014,000000,-
S1,ROUTEA,003341,valid,-,000000,000000,000659,000658,8.342,000398,403.052,031737,000014,000000,1.002
S1,ROUTEB,003341,valid,-,000000,000000,001428,001427,2.865,000398,398.400,050338,000014,000000,1.002
S1,G334A,003504,valid,0.610,000080,482872,000588,000588,0.955,000080,436.183,029149,000010,000000,14.839
S1,G334B,003504,no_valid_h,-1.000,000000,1710792,001280,001280,-,000000,-,000000,000010,000000,-
S1,ROUTEA,003504,valid,-,000000,000000,000588,000588,2.324,000398,423.421,029149,000010,000000,0.926
S1,ROUTEB,003504,valid,-,000000,000000,001280,001280,4.234,000398,419.612,044748,000010,000000,0.926
S1,G334A,003667,implausible_scale,-1.000,000000,504768,000506,000506,-,000000,-,000000,000008,000000,-
S1,G334B,003667,no_valid_h,-1.000,000000,1533152,001171,001171,-,000000,-,000000,000008,000000,-
S1,ROUTEA,003667,valid,-,000000,000000,000506,000506,17.144,000398,478.152,024501,000008,000000,62.946
S1,ROUTEB,003667,valid,-,000000,000000,001171,001171,8.469,000398,469.861,039226,000008,000000,62.946
S1,G334A,003830,no_valid_h,0.169,000083,550104,000422,000422,-,000000,-,000000,000001,000000,-
S1,G334B,003830,no_valid_h,-1.000,000000,1694432,000796,000795,-,000000,-,000000,000001,000000,-
S1,ROUTEA,003830,valid,-,000000,000000,000422,000422,12.415,000398,453.626,023575,000001,000000,-
S1,ROUTEB,003830,valid,-,000000,000000,000796,000795,21.459,000398,424.482,031248,000001,000000,-
S1,G334A,003993,valid,0.374,000293,468728,000968,000967,3.820,000293,115.555,051176,000013,000002,29.379
