sport,store,field,availability,n
MLB,mlb_price_series.parquet,m0_time,AVAILABLE,13473591
MLB,mlb_price_series.parquet,m0_probabilities,AVAILABLE,13473591
MLB,mlb_price_series.parquet,ml_source,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,ml_time,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,ml_probabilities,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,candidate_probabilities,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,null_probabilities,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,state_key,DERIVABLE,13473591
MLB,mlb_price_series.parquet,exclusions,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,weight,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,fold_id,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,input_hash,DERIVABLE,13473591
MLB,mlb_price_series.parquet,code_hash,DERIVABLE,13473591
MLB,mlb_price_series.parquet,seal_hash,DERIVABLE,13473591
MLB,mlb_price_series.parquet,maximum_feed_delay_seconds,UNAVAILABLE,13473591
MLB,mlb_price_series.parquet,game_id,AVAILABLE,13473591
MLB,mlb_price_series.parquet,target_id,AVAILABLE,13473591
MLB,mlb_price_series.parquet,state_key,DERIVABLE,13473591
MLB,mlb_price_series.parquet,outcome,AVAILABLE,13473591
MLB,mlb_price_series.parquet,outcome_known_at,UNAVAILABLE,13473591
NBA,nba_checkpoints_2025_26_playoffs.parquet,sport,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,league,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,rule_version,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,game_id,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,home_team_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,away_team_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,season,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,corpus,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,venue,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,target_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,line,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,class_order,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,settlement_rule,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,void_rule,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,event_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,sequence,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,event_time,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,received_at,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,feature_available_at,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,prediction_at,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,state,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,score_home,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,score_away,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,status,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,unknown_flags,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,provenance,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,m0_source,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,m0_time,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,m0_probabilities,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,ml_source,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,ml_time,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,ml_probabilities,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,candidate_probabilities,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,null_probabilities,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,state_key,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,exclusions,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,weight,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,fold_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,input_hash,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,code_hash,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,seal_hash,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,maximum_feed_delay_seconds,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,game_id,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,target_id,UNAVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,state_key,DERIVABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,outcome,AVAILABLE,008294
NBA,nba_checkpoints_2025_26_playoffs.parquet,outcome_known_at,UNAVAILABLE,008294
NBA,nba_checkpoints_full.parquet,sport,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,league,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,rule_version,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,game_id,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,home_team_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,away_team_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,season,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,corpus,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,venue,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,target_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,line,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,class_order,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,settlement_rule,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,void_rule,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,event_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,sequence,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,event_time,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,received_at,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,feature_available_at,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,prediction_at,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,state,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,score_home,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,score_away,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,status,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,unknown_flags,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,provenance,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,m0_source,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,m0_time,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,m0_probabilities,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,ml_source,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,ml_time,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,ml_probabilities,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,candidate_probabilities,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,null_probabilities,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,state_key,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,exclusions,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,weight,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,fold_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,input_hash,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,code_hash,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,seal_hash,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,maximum_feed_delay_seconds,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,game_id,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,target_id,UNAVAILABLE,465249
NBA,nba_checkpoints_full.parquet,state_key,DERIVABLE,465249
NBA,nba_checkpoints_full.parquet,outcome,AVAILABLE,465249
NBA,nba_checkpoints_full.parquet,outcome_known_at,UNAVAILABLE,465249
NBA,nba_price_series.parquet,sport,AVAILABLE,8399632
NBA,nba_price_series.parquet,league,DERIVABLE,8399632
NBA,nba_price_series.parquet,rule_version,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,game_id,AVAILABLE,8399632
NBA,nba_price_series.parquet,home_team_id,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,away_team_id,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,season,DERIVABLE,8399632
NBA,nba_price_series.parquet,corpus,DERIVABLE,8399632
NBA,nba_price_series.parquet,venue,AVAILABLE,8399632
NBA,nba_price_series.parquet,target_id,AVAILABLE,8399632
NBA,nba_price_series.parquet,line,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,class_order,DERIVABLE,8399632
NBA,nba_price_series.parquet,settlement_rule,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,void_rule,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,event_id,AVAILABLE,8399632
NBA,nba_price_series.parquet,sequence,DERIVABLE,8399632
NBA,nba_price_series.parquet,event_time,AVAILABLE,8399632
NBA,nba_price_series.parquet,received_at,DERIVABLE,8399632
NBA,nba_price_series.parquet,feature_available_at,DERIVABLE,8399632
NBA,nba_price_series.parquet,prediction_at,DERIVABLE,8399632
NBA,nba_price_series.parquet,state,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,score_home,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,score_away,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,status,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,unknown_flags,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,provenance,DERIVABLE,8399632
NBA,nba_price_series.parquet,m0_source,DERIVABLE,8399632
NBA,nba_price_series.parquet,m0_time,AVAILABLE,8399632
NBA,nba_price_series.parquet,m0_probabilities,AVAILABLE,8399632
NBA,nba_price_series.parquet,ml_source,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,ml_time,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,ml_probabilities,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,candidate_probabilities,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,null_probabilities,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,state_key,DERIVABLE,8399632
NBA,nba_price_series.parquet,exclusions,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,weight,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,fold_id,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,input_hash,DERIVABLE,8399632
NBA,nba_price_series.parquet,code_hash,DERIVABLE,8399632
NBA,nba_price_series.parquet,seal_hash,DERIVABLE,8399632
NBA,nba_price_series.parquet,maximum_feed_delay_seconds,UNAVAILABLE,8399632
NBA,nba_price_series.parquet,game_id,AVAILABLE,8399632
NBA,nba_price_series.parquet,target_id,AVAILABLE,8399632
NBA,nba_price_series.parquet,state_key,DERIVABLE,8399632
NBA,nba_price_series.parquet,outcome,AVAILABLE,8399632
NBA,nba_price_series.parquet,outcome_known_at,UNAVAILABLE,8399632
NPB,npb_price_series.parquet,sport,AVAILABLE,646834
NPB,npb_price_series.parquet,league,DERIVABLE,646834
NPB,npb_price_series.parquet,rule_version,UNAVAILABLE,646834
NPB,npb_price_series.parquet,game_id,AVAILABLE,646834
NPB,npb_price_series.parquet,home_team_id,UNAVAILABLE,646834
NPB,npb_price_series.parquet,away_team_id,UNAVAILABLE,646834
NPB,npb_price_series.parquet,season,DERIVABLE,646834
NPB,npb_price_series.parquet,corpus,DERIVABLE,646834
NPB,npb_price_series.parquet,venue,AVAILABLE,646834
NPB,npb_price_series.parquet,target_id,AVAILABLE,646834
NPB,npb_price_series.parquet,line,UNAVAILABLE,646834
NPB,npb_price_series.parquet,class_order,DERIVABLE,646834
NPB,npb_price_series.parquet,settlement_rule,UNAVAILABLE,646834
NPB,npb_price_series.parquet,void_rule,UNAVAILABLE,646834
NPB,npb_price_series.parquet,event_id,AVAILABLE,646834
NPB,npb_price_series.parquet,sequence,DERIVABLE,646834
NPB,npb_price_series.parquet,event_time,AVAILABLE,646834
NPB,npb_price_series.parquet,received_at,DERIVABLE,646834
NPB,npb_price_series.parquet,feature_available_at,DERIVABLE,646834
NPB,npb_price_series.parquet,prediction_at,DERIVABLE,646834
NPB,npb_price_series.parquet,state,UNAVAILABLE,646834
NPB,npb_price_series.parquet,score_home,UNAVAILABLE,646834
NPB,npb_price_series.parquet,score_away,UNAVAILABLE,646834
NPB,npb_price_series.parquet,status,UNAVAILABLE,646834
NPB,npb_price_series.parquet,unknown_flags,UNAVAILABLE,646834
NPB,npb_price_series.parquet,provenance,DERIVABLE,646834
NPB,npb_price_series.parquet,m0_source,DERIVABLE,646834
NPB,npb_price_series.parquet,m0_time,AVAILABLE,646834
NPB,npb_price_series.parquet,m0_probabilities,AVAILABLE,646834
NPB,npb_price_series.parquet,ml_source,UNAVAILABLE,646834
NPB,npb_price_series.parquet,ml_time,UNAVAILABLE,646834
NPB,npb_price_series.parquet,ml_probabilities,UNAVAILABLE,646834
NPB,npb_price_series.parquet,candidate_probabilities,UNAVAILABLE,646834
NPB,npb_price_series.parquet,null_probabilities,UNAVAILABLE,646834
NPB,npb_price_series.parquet,state_key,DERIVABLE,646834
NPB,npb_price_series.parquet,exclusions,UNAVAILABLE,646834
NPB,npb_price_series.parquet,weight,UNAVAILABLE,646834
NPB,npb_price_series.parquet,fold_id,UNAVAILABLE,646834
NPB,npb_price_series.parquet,input_hash,DERIVABLE,646834
NPB,npb_price_series.parquet,code_hash,DERIVABLE,646834
NPB,npb_price_series.parquet,seal_hash,DERIVABLE,646834
NPB,npb_price_series.parquet,maximum_feed_delay_seconds,UNAVAILABLE,646834
NPB,npb_price_series.parquet,game_id,AVAILABLE,646834
NPB,npb_price_series.parquet,target_id,AVAILABLE,646834
NPB,npb_price_series.parquet,state_key,DERIVABLE,646834
NPB,npb_price_series.parquet,outcome,AVAILABLE,646834
NPB,npb_price_series.parquet,outcome_known_at,UNAVAILABLE,646834
soccer,soccer_checkpoints_wc2026.parquet,sport,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,league,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,rule_version,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,game_id,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,home_team_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,away_team_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,season,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,corpus,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,venue,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,target_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,line,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,class_order,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,settlement_rule,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,void_rule,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,event_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,sequence,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,event_time,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,received_at,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,feature_available_at,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,prediction_at,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,state,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,score_home,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,score_away,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,status,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,unknown_flags,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,provenance,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,m0_source,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,m0_time,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,m0_probabilities,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,ml_source,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,ml_time,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,ml_probabilities,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,candidate_probabilities,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,null_probabilities,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,state_key,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,exclusions,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,weight,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,fold_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,input_hash,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,code_hash,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,seal_hash,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,maximum_feed_delay_seconds,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,game_id,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,target_id,UNAVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,state_key,DERIVABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,outcome,AVAILABLE,010433
soccer,soccer_checkpoints_wc2026.parquet,outcome_known_at,UNAVAILABLE,010433
soccer,soccer_intl_price_series.parquet,sport,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,league,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,rule_version,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,game_id,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,home_team_id,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,away_team_id,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,season,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,corpus,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,venue,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,target_id,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,line,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,class_order,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,settlement_rule,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,void_rule,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,event_id,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,sequence,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,event_time,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,received_at,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,feature_available_at,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,prediction_at,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,state,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,score_home,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,score_away,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,status,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,unknown_flags,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,provenance,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,m0_source,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,m0_time,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,m0_probabilities,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,ml_source,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,ml_time,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,ml_probabilities,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,candidate_probabilities,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,null_probabilities,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,state_key,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,exclusions,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,weight,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,fold_id,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,input_hash,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,code_hash,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,seal_hash,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,maximum_feed_delay_seconds,UNAVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,game_id,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,target_id,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,state_key,DERIVABLE,2261903
soccer,soccer_intl_price_series.parquet,outcome,AVAILABLE,2261903
soccer,soccer_intl_price_series.parquet,outcome_known_at,UNAVAILABLE,2261903
soccer,soccer_price_series.parquet,sport,AVAILABLE,204435
soccer,soccer_price_series.parquet,league,DERIVABLE,204435
soccer,soccer_price_series.parquet,rule_version,UNAVAILABLE,204435
soccer,soccer_price_series.parquet,game_id,AVAILABLE,204435
soccer,soccer_price_series.parquet,home_team_id,UNAVAILABLE,204435
soccer,soccer_price_series.parquet,away_team_id,UNAVAILABLE,204435
soccer,soccer_price_series.parquet,season,DERIVABLE,204435
soccer,soccer_price_series.parquet,corpus,DERIVABLE,204435
soccer,soccer_price_series.parquet,venue,AVAILABLE,204435
soccer,soccer_price_series.parquet,target_id,AVAILABLE,204435
soccer,soccer_price_series.parquet,line,UNAVAILABLE,204435
soccer,soccer_price_series.parquet,class_order,DERIVABLE,204435
