video_id,competition,sport_tag,canonical_game,title,sections,median_section_file,median_section_path,median_section_bytes,source_digest,width,height,fps,duration_s,probe_status,eligibility,exclusion_reason
Kh7Fj4ogPN4,nba,nba,nba|oklahoma city thunder vs minnesota timberwolves nba full gam,Oklahoma City Thunder vs Minnesota Timberwolves NBA FULL GAM,6,nba__Kh7Fj4ogPN4_s2434.mp4,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s2434.mp4,54189024,5d5b0cb46579d50cdf55a42cf21efc8e4e1f204d9e1530ae54d84da849ce1aa8,1280,720,59.940065,130.045,ok,ELIGIBLE,
Ktu6yFS9iMo,nba,nba,nba|timberwolves at lakers full game october 24 2025,"TIMBERWOLVES at LAKERS | FULL GAME | October 24, 2025",6,nba__Ktu6yFS9iMo_s2532.mp4,/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s2532.mp4,46239769,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,1280,720,59.940065,130.026,ok,ELIGIBLE,
Ge4uewCFUFQ,ncaa_basketball,ncaa_basketball,ncaa_basketball|2 houston vs 6 iowa state full game replay 2 16 26 20,#2 Houston vs. #6 Iowa State Full Game Replay (2.16.26) | 20,5,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,56676340,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,1280,720,59.940062,130.026,ok,ELIGIBLE,
dAy3tnlu3EQ,ncaa_basketball,ncaa_basketball,ncaa_basketball|20 auburn vs 2 arizona full game replay 12 6 25 2025,#20 Auburn vs. #2 Arizona Full Game Replay (12.6.25) | 2025-,4,ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,/workspace/data/footage_corpus/ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,56250979,436dacea633215586240930aa19a44a0f8085ce3a1fee5eba042ee01e45d3afc,1280,720,59.940065,130.031,ok,ELIGIBLE,
7blRl4zVfrY,ncaa_basketball,ncaa_basketball,ncaa_basketball|8 houston vs 14 arkansas full game replay 12 20 25 20,#8 Houston vs. #14 Arkansas Full Game Replay (12.20.25) | 20,5,ncaa_basketball__7blRl4zVfrY_s2356.mp4,/workspace/data/footage_corpus/ncaa_basketball__7blRl4zVfrY_s2356.mp4,56478743,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,1280,720,59.940065,130.017,ok,ELIGIBLE,
s-0Y7aLxXgM,ncaa_basketball,ncaa_basketball,ncaa_basketball|8 houston vs 16 byu full game replay 2 7 26 2025 26 b,#8 Houston vs. #16 BYU Full Game Replay (2.7.26) | 2025-26 B,5,ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,/workspace/data/footage_corpus/ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,55664026,00434a7138bfcb9d46297a9d0a851a4808c6cfae3d0b50cb6aef2d4ccaa212c0,1280,720,59.940065,130.037,ok,ELIGIBLE,
qTXrSRHHR2M,ncaa_basketball,ncaa_basketball,ncaa_basketball|auburn vs duke full game replay 2024 25 acc men s basketb,Auburn vs. Duke Full Game Replay | 2024-25 ACC Men's Basketb,6,ncaa_basketball__qTXrSRHHR2M_s2262.mp4,/workspace/data/footage_corpus/ncaa_basketball__qTXrSRHHR2M_s2262.mp4,56808008,7f076a1a4b3935c5912f35f831aada9b130f176f40736535837f96917162894b,1280,720,59.940065,130.039,ok,ELIGIBLE,
6rQ2sV4upfc,ncaa_basketball,ncaa_basketball,ncaa_basketball|byu vs kansas full game replay 1 31 26 2025 26 big 12 m,BYU vs. Kansas Full Game Replay (1.31.26) | 2025-26 Big 12 M,4,ncaa_basketball__6rQ2sV4upfc_s1509.mp4,/workspace/data/footage_corpus/ncaa_basketball__6rQ2sV4upfc_s1509.mp4,50953115,d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a,1280,720,59.940062,130.07,ok,ELIGIBLE,
IpR4pT8iN0Y,ncaa_basketball,ncaa_basketball,ncaa_basketball|north carolina vs duke full game replay 2025 26 acc men s,North Carolina vs. Duke Full Game Replay | 2025-26 ACC Men's,4,ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,/workspace/data/footage_corpus/ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,53045191,aca5d098a29e600463699677b0469441fed6520a12307c219c57a0b5f9b07ec8,1280,720,59.940065,130.106,ok,ELIGIBLE,
FyMWTVsJvv8,ncaa_basketball,ncaa_basketball,ncaa_basketball|texas tech vs houston full game replay 1 6 26 2025 26 b,Texas Tech vs. Houston Full Game Replay (1.6.26) | 2025-26 B,4,ncaa_basketball__FyMWTVsJvv8_s1504.mp4,/workspace/data/footage_corpus/ncaa_basketball__FyMWTVsJvv8_s1504.mp4,53641555,559d259fd7d71507ee61d4bc24886a71c071fb196fbd48b93618b0e787f1a3f9,1280,720,59.940065,130.032,ok,ELIGIBLE,
KZK9rv9TnGE,ncaa_basketball,ncaa_basketball,ncaa_basketball|texas vs duke full game replay 2025 26 acc men s basketb,Texas vs. Duke Full Game Replay |  2025-26 ACC Men?s Basketb,6,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s2858.mp4,56773280,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,1280,720,59.940065,130.051,ok,ELIGIBLE,
5zMtHtfCzpI,wnba,wnba,wnba|chicago sky vs washington mystics full game aug 5 2025,"Chicago Sky Vs Washington Mystics | Full Game  | Aug 5, 2025",3,wnba__5zMtHtfCzpI_s1650.mp4,/workspace/data/footage_corpus/wnba__5zMtHtfCzpI_s1650.mp4,53936551,3ef212993379b957666d9016862604add9a76c1e0f09ebc09af943a6d824d142,1920,1080,30.0,130.066,ok,ELIGIBLE,
3eeaJz1PJTM,wnba,wnba,wnba|spain v usa full basketball game fibawwc 2026 qualifyin,Spain v USA | Full Basketball Game | #FIBAWWC 2026 Qualifyin,6,wnba__3eeaJz1PJTM_s2572.mp4,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s2572.mp4,70877597,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,1920,1080,30.0,130.066,ok,EXCLUDED,OLD_IDENTITY_OVERLAP
