video_id,median_section_file,pod_source_digest,pc_source_digest,byte_agreement,receiver_path,bytes,width,height,fps,duration_s,decode_ok,status
yZ5u2sOpiNU,nba__yZ5u2sOpiNU_s2652.mp4,f01606979d06d5cef38c67b5ac78dd4d25fefd7f3f041fddbd2ba399a0ceae06,f01606979d06d5cef38c67b5ac78dd4d25fefd7f3f041fddbd2ba399a0ceae06,1,C:\Users\neelj\g400_receiver\nba__yZ5u2sOpiNU_s2652.mp4,61348353,1920,1080,29.97003,130.079,1,RETAINED
L7o4UCIIqS4,nba__L7o4UCIIqS4_s2656.mp4,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,1,C:\Users\neelj\g400_receiver\nba__L7o4UCIIqS4_s2656.mp4,54975598,1280,720,59.940062,130.067,1,RETAINED
GG2f11NYjKw,nba__GG2f11NYjKw_s2924.mp4,99f1373291acf706d348c0876a029eb33aaa595ab974594332355646ea532297,99f1373291acf706d348c0876a029eb33aaa595ab974594332355646ea532297,1,C:\Users\neelj\g400_receiver\nba__GG2f11NYjKw_s2924.mp4,81336414,1920,1080,59.940065,130.051,1,RETAINED
1rZZ_7buX_Y,nba__1rZZ_7buX_Y_s2782.mp4,98d3cb072420902444b29c81f085be995bd9ac46674c1afedc7c02f02f2f819b,98d3cb072420902444b29c81f085be995bd9ac46674c1afedc7c02f02f2f819b,1,C:\Users\neelj\g400_receiver\nba__1rZZ_7buX_Y_s2782.mp4,93406241,1920,1080,59.897005,130.099,1,RETAINED
3gBeJyl7Szg,nba__3gBeJyl7Szg_s2302.mp4,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,1,C:\Users\neelj\g400_receiver\nba__3gBeJyl7Szg_s2302.mp4,50300132,1280,720,60.0,130.016,1,RETAINED
pGrVjtS7Xqg,nba__pGrVjtS7Xqg_s3128.mp4,53ec8b2eb45ba11ca26a55b5269d3c2857f38beae8760e900798e66a45900911,53ec8b2eb45ba11ca26a55b5269d3c2857f38beae8760e900798e66a45900911,1,C:\Users\neelj\g400_receiver\nba__pGrVjtS7Xqg_s3128.mp4,92970734,1920,1080,59.940065,130.071,1,RETAINED
vcWKSPlGCO0,nba__vcWKSPlGCO0_s3196.mp4,6e8390f9fa17830a4e43b8f73fd70b613a4a024cdd3c2aa6fe8ac51747900731,6e8390f9fa17830a4e43b8f73fd70b613a4a024cdd3c2aa6fe8ac51747900731,1,C:\Users\neelj\g400_receiver\nba__vcWKSPlGCO0_s3196.mp4,40517240,1920,1080,30.0,130.033,1,RETAINED
FnbFGnX4Qgo,nba__FnbFGnX4Qgo_s2822.mp4,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,1,C:\Users\neelj\g400_receiver\nba__FnbFGnX4Qgo_s2822.mp4,75623391,1920,1080,59.940062,130.099,1,RETAINED
H1-Ns9IU-JM,nba__H1-Ns9IU-JM_s2906.mp4,779d531cb4563290d6379dc09296d97c76f8d4eaa26bb7d419370155a3593bd5,779d531cb4563290d6379dc09296d97c76f8d4eaa26bb7d419370155a3593bd5,1,C:\Users\neelj\g400_receiver\nba__H1-Ns9IU-JM_s2906.mp4,81490546,1920,1080,59.940065,130.033,1,RETAINED
Kh7Fj4ogPN4,nba__Kh7Fj4ogPN4_s2434.mp4,5d5b0cb46579d50cdf55a42cf21efc8e4e1f204d9e1530ae54d84da849ce1aa8,5d5b0cb46579d50cdf55a42cf21efc8e4e1f204d9e1530ae54d84da849ce1aa8,1,C:\Users\neelj\g400_receiver\nba__Kh7Fj4ogPN4_s2434.mp4,54189024,1280,720,59.940065,130.045,1,RETAINED
Ktu6yFS9iMo,nba__Ktu6yFS9iMo_s2532.mp4,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,1,C:\Users\neelj\g400_receiver\nba__Ktu6yFS9iMo_s2532.mp4,46239769,1280,720,59.940065,130.026,1,RETAINED
Ge4uewCFUFQ,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,1,C:\Users\neelj\g400_receiver\ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,56676340,1280,720,59.940062,130.026,1,RETAINED
dAy3tnlu3EQ,ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,436dacea633215586240930aa19a44a0f8085ce3a1fee5eba042ee01e45d3afc,436dacea633215586240930aa19a44a0f8085ce3a1fee5eba042ee01e45d3afc,1,C:\Users\neelj\g400_receiver\ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,56250979,1280,720,59.940065,130.031,1,RETAINED
7blRl4zVfrY,ncaa_basketball__7blRl4zVfrY_s2356.mp4,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,1,C:\Users\neelj\g400_receiver\ncaa_basketball__7blRl4zVfrY_s2356.mp4,56478743,1280,720,59.940065,130.017,1,RETAINED
s-0Y7aLxXgM,ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,00434a7138bfcb9d46297a9d0a851a4808c6cfae3d0b50cb6aef2d4ccaa212c0,00434a7138bfcb9d46297a9d0a851a4808c6cfae3d0b50cb6aef2d4ccaa212c0,1,C:\Users\neelj\g400_receiver\ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,55664026,1280,720,59.940065,130.037,1,RETAINED
qTXrSRHHR2M,ncaa_basketball__qTXrSRHHR2M_s2262.mp4,7f076a1a4b3935c5912f35f831aada9b130f176f40736535837f96917162894b,7f076a1a4b3935c5912f35f831aada9b130f176f40736535837f96917162894b,1,C:\Users\neelj\g400_receiver\ncaa_basketball__qTXrSRHHR2M_s2262.mp4,56808008,1280,720,59.940065,130.039,1,RETAINED
IpR4pT8iN0Y,ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,aca5d098a29e600463699677b0469441fed6520a12307c219c57a0b5f9b07ec8,aca5d098a29e600463699677b0469441fed6520a12307c219c57a0b5f9b07ec8,1,C:\Users\neelj\g400_receiver\ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,53045191,1280,720,59.940065,130.106,1,RETAINED
FyMWTVsJvv8,ncaa_basketball__FyMWTVsJvv8_s1504.mp4,559d259fd7d71507ee61d4bc24886a71c071fb196fbd48b93618b0e787f1a3f9,559d259fd7d71507ee61d4bc24886a71c071fb196fbd48b93618b0e787f1a3f9,1,C:\Users\neelj\g400_receiver\ncaa_basketball__FyMWTVsJvv8_s1504.mp4,53641555,1280,720,59.940065,130.032,1,RETAINED
KZK9rv9TnGE,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,1,C:\Users\neelj\g400_receiver\ncaa_basketball__KZK9rv9TnGE_s2858.mp4,56773280,1280,720,59.940065,130.051,1,RETAINED
5zMtHtfCzpI,wnba__5zMtHtfCzpI_s1650.mp4,3ef212993379b957666d9016862604add9a76c1e0f09ebc09af943a6d824d142,3ef212993379b957666d9016862604add9a76c1e0f09ebc09af943a6d824d142,1,C:\Users\neelj\g400_receiver\wnba__5zMtHtfCzpI_s1650.mp4,53936551,1920,1080,30.0,130.066,1,RETAINED
