video_id,median_section_file,packets,first_pts_s,last_pts_s,span_s,median_delta_s,schedule_sha256,probe_status
H1-Ns9IU-JM,nba__H1-Ns9IU-JM_s2906.mp4,8092,-4.971633,130.013222,134.984855,0.016689,d3c595bf50d0b5f7df818a969b40b40b5eb63387049ec92056a036d0c4a73cfb,ok
Kh7Fj4ogPN4,nba__Kh7Fj4ogPN4_s2434.mp4,7984,-3.186522,130.013211,133.199733,0.016689,bfd55ad1f6696f4f4d635e373d389e6894672c1c3ea150e964430c60132ef6f4,ok
Ktu6yFS9iMo,nba__Ktu6yFS9iMo_s2532.mp4,7866,-1.217889,129.996533,131.214422,0.016689,18c3c26119e553383696bc68e43923a6e7d781149785eec96978c9faceb85271,ok
Ge4uewCFUFQ,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,8067,-4.571233,129.996533,134.567766,0.016689,e75f55c513ec62acdb39be31ba04bf8d5c9c6b2c36948b29f1b07842d35f16a4,ok
dAy3tnlu3EQ,ncaa_basketball__dAy3tnlu3EQ_s1502.mp4,7806,-0.2002,130.013222,130.213422,0.016689,dacc9b418a52678993dfdabd1fac61189b6c40adc500dffaeb3c95c1fb76a3c2,ok
7blRl4zVfrY,ncaa_basketball__7blRl4zVfrY_s2356.mp4,7810,-0.283622,129.996533,130.280155,0.016689,9a4ad366a1ddb168cbb38262f216fbdceb908f3265999778c9d056f51211f3d7,ok
s-0Y7aLxXgM,ncaa_basketball__s-0Y7aLxXgM_s2460.mp4,7980,-3.119789,130.013211,133.133,0.016689,1c9da3073541ef1a90b9a9ed29b3274ed33b878b7fb7c2f8ff47d8600c65a380,ok
qTXrSRHHR2M,ncaa_basketball__qTXrSRHHR2M_s2262.mp4,7866,-1.217889,130.013211,131.2311,0.016689,ea1277e61ec335473ed24726479934e7912893cd2a8cf0c9d7b52d598242e375,ok
IpR4pT8iN0Y,ncaa_basketball__IpR4pT8iN0Y_s1261.mp4,8106,-5.221889,130.079944,135.301833,0.016689,d656d660795531f7e82bf4fb4ce079425a2ee2edca3ca14da5bf80aa6065d70a,ok
FyMWTVsJvv8,ncaa_basketball__FyMWTVsJvv8_s1504.mp4,7950,-2.6026,130.013222,132.615822,0.016689,20d4e7c316e3643fe6b0a9cc4f77adae952f38dc519c0bb31d814de0167891da,ok
KZK9rv9TnGE,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,7950,-2.619289,130.0299,132.649189,0.016689,c032fd9d5c9f47c9902450357b9ef238deaf33f2cb446fc1ab8e94897211785a,ok
5zMtHtfCzpI,wnba__5zMtHtfCzpI_s1650.mp4,3920,-0.633333,130.033333,130.666666,0.033333,81e1ee2e7bd70500b37cfc9eafd670ad7ba70d6dd7f6ea14ace72d408816c0c7,ok
