section_id,full_trace_bytes,full_trace_lines,full_trace_sha256,sealed_ticks_requested,sealed_ticks_observed,bounded_lines,bounded_sha256,emitted_bounded_sha256,emitted_rows_compared,emitted_differs_from_tracker_position
9sq-YMlIo9Q_s2346,472704,9200,7e3d6e451622f4eb1ba1cc7c3fc6a6d414be28545b793f1a6f584e81af8884fe,2,4,368,8ee02206daeb55360547ce0074cb27e801bd101c2e8baff4a537d3deea4a15a9,e35cda3165a127a2b678613016430680989b75fda5e3e0fc47931b5e3b82f5b1,23,8
acb-jHcR5UxPGuE_s1393,421100,9200,262ea0506132393575a4d478be1cc07e61e2ffbe8440b9d3a79373d29584aec9,1,2,184,f6aae82102f5d199ce7c5622b57081cfe99f9a513185ebe8a85de26e2cd40d04,1ce5df30c47ca66908b6e75e20f683ce20a9098e76b5fbaeb1f3391833d4c4d2,12,8
acb-jHcR5UxPGuE_s90,420504,9200,86b3df84191bf3b75b402ebdc21f5c26af6e297814e33d326be997815b4090e7,1,2,184,ee28b5f31f24fe1c45be1d5bfce06150184f206c80a19b5f281b71a5e1cade85,1e9786893ac2ead8ecb7e512c1669b1ba11a3c7fce6808e2e4fefd1f2604d359,2,0
dAy3tnlu3EQ_s4326,462348,9200,3f339c0ed6548da3f5fcb7a03a00ace591d5195d12c6323da99f16793410e76d,2,4,368,cb27a9bde46fe7d75fc11297214791138da3d3b2c657cabeb0688443ddfa06a1,ee7821bfc4c34430698a2f9bff38d0bade2020314b0f5b0c1dbfc3fc3de4445e,11,5
Ge4uewCFUFQ_s2382,388868,9200,185dffd57d07887e02eb10ab4dc47f60f7022e22ba05878c6908469e32c361f7,1,2,184,060630088ed47e8377ae1f7592dc26bd3dc13ce73b36cd38e67bb2c4dbc7ed09,57ebb741578765fcec36b7063fa98cd4c898a1ebf7e5400308c473f928d6a77b,7,7
Ge4uewCFUFQ_s4674,446612,9200,598ab62898533379fe497d9d74ebfeb39c33076fc1cae0d38cb7a85ea0fb0e3c,1,2,184,3edda9ab1681b117914c25fb67a87600eda67fd2a9a131f6f2e42995250c182e,82da106331d44774871e53d7ead259d5b645c8c984223fa48f8dc395a1ac4af2,10,6
J8pMOFvFlsU_s1384,448440,9200,2171020a1beb3b908a2ce5a7d57dc2390e8bcafa7e817f18c1daa7e7a933721f,1,2,184,d2221122208558dc66cba17d727b7493598915a01ccf7623ba889e4a5d7daac2,83f68dbfd94af5baa2158e4262a92848af2789c2e02ad85e51cc26d462dd9ced,1,0
J8pMOFvFlsU_s3972,433320,9200,892e73fec2b4c41c9c5ac498aad59c9c0c37d4f54c77c5b09ec44f12ed7eecf3,2,4,368,96418f6d204a783aa30e10ff426176c33d902e7575ead4f2ecac1a7b3dccb67f,252c2beca672fc1d6a4d05531b63502cf65ea6935ddf7c84b1dae3d36df1dcbe,9,1
Kh7Fj4ogPN4_s3606,496696,9200,627e1fc001e7908bb1f675ea0e1bb3704cf39b4fdf8b659c90d9e4a29b0670ae,1,2,184,a82d184b1086174e24ba7a997e5b03c4a99fa19f9936a1efbe215bdf3cc14114,2830325cda56223d1ec63ea62e8e26ef56b8ca3c3ad2b02d3aecd66ee34de2be,12,0
Kh7Fj4ogPN4_s5950,381864,9200,d88b464c15a7d94032468af8b947e341e366c555d0a1c0770a053ff930af4eaa,1,2,184,9e7b085ae9109f5bafdb2b26b635d9053450428b27148dac9b3bb08101bbe591,abce4df2f30cba32040cee1c28428160bb65130165e544327906b3cd2b5505d3,4,4
Ktu6yFS9iMo_s6195,1,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,2,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
KZK9rv9TnGE_s1474,506824,9200,ab49a9e93759f552f862aa79d3e1faad13ba48d8ad6d2a34353ff79a8ba965a0,2,4,368,fde7a295d738ac0bf24e962f5a1c24048da7f39c1273a684742445ab4ff1c8c0,556175cfed5f8e197055dcf5eb40c4c32f00b2acf68a3891f7a2fb2d2c112bdf,21,4
KZK9rv9TnGE_s4242,474600,9200,14c98d48c9726dc1b8f165ab71224aace618dfa08ebcc26571d3b4f847f08dee,1,2,184,926c727728f9b09ad22cde70aa99b9596ed29e9c0eb1ff0595a22918177434b8,a7716c4f6a31034a38abf16d69df79981d19cfc0ee2257a7c1d6f8d1a848f4cd,5,1
KZK9rv9TnGE_s90,493376,9200,629d26d78d9a409239ab1b0a3e5103449b4ffa32ea065ad404813e670784a527,1,2,184,8122b9ecfbaa00f1df06f7b647f9ad26ab3a92ff37852b286ad80dbaec51fd1c,2ecfcebb41584dab0c9b061dc911c195ac2c880d74133231afaedd3b65a4a960,9,6
L7o4UCIIqS4_s5222,365464,9200,6e26731e0122cf83ec47eaa3d4f96b74fffa31288c034cec345cbbac6917d243,1,2,184,6ba99a60f0008ff2542566dac620555f345bc2ca2b2c63e00b78fb8290a12ba3,b5bc3fd57e9120de7b2055646238c235f28d1fb0fdb4bedea83bc34e76050103,3,1
oL9Uaie2v2A_s2438,476252,9200,8f9dc2500949e02775481bd03d5d31881fa86206c6aac204b6e4175e4b2dc66f,1,2,184,04cdfbd4b45061849a175a2f1503ef03e04c52e94d3183e0c7f1e58839b761a2,2f3b86449ed4f9f3105a8e531c041cea3ca6cbc89a5fde8c97131c73319644ef,13,2
s-0Y7aLxXgM_s1275,468512,9476,587f68098367dff46f7e61e5c769fa1b85d6cec1c8d6b898d055be94ed69ddd2,2,4,368,441ea543c7a7b7fe907069cc0f3e7eb38ed3492e987d47d0e769cd1b3949c78c,928513e75679e3bd2aaa23ef5502b067acbd1e751dab5bcc79308a19b908f537,20,20
s-0Y7aLxXgM_s4830,491556,9200,30324f455bd3fe0870a8f4c1544d747438c5a539cc0d5e300b3e4822fedce104,1,2,184,cf710ed68ba4b1582b7582de5c104432b76f45af23a40a5f3da434cc066c9b97,25d2ce9c74250768e5c784b94ad217fae0646aa859c5880f8ac3a0fa82504b67,9,5
tFnl0NVn6FA_s2774,461772,9200,5f389d520059f49a8eea3fa69fb2069bfe6e0a1ac94ea901cb16bd45ebd48140,2,4,368,a4b719abbd256eff0ada88af47915ccb0287458704cadce78900ec9acb36ba39,82128efc9b151a138199dd60a7554b6cc73a1691a0a421828e946ee1cdb4b49f,20,12
tFnl0NVn6FA_s90,489896,9200,84ced044e3193f6e98ffb18319617dea6063a47a0af4e5c55d1baa07d52c104a,1,2,184,e77b0db3ced6483d69c77f27bc98b65378039c166f0a29994ddc921edab73cc8,d83a087e44a2e8fd8b0fc61a23a831ece5dbe5a725d9de5a3db2867def162946,6,1
tZeqmc_-_sA_s2574,487408,9200,2b5b253ceab71c49f3d1d16363ac1b078b083cc3415311c7b74b8acacad80d36,2,4,368,a31775f43e980123eb1a656e6b4b02ae184a96a2866395c2ad2383b158ed10ad,d97fca8917b2f43858596d190645b17c3823385a3e327619b6a3fde5dc1fd1e7,21,17
UCVSlzgun0o_s2298,382504,9200,fd5b016d09b9bc72e8768717612008a2a3251ad13ce80b81475a8731c4e645e9,2,4,368,fc302e3cfa90ad7ae98b946b3609bd35e3e374586a3e5b48d416ee2bc27f3303,da2f3c125ced3f75cd145020f6cff9faa1aecb81c69fe5064bf61c3902b2c173,8,0
UCVSlzgun0o_s90,413212,9200,2928de2cba24012f6ee926ef959e552835eaa5003bf31d852b2372d4d760bb5a,2,4,368,1ad49e6376650072cdf4e1b3ff006e6e45a22f35b5cf47e8e51242d950567d51,596a4e96398822904c5bfe91cdbb6036982e7936cdfd4faae841eeb79f23e9fe,10,6
Vm0FqeGo-8g_s1317,426668,9200,b29d8b98e69e4ec81c91a2429ab2b668a797f47c61e560f81dac8ad71d7f483d,2,4,368,f0cf4f50fb9d74d3ec34214248e9d79b9dc824a12d8f2922bf8864a2d792838a,7c12b4a4f5068da886099d82db6ef47af2e68117418f3c5c9836d557d599132e,26,1
X5w3V6rh26s_s90,434724,9200,f1dac1b2a9b8d8950237bb0bb067458fdd52f817c2d26cc8378c8cd632d23cec,1,2,184,20d93af1f4262c20623ac203a2bfd2a2066cb1baf272a495189399df8d0c9739,ddae82c8a145e46de9adccea6be03211542a72e507739f77d3fe8f3f8c9ab948,10,4
xv0WyG7_99c_s4530,465708,9200,787f826bd114c70aed9f4e2cef3d8c274f56460a2ac6377dc7932acd80aa91ac,2,4,368,dfa7d07b3e4928bc15ab3789387fa303ed461997527e8cb640e5c15e20eb8693,79c062323a99338142725b8ea64287f8b2c2ff48a3b291667e3ab93592f946f6,12,11
Y1cgaIWW8gk_s2784,445216,9200,b964edcf853759a20c563624764fe1e181b724e9143907fac603d859b7fba7c6,2,4,368,44366a4ef6ccc92661e85f505cced1194292cdfd57e01f84ee0a6e9e6b8ae4c6,f788626290a6296306b3772aaecebcf126dbb9d257e2055c5692ac86396c6100,11,7
yZ5u2sOpiNU_s5214,457932,9200,6bce90d72099c1ce433ae7cc9c58ccf510376a1e30f17bb3484a50d57fabc703,1,2,184,8908cd2d9186cca7161c6327eebf84f8e06188dc3a2adf79259e9aa4f931cdfe,9e758f5be7e4f5b77c8e07c5372548c62a21e97e6dda17ec2254352cafce249c,8,1
yZ5u2sOpiNU_s90,482720,9200,e90a2b48cd5f7e8ef8ef3f523af2ed5afbdbbbbc1253f8a09ad311139ce82601,2,4,368,b181563f74675f1927022645724d9d4af8ddf065bfde2df6e441bf506f0ab63d,00a2687144c7de31bde4d9d01ddfc5a49d7b58798d5bc457ae99777d6c7a4b8c,14,10
