card_id,producer_box_id,comparator_det_id,iou,producer_centre_y_cropped,comparator_centre_y_native,dy_old_signed,dy_plus_origin_unclipped,dy_after_clipping,clipping_delta,dx_old_signed
1080p30_24,1080p30_24_r03,1080p30_24_d00,0.501779,248.0,298.125,-50.125,9.875,9.875,0.0,31.0
1080p30_25,1080p30_25_r00,1080p30_25_d05,0.569174,638.9859,719.25,-80.26409999999998,-20.264099999999985,-20.2641000000001,-1.1368683772161603e-13,10.119180000000028
1080p30_27,1080p30_27_r03,1080p30_27_d02,0.68907,451.0,509.625,-58.625,1.375,1.375,0.0,0.25
1080p30_27,1080p30_27_r01,1080p30_27_d04,0.542019,668.0,738.75,-70.75,-10.75,-10.75,0.0,38.25
1080p30_29,1080p30_29_r00,1080p30_29_d01,0.54054,510.5,566.625,-56.125,3.875,3.875,0.0,27.25
720p60_02,720p60_02_r01,720p60_02_d01,0.723466,313.4057758,379.5,-66.09422419999999,-6.094224199999985,-3.485779999999977,2.608444200000008,39.81719999999996
720p60_04,720p60_04_r03,720p60_04_d00,0.725522,253.5,313.25,-59.75,0.25,0.25,0.0,-5.718999999999994
720p60_04,720p60_04_r01,720p60_04_d08,0.578148,81.5,114.0,-32.5,27.5,34.0,6.5,1.0
720p60_04,720p60_04_r00,720p60_04_d02,0.526404,459.5,523.5,-64.0,-4.0,-4.0,0.0,-2.0
720p60_08,720p60_08_r00,720p60_08_d00,0.818799,327.5,375.0,-47.5,12.5,15.0,2.5,-0.5
720p60_10,720p60_10_r00,720p60_10_d00,0.832404,326.0,366.5,-40.5,19.5,23.5,4.0,-8.0
720p60_11,720p60_11_r04,720p60_11_d01,0.581103,362.5,416.0,-53.5,6.5,6.5,0.0,-0.5
720p60_11,720p60_11_r00,720p60_11_d04,0.510507,330.5,391.5,-61.0,-1.0,-1.0,0.0,-3.5
720p60_11,720p60_11_r05,720p60_11_d05,0.507268,542.5,602.0,-59.5,0.5,0.5,0.0,0.0
720p60_11,720p60_11_r03,720p60_11_d03,0.504736,297.5,356.75,-59.25,0.75,0.75,0.0,0.0
720p60_12,720p60_12_r03,720p60_12_d01,0.810602,326.0,377.0,-51.0,9.0,13.0,4.0,-5.5
720p60_12,720p60_12_r02,720p60_12_d03,0.764215,178.0,210.75,-32.75,27.25,34.25,7.0,-3.25
720p60_12,720p60_12_r01,720p60_12_d00,0.752955,352.5,411.75,-59.25,0.75,-2.75,-3.5,-1.0
720p60_12,720p60_12_r00,720p60_12_d05,0.652888,166.5,196.5,-30.0,30.0,36.0,6.0,55.0
720p60_16,720p60_16_r00,720p60_16_d00,0.868462,299.0,332.25,-33.25,26.75,33.25,6.5,9.0
720p60_16,720p60_16_r01,720p60_16_d02,0.55205,269.5,315.25,-45.75,14.25,14.25,0.0,59.0
720p60_29,720p60_29_r00,720p60_29_d00,0.711505,371.5,433.0,-61.5,-1.5,-5.5,-4.0,1.375
720p60_29,720p60_29_r02,720p60_29_d01,0.707424,400.0,469.0625,-69.0625,-9.0625,-13.5625,-4.5,-2.0
720p60_29,720p60_29_r01,720p60_29_d02,0.694904,438.5,499.0,-60.5,-0.5,-4.5,-4.0,0.25
