card_id,draw_kind,section_id,frame,sealed_ordinal,native_width,native_height,producer_silence,status,render_path,render_sha256,render_bytes,crop_sha256,crop_width,crop_height,boxes_drawn
1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,,1920,1080,0,OK,renders/1080p30_12.jpg,6bbcc6122e219351f4d0888b02eaa7a185ab6b83a03196b5da76016c7bce4246,337005,3f323bcf9c6de92c0f8e1817e42ec29d031d9d9497d300bed560f24c565fd607,1920,1020,6
1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,,1920,1080,0,OK,renders/1080p30_13.jpg,52962ec100ccaa8dc1a58cd9e9ce8556d0c7ddd66c94aaf78c8115518365fe29,396974,65d6e22b751bf958defb530ee91a7ee5ea462d74268d1df983f1b9cf10b33e19,1920,1020,4
1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,,1920,1080,0,OK,renders/1080p30_14.jpg,b8cea871ffcd7009960ef25318edecb054f0e9a9dd9a69c0868d6562e5ded2b0,339674,c4c832ac3bf9ab26b15752666466e20ce6656971774ed1742e2df5a7e0fb1c44,1920,1020,4
1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,,1920,1080,0,OK,renders/1080p30_15.jpg,2263a89178e335876b763ce06cb56dfd5e76542f1df392489d9e45f8bc75b80a,328910,a605f8e30bbb5b3089150e16ed7405c4a4efef62f05150f633d5ed9d2a998175,1920,1020,5
1080p30_16,1080p30,yZ5u2sOpiNU_s3933,2031,,1920,1080,0,OK,renders/1080p30_16.jpg,dfa5db90b78ee73ac5932915b51663b08fc5fa6695a8851c1f902cdfcf7d78c4,333614,26154f3bef6adb4dae72319728f64227d60be54209b2a508a5b43703452a55a9,1920,1020,1
1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,,1920,1080,0,OK,renders/1080p30_17.jpg,9d211f5f4c0af08cba53367ebf52288a31724545c82fb953ea31929cdf7db565,414504,3f6abced3a3af2197f8a6257172789e02238f7d7ae2d555e3e66ad67f315b2fb,1920,1020,4
1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,,1920,1080,0,OK,renders/1080p30_18.jpg,358d8e1377ea757e9f9feb5da6bee3068b18d2e4dac3b8e92ab82305662e3328,366835,1f4eb989910d4efb206931a7d6e28792fd8f345fb064d655fea4995d57b775c3,1920,1020,7
1080p30_19,1080p30,4JS090XPhmM_s2388,2373,,1920,1080,0,OK,renders/1080p30_19.jpg,fc607fad54f463da273b8679bfae8914ae0f010df698b5be8a3fec2be62ca572,270752,1f24dfbcb23044cdf24c5b9c1a9877167b3be4d5d58200dd688ed920ad632179,1920,1020,3
1080p30_20,1080p30,4JS090XPhmM_s3537,2447,,1920,1080,0,OK,renders/1080p30_20.jpg,5f8259125a2b027e5bedc66113e4da2a4a90a86d9856febdd25724fb9b9003c1,413531,204ec4e355ebcc5460350a05fa5cddfaf227d3869ee6cda62691bafe48e46a51,1920,1020,2
1080p30_21,1080p30,4JS090XPhmM_s3537,2708,,1920,1080,0,OK,renders/1080p30_21.jpg,be21f1d0de9d05a96289118ee33467a558956ac8dfd803773f7dfbfa189718c0,382606,e0c0e7820f286976e75c32e25713bc6dd3ac198db63679f44f2413ea24360f88,1920,1020,4
1080p30_22,1080p30,4JS090XPhmM_s4686,2781,,1920,1080,0,OK,renders/1080p30_22.jpg,8fee67fd049883af66f38488b4b6454a9b9773d4b6abc8f4dd0df39bcdd196d3,319020,8346783d0d3b9d6f7d1f3b7d69c03428d7d4b4292cbb1c0e37561b67e3a7385d,1920,1020,3
1080p30_23,1080p30,3eeaJz1PJTM_s1331,2948,,1920,1080,0,OK,renders/1080p30_23.jpg,11c38fa1f9cdb2a2069b24f7d5d8365e9d4611ae2c828d31cd804fd9ab79653d,286105,13d4e302affa17ce8cac19f2290bd374197f01745122da9b51de03506553de00,1920,1020,2
1080p30_24,1080p30,3eeaJz1PJTM_s2572,3023,,1920,1080,0,OK,renders/1080p30_24.jpg,df19e4c7bb8ed5f0ab8084ba8da886c80b5f29b2ea486894a1ab74c73f376ea9,322333,fed61d53fe89efc490296eb0749e7c00f74b0c95c5bb7f649fa545bacbd9ffdc,1920,1020,6
1080p30_25,1080p30,3eeaJz1PJTM_s3813,3098,,1920,1080,0,OK,renders/1080p30_25.jpg,10239cfc893c7ac5a6df32336c8929904c3a1235e4117e3467e4f6426cfba104,382516,22e9222e1f2ecc5568943c35d04204a222e20865630526233ed16f7d3b392ecd,1920,1020,7
1080p30_26,1080p30,3eeaJz1PJTM_s90,3286,,1920,1080,0,OK,renders/1080p30_26.jpg,d53709ffc596049eabfbc48102e345b71d2af5c7ee890399b0f5a7197d704a99,402488,c83443d5ac03be618e27053d9686eb7f0ecb3208569996b18b8b8184a604bcba,1920,1020,3
1080p30_27,1080p30,J8pMOFvFlsU_s1384,3364,,1920,1080,0,OK,renders/1080p30_27.jpg,44146335809b6f26f5bba5ccd6a556a615913229d4c080ecfe59c5c9bc9bfd03,244775,93093628a9b63aceb6ea3d9241fe83880405d57069864c105cdef15c99e016e9,1920,1020,5
1080p30_28,1080p30,J8pMOFvFlsU_s3972,3439,,1920,1080,0,OK,renders/1080p30_28.jpg,148c5efa9aa13d33bc5b7423d5b9d8705c42821f9ce6daaeafcfcd9d8f3a2f0d,247020,d6b8fe55a01d97d2513778a6108d93f0e33ddd796ea04152ddd7c228f49f4719,1920,1020,3
1080p30_29,1080p30,J8pMOFvFlsU_s90,3783,,1920,1080,0,OK,renders/1080p30_29.jpg,c36da1df6436f2cccc14848f8158a11994eedc2d7f3b902620c33b088de24a2b,235737,26638cf8a28b50d80b5668dc7ab29cfabf4e91e2e0bbedfcc16d793e34281509,1920,1020,2
720p60_00,720p60,acb-jHcR5UxPGuE_s1393,232,,1280,720,1,UNKNOWN_SILENT,renders/720p60_00.jpg,b394843c46f4cc026d2961e41967a7d8a5698936bff2ed62c9842687133812ed,187486,c20e0d3c315bd6d0f848f4ab0547c6b6f97115afa1d7d245a465137c1c4434b2,1280,660,0
720p60_01,720p60,acb-jHcR5UxPGuE_s90,537,,1280,720,0,OK,renders/720p60_01.jpg,d27a294451ef178fd7f4fa0ed16c3b5e20de675525fd77f08fd5b1cf19e2e767,190601,ce2410be1913288a03be0afd1e9eb62d83115d100e5890348bdd15d667381279,1280,660,2
720p60_02,720p60,3gBeJyl7Szg_s2302,751,,1280,720,0,OK,renders/720p60_02.jpg,274b633b4233d233567b5c1e1177cb3dfcf1f0e3e10d3b32160a10da3b329418,170599,eab082f4b4c443374d3a2c0f8c873e29a2bfb69f06f9584722603fac6425fb03,1280,660,2
720p60_03,720p60,3gBeJyl7Szg_s90,966,,1280,720,0,OK,renders/720p60_03.jpg,d1e0609d068e0e7b76d8bb110bef60bfbe1eb3be475de45e6b041bdfad32e8ae,218669,38fbb82dfab742f2badd7a6aeeb0104786e18be2344171eef3832995d607e3a2,1280,660,2
720p60_04,720p60,Kh7Fj4ogPN4_s3606,1173,,1280,720,0,OK,renders/720p60_04.jpg,cba8e294694fd1fb5d831dfc5c2701d9da94d27e6db14a3b4dcf49978baf748b,187055,fac82fc0d3def3101ae609b089e71e6122e7bfdf9c88fe4684f2aac2bdd0d60e,1280,660,4
720p60_05,720p60,Kh7Fj4ogPN4_s3606,1755,,1280,720,0,OK,renders/720p60_05.jpg,2ad5c16ee01d6963adf419188d52a264c695877d74f8ef94d9642a0222ecffc9,209177,4d38b2858449b06660fb5193076314a3a653c61491514d1f4dc28ce3b059fd80,1280,660,3
720p60_06,720p60,Kh7Fj4ogPN4_s5950,1968,,1280,720,0,OK,renders/720p60_06.jpg,667a8dfa45dfb4f216f0be00751496d82690ce1cfb234e0176de34daa1b6c7db,215284,a23325bf0d9d273024eb04e18b6e81bfb0c82853798ec10972e49a01381af1b8,1280,660,2
720p60_07,720p60,Ktu6yFS9iMo_s2532,2183,,1280,720,0,OK,renders/720p60_07.jpg,326659b79f3a1d52b43b59b6003905acda0b35d302ed52ffa23665807d234608,227410,51ecef8010025d5045584348b01af76e5a8b5213a63da04ba664cc52200f0335,1280,660,5
720p60_08,720p60,Ktu6yFS9iMo_s6195,2397,,1280,720,0,OK,renders/720p60_08.jpg,6920b8b2a537f089c74b254e68cd420d9e5e91c5380f5de5c86e1e7dc0092890,137565,11c3a4c7e12bc9fd98c4cf33ef7e75a1dbf14c762c4a8eb3db4252449371c197,1280,660,3
720p60_09,720p60,L7o4UCIIqS4_s2656,2611,,1280,720,0,OK,renders/720p60_09.jpg,751d72d4512c228e90581376b413a6daef180e94aa2b2e5552662388be9f1df0,154505,d5616cf36af6a211531112b5e7e4eb07eb75a32c97658affc077e4df31daa32d,1280,660,3
720p60_10,720p60,L7o4UCIIqS4_s5222,2885,,1280,720,0,OK,renders/720p60_10.jpg,f848fd3bea87c9b18ce7966e5ced38438b72fdc018e919a2840ad4b3e7bf9d85,174833,6d8b7781856cf20ad780d1f8e10b47ffe8ce9f9d96e432f5eb42493e838bd85a,1280,660,2
720p60_11,720p60,oL9Uaie2v2A_s5960,3175,,1280,720,0,OK,renders/720p60_11.jpg,1f560e44afefb7c2f7a4015869ab0586a1579677b4f8851dd91449022c78dd0b,220216,11fd37028ac56af1734e2363c5d8f1e5093f6ae37db1543c77d41257dabfcf02,1280,660,6
720p60_12,720p60,6rQ2sV4upfc_s1509,3390,,1280,720,0,OK,renders/720p60_12.jpg,a6855f33eee9ad87e7b5444aa428d033f18ef2ad70368e885568b63d5dfacf0f,210669,1ec0962e8a735e65251426340121eb93d4a4f9c7f059681a9d910f3c998f136f,1280,660,5
720p60_13,720p60,6rQ2sV4upfc_s90,3603,,1280,720,0,OK,renders/720p60_13.jpg,f111d5b12ecdbf1638b90179829ea2564eee97c9dd4ddd09bb311e6788598b87,218029,958c4dc8bae8569f935ecf768fc6dfdecee830c29166c3000ebc1458e500d65b,1280,660,1
720p60_14,720p60,7blRl4zVfrY_s3489,3817,,1280,720,0,OK,renders/720p60_14.jpg,66f9633d97d212b2209cea9a8cbeee123da1e01cf57b412c32b66f26efb34570,207075,52cb853ffba306fe87615c18e7a4fde86dd952176f4a862c4c1cfd72e92679e4,1280,660,4
720p60_15,720p60,7blRl4zVfrY_s90,4032,,1280,720,1,UNKNOWN_SILENT,renders/720p60_15.jpg,cc397dc8de888bebdea913000363b7ca2285b862ea3683aba95c72897bfc41c4,216367,da11cd3f84ff8559a05ff855262c5ee27dc5ae61c9791ff088b1278857644a80,1280,660,0
720p60_16,720p60,FyMWTVsJvv8_s4332,4515,,1280,720,0,OK,renders/720p60_16.jpg,be9195ef02110f2ea5d9bb3e3371b43f201d4a2b4a24bff02a98d5b834b09ca7,189209,46280168a4b307ae025a3661a4629b09491fe8e0cbbbe464bb43eeb0db3d55c0,1280,660,9
720p60_17,720p60,Ge4uewCFUFQ_s2382,4729,,1280,720,0,OK,renders/720p60_17.jpg,d920d1c0e719b376dbce3f5e69ed9396dd114099569e90b83beea52e3ca1d0c6,245937,373a05c3a528686a3a72ffd786c71a71112d05200f5ecaa824bbaae00a166806,1280,660,3
720p60_18,720p60,Ge4uewCFUFQ_s4674,4944,,1280,720,0,OK,renders/720p60_18.jpg,8adf17af5358fdab973a6d163cd8981240a0e780e68e19b7b8a397f7d50c2d08,166240,0ad89be170883b662a19ba98e51b006e70347b448a2bba768d36ec24f813a187,1280,660,2
720p60_19,720p60,IpR4pT8iN0Y_s2432,5152,,1280,720,1,UNKNOWN_SILENT,renders/720p60_19.jpg,cb59807beb351707921ce33abf0e4c562f63ec3eb6194b977b39407dea5e9478,218073,db26319d29cc83967b9873e4dc2c7f345e5587b0bb7bd023bbca21262209cb65,1280,660,0
720p60_20,720p60,KZK9rv9TnGE_s1474,5365,,1280,720,0,OK,renders/720p60_20.jpg,d13722438d714a8899ab6e77df3db49a3c9ea417aa9922636da35367dd8c90ed,242307,a0cb33eb3fe0fe9e05c6e870bb41a394cb8587cbc43d178713297f9da8d4901b,1280,660,6
720p60_21,720p60,KZK9rv9TnGE_s4242,5579,,1280,720,0,OK,renders/720p60_21.jpg,fd588772700f9a70ac821e13a8bc3c1d3d18245184836f51f96ceb8b9040254c,237652,96f73df34bdf8341965da521522ecf3e51a273b9aedf931341e58685d0105d4a,1280,660,2
720p60_22,720p60,KZK9rv9TnGE_s90,5793,,1280,720,0,OK,renders/720p60_22.jpg,551bcac42561c2e41d16e5198e00ccfc34b840c407a20861d1fe1752df69db8c,161410,fcb1ce33a5bd411711032dcdb10719003b0bd0e3c201db639154a3ed98abc76e,1280,660,2
720p60_23,720p60,dAy3tnlu3EQ_s4326,6008,,1280,720,0,OK,renders/720p60_23.jpg,380de1455e9e0357d90fd1a63f7e2ee00d7a92baf0e53b4d1fb0e5001aa07c3b,229959,f3072f7e1b98750162a3ef3a40ed7dd1ccd558ea1eee333b78ee038e5268fc97,1280,660,7
720p60_24,720p60,qTXrSRHHR2M_s2262,6313,,1280,720,0,OK,renders/720p60_24.jpg,f42c59c1ff9b79bbd287e0b3232e72299b41deadc56d1b9736d43130a0ddf68f,226845,47919e936d9d4e642d941e718d6b6605099396c5ec386081ea2053241b1782b5,1280,660,5
720p60_25,720p60,s-0Y7aLxXgM_s1275,6338,,1280,720,0,OK,renders/720p60_25.jpg,9cc692abf8ea1c3ccf5ea712fa3986f3a8f9e8c71c92d7f5d6d0449e9faaf63a,216689,d20afed57b681bc767f3dcf2900582dfe78158bc7038f5fb0c83a4af576c15bb,1280,660,2
720p60_26,720p60,s-0Y7aLxXgM_s4830,6547,,1280,720,0,OK,renders/720p60_26.jpg,dc0a681b459e5b68c10ea6560c61535e67ee9d70837dfb2a185f1bb792fd4e4a,228565,635f4e8141e48c0fd02e3316f6aa4ac7e8fc2b1ce24ee3318bc8093498fe0809,1280,660,5
720p60_27,720p60,xv0WyG7_99c_s1200,6761,,1280,720,1,UNKNOWN_SILENT,renders/720p60_27.jpg,e96a400577d788d53a44bc9d6aceb2ba5c711f98e526283ca2b899a60f0b6ff1,218199,35758b2e3cdb58d7cab2ba138bc504cb0169e7149c192ab0552c854b7325e26b,1280,660,0
720p60_28,720p60,xv0WyG7_99c_s4530,6975,,1280,720,0,OK,renders/720p60_28.jpg,95f86ee3c5c156683c7d0384199c9d143f9fe0a4827aa70f0bf1078de480f0a5,235314,2a588b6ccd9f28a06d7149c2da6ea2c6a85416984a245cedc1b7a8737f26bf6c,1280,660,4
720p60_29,720p60,xv0WyG7_99c_s4530,7557,,1280,720,0,OK,renders/720p60_29.jpg,eb0e2061e2081bea7b0f64999a2112b67e1a43ecb39d41537085502c93d1e54c,220443,76aab2dbc2898d33c22de832454c57c970457c01c09dec930ba47c67f6d499c3,1280,660,4
