card_id,draw_kind,section_id,frame,actual_pts_s,native_width,native_height,crop_width,crop_height,producer_rows,stored_boxes,producer_silence,comparator_boxes,fresh_box_rows,prediction_rows,retained_point_rows,boxes_within_padded_crop_bound,max_stored_y2,padded_crop_bound,decoded_sha256,decoded_bytes,status
1080p30_19,1080p30,4JS090XPhmM_s2388,2373,79.1791,1920,1080,1920,1020,3,3,0,4,0,0,3,3,875.0,1035,48981e6888924faab15108ad004bacc9638f8f2c1c467320ccec6a2b39ee5d88,1465367,MEASURED
1080p30_20,1080p30,4JS090XPhmM_s3537,2447,81.648233,1920,1080,1920,1020,2,2,0,6,0,2,0,2,708.6188,1035,80164b0a40950abead873bc5382047b74997e5c85c67a060c2c340d3f4716da9,2206510,MEASURED
1080p30_21,1080p30,4JS090XPhmM_s3537,2708,90.356933,1920,1080,1920,1020,4,4,0,14,0,0,4,4,932.2755,1035,2da92a1bb9d3cc877176f896f1a4bc22e7d0322fd422ea12a66caba64e1bd81c,1867003,MEASURED
1080p30_22,1080p30,4JS090XPhmM_s4686,2781,92.7927,1920,1080,1920,1020,3,3,0,12,0,2,1,3,1006.0,1035,911b2b6a534b46d1c3ac86bf2cb7ba9e4724022e2fde2525573c2d0b88adab3a,1519172,MEASURED
1080p30_23,1080p30,3eeaJz1PJTM_s1331,2948,98.266667,1920,1080,1920,1020,2,2,0,8,1,0,1,2,873.0,1035,f3aa34b74e226ab7c2c61eb5167ffbbe0b67d1d2c63d7460d051fd68102d0a7f,1478467,MEASURED
1080p30_24,1080p30,3eeaJz1PJTM_s2572,3023,100.766667,1920,1080,1920,1020,6,6,0,11,0,0,6,6,750.0,1035,11ceb2f37bb15854d8a42eb62115bd9f3cc3a865edada3d4beb64621fd0f2e9c,1487917,MEASURED
1080p30_25,1080p30,3eeaJz1PJTM_s3813,3098,103.266667,1920,1080,1920,1020,7,7,0,15,0,0,7,7,814.9417,1035,a57f6c5c895d88ac5d1be4414621bb56b449b59dfc9a0d5589951af621ca7b93,1918343,MEASURED
1080p30_26,1080p30,3eeaJz1PJTM_s90,3286,109.533333,1920,1080,1920,1020,3,3,0,11,0,0,3,3,1035.0,1035,1ca064bad731e5bbf721fb70977db3bdd600f9797b2ac93ec15d23fbb011748a,2147544,MEASURED
1080p30_27,1080p30,J8pMOFvFlsU_s1384,3364,112.133333,1920,1080,1920,1020,5,5,0,17,0,1,4,5,874.0,1035,b74acb0bce226ac7477b4702167a955b39c40bf97b5fedd763d6d0fc522d7481,970083,MEASURED
1080p30_28,1080p30,J8pMOFvFlsU_s3972,3439,114.633333,1920,1080,1920,1020,3,3,0,7,0,1,2,3,656.0359,1035,1fa90cbc82a477173d644ff2073720ca00501aeeeaab37347ebc163091fcaa0e,1209015,MEASURED
1080p30_29,1080p30,J8pMOFvFlsU_s90,3783,126.1,1920,1080,1920,1020,2,2,0,14,1,0,1,2,732.0,1035,7ca30149da85ab90aaf5bf60627fadcb4f7e76ea6c20b6c1328f7a79f40c5e3f,1174896,MEASURED
720p60_00,720p60,acb-jHcR5UxPGuE_s1393,232,3.866667,1280,720,1280,660,0,0,1,11,0,0,0,0,,675,f579a36bae554f7878356795896a7f94ec64f5fae73f3cdd4a804d3752cf682b,918851,UNKNOWN_SILENT
720p60_01,720p60,acb-jHcR5UxPGuE_s90,537,8.95,1280,720,1280,660,2,2,0,12,0,2,0,2,415.0,675,b4a5ab26c7d721bfe456f2eecd7f4869bbdad6e63ae35a333ad6c8997bd78683,933803,MEASURED
720p60_02,720p60,3gBeJyl7Szg_s2302,751,12.516667,1280,720,1280,660,2,2,0,6,1,0,1,2,632.02844,675,4dda7e04d027b134de3b020a35644bde64cd78410703fd0323eec1726d58741f,816183,MEASURED
720p60_03,720p60,3gBeJyl7Szg_s90,966,16.1,1280,720,1280,660,2,2,0,13,1,0,1,2,540.0,675,cfb705e4b2345a2f85176a3e521e761028803491c829dbba76c275333d9f9d12,1115464,MEASURED
720p60_04,720p60,Kh7Fj4ogPN4_s3606,1173,19.569556,1280,720,1280,660,4,4,0,11,1,2,1,4,599.0,675,fd0f259b45d3d24da1a4b056764f6dabaf3c67f4a5b7b1bc48f45db68bd48a63,842973,MEASURED
720p60_05,720p60,Kh7Fj4ogPN4_s3606,1755,29.279256,1280,720,1280,660,3,3,0,11,1,1,1,3,566.4148,675,5aa7147dad502b03a92890bfea66fa971dfa312efd4bfd9db56a3bca04937fed,1022443,MEASURED
720p60_06,720p60,Kh7Fj4ogPN4_s5950,1968,32.8328,1280,720,1280,660,2,2,0,12,0,0,2,2,538.9506,675,6491c9f9c0acf1ea41dcdf7a36be36f0e6cc710fa8652666f39709dd5f7a6d14,1040796,MEASURED
720p60_07,720p60,Ktu6yFS9iMo_s2532,2183,36.419711,1280,720,1280,660,5,5,0,12,1,0,4,5,661.0,675,c7bdaf64957fcdb94fca0d7be8ccf231a896fc03a61345721aaf3c429b6aa58a,1083482,MEASURED
720p60_08,720p60,Ktu6yFS9iMo_s6195,2397,39.989944,1280,720,1280,660,3,3,0,2,0,0,3,3,666.0,675,2779b640a484c46eee5b6eb0f6af08d2656869e3eec708df3753e2165050fb82,496571,MEASURED
720p60_09,720p60,L7o4UCIIqS4_s2656,2611,43.560178,1280,720,1280,660,3,3,0,2,0,1,2,3,653.42645,675,db7e8acda31ee4f4c8fb56170941b8e0af87c2612de502f53a8cdf458759f7b4,565002,MEASURED
720p60_10,720p60,L7o4UCIIqS4_s5222,2885,48.131411,1280,720,1280,660,2,2,0,2,0,1,1,2,665.0,675,0ec685c717bb9c244fb90ab155db373d83e1104bb6e193c3989d6bb987291100,837634,MEASURED
720p60_11,720p60,oL9Uaie2v2A_s5960,3175,52.969578,1280,720,1280,660,6,6,0,16,0,0,6,6,660.0,675,b0b41809323bfcbc4c2106a49d965a1e68812cc2f7cc5fb0544fc6f31b6166ee,981774,MEASURED
720p60_12,720p60,6rQ2sV4upfc_s1509,3390,56.5565,1280,720,1280,660,5,5,0,8,0,0,5,5,667.0,675,1e160221a909c3e503aaf50ecc28db1a298599f72293d2086d08ec58a8da2ae7,955464,MEASURED
720p60_13,720p60,6rQ2sV4upfc_s90,3603,60.110044,1280,720,1280,660,1,1,0,8,0,1,0,1,668.0246,675,4862b63d2072cf26ffa636361b34803f5ca291da451884aa385a9a7ffd02303c,1143084,MEASURED
720p60_14,720p60,7blRl4zVfrY_s3489,3817,63.680278,1280,720,1280,660,4,4,0,19,1,1,2,4,557.0,675,fcaa71774fa2cf97e92f6c30f3f5e6842d66ba6878c9425f85421740a4ccc542,993457,MEASURED
720p60_15,720p60,7blRl4zVfrY_s90,4032,67.2672,1280,720,1280,660,0,0,1,10,0,0,0,0,,675,f6ee544f2d017af1381b1a282583fb530c08115bc4c896be103607c94e8c6b7a,1066893,UNKNOWN_SILENT
720p60_16,720p60,FyMWTVsJvv8_s4332,4515,75.325244,1280,720,1280,660,9,9,0,11,0,0,9,9,611.0,675,fd35a282b8c4c74e5bb224f5486a0911833bc9482f04ef0090830222224b9f5b,691014,MEASURED
720p60_17,720p60,Ge4uewCFUFQ_s2382,4729,78.895489,1280,720,1280,660,3,3,0,11,0,1,2,3,459.55994,675,1fcf838699b61aac1d133c6461796f8ac6b76033f56ccbae4cd4d60a2984be51,1275998,MEASURED
720p60_18,720p60,Ge4uewCFUFQ_s4674,4944,82.4824,1280,720,1280,660,2,2,0,4,0,0,2,2,643.0,675,99515d812962b572b9fd1a21ff0524c05eb781f72f595e6dfb7299cfbb30335d,878446,MEASURED
720p60_19,720p60,IpR4pT8iN0Y_s2432,5152,85.952533,1280,720,1280,660,0,0,1,9,0,0,0,0,,675,34952b272630b9568f06aebacbfb8201ed6109c3c5b1ba6487271bb994a82b83,1199613,UNKNOWN_SILENT
720p60_20,720p60,KZK9rv9TnGE_s1474,5365,89.506089,1280,720,1280,660,6,6,0,10,4,1,1,6,519.0,675,b33b3aa79d4efed196b3a3738da9e59765ec43bf5dd5f7171b0b5fe2142cc803,1117549,MEASURED
720p60_21,720p60,KZK9rv9TnGE_s4242,5579,93.076322,1280,720,1280,660,2,2,0,8,0,1,1,2,520.0,675,ee992b0035f6e1f8d46e47d9059c44a399c953049a48bb021a741d34e5e513c2,1167513,MEASURED
720p60_22,720p60,KZK9rv9TnGE_s90,5793,96.646544,1280,720,1280,660,2,2,0,4,0,0,2,0,721.97156,675,1591161474a37e7b52d3be6a4cf6b17cfbc165d80e2cbfa6f55cc58dfec5a89c,708589,MEASURED
720p60_23,720p60,dAy3tnlu3EQ_s4326,6008,100.233467,1280,720,1280,660,7,7,0,9,1,2,4,7,465.0,675,8abd8caf48917eed56ba0fa45d40b8a5c312a5fb9b678889bc975c98d111f551,1178873,MEASURED
720p60_24,720p60,qTXrSRHHR2M_s2262,6313,105.321878,1280,720,1280,660,5,5,0,12,2,2,1,5,547.2985,675,03afef1c4cbe8b43aae5735ad8e70af4c248f0d71635d0c6ba01f210105f2692,1113300,MEASURED
720p60_25,720p60,s-0Y7aLxXgM_s1275,6338,105.738967,1280,720,1280,660,2,2,0,13,0,2,0,2,355.80356,675,6466f10c1b0d85a14e2bc4fdf5bbd3fc97db845d82daae3c0c97759ce2790bba,1047733,MEASURED
720p60_26,720p60,s-0Y7aLxXgM_s4830,6547,109.225778,1280,720,1280,660,5,5,0,10,2,2,1,5,471.0,675,78438eecb79962fdc3e071001dc67c57dd0362927a9293f032cbe58e49a00d2a,1112179,MEASURED
720p60_27,720p60,xv0WyG7_99c_s1200,6761,112.796011,1280,720,1280,660,0,0,1,13,0,0,0,0,,675,e1d3bac16feca26e775db2843d28928c050a3de0bf737dc79d38f13a51ff2cd9,1123384,UNKNOWN_SILENT
720p60_28,720p60,xv0WyG7_99c_s4530,6975,116.366244,1280,720,1280,660,4,4,0,11,1,2,1,4,525.0,675,4c170bcf682b993a36ecc7bdec18d9b04d117f2351b9285f7fe3b0ab4234b039,1158561,MEASURED
720p60_29,720p60,xv0WyG7_99c_s4530,7557,126.075944,1280,720,1280,660,4,4,0,7,0,0,4,4,671.0,675,a9562b9fad277674e90a1367cadcbd4fb7494bc6b53313652914d005fb81815e,980524,MEASURED
