game_id,sport,source_resolution,ledger_source_height,table_source_height,height_disagrees,rows_total,rows_valid,rows_bad,n_gt50,share_gt50,n_gt33,share_gt33,n_gt25,share_gt25,n_gt50_posttopcut,share_gt50_posttopcut,n_gt50_padremoved,share_gt50_padremoved,n_matched,n_gt50_matched,share_gt50_matched,n_coasting,n_gt50_coasting,share_gt50_coasting,max_bbox_y2,max_box_h,table_bytes,table_sha256
mem_nop_2025,nba,1280x720,720,720.0,0,2192,2192,0,1647,1647/2192 (~7.5137e-1),2011,2011/2192 (~9.1743e-1),2084,2084/2192 (~9.5073e-1),1740,1740/2192 (~7.9380e-1),1307,1307/2192 (~5.9626e-1),1160,980,980/1160 (~8.4483e-1),1032,667,667/1032 (~6.4632e-1),1754.8585,688.0,862843,d41a4143b518172377c5206791f813ff8f343d4fd08dec4da09bc227be26cd59
mia_bkn_2025,nba,1280x720,720,720.0,0,37,37,0,16,16/37 (~4.3243e-1),28,28/37 (~7.5676e-1),28,28/37 (~7.5676e-1),27,27/37 (~7.2973e-1),11,11/37 (~2.9730e-1),16,9,9/16 (~5.6250e-1),21,7,7/21 (~3.3333e-1),667.0288,679.0,14683,b519936272dacd20916b7efcbf2892793dea178e8b3f9225de62ca5e53c15607
mil_chi_2025,nba,1280x720,720,720.0,0,2642,2642,0,60,60/2642 (~2.2710e-2),302,302/2642 (~1.1431e-1),1446,1446/2642 (~5.4731e-1),62,62/2642 (~2.3467e-2),59,59/2642 (~2.2332e-2),1558,27,27/1558 (~1.7330e-2),1084,33,33/1084 (~3.0443e-2),1720.1338,574.0,1027533,6b7631ae23455610fa56b067d024d947e6b83478352fda7318639ea1a10528c0
ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,1920x1080,1080,1080.0,0,4143,4143,0,888,888/4143 (~2.1434e-1),1764,1764/4143 (~4.2578e-1),3389,3389/4143 (~8.1801e-1),921,921/4143 (~2.2230e-1),828,828/4143 (~1.9986e-1),1115,241,241/1115 (~2.1614e-1),3028,647,647/3028 (~2.1367e-1),3146.206,1044.0,1638857,86aebb3ea059c9f384e5c3bd885581257a4a0700922f1dd2af4623a5f0ffaa30
ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,1920x1080,1080,1080.0,0,4345,4345,0,1049,1049/4345 (~2.4143e-1),1431,1431/4345 (~3.2934e-1),2331,2331/4345 (~5.3648e-1),1145,1145/4345 (~2.6352e-1),975,975/4345 (~2.2440e-1),1546,274,274/1546 (~1.7723e-1),2799,775,775/2799 (~2.7688e-1),3077.16,1046.0,1657788,b5d3acd9eecd13dd786b5dba47093c3497f957dbbd4be49bf09c511653d35478
ncaa_basketball_mRkuGgeECak,ncaa_basketball,1920x1080,1080,1080.0,0,5580,5580,0,1112,1112/5580 (~1.9928e-1),1644,1644/5580 (~2.9462e-1),2790,2790/5580 (~5.0000e-1),1149,1149/5580 (~2.0591e-1),1059,1059/5580 (~1.8978e-1),4251,821,821/4251 (~1.9313e-1),1329,291,291/1329 (~2.1896e-1),1784.2361,1045.0,2200297,ff7dd38010d1ce72a870e7b38ee4a790eecb48d691570bb533348e2df77e16c4
ncaa_basketball_sRtHQbywiTE,ncaa_basketball,1280x720,720,720.0,0,1653,1653,0,0,0/1653 (~0.0000e0),69,69/1653 (~4.1742e-2),390,390/1653 (~2.3593e-1),0,0/1653 (~0.0000e0),0,0/1653 (~0.0000e0),505,0,0/505 (~0.0000e0),1148,0,0/1148 (~0.0000e0),320.4771,298.0,640087,8710101b683bec92ad945a389dee63ae0780bb86557e6420a60bcdc2c1433a75
ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,1280x720,720,720.0,0,3778,3778,0,119,119/3778 (~3.1498e-2),486,486/3778 (~1.2864e-1),2033,2033/3778 (~5.3812e-1),143,143/3778 (~3.7851e-2),95,95/3778 (~2.5146e-2),924,18,18/924 (~1.9481e-2),2854,101,101/2854 (~3.5389e-2),1173.2708,607.0,1469791,ad484b9b2aa8bde96f6290490de7f513577b92cf7594b85c37e0387b4819342e
ncaa_basketball_zqBCKovJCQU,ncaa_basketball,1920x1080,1080,1080.0,0,6623,6623,0,475,475/6623 (~7.1720e-2),769,769/6623 (~1.1611e-1),956,956/6623 (~1.4435e-1),545,545/6623 (~8.2289e-2),453,453/6623 (~6.8398e-2),4687,263,263/4687 (~5.6113e-2),1936,212,212/1936 (~1.0950e-1),3488.5078,1050.0,2507670,3cb03652870964b608e4ef73be07e2556b0335b7b3b6a077475e490594dd93d3
okc_dal_2025,nba,1280x720,720,720.0,0,1695,1695,0,18,18/1695 (~1.0619e-2),210,210/1695 (~1.2389e-1),936,936/1695 (~5.5221e-1),37,37/1695 (~2.1829e-2),1,1/1695 (~5.8997e-4),466,5,5/466 (~1.0730e-2),1229,13,13/1229 (~1.0578e-2),1048.0674,414.0,654915,3a348ac2e294290a36171308253238803e5593d6f0ecdb4dbccce9210605ab97
wnba_01_1080p,wnba,1920x1080,1080,1080.0,0,5588,5588,0,292,292/5588 (~5.2255e-2),491,491/5588 (~8.7867e-2),1796,1796/5588 (~3.2140e-1),316,316/5588 (~5.6550e-2),267,267/5588 (~4.7781e-2),2974,180,180/2974 (~6.0525e-2),2614,112,112/2614 (~4.2846e-2),2424.7617,952.0,2009017,1f2863ea84a8d48cbd9b64ab56852890f563ef64137f9d871532bd0dfaeabad6
wnba_02,wnba,1280x720,720,720.0,0,6287,6287,0,140,140/6287 (~2.2268e-2),3229,3229/6287 (~5.1360e-1),5767,5767/6287 (~9.1729e-1),399,399/6287 (~6.3464e-2),53,53/6287 (~8.4301e-3),4098,105,105/4098 (~2.5622e-2),2189,35,35/2189 (~1.5989e-2),1613.9508,533.0,2398304,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43
wnba_04,wnba,1280x720,720,720.0,0,6189,6189,0,398,398/6189 (~6.4308e-2),3208,3208/6189 (~5.1834e-1),5237,5237/6189 (~8.4618e-1),657,657/6189 (~1.0616e-1),271,271/6189 (~4.3787e-2),4615,262,262/4615 (~5.6771e-2),1574,136,136/1574 (~8.6404e-2),1250.8894,684.0,2342293,593088d261da1e8251f0b5e054ea39327da031cb4604babc611e1b835cc355d5
wnba_05,wnba,1280x720,720,720.0,0,4736,4736,0,1086,1086/4736 (~2.2931e-1),1918,1918/4736 (~4.0498e-1),3787,3787/4736 (~7.9962e-1),1122,1122/4736 (~2.3691e-1),1037,1037/4736 (~2.1896e-1),2555,618,618/2555 (~2.4188e-1),2181,468,468/2181 (~2.1458e-1),2027.1665,689.0,1759850,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413
wnba_06,wnba,1920x1080,1080,1080.0,0,3606,3606,0,311,311/3606 (~8.6245e-2),656,656/3606 (~1.8192e-1),1803,1803/3606 (~5.0000e-1),352,352/3606 (~9.7615e-2),273,273/3606 (~7.5707e-2),1026,67,67/1026 (~6.5302e-2),2580,244,244/2580 (~9.4574e-2),2790.141,1032.0,1327735,fa66b0027ca72ea250d9453affa4f61228680835c6089b01421a2daff3d92feb
