panel_id,game_id,player_id,frame_a,frame_b,gap,gap_bin,step_norm,cand_rank,n_candidates,ax1,ay1,ax2,ay2,bx1,by1,bx2,by2
ncaa_basketball_sRtHQbywiTE_01,ncaa_basketball_sRtHQbywiTE,8,615,1287,672,B3_gt5x,0.3188705129685369,6,112,560.3019,74.11926,648.4629,255.315,338.0,154.0,412.0,265.0
ncaa_basketball_sRtHQbywiTE_02,ncaa_basketball_sRtHQbywiTE,5,621,792,171,B3_gt5x,0.3799525077940826,17,112,498.0,131.0,576.0,248.0,775.0,138.0,846.0,254.0
ncaa_basketball_sRtHQbywiTE_03,ncaa_basketball_sRtHQbywiTE,2,1461,1500,39,B3_gt5x,0.4225058621619339,28,112,719.05365,156.45988,844.8038,317.339,424.0,128.0,547.0,249.0
ncaa_basketball_sRtHQbywiTE_04,ncaa_basketball_sRtHQbywiTE,7,1944,2973,1029,B3_gt5x,0.4724146746871627,40,112,336.35852,-31.953018,430.28644,130.77672,679.0,111.0,743.0,222.0
ncaa_basketball_sRtHQbywiTE_05,ncaa_basketball_sRtHQbywiTE,2,273,339,66,B3_gt5x,0.5467042281867627,51,112,701.0,59.0,787.0,241.0,310.0,103.0,391.0,251.0
ncaa_basketball_sRtHQbywiTE_06,ncaa_basketball_sRtHQbywiTE,2,1236,1257,21,B3_gt5x,0.5845392004035282,62,112,635.6026,154.94531,747.9539,281.7021,234.0,164.0,308.0,273.0
ncaa_basketball_sRtHQbywiTE_07,ncaa_basketball_sRtHQbywiTE,10,1233,3858,2625,B3_gt5x,0.6483975779159847,73,112,682.68164,144.89569,765.36633,250.11191,212.0,50.0,305.0,215.0
ncaa_basketball_sRtHQbywiTE_08,ncaa_basketball_sRtHQbywiTE,5,2010,2013,3,B1_one_stride,0.785687981773581,84,112,916.9832,-9.768799,1146.302,205.27507,409.0,41.0,523.0,213.0
ncaa_basketball_sRtHQbywiTE_09,ncaa_basketball_sRtHQbywiTE,4,2070,2820,750,B3_gt5x,0.9669161861427246,96,112,-31.780796,37.798058,131.78638,247.08163,717.0,113.0,771.0,192.0
ncaa_basketball_sRtHQbywiTE_10,ncaa_basketball_sRtHQbywiTE,4,1230,1506,276,B3_gt5x,1.2877234089400174,107,112,-15.0,122.0,83.0,289.0,919.0,155.0,1002.0,254.0
wnba_05_01,wnba_05,10,2178,2187,9,B2_le5x,0.32367180875455764,32,636,695.0,134.0,815.0,388.0,755.73804,401.87793,867.5737,614.05194
wnba_05_02,wnba_05,8,711,714,3,B1_one_stride,0.36761569628393315,96,636,1073.0,298.0,1217.0,670.0,831.0,397.0,932.0,645.0
wnba_05_03,wnba_05,10,3621,3624,3,B1_one_stride,0.43061878344409343,159,636,-268.4429,15.158615,-160.59225,198.03374,-562.14233,-84.18355,-454.2917,98.691574
wnba_05_04,wnba_05,8,1800,1821,21,B3_gt5x,0.5259512872268016,223,636,816.2904,-218.95386,911.40686,-23.250801,1120.0,30.0,1198.0,214.0
wnba_05_05,wnba_05,5,2778,3069,291,B3_gt5x,0.6303551443628356,287,636,775.0,496.0,883.0,614.0,455.0,67.0,595.0,277.0
wnba_05_06,wnba_05,6,672,681,9,B2_le5x,0.7438615177314446,350,636,-15.0,173.0,68.0,646.0,500.0,402.0,596.0,524.0
wnba_05_07,wnba_05,9,3591,3594,3,B1_one_stride,0.9002143091892817,414,636,-15.0,-7.0,72.0,145.0,373.0,379.0,504.0,647.0
wnba_05_08,wnba_05,3,3168,3180,12,B2_le5x,1.0952577790746145,477,636,85.0,-15.0,209.0,191.0,801.0,281.0,930.0,516.0
wnba_05_09,wnba_05,4,666,669,3,B1_one_stride,1.3159287958240795,541,636,148.0,411.0,260.0,591.0,1053.0,294.0,1243.0,672.0
wnba_05_10,wnba_05,9,678,711,33,B3_gt5x,2.613852078492771,605,636,1838.1266,440.32187,2009.7391,746.135,-12.0,396.0,99.0,670.0
