game_id,sport,source_resolution,frame_w,ledger_source_height,table_source_height,height_disagrees,frame_h_primary,frame_h_secondary,rows_total,rows_valid,rows_bad,n_wholly,share_wholly,share_wholly_frac,n_wholly_secondary,share_wholly_secondary,share_wholly_secondary_frac,n_partial,share_partial,share_partial_frac,n_wholly_padremoved,share_wholly_padremoved,share_wholly_padremoved_frac,n_side_left,n_side_right,n_side_top,n_side_bottom,n_matched,n_coasting,n_wholly_matched,n_wholly_coasting,min_bbox_x2,max_bbox_x1,min_bbox_y2,max_bbox_y1,table_bytes,table_sha256
0022400909_s3498,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005604,005604,000000,000388,6.92363e-02,000388/005604,000379,6.76303e-02,000379/005604,001217,2.17166e-01,001217/005604,000405,7.22698e-02,000405/005604,000198,000133,000054,000077,003637,001967,000000,000388,-2654.001,4258.014,-1047.3175,1461.638,2262749,a2842502a485d289d68ad48fc25e8954960ac2e8cdf51f49a9f91fcd970be585
0022400909_s3689,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,001242,001242,000000,000011,8.85668e-03,000011/001242,000011,8.85668e-03,000011/001242,000343,2.76167e-01,000343/001242,000014,1.12721e-02,000014/001242,000001,000010,000000,000000,000660,000582,000000,000011,-28.582619,1910.6134,35.091908,398.0,482637,e93e6d86624f54bad9e0aacde45bd5b947e6955a582c621853c526b87b00bb3d
0022400909_s3880,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004425,004425,000000,000194,4.38418e-02,000194/004425,000193,4.36158e-02,000193/004425,000639,1.44407e-01,000639/004425,000200,4.51977e-02,000200/004425,000043,000117,000048,000026,001842,002583,000000,000194,-2245.4712,3690.285,-1267.1523,1904.9285,1698061,3f8286f587543606453cb7aacce07df57aef5be8c3729bdc41e8f0e97f630e52
0022400909_s3900,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004255,004255,000000,000291,6.83901e-02,000291/004255,000284,6.67450e-02,000284/004255,000708,1.66392e-01,000708/004255,000299,7.02703e-02,000299/004255,000118,000108,000076,000065,001531,002724,000000,000291,-2358.0815,3706.4731,-614.3576,1969.0048,1673539,9081177b113670d0e96fb06335e1b729f2d5635c18ff207a79cbe7144f865682
0022400909_s4071,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004454,004454,000000,000233,5.23125e-02,000233/004454,000227,5.09654e-02,000227/004454,001308,2.93669e-01,001308/004454,000243,5.45577e-02,000243/004454,000091,000089,000053,000049,001305,003149,000000,000233,-2722.8713,6691.2607,-1140.8436,1974.6252,1736194,355009b8c96abe936c57544c4de41d329b444483886eba7cee8b624c422d9aaa
0022400909_s4262,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005267,005267,000000,000313,5.94266e-02,000313/005267,000298,5.65787e-02,000298/005267,001265,2.40175e-01,001265/005267,000327,6.20847e-02,000327/005267,000082,000163,000056,000085,003240,002027,000000,000313,-2438.2,4387.517,-1157.2825,1294.0588,2033446,641dc413d2f585b9f494a7aced98bd0cdd3cb969eb525ac13310a56cda9716d2
0022400909_s442,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004864,004864,000000,000383,7.87418e-02,000383/004864,000371,7.62747e-02,000371/004864,000965,1.98396e-01,000965/004864,000402,8.26480e-02,000402/004864,000154,000174,000055,000092,003035,001829,000000,000383,-3118.6409,4747.7466,-760.36084,1438.078,1931412,6256290520f48cf09907d4f908f07a8bb7c1e6a14b25549ec3d650bfa01e7e35
0022400909_s4453,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,001700,001700,000000,000013,7.64706e-03,000013/001700,000013,7.64706e-03,000013/001700,000699,4.11176e-01,000699/001700,000013,7.64706e-03,000013/001700,000007,000006,000002,000000,001432,000268,000000,000013,-769.2555,2109.8948,-137.6506,596.0,649758,0a026bf42947bb7a694befec24a9c11fa4cabbadfcd8194bfba5ca9c0b0b3087
0022400909_s4644,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004058,004058,000000,000337,8.30458e-02,000337/004058,000327,8.05816e-02,000327/004058,000807,1.98866e-01,000807/004058,000353,8.69887e-02,000353/004058,000105,000180,000067,000076,002294,001764,000000,000337,-2451.3477,3654.7412,-1214.0493,1400.6606,1600442,9c54262d905fec4988786e60d2031dbc4a5c646c3ae17faf4c675e0e11513fed
0022400909_s4835,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,003289,003289,000000,000162,4.92551e-02,000162/003289,000159,4.83430e-02,000159/003289,001294,3.93433e-01,001294/003289,000170,5.16874e-02,000170/003289,000052,000050,000059,000027,001160,002129,000000,000162,-2869.7668,3565.1047,-894.2498,1651.3718,1290188,90c2c959257fe828f7afd0186d6bd0fa7350c52674d36625ba31da0477a9ada2
0022400909_s5026,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,003540,003540,000000,000249,7.03390e-02,000249/003540,000243,6.86441e-02,000243/003540,001417,4.00282e-01,001417/003540,000256,7.23164e-02,000256/003540,000135,000088,000031,000034,001842,001698,000000,000249,-2503.9736,3231.7573,-1258.4319,2616.1191,1405572,2886c25327f36d43a198daf9007bf0c88ad7897b6dee4a4ae1e540f2b34a6f37
0022400909_s5217,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005945,005945,000000,000133,2.23717e-02,000133/005945,000126,2.11943e-02,000126/005945,001854,3.11859e-01,001854/005945,000140,2.35492e-02,000140/005945,000057,000056,000015,000024,004796,001149,000000,000133,-2431.4634,2726.0156,-164.7679,999.323,2342953,61978c9b44211ea532c3db014cc35c40faa16f3a7c0b937ecd5ae689087afe17
0022400909_s5400,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004016,004016,000000,000212,5.27888e-02,000212/004016,000210,5.22908e-02,000210/004016,001778,4.42729e-01,001778/004016,000216,5.37849e-02,000216/004016,000044,000142,000044,000019,001708,002308,000000,000212,-3489.7046,3929.2925,-1189.8667,1801.2401,1625559,a934369b6b04972826e152859b2edb0eb89ac939833f1cdd6278da9eb7bfd269
0022400909_s5408,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,003425,003425,000000,000103,3.00730e-02,000103/003425,000098,2.86131e-02,000098/003425,001118,3.26423e-01,001118/003425,000107,3.12409e-02,000107/003425,000012,000068,000014,000015,002218,001207,000000,000103,-664.5023,3790.8313,-365.5251,1273.2454,1343808,807bcce00eac61ae42116f8a98b0cf6334aca271947072be81d68b76cbdac3e4
0022400909_s5599,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,002873,002873,000000,000141,4.90776e-02,000141/002873,000133,4.62931e-02,000133/002873,000277,9.64149e-02,000277/002873,000143,4.97738e-02,000143/002873,000044,000075,000018,000025,001065,001808,000000,000141,-2060.394,3363.0923,-297.68823,1667.2434,1143433,a8ac881b905e6f6bc334b70d4ca862df297fa95f039b8736a3a718ffad553fcd
0022400909_s60,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004516,004516,000000,000215,4.76085e-02,000215/004516,000206,4.56156e-02,000206/004516,001504,3.33038e-01,001504/004516,000230,5.09300e-02,000230/004516,000072,000090,000073,000041,001917,002599,000000,000215,-2325.829,4040.2349,-793.6942,1360.9718,1792929,0f6fb66f5d1baae9e3accd16d9f91374d592f41e6be04df329c25b5dab9bb716
0022400909_s633,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004905,004905,000000,000238,4.85219e-02,000238/004905,000229,4.66871e-02,000229/004905,000788,1.60652e-01,000788/004905,000246,5.01529e-02,000246/004905,000084,000109,000059,000048,001506,003399,000000,000238,-2075.7358,3336.9155,-2107.716,2979.98,1977791,60086c9f5c151eb25c6a2af63b98469a3ede0ef775dd921f2aeeb7fe4d131e1d
0022400909_s824,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,001326,001326,000000,000036,2.71493e-02,000036/001326,000036,2.71493e-02,000036/001326,000337,2.54148e-01,000337/001326,000039,2.94118e-02,000039/001326,000010,000026,000002,000001,000669,000657,000000,000036,-1012.93036,3020.544,-80.90611,1048.5112,506567,63f0dbe945f719eedf0488ee5970086df546dd75ec8861ac78b3d9bda8c5ed1b
0022400909_s900,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005603,005603,000000,000364,6.49652e-02,000364/005603,000354,6.31804e-02,000354/005603,002006,3.58022e-01,002006/005603,000379,6.76423e-02,000379/005603,000092,000206,000078,000054,003285,002318,000000,000364,-1752.3788,3365.968,-755.28,2106.7488,2188931,f98b58290a0aca0da09da4862abe7e298b18ed800ca831e24bbc1c9c3f2b0f65
0022401156_s1182,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004880,004880,000000,000090,1.84426e-02,000090/004880,000085,1.74180e-02,000085/004880,000993,2.03484e-01,000993/004880,000101,2.06967e-02,000101/004880,000025,000052,000012,000011,003654,001226,000000,000090,-1364.7604,2606.5537,-303.69977,894.82697,1835357,0e6eb9a3b5096048f89991c02079abb0c4f4d7151bbd3740d41c5767d5665b70
0022401156_s1369,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004781,004781,000000,000256,5.35453e-02,000256/004781,000252,5.27086e-02,000252/004781,001157,2.42000e-01,001157/004781,000271,5.66827e-02,000271/004781,000067,000136,000078,000035,001726,003055,000000,000256,-1756.1318,6422.1025,-876.5712,2371.4915,1862992,2328e0ab6960e94725c35c2e2844a15110635c985987eb9378cce8dad8a48079
0022401156_s1556,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,006048,006048,000000,000295,4.87765e-02,000295/006048,000278,4.59656e-02,000278/006048,001177,1.94610e-01,001177/006048,000308,5.09259e-02,000308/006048,000116,000131,000022,000076,004324,001724,000000,000295,-2042.1267,3270.8396,-1338.2225,1483.3043,2378555,8dc1ed8caa7ef10042d28dc53fde29d4514202599d21d5b93d72f2ff2ee3bc6b
0022401156_s1743,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,000932,000932,000000,000002,2.14592e-03,000002/000932,000001,1.07296e-03,000001/000932,000146,1.56652e-01,000146/000932,000002,2.14592e-03,000002/000932,000000,000000,000000,000002,000380,000552,000000,000002,582.7355,1146.8011,34.19986,920.9358,334439,c11daa40fd78b16af8c86d03ead8a85032326f5dbe72cfecf40e14421139015d
0022401156_s1930,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005791,005791,000000,000417,7.20083e-02,000417/005791,000398,6.87273e-02,000398/005791,000857,1.47988e-01,000857/005791,000429,7.40805e-02,000429/005791,000137,000141,000132,000119,003227,002564,000000,000417,-2230.2646,3223.7236,-1507.4221,1748.3761,2215196,e88b01c41aefa36684cb10ccadcbbffa2d489eeace40eaec3aab621a9ce4ba4b
0022401156_s2117,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004576,004576,000000,000372,8.12937e-02,000372/004576,000361,7.88899e-02,000361/004576,000698,1.52535e-01,000698/004576,000392,8.56643e-02,000392/004576,000125,000169,000090,000096,002403,002173,000000,000372,-5085.8457,5094.514,-1031.8145,2645.0066,1723591,c394855f57a1a1b07ef31c48c1ba825313a56f7b5b0751058ebd6e4d678769ee
0022401156_s2304,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004284,004284,000000,000328,7.65640e-02,000328/004284,000320,7.46965e-02,000320/004284,001043,2.43464e-01,001043/004284,000345,8.05322e-02,000345/004284,000126,000154,000074,000069,002439,001845,000000,000328,-2716.0989,4812.9556,-1341.4935,2282.172,1639233,bd14e68e9e4befd0d4411e7a7fc5bc3a3addceadfcb37a8a65896b252d67d260
0022401156_s247,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004893,004893,000000,000364,7.43920e-02,000364/004893,000360,7.35745e-02,000360/004893,000912,1.86389e-01,000912/004893,000379,7.74576e-02,000379/004893,000112,000153,000112,000068,001809,003084,000000,000364,-3598.1116,4726.4507,-2154.8684,2868.2546,1866540,d4f0503e0f2bcd975477337b4c47697808c0780f0ef83a39305afd78381a304e
0022401156_s2491,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,002365,002365,000000,000043,1.81818e-02,000043/002365,000041,1.73362e-02,000041/002365,001491,6.30444e-01,001491/002365,000048,2.02960e-02,000048/002365,000009,000024,000006,000016,000789,001576,000000,000043,-631.955,2839.05,-224.4202,1397.8296,877145,908dc2ec2aeac11049334a5ac0cbaaf5a49efe109b20f19f94c1d8950fce2a5d
0022401156_s2678,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,006739,006739,000000,000196,2.90844e-02,000196/006739,000186,2.76005e-02,000186/006739,001412,2.09527e-01,001412/006739,000207,3.07167e-02,000207/006739,000067,000071,000039,000050,004752,001987,000000,000196,-1333.0438,2266.6877,-432.33975,1265.0948,2615722,53261be695a89d92b20e00f71ecd7a93f19da82fbfcb444090c615660b730c74
0022401156_s2865,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,006027,006027,000000,000211,3.50091e-02,000211/006027,000204,3.38477e-02,000204/006027,001452,2.40916e-01,001452/006027,000219,3.63365e-02,000219/006027,000058,000125,000027,000042,004362,001665,000000,000211,-1203.63,2918.7485,-410.20453,1717.6947,2315789,dca9d099af9684a4165946e5432c8a7b14e63d83298b0b7b8c26d95cf8606f39
0022401156_s3052,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004040,004040,000000,000267,6.60891e-02,000267/004040,000258,6.38614e-02,000258/004040,000763,1.88861e-01,000763/004040,000275,6.80693e-02,000275/004040,000093,000112,000049,000063,002503,001537,000000,000267,-2632.2686,3937.108,-642.90753,1572.7533,1559130,963aa3fde8a10359f03815e2acc5561fc288cc2b8e4f8ea659f12a950ef97f55
0022401156_s3239,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,004882,004882,000000,000301,6.16551e-02,000301/004882,000289,5.91971e-02,000289/004882,001190,2.43753e-01,001190/004882,000316,6.47276e-02,000316/004882,000101,000130,000100,000050,001896,002986,000000,000301,-2330.102,5363.619,-872.46405,1714.7936,1801950,72c6376e5bf26c0471e9bf7b50e09f4ce6872ac16f8961aa4141f93bce755535
0022401156_s3426,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005656,005656,000000,000175,3.09406e-02,000175/005656,000165,2.91726e-02,000165/005656,001503,2.65736e-01,001503/005656,000188,3.32390e-02,000188/005656,000036,000102,000015,000049,004078,001578,000000,000175,-1237.6826,3386.3801,-278.36392,1450.3362,2172526,f86ea8e7142ccb144657ea110701db01fc94a285f454fb765c06246ec0b40180
0022401156_s434,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005235,005235,000000,000178,3.40019e-02,000178/005235,000169,3.22827e-02,000169/005235,001033,1.97326e-01,001033/005235,000187,3.57211e-02,000187/005235,000054,000072,000056,000033,003850,001385,000000,000178,-1136.8785,4228.5835,-670.39935,1322.6399,1953429,9cc2712b5544afd67c7deadf1ff4f457506d11e594b52ef6b5885ebb1332f1c7
0022401156_s60,nba,1280x720,1280.0,720,720.0,0,660.0,720.0,005297,005297,000000,000474,8.95e-02,000474/005297,000463,8.74080e-02,000463/005297,000642,1.21201e-01,000642/005297,000490,9.25052e-02,000490/005297,000145,000189,000196,000097,001844,003453,000000,000474,-3933.0935,4671.611,-2429.0762,1882.8556,2064469,c4b0e7513b630c6917f461c13ecfc93c50559ab77c566d20bcd282da14c3e0d4
0022500575,nba,640x360,640.0,360,360.0,0,300.0,360.0,002459,002459,000000,000085,3.45669e-02,000085/002459,000085,3.45669e-02,000085/002459,000725,2.94835e-01,000725/002459,000100,4.06669e-02,000100/002459,000053,000032,000003,000000,001316,001143,000000,000085,-2099.2766,1856.4044,-104.592606,273.3534,972165,5207ee8e0228f231cb46a7519a8c8b0b4b8ad81f9e303957d6134d52a0714c0e
0022500575_s1500,nba,640x360,640.0,360,360.0,0,300.0,360.0,006066,006066,000000,000419,6.90735e-02,000419/006066,000401,6.61062e-02,000401/006066,001259,2.07550e-01,001259/006066,000464,7.64919e-02,000464/006066,000093,000185,000153,000059,003577,002489,000000,000419,-621.1722,1616.3546,-571.55646,560.11426,2375233,9da26a0da0ce5809f49d8f403888af844006b76d6fd338b44312002e08a244d7
0022500575_s2100,nba,640x360,640.0,360,360.0,0,300.0,360.0,001853,001853,000000,000116,6.26012e-02,000116/001853,000113,6.09822e-02,000113/001853,000435,2.34754e-01,000435/001853,000124,6.69185e-02,000124/001853,000052,000054,000015,000020,000916,000937,000000,000116,-1505.8708,1687.3411,-751.174,808.9023,736934,436fc2df69eb5f0a6e536030135f9b424985128cc587d58630848c7df9e703c6
0022500575_s2700,nba,640x360,640.0,360,360.0,0,300.0,360.0,005746,005746,000000,000235,4.08980e-02,000235/005746,000234,4.07240e-02,000234/005746,001770,3.08040e-01,001770/005746,000257,4.47268e-02,000257/005746,000055,000178,000012,000003,003489,002257,000000,000235,-767.3834,2324.8972,-135.84555,345.05865,2321081,d22da18c4e7f2eaa58d9967c98a86bbdd237c4ce7a57df5fd33341982a30b520
0022500575_s300,nba,640x360,640.0,360,360.0,0,300.0,360.0,002208,002208,000000,000118,5.34420e-02,000118/002208,000118,5.34420e-02,000118/002208,001121,5.07699e-01,001121/002208,000132,5.97826e-02,000132/002208,000047,000071,000003,000000,001236,000972,000000,000118,-791.2838,1423.4774,-165.91312,219.27657,879780,720a1ddd11d4c99300ec33cb93c2f50cf3a7449418693b14a592787f878f2a19
0022500575_s3300,nba,640x360,640.0,360,360.0,0,300.0,360.0,004403,004403,000000,000122,2.77084e-02,000122/004403,000122,2.77084e-02,000122/004403,001069,2.42789e-01,001069/004403,000137,3.11151e-02,000137/004403,000086,000032,000012,000006,003358,001045,000000,000122,-1617.0629,1134.7734,-529.28625,435.67825,1763052,bae38779915ff2866c01af46fac5d25db86fe8b52d5eded8112d94d52ad6b252
0022500575_s3900,nba,640x360,640.0,360,360.0,0,300.0,360.0,005116,005116,000000,000487,9.51916e-02,000487/005116,000470,9.18686e-02,000470/005116,000979,1.91360e-01,000979/005116,000520,1.01642e-01,000520/005116,000159,000257,000111,000080,002211,002905,000000,000487,-1397.8031,1846.843,-441.18353,730.4728,2022181,1492e44ccb113781bab51abb5c1d7a964386bf0e99411b48694b734531885542
0022500575_s5400,nba,640x360,640.0,360,360.0,0,300.0,360.0,003211,003211,000000,000101,3.14544e-02,000101/003211,000101,3.14544e-02,000101/003211,000878,2.73435e-01,000878/003211,000118,3.67487e-02,000118/003211,000048,000053,000008,000006,001650,001561,000000,000101,-617.59937,1533.1056,-62.66514,451.21997,1246816,0ce9525f0ddc8612a833baec9e3862aeaffb1e7265efee6d3049d6ed1d997104
0022500575_s6000,nba,640x360,640.0,360,360.0,0,300.0,360.0,003161,003161,000000,000129,4.08099e-02,000129/003161,000121,3.82790e-02,000121/003161,001843,5.83043e-01,001843/003161,000146,4.61879e-02,000146/003161,000063,000022,000043,000023,001611,001550,000000,000129,-1162.4519,1389.0204,-1065.5261,608.1519,1242815,4e54d09b0f683016cf714c8baaa8fb27ed0f41c34011746dd35b270f8c20c8ba
0022500575_s6600,nba,640x360,640.0,360,360.0,0,300.0,360.0,003573,003573,000000,000170,4.75791e-02,000170/003573,000160,4.47803e-02,000160/003573,000656,1.83599e-01,000656/003573,000192,5.37364e-02,000192/003573,000083,000030,000076,000045,001541,002032,000000,000170,-970.20715,1172.8988,-687.1167,1058.6329,1430484,7aca82bc9be7e9ea43763a91878ed1ca36daa9a10224db7d4ecf313b711eb13e
0022500575_s7200,nba,640x360,640.0,360,360.0,0,300.0,360.0,002620,002620,000000,000012,4.58015e-03,000012/002620,000006,2.29008e-03,000006/002620,000930,3.54962e-01,000930/002620,000015,5.72519e-03,000015/002620,000000,000000,000002,000010,001150,001470,000000,000012,79.29555,515.20374,-20.320984,581.40356,996052,82fb57537879ee64bf3e1cf70b7c16fb61fc06039109245c275d711ce5232678
0022500575_s8100,nba,640x360,640.0,360,360.0,0,300.0,360.0,003461,003461,000000,000258,7.45449e-02,000258/003461,000254,7.33892e-02,000254/003461,001390,4.01618e-01,001390/003461,000266,7.68564e-02,000266/003461,000076,000154,000046,000026,001615,001846,000000,000258,-712.5621,1703.6115,-196.29723,686.95184,1387888,cabeb4034d315a0503151c6b79c889a2e6a48ebcf37daa542e87626e94135358
0022500575_s8700,nba,640x360,640.0,360,360.0,0,300.0,360.0,003113,003113,000000,000079,2.53774e-02,000079/003113,000079,2.53774e-02,000079/003113,000396,1.27208e-01,000396/003113,000092,2.95535e-02,000092/003113,000039,000040,000005,000006,001015,002098,000000,000079,-523.20026,1672.9672,-115.63354,389.6265,1222539,9d9698509508025a23218f4b23a12250a02cd54a98547c9c79610c98bcf32cea
0022500575_s900,nba,640x360,640.0,360,360.0,0,300.0,360.0,003303,003303,000000,000134,4.05692e-02,000134/003303,000126,3.81471e-02,000126/003303,001163,3.52104e-01,001163/003303,000143,4.32940e-02,000143/003303,000052,000035,000045,000021,001536,001767,000000,000134,-830.1969,1650.5568,-795.5612,1086.1439,1319456,28a0ccb31820a59c180c66e6c18fe1e45284f7b25e2f1e6052dec9c764f41011
0022500592_s1500,nba,640x360,640.0,360,360.0,0,300.0,360.0,003151,003151,000000,000191,6.06157e-02,000191/003151,000185,5.87115e-02,000185/003151,001122,3.56077e-01,001122/003151,000208,6.60108e-02,000208/003151,000086,000075,000065,000033,001470,001681,000000,000191,-1514.062,1696.857,-454.94754,659.4314,1217557,6fe26b97b8464b61ca0d4d764d94617fab31ec611b31e4c2a8a8762a95ceb258
0022500592_s2100,nba,640x360,640.0,360,360.0,0,300.0,360.0,005267,005267,000000,000477,9.05639e-02,000477/005267,000460,8.73362e-02,000460/005267,001355,2.57262e-01,001355/005267,000518,9.83482e-02,000518/005267,000180,000177,000162,000090,003174,002093,000000,000477,-1215.2864,1620.0801,-487.0587,746.3741,2049752,80e23606401a26b06d45ff768f6f038889668ca9b8675ad65337eaa87d008c8e
0022500592_s3300,nba,640x360,640.0,360,360.0,0,300.0,360.0,006394,006394,000000,000634,9.91555e-02,000634/006394,000612,9.57147e-02,000612/006394,001076,1.68283e-01,001076/006394,000691,1.08070e-01,000691/006394,000266,000204,000222,000090,003998,002396,000000,000634,-1235.1362,2088.1,-806.9201,782.486,2576067,f2938c6701d47c71409efa4bc20001dabc50145b1af6f45c578ff726e8373aa3
