panel_id,cell,tercile,region,game_id,source_resolution,frame,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,box_h,source_height,post_topcut_h,ratio,centre_y,key
P40,T2-LOWER,T2,LOWER,wnba_06,1920x1080,327,3,1278.0,408.0,1398.0,659.0,251.0,1080.0,1020.0,0.246078431372549,533.5,00e852e5453b5c5782b9058e2888e7c1383b4ef061121177e30cab8b603c42e3
P41,T3-UPPER,T3,UPPER,wnba_06,1920x1080,2079,8,1680.0,335.0,1800.0,681.0,346.0,1080.0,1020.0,0.3392156862745098,508.0,01a8819b558efa3616839a6354e33acf102581cecec7817e8265864e6c092e7c
P42,T3-UPPER,T3,UPPER,wnba_04,1280x720,1200,10,454.0,25.0,616.0,336.0,311.0,720.0,660.0,0.4712121212121212,180.5,0003b591efae8dce4499f096696962ff97cc3e333c40271149dc634eebe74f66
P43,T3-UPPER,T3,UPPER,0022500575_s7200,640x360,36,1,206.0,-15.0,320.0,233.0,248.0,360.0,300.0,0.8266666666666667,109.0,0036abcd5e506c9beecd698bd78fa361b9a200b2826edf59fa05e674ad94964b
P44,T3-UPPER,T3,UPPER,wnba_06,1920x1080,1614,1,1028.0,90.0,1211.0,413.0,323.0,1080.0,1020.0,0.31666666666666665,251.5,01f23ed4c6cb4574f1222ca450dc3e74b8bf3db4e0e15b8ed985ce07338d7b7f
P45,T3-UPPER,T3,UPPER,wnba_04,1280x720,2613,8,412.0,52.0,591.0,342.0,290.0,720.0,660.0,0.4393939393939394,197.0,00053ba6b28a02e9f2347951e5e1b47e057a201ab62da600b6fc0c5b4fd9e80d
P46,T3-UPPER,T3,UPPER,0022500575_s7200,640x360,2169,6,144.17627,-16.489487,370.58826,149.22467,165.714157,360.0,300.0,0.5523805233333333,66.3675915,00458cf6d63b99fe453bc4c348be110d7a499ddfe6102cfaf9829b0745129805
P47,T3-UPPER,T3,UPPER,wnba_06,1920x1080,528,10,668.48096,250.33653,812.02637,599.1244,348.78787,1080.0,1020.0,0.34194889215686275,424.73046500000004,02094bcaf127e9acb94f2a2053ab41f9e12703054dd487b2f11631fcf17a43ff
P48,T3-UPPER,T3,UPPER,wnba_04,1280x720,1059,10,1267.0658,-85.95511,1389.8082,213.67627,299.63138,720.0,660.0,0.45398693939393936,63.86057999999999,002ca3c475d40ef4e73d83399e313bd3f911bddc8761214d07f20f766d0d3250
P49,T3-UPPER,T3,UPPER,0022500575_s7200,640x360,1593,7,206.0,-1.0,367.0,247.0,248.0,360.0,300.0,0.8266666666666667,123.0,00a154b5317d591658c38f482262bab132fe69ce90083ddd76f946a5bf130f36
P50,T3-UPPER,T3,UPPER,wnba_06,1920x1080,2139,9,1161.0,276.0,1368.0,627.0,351.0,1080.0,1020.0,0.34411764705882353,451.5,029210acb86f7a0a7ead9a6364664cf5667f2bd361e75c45d31384f83f475b28
P51,T3-LOWER,T3,LOWER,wnba_06,1920x1080,2235,7,1593.0,547.0,1764.0,942.0,395.0,1080.0,1020.0,0.3872549019607843,744.5,00014b0c1abf30c8a63997b868b03924092800bc9587239905074b3db4c315e4
P52,T3-LOWER,T3,LOWER,wnba_04,1280x720,1407,3,835.0,234.0,1020.0,512.0,278.0,720.0,660.0,0.4212121212121212,373.0,001f73c8f6524e8cb0e0388e550e41f103920ff76f247ffd136377704b953908
P53,T3-LOWER,T3,LOWER,0022500575_s7200,640x360,2097,5,127.31825,137.66623,234.24617,346.43198,208.76575,360.0,300.0,0.6958858333333333,242.049105,00441f6915d2da08fd7265366057503e27e03c0b4f1879cea4068c787a5636fa
P54,T3-LOWER,T3,LOWER,wnba_06,1920x1080,957,1,685.0,84.0,1404.0,1023.0,939.0,1080.0,1020.0,0.9205882352941176,553.5,0034dfaf075f47105e5aa1843f2a902cbb817b93f9efd64f7dd93a5989f4bd54
P55,T3-LOWER,T3,LOWER,wnba_04,1280x720,1674,4,886.0,230.0,1065.0,584.0,354.0,720.0,660.0,0.5363636363636364,407.0,0032d865f26a31ed082b535119d9d7c6560990ab7106ba9bd234248a77611336
P56,T3-LOWER,T3,LOWER,0022500575_s7200,640x360,135,5,231.88374,40.48439,325.9851,269.0869,228.60251000000002,360.0,300.0,0.7620083666666667,154.78564500000002,04a9edfa64ca47b5d68f86002b6f8d29909e7f72698c8757c53eeebf93ee33d1
P57,T3-LOWER,T3,LOWER,wnba_06,1920x1080,603,7,1455.0,375.0,1665.0,712.0,337.0,1080.0,1020.0,0.3303921568627451,543.5,0126d5f86beb75160f04ab45b81d081e10b1e75855de432aa5ab47c13c97ab03
P58,T3-LOWER,T3,LOWER,wnba_04,1280x720,1257,5,456.0,316.0,621.0,613.0,297.0,720.0,660.0,0.45,464.5,00598ab3bb2036f2d36d257c5c75f02c02c822746353e650f81cd051d74b9926
P59,T3-LOWER,T3,LOWER,0022500575_s7200,640x360,225,1,234.53958,106.28459,331.01285,325.42102,219.13643000000002,360.0,300.0,0.7304547666666668,215.852805,04cc2cba3e8f1c08f95a9d4b51f5dd9a368abd92a2359663709712987d13dbc6
P60,T3-LOWER,T3,LOWER,wnba_06,1920x1080,123,1,1140.0,528.0,1289.0,840.0,312.0,1080.0,1020.0,0.3058823529411765,684.0,015e28b6c301bfb208814ac66dfeb0434392fcc01f77b7431334019ceb96ebed
