panel_id,game_id,cell,cat_a,cat_b,gate_verdict,matched_range,matched_pixels,n_green,n_white,n_referee,crop_w,crop_h
P50,wnba_06,T3-UPPER,player_on_court,player_on_court,PASS,green,11701,11701,6705,479,177,321
P51,wnba_06,T3-LOWER,referee_or_staff,referee_or_staff,PASS,green,10491,10491,1180,3975,141,365
P52,wnba_04,T3-LOWER,player_on_court,two_or_more_players,PASS,green,20751,20751,110,1826,155,248
P53,0022500575_s7200,T3-LOWER,referee_or_staff,referee_or_staff,PASS,green,46,46,0,35,77,148
P54,wnba_06,T3-LOWER,player_on_court,player_on_court,PASS,green,163084,163084,138172,7748,689,909
P55,wnba_04,T3-LOWER,player_on_court,two_or_more_players,PASS,green,32968,32968,0,0,149,324
P56,0022500575_s7200,T3-LOWER,player_bench_or_courtside,two_or_more_players,PASS,green,3998,3998,333,291,64,199
P57,wnba_06,T3-LOWER,player_on_court,player_on_court,PASS,green,11795,11795,7482,112,180,307
P58,wnba_04,T3-LOWER,player_on_court,player_on_court,PASS,green,20594,20594,0,944,135,267
P59,0022500575_s7200,T3-LOWER,unreadable,referee_or_staff,PASS,green,1437,1437,503,39,67,179
P60,wnba_06,T3-LOWER,referee_or_staff,referee_or_staff,PASS,green,12573,12573,1247,1264,119,282
