[youtube] Extracting URL: https://www.youtube.com/watch?v=lWJ8W_jjZ5s
[youtube] lWJ8W_jjZ5s: Downloading webpage
[youtube] lWJ8W_jjZ5s: Downloading visionos player API JSON
[youtube] lWJ8W_jjZ5s: Downloading m3u8 information
[info] Available formats for lWJ8W_jjZ5s:
ID    EXT   RESOLUTION FPS CH |   FILESIZE   TBR PROTO | VCODEC          VBR ACODEC      ABR ASR MORE INFO
250-1 webm  audio only      2 |    5.14MiB   72k https | audio only          opus        72k 48k [ja] Japanese, low, webm_dash
250-2 webm  audio only      2 |    5.14MiB   72k https | audio only          opus        72k 48k [hi] Hindi, low, webm_dash
250-3 webm  audio only      2 |    5.15MiB   72k https | audio only          opus        72k 48k [id] Indonesian, low, webm_dash
250-4 webm  audio only      2 |    5.16MiB   72k https | audio only          opus        72k 48k [de-DE] German (DE), low, webm_dash
250-5 webm  audio only      2 |    5.17MiB   72k https | audio only          opus        72k 48k [es-US] Spanish (US), low, webm_dash
250-6 webm  audio only      2 |    5.19MiB   73k https | audio only          opus        73k 48k [it] Italian, low, webm_dash
250-7 webm  audio only      2 |    5.21MiB   73k https | audio only          opus        73k 48k [fr-FR] French (FR), low, webm_dash
250-8 webm  audio only      2 |    5.23MiB   73k https | audio only          opus        73k 48k [pl] Polish, low, webm_dash
140-0 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [de-DE] German (DE), medium, m4a_dash
140-1 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [es-US] Spanish (US), medium, m4a_dash
140-2 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [fr-FR] French (FR), medium, m4a_dash
140-3 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [hi] Hindi, medium, m4a_dash
140-4 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [id] Indonesian, medium, m4a_dash
140-5 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [it] Italian, medium, m4a_dash
140-6 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [ja] Japanese, medium, m4a_dash
140-7 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [pl] Polish, medium, m4a_dash
140-8 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [pt-BR] Portuguese (BR), medium, m4a_dash
140-9 m4a   audio only      2 |    9.24MiB  129k https | audio only          mp4a.40.2  129k 44k [en-US] English (US) original (default), medium, m4a_dash
251-0 webm  audio only      2 |    9.75MiB  137k https | audio only          opus       137k 48k [pt-BR] Portuguese (BR), medium, webm_dash
251-1 webm  audio only      2 |    9.77MiB  137k https | audio only          opus       137k 48k [hi] Hindi, medium, webm_dash
251-2 webm  audio only      2 |    9.81MiB  137k https | audio only          opus       137k 48k [ja] Japanese, medium, webm_dash
251-3 webm  audio only      2 |    9.85MiB  138k https | audio only          opus       138k 48k [es-US] Spanish (US), medium, webm_dash
251-4 webm  audio only      2 |    9.89MiB  139k https | audio only          opus       139k 48k [de-DE] German (DE), medium, webm_dash
251-5 webm  audio only      2 |    9.90MiB  139k https | audio only          opus       139k 48k [id] Indonesian, medium, webm_dash
251-6 webm  audio only      2 |    9.93MiB  139k https | audio only          opus       139k 48k [it] Italian, medium, webm_dash
251-7 webm  audio only      2 |    9.95MiB  139k https | audio only          opus       139k 48k [fr-FR] French (FR), medium, webm_dash
251-8 webm  audio only      2 |    9.96MiB  140k https | audio only          opus       140k 48k [pl] Polish, medium, webm_dash
251-9 webm  audio only      2 |    8.86MiB  124k https | audio only          opus       124k 48k [en-US] English (US) original (default), medium, webm_dash
269   mp4   256x144     30    | ~ 12.52MiB  175k m3u8  | avc1.4D400C    175k video only
160   mp4   256x144     30    |    7.89MiB  111k https | avc1.4d400c    111k video only          144p, mp4_dash
230   mp4   640x360     30    | ~ 57.33MiB  803k m3u8  | avc1.4D401E    803k video only
134   mp4   640x360     30    |   40.94MiB  574k https | avc1.4d401e    574k video only          360p, mp4_dash
605   mp4   640x360     30    | ~ 45.59MiB  638k m3u8  | vp09.00.21.08  638k video only
243   webm  640x360     30    |   28.61MiB  401k https | vp9            401k video only          360p, webm_dash
311   mp4   1280x720    60    | ~270.68MiB 3791k m3u8  | avc1.4D4020   3791k video only
298   mp4   1280x720    60    |  245.29MiB 3437k https | avc1.4d4020   3437k video only          720p60, mp4_dash
312   mp4   1920x1080   60    | ~444.41MiB 6224k m3u8  | avc1.64002A   6224k video only
299   mp4   1920x1080   60    |  409.82MiB 5743k https | avc1.64002a   5743k video only          1080p60, mp4_dash
