[youtube] Extracting URL: https://www.youtube.com/watch?v=vWF_p2syAoY
[youtube] vWF_p2syAoY: Downloading webpage
[youtube] vWF_p2syAoY: Downloading visionos player API JSON
[youtube] vWF_p2syAoY: Downloading m3u8 information
[info] Available formats for vWF_p2syAoY:
ID     EXT   RESOLUTION FPS CH |   FILESIZE   TBR PROTO | VCODEC          VBR ACODEC      ABR ASR MORE INFO
140-3  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [es-US] Spanish (US), medium, m4a_dash
140-4  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [fr-FR] French (FR), medium, m4a_dash
140-5  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [hi] Hindi, medium, m4a_dash
140-6  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [id] Indonesian, medium, m4a_dash
140-7  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [it] Italian, medium, m4a_dash
140-8  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [iw] Hebrew, medium, m4a_dash
140-9  m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [ja] Japanese, medium, m4a_dash
140-10 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [ml] Malayalam, medium, m4a_dash
140-11 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [nl-NL] Dutch (NL), medium, m4a_dash
140-12 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [pt-BR] Portuguese (BR), medium, m4a_dash
140-13 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [ru] Russian, medium, m4a_dash
140-14 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [uk] Ukrainian, medium, m4a_dash
140-15 m4a   audio only      2 |   96.97MiB  129k https | audio only          mp4a.40.2  129k 44k [en-US] English (US) original (default), medium, m4a_dash
251-0  webm  audio only      2 |   75.54MiB  101k https | audio only          opus       101k 48k [iw] Hebrew, medium, webm_dash
251-1  webm  audio only      2 |   76.18MiB  102k https | audio only          opus       102k 48k [bn] Bangla, medium, webm_dash
251-2  webm  audio only      2 |   76.54MiB  102k https | audio only          opus       102k 48k [nl-NL] Dutch (NL), medium, webm_dash
251-3  webm  audio only      2 |   76.55MiB  102k https | audio only          opus       102k 48k [ml] Malayalam, medium, webm_dash
251-4  webm  audio only      2 |   76.60MiB  102k https | audio only          opus       102k 48k [pt-BR] Portuguese (BR), medium, webm_dash
251-5  webm  audio only      2 |   76.75MiB  102k https | audio only          opus       102k 48k [fr-FR] French (FR), medium, webm_dash
251-6  webm  audio only      2 |   76.92MiB  103k https | audio only          opus       103k 48k [ar] Arabic, medium, webm_dash
251-7  webm  audio only      2 |   76.93MiB  103k https | audio only          opus       103k 48k [ru] Russian, medium, webm_dash
251-8  webm  audio only      2 |   77.11MiB  103k https | audio only          opus       103k 48k [uk] Ukrainian, medium, webm_dash
251-9  webm  audio only      2 |   77.14MiB  103k https | audio only          opus       103k 48k [de-DE] German (DE), medium, webm_dash
251-10 webm  audio only      2 |   77.19MiB  103k https | audio only          opus       103k 48k [ja] Japanese, medium, webm_dash
251-11 webm  audio only      2 |   77.79MiB  104k https | audio only          opus       104k 48k [es-US] Spanish (US), medium, webm_dash
251-12 webm  audio only      2 |   78.08MiB  104k https | audio only          opus       104k 48k [it] Italian, medium, webm_dash
251-13 webm  audio only      2 |   79.12MiB  106k https | audio only          opus       106k 48k [hi] Hindi, medium, webm_dash
251-14 webm  audio only      2 |   79.43MiB  106k https | audio only          opus       106k 48k [id] Indonesian, medium, webm_dash
251-15 webm  audio only      2 |   85.76MiB  115k https | audio only          opus       115k 48k [en-US] English (US) original (default), medium, webm_dash
269    mp4   256x144     25    | ~151.49MiB  202k m3u8  | avc1.4D400C    202k video only
160    mp4   256x144     25    |   84.37MiB  113k https | avc1.4d400c    113k video only          144p, mp4_dash
230    mp4   640x360     25    | ~621.38MiB  830k m3u8  | avc1.4D401E    830k video only
134    mp4   640x360     25    |  413.17MiB  552k https | avc1.4d401e    552k video only          360p, mp4_dash
605    mp4   640x360     25    | ~513.78MiB  686k m3u8  | vp09.00.21.08  686k video only
243    webm  640x360     25    |  306.32MiB  409k https | vp9            409k video only          360p, webm_dash
232    mp4   1280x720    25    | ~  2.05GiB 2807k m3u8  | avc1.4D401F   2807k video only
136    mp4   1280x720    25    |    1.56GiB 2130k https | avc1.4d401f   2130k video only          720p, mp4_dash
270    mp4   1920x1080   25    | ~  4.20GiB 5739k m3u8  | avc1.640028   5739k video only
137    mp4   1920x1080   25    |    3.18GiB 4342k https | avc1.640028   4342k video only          1080p, mp4_dash
