game_id,sport,status,rows,decoded_frames,job_wall_seconds,reap_latency_seconds,implied_adjudication_wall_seconds,finished_at,evaluated_at
0022400909_s2400,nba,thin,000000,unavailable,001502,unavailable,unavailable,1788829312,unavailable
0022500621_s6000,nba,thin,000000,unavailable,000214,unavailable,unavailable,1788829336,unavailable
0022500592_s3300,nba,tracked,006394,003898,003138,000010,000010,1788829506,1788829496
0022500592_s6600,nba,tracked,005044,003898,003342,000013,000007,1788829711,1788829698
0022500621_s1500,nba,tracked,001414,003897,002186,000017,000003,1788831037,1788831020
0022500575,nba,tracked,002459,288822,002477,000008,000012,1788831228,1788831220
0022500621_s4500,nba,tracked,001760,003897,002243,000014,000006,1788831307,1788831293
0022500621_s2700,nba,tracked,004664,003897,002557,000016,000004,1788831513,1788831497
0022500621_s300,nba,tracked,003529,003897,002502,000012,000008,1788831513,1788831501
0022400909_s900,nba,tracked,005603,003897,003149,000011,000009,1788831622,1788831611
0022500621_s6600,nba,tracked,004764,003897,002503,000009,000011,1788831626,1788831617
0022500621_s3300,nba,tracked,004616,003897,002664,000002,000018,1788831676,1788831674
0022500621_s5400,nba,tracked,004361,003897,002614,000010,000010,1788831679,1788831669
0022500621_s3900,nba,tracked,005823,003897,002664,000013,000007,1788831728,1788831715
0022400909_s3900,nba,tracked,004255,003897,003721,000002,000018,1788831922,1788831920
0022400909_s5400,nba,tracked,004016,003897,003546,000008,000012,1788831991,1788831983
0022400909_s442,nba,tracked,004864,003923,002914,000021,000000,1788832231,1788832210
0022400909_s1015,nba,tracked,006030,003995,002974,000021,000000,1788832436,1788832415
0022400909_s251,nba,tracked,004394,004052,003492,000021,000000,1788832784,1788832763
0022400909_s2543,nba,thin,000000,unavailable,001261,unavailable,unavailable,1788832836,unavailable
0022400909_s1397,nba,tracked,001956,003906,002749,000021,000000,1788833740,1788833719
0022400909_s2734,nba,tracked,004334,003902,002258,000021,000000,1788833890,1788833869
0022400909_s1779,nba,tracked,004928,003935,002848,000020,000000,1788834111,1788834091
0022400909_s1588,nba,tracked,005826,003944,003100,000020,000000,1788834309,1788834289
0022400909_s2352,nba,tracked,005226,003911,002891,000019,000001,1788834384,1788834365
0022400909_s824,nba,tracked,001326,003918,002505,000019,000001,1788834384,1788834365
0022400909_s3116,nba,tracked,005538,003912,002435,000021,000000,1788834646,1788834625
0022400909_s633,nba,tracked,004905,004027,002866,000024,000000,1788834673,1788834649
0022400909_s2161,nba,tracked,005877,004064,003230,000018,000002,1788834697,1788834679
0022400909_s2925,nba,tracked,004251,003992,003256,000021,000000,1788834890,1788834869
0022400909_s1970,nba,tracked,004371,004031,003594,000023,000000,1788835061,1788835038
0022400909_s1206,nba,timeout,003171,unavailable,005423,unavailable,unavailable,1788835090,unavailable
0022400909_s3498,nba,tracked,005604,003980,002380,000020,000000,1788835144,1788835124
0022400909_s3689,nba,tracked,001242,003911,002513,000022,000000,1788835329,1788835307
0022400909_s3307,nba,tracked,005761,004002,003387,000020,000000,1788835804,1788835784
0022400909_s3880,nba,tracked,004425,003935,002374,000020,000000,1788836094,1788836074
0022400909_s4071,nba,tracked,004454,003915,002442,000019,000001,1788836313,1788836294
0022400909_s60,nba,tracked,004516,003982,004756,000021,000000,1788836440,1788836419
0022401156_s247,nba,tracked,004893,003961,002600,000021,000000,1788837277,1788837256
0022401156_s1369,nba,tracked,004781,004021,002154,000020,000000,1788837277,1788837257
0022400909_s5026,nba,tracked,003540,003914,002726,000019,000001,1788837351,1788837332
0022400909_s5408,nba,tracked,003425,003916,002529,000020,000000,1788837399,1788837379
0022400909_s4262,nba,tracked,005267,003957,003378,000018,000002,1788837468,1788837450
0022400909_s4453,nba,tracked,001700,003968,003246,000021,000000,1788837535,1788837514
0022401156_s1182,nba,tracked,004880,003961,002600,000021,000000,1788837698,1788837677
0022400909_s4644,nba,tracked,004058,004012,003383,000020,000000,1788837746,1788837726
0022400909_s5217,nba,tracked,005945,003918,003251,000021,000000,1788837900,1788837879
0022401156_s1556,nba,tracked,006048,003931,003271,000022,000000,1788838579,1788838557
0022401156_s1930,nba,tracked,005791,003901,002633,000020,000000,1788838707,1788838687
0022401156_s1743,nba,tracked,000932,003939,002975,000020,000000,1788838759,1788838739
0022401156_s2304,nba,tracked,004284,004021,002975,000020,000000,1788839396,1788839376
0022400909_s4835,nba,tracked,003289,004020,005191,000021,000000,1788839554,1788839533
0022401156_s2491,nba,tracked,002365,003931,002826,000019,000001,1788840082,1788840063
0022401156_s2117,nba,tracked,004576,003961,003919,000020,000000,1788840212,1788840192
0022400909_s5599,nba,tracked,002873,003948,005196,000019,000001,1788840236,1788840217
0022401156_s2678,nba,tracked,006739,003991,003322,000016,000004,1788840579,1788840563
0022401156_s3052,nba,tracked,004040,003961,003065,000017,000003,1788840580,1788840563
0022401156_s60,nba,tracked,005297,003901,003248,000017,000003,1788840696,1788840679
0022401156_s434,nba,tracked,005235,004021,003487,000020,000000,1788840866,1788840846
0022401156_s2865,nba,tracked,006027,003901,003699,000020,000000,1788841029,1788841009
0022401156_s3426,nba,tracked,005656,003931,003333,000021,000000,1788841060,1788841039
0022401156_s3239,nba,tracked,004882,003939,003469,000021,000000,1788841147,1788841126
0022401156_s3613,nba,tracked,005468,003977,003934,000021,000000,1788841815,1788841794
0022401156_s3800,nba,tracked,004186,003901,003330,000019,000001,1788841889,1788841870
0022401156_s4174,nba,tracked,004658,004021,003364,000018,000002,1788842102,1788842084
0022401156_s3987,nba,tracked,003783,003961,003563,000019,000001,1788842249,1788842230
0022401156_s4361,nba,tracked,003931,003931,003151,000019,000001,1788842526,1788842507
0022401156_s4922,nba,tracked,000334,003911,002472,000019,000001,1788842662,1788842643
0022401156_s4548,nba,tracked,004425,003991,003908,000022,000000,1788843442,1788843420
0022401156_s4735,nba,tracked,003174,003901,003380,000021,000000,1788843442,1788843421
0022401156_s5109,nba,tracked,003811,004021,003490,000021,000000,1788843707,1788843686
0022401156_s5296,nba,tracked,002462,003931,003149,000020,000000,1788843707,1788843687
0022401156_s5483,nba,tracked,002935,003991,003225,000021,000000,1788843783,1788843762
0022401156_s621,nba,tracked,004930,003908,003349,000016,000004,1788844025,1788844009
0022500081_s1545,nba,tracked,002102,004011,002899,000017,000003,1788844026,1788844009
0022500081_s4812,nba,thin,000000,unavailable,000146,unavailable,unavailable,1788844151,unavailable
0022401156_s808,nba,tracked,004988,003991,003357,000020,000000,1788844203,1788844183
0022401156_s995,nba,tracked,006040,003901,003222,000018,000002,1788844231,1788844213
0022500081_s1248,nba,tracked,003928,003901,003192,000018,000002,1788844231,1788844213
0022500081_s1842,nba,tracked,005077,003961,003006,000019,000001,1788844801,1788844782
0022500081_s2139,nba,tracked,004719,003911,003052,000020,000000,1788844922,1788844902
0022500081_s4515,nba,thin,000000,unavailable,001159,unavailable,unavailable,1788844922,unavailable
0022500081_s2733,nba,tracked,003673,003971,002844,000021,000000,1788845073,1788845052
0022500081_s3030,nba,tracked,000001,003921,000365,000021,000000,1788845805,1788845784
0022500081_s357,nba,tracked,000002,004051,000365,000021,000000,1788845805,1788845784
0022500081_s2436,nba,thin,000000,unavailable,000393,unavailable,unavailable,1788845833,unavailable
0022500081_s3327,nba,tracked,000002,004031,000393,000025,000000,1788845834,1788845809
0022401198_s968,nba,tracked,002842,003924,001822,000021,000000,1788847262,1788847241
0022401198_s1876,nba,tracked,005823,004017,001874,000021,000000,1788847314,1788847293
0022401198_s60,nba,tracked,003904,003987,001874,000021,000000,1788847314,1788847293
0022401198_s2784,nba,tracked,003811,003957,001955,000024,000000,1788847395,1788847371
0022500081_s3921,nba,tracked,003985,003931,001635,000020,000000,1788847420,1788847400
0022500081_s3624,nba,tracked,003104,003981,001682,000021,000000,1788847468,1788847447
0022500081_s5109,nba,tracked,004441,004051,001681,000020,000000,1788847494,1788847474
0022500081_s4218,nba,tracked,004835,004041,001959,000019,000001,1788847771,1788847752
0022500081_s60,nba,tracked,003550,003941,001448,000020,000000,1788848742,1788848722
0022500081_s5406,nba,tracked,004572,004001,001639,000023,000000,1788848882,1788848859
0022500081_s5703,nba,tracked,006082,003951,001589,000021,000000,1788848882,1788848861
0022500081_s6297,nba,tracked,005093,004011,001786,000021,000000,1788849186,1788849165
0022500081_s654,nba,tracked,003560,004001,001929,000022,000000,1788849377,1788849355
0022500081_s6891,nba,tracked,005843,003911,001747,000021,000000,1788849499,1788849478
0022500081_s6594,nba,tracked,006114,003961,002097,000020,000000,1788849570,1788849550
0022500081_s8673,nba,thin,000000,unavailable,000092,unavailable,unavailable,1788849571,unavailable
0022500621_s7200,nba,thin,000000,unavailable,000630,unavailable,unavailable,1788850181,unavailable
0022500081_s6000,nba,tracked,003889,003901,002979,000021,000000,1788850352,1788850331
0022500081_s7782,nba,tracked,005966,003921,001690,000021,000000,1788850552,1788850531
0022500081_s7485,nba,tracked,006128,003971,001791,000021,000000,1788850653,1788850632
0022500081_s8079,nba,tracked,006292,004031,001762,000019,000001,1788850928,1788850909
0022500081_s8376,nba,tracked,004649,003981,001988,000022,000000,1788851345,1788851323
0022500081_s951,nba,tracked,005416,003951,001914,000020,000000,1788851464,1788851444
0022500081_s7188,nba,tracked,006030,003972,002792,000020,000000,1788851514,1788851494
0022500621_s8100,nba,tracked,003687,003897,001450,000016,000004,1788851612,1788851596
0022500630_s5400,nba,tracked,001627,003900,001154,000021,000000,1788851686,1788851665
0022500621_s900,nba,tracked,004899,003897,001474,000021,000000,1788851806,1788851785
0022500630_s6000,nba,tracked,003281,003897,001291,000001,000019,1788851924,1788851923
0022500630_s6600,nba,tracked,002770,003897,001202,000002,000018,1788852111,1788852109
bzahHiNvCUE_s430,nba,tracked,000931,007950,001515,000021,000000,1788853278,1788853257
bzahHiNvCUE_s60,nba,tracked,002337,007988,001374,000021,000000,1788853278,1788853257
HUSo3PzP7lo_s231,nba,tracked,001825,008110,001335,000020,000000,1788853425,1788853405
N-eE7ZwTuno_s1065,ncaa_basketball,tracked,005417,003970,002086,000020,000000,1788853531,1788853511
N-eE7ZwTuno_s2040,ncaa_basketball,tracked,005257,004052,001926,000020,000000,1788853593,1788853573
5TiTjV1JPW8_s401,nba,tracked,002486,007836,000397,000020,000000,1788853655,1788853635
5TiTjV1JPW8_s60,nba,tracked,001941,007796,000397,000020,000000,1788853655,1788853635
5TiTjV1JPW8_s742,nba,tracked,000555,007903,000290,000020,000000,1788853696,1788853676
cavs_vs_celtics_2025,nba,tracked,001847,064508,002538,000020,000000,1788853863,1788853843
HUSo3PzP7lo_s402,nba,tracked,001149,007800,000373,000020,000000,1788853884,1788853864
HUSo3PzP7lo_s60,nba,tracked,002169,008090,000395,000020,000000,1788853969,1788853949
eaKqXq9dfig_s244,nba,tracked,002778,007895,000354,000020,000000,1788853989,1788853969
N-eE7ZwTuno_s1715,ncaa_basketball,tracked,003671,004034,002483,000020,000000,1788854052,1788854032
eaKqXq9dfig_s428,nba,tracked,002557,007981,000397,000020,000000,1788854073,1788854053
bzahHiNvCUE_s800,nba,tracked,000580,007870,000459,000020,000000,1788854094,1788854074
6cNq5d_NOXs_s416,nba,tracked,001609,007817,000356,000020,000000,1788854199,1788854179
6cNq5d_NOXs_s60,nba,tracked,003179,007927,000397,000020,000000,1788854261,1788854241
6cNq5d_NOXs_s772,nba,tracked,003011,008097,000396,000019,000001,1788854345,1788854326
eaKqXq9dfig_s60,nba,tracked,002220,007891,000375,000019,000001,1788854345,1788854326
XzIzQZBrPBY_s229,nba,tracked,002586,007816,000394,000020,000000,1788854427,1788854407
XzIzQZBrPBY_s398,nba,tracked,002021,007816,000414,000020,000000,1788854468,1788854448
XzIzQZBrPBY_s60,nba,tracked,001816,007902,000436,000020,000000,1788854510,1788854490
N-eE7ZwTuno_s1390,ncaa_basketball,tracked,003621,003899,003117,000019,000001,1788854611,1788854592
N-eE7ZwTuno_s2365,ncaa_basketball,tracked,001163,004043,000554,000020,000000,1788854734,1788854714
N-eE7ZwTuno_s3015,ncaa_basketball,tracked,005297,003927,000490,000020,000000,1788854815,1788854795
N-eE7ZwTuno_s3340,ncaa_basketball,tracked,002853,003978,000510,000019,000001,1788854835,1788854816
N-eE7ZwTuno_s415,ncaa_basketball,tracked,004659,003989,000527,000020,000000,1788855018,1788854998
N-eE7ZwTuno_s2690,ncaa_basketball,tracked,004071,004030,000918,000020,000000,1788855160,1788855140
N-eE7ZwTuno_s3990,ncaa_basketball,thin,000000,unavailable,000812,unavailable,unavailable,1788855260,unavailable
N-eE7ZwTuno_s740,ncaa_basketball,tracked,004256,004072,000506,000019,000001,1788855321,1788855302
N-eE7ZwTuno_s4315,ncaa_basketball,tracked,005863,004064,000790,000019,000001,1788855382,1788855363
N-eE7ZwTuno_s4965,ncaa_basketball,tracked,005717,003929,000688,000020,000000,1788855484,1788855464
nbl-WTEUwPcy7X8_s369,basketball,tracked,003666,006555,000427,000020,000000,1788855668,1788855648
N-eE7ZwTuno_s4640,ncaa_basketball,tracked,005999,003899,001057,000019,000001,1788855771,1788855752
N-eE7ZwTuno_s90,ncaa_basketball,tracked,005772,004077,000773,000019,000001,1788855771,1788855752
nbl-WTEUwPcy7X8_s648,basketball,tracked,003254,006569,000470,000019,000001,1788855771,1788855752
N-eE7ZwTuno_s3665,ncaa_basketball,tracked,005000,004017,001384,000019,000001,1788855792,1788855773
NNJTTtwp7KE_s498,nba,tracked,002313,007844,000533,000019,000001,1788855998,1788855979
nbl-WTEUwPcy7X8_s90,basketball,tracked,002651,006527,000977,000018,000002,1788856339,1788856321
NNJTTtwp7KE_s90,nba,tracked,002591,007968,001076,000019,000001,1788856725,1788856706
NNJTTtwp7KE_s906,nba,tracked,001890,008013,001295,000019,000001,1788857046,1788857027
4PH6yOSvcs4_s1511,nba,thin,000000,unavailable,000129,unavailable,unavailable,1788857154,unavailable
4PH6yOSvcs4_s2932,nba,thin,000000,unavailable,000104,unavailable,unavailable,1788857239,unavailable
6FlZaoWSfFw_s90,wnba,tracked,004409,003909,001535,000018,000002,1788857307,1788857289
m7K0J4wzDn4_s2070,nba,thin,000000,unavailable,000127,unavailable,unavailable,1788857414,unavailable
6FlZaoWSfFw_s584,wnba,tracked,006180,003981,001684,000017,000003,1788857435,1788857418
m7K0J4wzDn4_s4050,nba,thin,000000,unavailable,000105,unavailable,unavailable,1788857497,unavailable
nbl-eawn8RbLFEM_s368,basketball,tracked,002700,006769,000395,000019,000001,1788859203,1788859184
nbl-eawn8RbLFEM_s90,basketball,tracked,003305,006595,000394,000019,000001,1788859203,1788859184
4PH6yOSvcs4_s90,nba,tracked,001745,008020,000415,000020,000000,1788859224,1788859204
nbl-eawn8RbLFEM_s646,basketball,tracked,003251,006507,000478,000020,000000,1788859287,1788859267
euroleague-8ue528gaVyY_s5784,basketball,tracked,001533,003314,000600,000020,000000,1788859409,1788859389
euroleague-8ue528gaVyY_s90,basketball,tracked,005612,003324,000681,000019,000001,1788859490,1788859471
euroleague-8ue528gaVyY_s2937,basketball,tracked,001999,003330,000782,000019,000001,1788859591,1788859572
fXLNra4sjjU_s90,ncaa_basketball,tracked,004055,004045,000487,000019,000001,1788859691,1788859672
6FlZaoWSfFw_s337,wnba,tracked,004462,003937,000444,000019,000001,1788859711,1788859692
fXLNra4sjjU_s5832,ncaa_basketball,tracked,004023,003933,000809,000020,000000,1788859993,1788859973
G8bPOW37Sp0_s90,wnba,tracked,004552,003960,000421,000020,000000,1788859993,1788859973
m7K0J4wzDn4_s90,nba,tracked,002816,007906,001225,000020,000000,1788860034,1788860014
G8bPOW37Sp0_s550,wnba,tracked,005388,003993,000604,000019,000001,1788860074,1788860055
fXLNra4sjjU_s2961,ncaa_basketball,tracked,005296,003989,000951,000019,000001,1788860134,1788860115
G8bPOW37Sp0_s320,wnba,tracked,005447,003914,000886,000020,000000,1788860275,1788860255
gleague-_fl2i6vToTM_s3097,basketball,tracked,002421,007988,000262,000021,000000,1788860917,1788860896
gleague-_fl2i6vToTM_s90,basketball,tracked,002309,007801,000262,000020,000000,1788860917,1788860897
gleague-_fl2i6vToTM_s6104,basketball,tracked,001912,007956,000282,000019,000001,1788860937,1788860918
h6j_iLYRx8U_s3425,ncaa_basketball,tracked,001447,007900,000240,000020,000000,1788861938,1788861918
h6j_iLYRx8U_s6760,ncaa_basketball,tracked,002809,007973,000240,000020,000000,1788861938,1788861918
