draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,position_source,repeated_coordinate,rows,target_weight_1
1080p30,Y1cgaIWW8gk_s2784,1331,1631,CLAMP,1,295,0
1080p30,Y1cgaIWW8gk_s2784,1331,1631,DETECTION,0,27,27
1080p30,Y1cgaIWW8gk_s2784,1331,1631,PREDICTION,0,49,0
1080p30,Y1cgaIWW8gk_s2784,1331,1631,SUBPIXEL,1,11,0
720p60,oL9Uaie2v2A_s2438,2553,3153,CLAMP,0,2,0
720p60,oL9Uaie2v2A_s2438,2553,3153,CLAMP,1,18,0
720p60,oL9Uaie2v2A_s2438,2553,3153,DETECTION,0,36,36
720p60,oL9Uaie2v2A_s2438,2553,3153,PREDICTION,0,40,0
720p60,oL9Uaie2v2A_s2438,2553,3153,SUBPIXEL,0,2,0
720p60,oL9Uaie2v2A_s2438,2553,3153,SUBPIXEL,1,26,0
1080p30,qrWmO434a0k_s2804,1452,1752,CLAMP,0,17,0
1080p30,qrWmO434a0k_s2804,1452,1752,CLAMP,1,90,0
1080p30,qrWmO434a0k_s2804,1452,1752,DETECTION,0,51,51
1080p30,qrWmO434a0k_s2804,1452,1752,PREDICTION,0,78,0
1080p30,qrWmO434a0k_s2804,1452,1752,SUBPIXEL,1,17,0
720p60,oL9Uaie2v2A_s5960,2785,3385,CLAMP,0,51,0
720p60,oL9Uaie2v2A_s5960,2785,3385,CLAMP,1,276,0
720p60,oL9Uaie2v2A_s5960,2785,3385,DETECTION,0,10,10
720p60,oL9Uaie2v2A_s5960,2785,3385,PREDICTION,0,31,0
720p60,oL9Uaie2v2A_s5960,2785,3385,SUBPIXEL,0,1,0
720p60,oL9Uaie2v2A_s5960,2785,3385,SUBPIXEL,1,15,0
1080p30,tFnl0NVn6FA_s2774,1574,1874,CLAMP,0,46,0
1080p30,tFnl0NVn6FA_s2774,1574,1874,CLAMP,1,259,0
1080p30,tFnl0NVn6FA_s2774,1574,1874,DETECTION,0,63,63
1080p30,tFnl0NVn6FA_s2774,1574,1874,PREDICTION,0,117,0
1080p30,tFnl0NVn6FA_s2774,1574,1874,SUBPIXEL,1,22,0
1080p30,tFnl0NVn6FA_s90,1708,2008,CLAMP,0,21,0
1080p30,tFnl0NVn6FA_s90,1708,2008,CLAMP,1,87,0
1080p30,tFnl0NVn6FA_s90,1708,2008,DETECTION,0,32,32
1080p30,tFnl0NVn6FA_s90,1708,2008,PREDICTION,0,134,0
1080p30,tFnl0NVn6FA_s90,1708,2008,SUBPIXEL,0,2,0
1080p30,tFnl0NVn6FA_s90,1708,2008,SUBPIXEL,1,34,0
1080p30,tZeqmc_-_sA_s2574,1815,2115,CLAMP,0,38,0
1080p30,tZeqmc_-_sA_s2574,1815,2115,CLAMP,1,250,0
1080p30,tZeqmc_-_sA_s2574,1815,2115,DETECTION,0,141,141
1080p30,tZeqmc_-_sA_s2574,1815,2115,PREDICTION,0,141,0
1080p30,tZeqmc_-_sA_s2574,1815,2115,SUBPIXEL,0,2,0
1080p30,tZeqmc_-_sA_s2574,1815,2115,SUBPIXEL,1,17,0
720p60,FyMWTVsJvv8_s4332,3945,4545,CLAMP,0,24,0
720p60,FyMWTVsJvv8_s4332,3945,4545,CLAMP,1,186,0
720p60,FyMWTVsJvv8_s4332,3945,4545,DETECTION,0,28,28
720p60,FyMWTVsJvv8_s4332,3945,4545,PREDICTION,0,45,0
720p60,FyMWTVsJvv8_s4332,3945,4545,SUBPIXEL,1,3,0
720p60,Ge4uewCFUFQ_s2382,4177,4777,CLAMP,0,21,0
720p60,Ge4uewCFUFQ_s2382,4177,4777,CLAMP,1,55,0
720p60,Ge4uewCFUFQ_s2382,4177,4777,DETECTION,0,31,31
720p60,Ge4uewCFUFQ_s2382,4177,4777,PREDICTION,0,89,0
720p60,Ge4uewCFUFQ_s2382,4177,4777,SUBPIXEL,1,8,0
720p60,Ge4uewCFUFQ_s4674,4410,5010,CLAMP,0,43,0
720p60,Ge4uewCFUFQ_s4674,4410,5010,CLAMP,1,124,0
720p60,Ge4uewCFUFQ_s4674,4410,5010,DETECTION,0,68,68
720p60,Ge4uewCFUFQ_s4674,4410,5010,PREDICTION,0,103,0
720p60,Ge4uewCFUFQ_s4674,4410,5010,SUBPIXEL,0,3,0
720p60,Ge4uewCFUFQ_s4674,4410,5010,SUBPIXEL,1,35,0
720p60,IpR4pT8iN0Y_s2432,4642,5242,CLAMP,0,8,0
720p60,IpR4pT8iN0Y_s2432,4642,5242,CLAMP,1,9,0
720p60,IpR4pT8iN0Y_s2432,4642,5242,DETECTION,0,5,5
720p60,IpR4pT8iN0Y_s2432,4642,5242,PREDICTION,0,55,0
720p60,IpR4pT8iN0Y_s2432,4642,5242,SUBPIXEL,1,30,0
720p60,KZK9rv9TnGE_s1474,4873,5473,CLAMP,0,31,0
720p60,KZK9rv9TnGE_s1474,4873,5473,CLAMP,1,111,0
720p60,KZK9rv9TnGE_s1474,4873,5473,DETECTION,0,107,107
720p60,KZK9rv9TnGE_s1474,4873,5473,PREDICTION,0,218,0
720p60,KZK9rv9TnGE_s1474,4873,5473,SUBPIXEL,0,2,0
720p60,KZK9rv9TnGE_s1474,4873,5473,SUBPIXEL,1,16,0
720p60,KZK9rv9TnGE_s4242,5105,5705,CLAMP,0,2,0
720p60,KZK9rv9TnGE_s4242,5105,5705,CLAMP,1,2,0
720p60,KZK9rv9TnGE_s4242,5105,5705,DETECTION,0,13,13
720p60,KZK9rv9TnGE_s4242,5105,5705,PREDICTION,0,151,0
720p60,KZK9rv9TnGE_s4242,5105,5705,SUBPIXEL,0,18,0
720p60,KZK9rv9TnGE_s4242,5105,5705,SUBPIXEL,1,33,0
720p60,KZK9rv9TnGE_s90,5337,5937,CLAMP,0,49,0
720p60,KZK9rv9TnGE_s90,5337,5937,CLAMP,1,123,0
720p60,KZK9rv9TnGE_s90,5337,5937,DETECTION,0,39,39
720p60,KZK9rv9TnGE_s90,5337,5937,PREDICTION,0,116,0
720p60,KZK9rv9TnGE_s90,5337,5937,SUBPIXEL,0,2,0
720p60,KZK9rv9TnGE_s90,5337,5937,SUBPIXEL,1,8,0
720p60,dAy3tnlu3EQ_s4326,5570,6170,CLAMP,0,29,0
