draw_kind,draw_order,section_id,competition,game,source_tree,source_path,source_bytes,source_sha256,receiver_dir,receiver_path,receiver_bytes,receiver_sha256,bytes_equal,sha256_equal,source_status,usable_span_s,usable_start_s,width,height,avg_fps,codec_name
1080p30,21,4JS090XPhmM_s4686,ncaa_basketball,4JS090XPhmM,footage_bridge,/workspace/data/footage_corpus/ncaa_basketball__4JS090XPhmM_s4686.mp4,64513325,898fb2bcd40278b2707fe72e27bd1e098e857ba450ba0aa2abd569cea73a6006,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\ncaa_basketball__4JS090XPhmM_s4686.mp4,64513325,898fb2bcd40278b2707fe72e27bd1e098e857ba450ba0aa2abd569cea73a6006,1,1,RETAINED,130.045,0.0,1920,1080,29.97003,h264
1080p30,22,3eeaJz1PJTM_s1331,wnba,3eeaJz1PJTM,footage_corpus,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s1331.mp4,71255359,50c101c60ab17142c2952c0ccf5a84eb1f892c12cbdde497ea212612d0ba823e,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__3eeaJz1PJTM_s1331.mp4,71255359,50c101c60ab17142c2952c0ccf5a84eb1f892c12cbdde497ea212612d0ba823e,1,1,RETAINED,130.034,0.0,1920,1080,30.0,h264
1080p30,23,3eeaJz1PJTM_s2572,wnba,3eeaJz1PJTM,footage_corpus,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s2572.mp4,70877597,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__3eeaJz1PJTM_s2572.mp4,70877597,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,1,1,RETAINED,130.066,0.0,1920,1080,30.0,h264
1080p30,24,3eeaJz1PJTM_s3813,wnba,3eeaJz1PJTM,footage_corpus,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s3813.mp4,67932625,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__3eeaJz1PJTM_s3813.mp4,67932625,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,1,1,RETAINED,130.1,0.0,1920,1080,30.0,h264
1080p30,25,3eeaJz1PJTM_s6295,wnba,3eeaJz1PJTM,footage_corpus,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s6295.mp4,63899908,2c1e70f510d0fc55e0b0b4cccaf4c14a6e3aec1fe20ef5d62bb1f74859776b33,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__3eeaJz1PJTM_s6295.mp4,63899908,2c1e70f510d0fc55e0b0b4cccaf4c14a6e3aec1fe20ef5d62bb1f74859776b33,1,1,RETAINED,130.034,0.0,1920,1080,30.0,h264
1080p30,26,3eeaJz1PJTM_s90,wnba,3eeaJz1PJTM,footage_corpus,/workspace/data/footage_corpus/wnba__3eeaJz1PJTM_s90.mp4,68766082,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__3eeaJz1PJTM_s90.mp4,68766082,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,1,1,RETAINED,130.033,0.0,1920,1080,30.0,h264
1080p30,27,J8pMOFvFlsU_s1384,wnba,J8pMOFvFlsU,footage_corpus,/workspace/data/footage_corpus/wnba__J8pMOFvFlsU_s1384.mp4,42176869,4c1d058692f70800de83c62d500663c409836f17583b63eee686417819291104,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__J8pMOFvFlsU_s1384.mp4,42176869,4c1d058692f70800de83c62d500663c409836f17583b63eee686417819291104,1,1,RETAINED,130.033,0.0,1920,1080,30.0,h264
1080p30,28,J8pMOFvFlsU_s3972,wnba,J8pMOFvFlsU,footage_corpus,/workspace/data/footage_corpus/wnba__J8pMOFvFlsU_s3972.mp4,44234735,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__J8pMOFvFlsU_s3972.mp4,44234735,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,1,1,RETAINED,130.067,0.0,1920,1080,30.0,h264
1080p30,29,J8pMOFvFlsU_s90,wnba,J8pMOFvFlsU,footage_corpus,/workspace/data/footage_corpus/wnba__J8pMOFvFlsU_s90.mp4,44642137,59c10e316187abf81295f6d2c8310d6cfc9991b588f007aa59d9e8f2c29b4450,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\wnba__J8pMOFvFlsU_s90.mp4,44642137,59c10e316187abf81295f6d2c8310d6cfc9991b588f007aa59d9e8f2c29b4450,1,1,RETAINED,130.067,0.0,1920,1080,30.0,h264
720p60,0,acb-jHcR5UxPGuE_s1393,basketball,acb-jHcR5UxPGuE,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,1,1,RETAINED,130.016,0.0,1280,720,60.0,h264
