blind_id,source_frame,player_slot,verdict,marker_index,near_boundary
28,20938,4,UNMATCHED,,NO
28,20938,5,UNMATCHED,,NO
28,20938,6,UNMATCHED,,NO
28,20938,7,UNMATCHED,,NO
28,20938,8,UNMATCHED,,NO
28,20938,9,UNMATCHED,,NO
28,20938,10,UNMATCHED,,NO
29,23368,1,UNMATCHED,,NO
29,23368,2,UNMATCHED,,NO
29,23368,3,UNMATCHED,,NO
29,23368,4,UNMATCHED,,NO
29,23368,5,UNMATCHED,,NO
29,23368,6,UNMATCHED,,NO
29,23368,7,UNMATCHED,,NO
29,23368,8,UNMATCHED,,NO
29,23368,9,UNMATCHED,,NO
29,23368,10,UNMATCHED,,NO
30,21312,1,UNMATCHED,,NO
30,21312,2,UNMATCHED,,NO
30,21312,3,UNMATCHED,,NO
30,21312,4,UNMATCHED,,NO
30,21312,5,UNMATCHED,,NO
30,21312,6,UNMATCHED,,NO
31,20751,1,UNMATCHED,,NO
31,20751,2,UNMATCHED,,NO
31,20751,3,UNMATCHED,,NO
31,20751,4,UNMATCHED,,NO
31,20751,5,UNMATCHED,,NO
31,20751,6,UNMATCHED,,NO
31,20751,7,UNMATCHED,,NO
31,20751,8,UNMATCHED,,NO
31,20751,9,UNMATCHED,,NO
31,20751,10,UNMATCHED,,NO
33,21811,1,UNMATCHED,,NO
33,21811,2,UNMATCHED,,NO
33,21811,3,UNMATCHED,,NO
33,21811,4,UNMATCHED,,NO
33,21811,5,UNMATCHED,,NO
33,21811,6,UNMATCHED,,NO
33,21811,7,UNMATCHED,,NO
33,21811,8,UNMATCHED,,NO
33,21811,9,UNMATCHED,,NO
33,21811,10,UNMATCHED,,NO
34,19879,1,UNMATCHED,,NO
34,19879,2,UNMATCHED,,NO
34,19879,3,UNMATCHED,,NO
34,19879,4,UNMATCHED,,NO
34,19879,5,UNMATCHED,,NO
34,19879,6,UNMATCHED,,NO
34,19879,7,UNMATCHED,,NO
34,19879,8,UNMATCHED,,NO
34,19879,9,UNMATCHED,,NO
34,19879,10,UNMATCHED,,NO
35,22247,1,UNMATCHED,,NO
35,22247,2,UNMATCHED,,NO
35,22247,3,UNMATCHED,,NO
35,22247,4,UNMATCHED,,NO
35,22247,5,UNMATCHED,,NO
35,22247,6,UNMATCHED,,NO
35,22247,7,UNMATCHED,,NO
35,22247,8,UNMATCHED,,NO
35,22247,9,UNMATCHED,,NO
35,22247,10,UNMATCHED,,NO
36,22184,1,UNMATCHED,,NO
36,22184,2,UNMATCHED,,NO
36,22184,3,UNMATCHED,,NO
36,22184,4,UNMATCHED,,NO
36,22184,5,UNMATCHED,,NO
36,22184,6,UNMATCHED,,NO
36,22184,7,UNMATCHED,,NO
36,22184,8,UNMATCHED,,NO
36,22184,9,UNMATCHED,,NO
36,22184,10,UNMATCHED,,NO
37,19630,1,UNMATCHED,,NO
37,19630,2,UNMATCHED,,NO
37,19630,3,UNMATCHED,,NO
37,19630,4,UNMATCHED,,NO
37,19630,5,UNMATCHED,,NO
37,19630,6,UNMATCHED,,NO
37,19630,7,UNMATCHED,,NO
37,19630,8,UNMATCHED,,NO
37,19630,9,UNMATCHED,,NO
37,19630,10,UNMATCHED,,NO
38,20253,1,UNMATCHED,,NO
38,20253,2,UNMATCHED,,NO
38,20253,3,UNMATCHED,,NO
38,20253,4,UNMATCHED,,NO
38,20253,5,UNMATCHED,,NO
38,20253,6,UNMATCHED,,NO
38,20253,7,UNMATCHED,,NO
38,20253,8,UNMATCHED,,NO
38,20253,9,UNMATCHED,,NO
38,20253,10,UNMATCHED,,NO
39,22808,1,UNMATCHED,,NO
39,22808,2,UNMATCHED,,NO
39,22808,3,UNMATCHED,,NO
39,22808,4,UNMATCHED,,NO
39,22808,5,UNMATCHED,,NO
