blind_id,source_frame,marker_index,track_id,foot_x_px,foot_y_px
15,22309,2,61,1499.25,975.0
15,22309,3,55,1525.5,897.0
15,22309,4,47,674.25,575.25
15,22309,5,42,1261.5,792.75
16,20502,0,31,801.75,583.5
16,20502,1,2,589.5,621.0
16,20502,2,34,1401.0,748.5
16,20502,3,35,981.0,469.5
16,20502,4,15,1176.0,567.75
16,20502,5,24,900.0,480.75
16,20502,6,25,1095.0,789.75
16,20502,7,18,423.75,973.5
16,20502,8,1,47.953125,420.375
18,21561,0,32,1701.0,972.0
18,21561,1,33,1287.0,846.0
18,21561,2,42,654.0,864.0
18,21561,3,48,666.375,729.75
18,21561,4,45,433.125,617.625
18,21561,5,49,1818.0,966.0
18,21561,6,15,49.59375,585.0
18,21561,7,51,850.5,859.5
18,21561,8,44,590.625,681.75
18,21561,9,25,1044.75,517.5
19,22621,0,49,896.25,873.75
19,22621,1,55,1449.0,975.75
19,22621,2,68,372.375,978.75
19,22621,3,77,1803.0,975.0
19,22621,4,78,1272.0,768.0
19,22621,5,42,615.0,711.0
19,22621,6,69,81.9375,970.5
19,22621,7,61,255.9375,594.0
20,21125,0,37,877.5,566.25
20,21125,1,34,1053.75,510.75
20,21125,2,15,1501.5,762.0
20,21125,3,7,601.5,465.0
20,21125,4,33,1233.0,698.25
20,21125,5,39,1174.5,696.0
21,22371,0,63,467.25,528.75
21,22371,1,45,48.9375,629.25
21,22371,2,42,1372.5,855.0
22,23306,0,89,987.0,453.75
22,23306,1,94,404.90625,976.5
22,23306,2,95,478.125,828.75
22,23306,3,93,1428.75,819.0
22,23306,4,96,495.65625,817.5
22,23306,5,92,538.875,693.75
23,22558,0,61,744.0,804.75
23,22558,1,62,1193.25,546.75
23,22558,2,49,732.0,418.5
23,22558,3,45,538.125,475.5
23,22558,4,64,828.0,612.0
23,22558,5,66,1300.5,486.375
23,22558,6,68,386.25,972.0
23,22558,7,42,736.875,862.5
23,22558,8,55,819.0,610.5
24,20066,0,1,607.875,853.5
24,20066,1,7,983.25,485.625
24,20066,2,17,168.84375,975.0
24,20066,3,26,59.765625,800.25
24,20066,4,2,1021.5,865.5
24,20066,5,24,909.0,864.0
24,20066,6,8,60.421875,970.5
24,20066,7,25,1135.5,867.0
24,20066,8,22,216.5625,456.375
24,20066,9,15,1312.5,868.5
24,20066,10,14,391.5,571.5
24,20066,11,18,308.25,898.5
24,20066,12,16,540.0,867.0
25,21748,0,41,1593.0,716.25
25,21748,1,44,1180.5,831.0
25,21748,2,54,609.0,480.75
25,21748,3,32,1812.0,973.5
25,21748,4,33,773.25,627.75
25,21748,5,45,951.0,493.5
25,21748,6,15,175.03125,567.75
25,21748,7,47,1519.5,972.0
25,21748,8,46,746.625,864.0
25,21748,9,48,1626.0,972.0
28,20938,0,35,1033.5,876.0
28,20938,1,25,1539.0,969.0
28,20938,2,31,314.0625,973.5
28,20938,3,37,161.625,957.0
28,20938,4,34,165.65625,576.0
29,23368,0,94,421.875,973.5
29,23368,1,89,990.75,451.5
29,23368,2,95,479.25,828.0
29,23368,3,93,1420.5,825.0
30,21312,0,32,471.0,458.25
30,21312,1,40,952.5,438.75
30,21312,2,25,862.5,418.5
31,20751,0,32,549.0,693.75
31,20751,1,24,1190.25,583.5
31,20751,2,7,1374.0,869.25
31,20751,3,34,803.25,814.5
31,20751,4,36,323.25,745.5
31,20751,5,33,1731.0,969.0
31,20751,6,20,1484.25,676.5
31,20751,7,31,1620.0,973.5
31,20751,8,29,695.25,418.5
31,20751,9,2,1417.5,625.875
31,20751,10,37,451.125,957.75
31,20751,11,38,1216.5,867.0
33,21811,0,42,598.875,553.5
33,21811,1,15,161.53125,642.75
33,21811,2,44,1549.5,729.75
33,21811,3,55,999.0,701.25
34,19879,0,18,1206.75,586.5
34,19879,1,8,613.5,651.0
34,19879,2,2,888.0,781.5
34,19879,3,15,1297.5,795.0
34,19879,4,4,421.875,975.0
34,19879,5,7,772.3125,577.5
35,22247,0,56,636.375,599.25
35,22247,1,42,1124.25,582.75
35,22247,2,57,112.5,533.25
36,22184,0,41,434.625,659.625
36,22184,1,57,516.75,576.0
36,22184,2,49,1812.0,958.5
37,19630,0,1,1119.75,865.5
37,19630,1,8,873.0,801.75
37,19630,2,7,634.125,867.75
37,19630,3,2,391.875,876.0
37,19630,4,3,1480.5,775.5
37,19630,5,4,827.25,555.375
37,19630,6,6,771.0,865.5
38,20253,0,25,1836.0,972.75
38,20253,1,22,348.5625,756.0
38,20253,2,7,1152.0,456.75
38,20253,3,30,903.75,645.0
38,20253,4,15,776.25,735.0
38,20253,5,2,1049.25,714.0
38,20253,6,29,703.125,864.75
38,20253,7,31,325.875,906.0
