case_id,kind,arm,gap_length,reconnect_correct,simultaneous_merges
000089,gap,ARM_A,000017,000000,000000
000089,gap,ARM_B,000017,000000,000000
000089,gap,ARM_C,000017,000001,000000
000090,gap,ARM_A,000008,000000,000000
000090,gap,ARM_B,000008,000000,000000
000090,gap,ARM_C,000008,000001,000000
000091,gap,ARM_A,000011,000000,000000
000091,gap,ARM_B,000011,000000,000000
000091,gap,ARM_C,000011,000001,000000
000092,gap,ARM_A,000016,000000,000000
000092,gap,ARM_B,000016,000000,000000
000092,gap,ARM_C,000016,000001,000000
000093,gap,ARM_A,000013,000000,000000
000093,gap,ARM_B,000013,000000,000000
000093,gap,ARM_C,000013,000000,000000
000094,gap,ARM_A,000016,000000,000000
000094,gap,ARM_B,000016,000000,000000
000094,gap,ARM_C,000016,000001,000000
000095,gap,ARM_A,000019,000000,000000
000095,gap,ARM_B,000019,000000,000000
000095,gap,ARM_C,000019,000000,000000
000096,gap,ARM_A,000010,000000,000000
000096,gap,ARM_B,000010,000000,000000
000096,gap,ARM_C,000010,000000,000000
000097,gap,ARM_A,000020,000000,000000
000097,gap,ARM_B,000020,000000,000000
000097,gap,ARM_C,000020,000001,000000
000098,gap,ARM_A,000016,000000,000000
000098,gap,ARM_B,000016,000000,000000
000098,gap,ARM_C,000016,000001,000000
000099,gap,ARM_A,000020,000000,000000
000099,gap,ARM_B,000020,000000,000000
000099,gap,ARM_C,000020,000000,000000
000000,crossing,ARM_A,000000,,000000
000000,crossing,ARM_B,000000,,000000
000000,crossing,ARM_C,000000,,000000
000001,crossing,ARM_A,000000,,000000
000001,crossing,ARM_B,000000,,000000
000001,crossing,ARM_C,000000,,000000
000002,crossing,ARM_A,000000,,000000
000002,crossing,ARM_B,000000,,000000
000002,crossing,ARM_C,000000,,000000
000003,crossing,ARM_A,000000,,000000
000003,crossing,ARM_B,000000,,000000
000003,crossing,ARM_C,000000,,000000
000004,crossing,ARM_A,000000,,000000
000004,crossing,ARM_B,000000,,000000
000004,crossing,ARM_C,000000,,000000
000005,crossing,ARM_A,000000,,000000
000005,crossing,ARM_B,000000,,000000
000005,crossing,ARM_C,000000,,000000
000006,crossing,ARM_A,000000,,000000
000006,crossing,ARM_B,000000,,000000
000006,crossing,ARM_C,000000,,000000
000007,crossing,ARM_A,000000,,000000
000007,crossing,ARM_B,000000,,000000
000007,crossing,ARM_C,000000,,000000
000008,crossing,ARM_A,000000,,000000
000008,crossing,ARM_B,000000,,000000
000008,crossing,ARM_C,000000,,000000
000009,crossing,ARM_A,000000,,000000
000009,crossing,ARM_B,000000,,000000
000009,crossing,ARM_C,000000,,000000
000010,crossing,ARM_A,000000,,000000
000010,crossing,ARM_B,000000,,000000
000010,crossing,ARM_C,000000,,000000
000011,crossing,ARM_A,000000,,000000
000011,crossing,ARM_B,000000,,000000
000011,crossing,ARM_C,000000,,000000
000012,crossing,ARM_A,000000,,000000
000012,crossing,ARM_B,000000,,000000
000012,crossing,ARM_C,000000,,000000
000013,crossing,ARM_A,000000,,000000
000013,crossing,ARM_B,000000,,000000
000013,crossing,ARM_C,000000,,000000
000014,crossing,ARM_A,000000,,000000
000014,crossing,ARM_B,000000,,000000
000014,crossing,ARM_C,000000,,000000
000015,crossing,ARM_A,000000,,000000
000015,crossing,ARM_B,000000,,000000
000015,crossing,ARM_C,000000,,000000
000016,crossing,ARM_A,000000,,000000
000016,crossing,ARM_B,000000,,000000
000016,crossing,ARM_C,000000,,000000
000017,crossing,ARM_A,000000,,000000
000017,crossing,ARM_B,000000,,000000
000017,crossing,ARM_C,000000,,000000
000018,crossing,ARM_A,000000,,000000
000018,crossing,ARM_B,000000,,000000
000018,crossing,ARM_C,000000,,000000
000019,crossing,ARM_A,000000,,000000
000019,crossing,ARM_B,000000,,000000
000019,crossing,ARM_C,000000,,000000
000020,crossing,ARM_A,000000,,000000
000020,crossing,ARM_B,000000,,000000
000020,crossing,ARM_C,000000,,000000
000021,crossing,ARM_A,000000,,000000
000021,crossing,ARM_B,000000,,000000
000021,crossing,ARM_C,000000,,000000
000022,crossing,ARM_A,000000,,000000
000022,crossing,ARM_B,000000,,000000
000022,crossing,ARM_C,000000,,000000
000023,crossing,ARM_A,000000,,000000
000023,crossing,ARM_B,000000,,000000
000023,crossing,ARM_C,000000,,000000
000024,crossing,ARM_A,000000,,000000
000024,crossing,ARM_B,000000,,000000
000024,crossing,ARM_C,000000,,000000
000025,crossing,ARM_A,000000,,000000
000025,crossing,ARM_B,000000,,000000
000025,crossing,ARM_C,000000,,000000
000026,crossing,ARM_A,000000,,000000
000026,crossing,ARM_B,000000,,000000
000026,crossing,ARM_C,000000,,000000
000027,crossing,ARM_A,000000,,000000
000027,crossing,ARM_B,000000,,000000
000027,crossing,ARM_C,000000,,000000
000028,crossing,ARM_A,000000,,000000
000028,crossing,ARM_B,000000,,000000
000028,crossing,ARM_C,000000,,000000
000029,crossing,ARM_A,000000,,000000
000029,crossing,ARM_B,000000,,000000
000029,crossing,ARM_C,000000,,000000
000030,crossing,ARM_A,000000,,000000
000030,crossing,ARM_B,000000,,000000
000030,crossing,ARM_C,000000,,000000
000031,crossing,ARM_A,000000,,000000
000031,crossing,ARM_B,000000,,000000
000031,crossing,ARM_C,000000,,000000
000032,crossing,ARM_A,000000,,000000
000032,crossing,ARM_B,000000,,000000
000032,crossing,ARM_C,000000,,000000
000033,crossing,ARM_A,000000,,000000
000033,crossing,ARM_B,000000,,000000
000033,crossing,ARM_C,000000,,000000
000034,crossing,ARM_A,000000,,000000
000034,crossing,ARM_B,000000,,000000
000034,crossing,ARM_C,000000,,000000
000035,crossing,ARM_A,000000,,000000
000035,crossing,ARM_B,000000,,000000
000035,crossing,ARM_C,000000,,000000
000036,crossing,ARM_A,000000,,000000
000036,crossing,ARM_B,000000,,000000
000036,crossing,ARM_C,000000,,000000
000037,crossing,ARM_A,000000,,000000
000037,crossing,ARM_B,000000,,000000
000037,crossing,ARM_C,000000,,000000
000038,crossing,ARM_A,000000,,000000
000038,crossing,ARM_B,000000,,000000
000038,crossing,ARM_C,000000,,000000
000039,crossing,ARM_A,000000,,000000
000039,crossing,ARM_B,000000,,000000
000039,crossing,ARM_C,000000,,000000
000040,crossing,ARM_A,000000,,000000
000040,crossing,ARM_B,000000,,000000
000040,crossing,ARM_C,000000,,000000
000041,crossing,ARM_A,000000,,000000
000041,crossing,ARM_B,000000,,000000
000041,crossing,ARM_C,000000,,000000
000042,crossing,ARM_A,000000,,000000
000042,crossing,ARM_B,000000,,000000
000042,crossing,ARM_C,000000,,000000
000043,crossing,ARM_A,000000,,000000
000043,crossing,ARM_B,000000,,000000
000043,crossing,ARM_C,000000,,000000
000044,crossing,ARM_A,000000,,000000
000044,crossing,ARM_B,000000,,000000
000044,crossing,ARM_C,000000,,000000
000045,crossing,ARM_A,000000,,000000
000045,crossing,ARM_B,000000,,000000
000045,crossing,ARM_C,000000,,000000
000046,crossing,ARM_A,000000,,000000
000046,crossing,ARM_B,000000,,000000
000046,crossing,ARM_C,000000,,000000
000047,crossing,ARM_A,000000,,000000
000047,crossing,ARM_B,000000,,000000
000047,crossing,ARM_C,000000,,000000
000048,crossing,ARM_A,000000,,000000
000048,crossing,ARM_B,000000,,000000
000048,crossing,ARM_C,000000,,000000
000049,crossing,ARM_A,000000,,000000
000049,crossing,ARM_B,000000,,000000
000049,crossing,ARM_C,000000,,000000
000050,crossing,ARM_A,000000,,000000
000050,crossing,ARM_B,000000,,000000
000050,crossing,ARM_C,000000,,000000
000051,crossing,ARM_A,000000,,000000
000051,crossing,ARM_B,000000,,000000
000051,crossing,ARM_C,000000,,000000
000052,crossing,ARM_A,000000,,000000
000052,crossing,ARM_B,000000,,000000
000052,crossing,ARM_C,000000,,000000
000053,crossing,ARM_A,000000,,000000
000053,crossing,ARM_B,000000,,000000
000053,crossing,ARM_C,000000,,000000
000054,crossing,ARM_A,000000,,000000
000054,crossing,ARM_B,000000,,000000
000054,crossing,ARM_C,000000,,000000
000055,crossing,ARM_A,000000,,000000
000055,crossing,ARM_B,000000,,000000
000055,crossing,ARM_C,000000,,000000
000056,crossing,ARM_A,000000,,000000
000056,crossing,ARM_B,000000,,000000
000056,crossing,ARM_C,000000,,000000
000057,crossing,ARM_A,000000,,000000
000057,crossing,ARM_B,000000,,000000
000057,crossing,ARM_C,000000,,000000
000058,crossing,ARM_A,000000,,000000
000058,crossing,ARM_B,000000,,000000
000058,crossing,ARM_C,000000,,000000
000059,crossing,ARM_A,000000,,000000
000059,crossing,ARM_B,000000,,000000
000059,crossing,ARM_C,000000,,000000
000060,crossing,ARM_A,000000,,000000
000060,crossing,ARM_B,000000,,000000
000060,crossing,ARM_C,000000,,000000
000061,crossing,ARM_A,000000,,000000
000061,crossing,ARM_B,000000,,000000
000061,crossing,ARM_C,000000,,000000
000062,crossing,ARM_A,000000,,000000
000062,crossing,ARM_B,000000,,000000
000062,crossing,ARM_C,000000,,000000
000063,crossing,ARM_A,000000,,000000
000063,crossing,ARM_B,000000,,000000
000063,crossing,ARM_C,000000,,000000
000064,crossing,ARM_A,000000,,000000
000064,crossing,ARM_B,000000,,000000
000064,crossing,ARM_C,000000,,000000
000065,crossing,ARM_A,000000,,000000
000065,crossing,ARM_B,000000,,000000
000065,crossing,ARM_C,000000,,000000
000066,crossing,ARM_A,000000,,000000
000066,crossing,ARM_B,000000,,000000
000066,crossing,ARM_C,000000,,000000
000067,crossing,ARM_A,000000,,000000
000067,crossing,ARM_B,000000,,000000
000067,crossing,ARM_C,000000,,000000
000068,crossing,ARM_A,000000,,000000
000068,crossing,ARM_B,000000,,000000
000068,crossing,ARM_C,000000,,000000
000069,crossing,ARM_A,000000,,000000
000069,crossing,ARM_B,000000,,000000
000069,crossing,ARM_C,000000,,000000
000070,crossing,ARM_A,000000,,000000
000070,crossing,ARM_B,000000,,000000
000070,crossing,ARM_C,000000,,000000
000071,crossing,ARM_A,000000,,000000
000071,crossing,ARM_B,000000,,000000
000071,crossing,ARM_C,000000,,000000
000072,crossing,ARM_A,000000,,000000
000072,crossing,ARM_B,000000,,000000
000072,crossing,ARM_C,000000,,000000
000073,crossing,ARM_A,000000,,000000
000073,crossing,ARM_B,000000,,000000
000073,crossing,ARM_C,000000,,000000
000074,crossing,ARM_A,000000,,000000
000074,crossing,ARM_B,000000,,000000
000074,crossing,ARM_C,000000,,000000
000075,crossing,ARM_A,000000,,000000
000075,crossing,ARM_B,000000,,000000
000075,crossing,ARM_C,000000,,000000
000076,crossing,ARM_A,000000,,000000
000076,crossing,ARM_B,000000,,000000
000076,crossing,ARM_C,000000,,000000
000077,crossing,ARM_A,000000,,000000
000077,crossing,ARM_B,000000,,000000
000077,crossing,ARM_C,000000,,000000
000078,crossing,ARM_A,000000,,000000
000078,crossing,ARM_B,000000,,000000
000078,crossing,ARM_C,000000,,000000
000079,crossing,ARM_A,000000,,000000
000079,crossing,ARM_B,000000,,000000
000079,crossing,ARM_C,000000,,000000
000080,crossing,ARM_A,000000,,000000
000080,crossing,ARM_B,000000,,000000
000080,crossing,ARM_C,000000,,000000
000081,crossing,ARM_A,000000,,000000
000081,crossing,ARM_B,000000,,000000
000081,crossing,ARM_C,000000,,000000
000082,crossing,ARM_A,000000,,000000
000082,crossing,ARM_B,000000,,000000
000082,crossing,ARM_C,000000,,000000
000083,crossing,ARM_A,000000,,000000
000083,crossing,ARM_B,000000,,000000
000083,crossing,ARM_C,000000,,000000
000084,crossing,ARM_A,000000,,000000
000084,crossing,ARM_B,000000,,000000
000084,crossing,ARM_C,000000,,000000
000085,crossing,ARM_A,000000,,000000
000085,crossing,ARM_B,000000,,000000
000085,crossing,ARM_C,000000,,000000
000086,crossing,ARM_A,000000,,000000
000086,crossing,ARM_B,000000,,000000
