clip,source_frame,predecessor_frame,successor_frame,tile,source_width_image_px,source_height_image_px,crop_x0_image_px,crop_x1_image_px,crop_y0_image_px,crop_y1_image_px,scale,strip_panel_order,render
tennis__tennis_nyYk2nPZAwY_720p.mp4,34067,34066,34068,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034067_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34073,34072,34074,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034073_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34073,34072,34074,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034073_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34085,34084,34086,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034085_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34085,34084,34086,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034085_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34097,34096,34098,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034097_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34097,34096,34098,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034097_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34103,34102,34104,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034103_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34103,34102,34104,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034103_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34109,34108,34110,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034109_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34109,34108,34110,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034109_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34121,34120,34122,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034121_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34121,34120,34122,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034121_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34127,34126,34128,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034127_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34127,34126,34128,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034127_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34133,34132,34134,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034133_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34133,34132,34134,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034133_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34139,34138,34140,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034139_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34139,34138,34140,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034139_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34145,34144,34146,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034145_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34145,34144,34146,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034145_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34151,34150,34152,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034151_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34151,34150,34152,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034151_right_temporal_2x.jpg
