game_id,base_game_id,sport,competition,status,finished_at,seconds,start_epoch,px_header_present,rows,eligible
euroleague-AIPW_g_VZN0_s5405,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911733,808,1788910925,1,4160,1
3fT6aYz2N9w_s1339,3fT6aYz2N9w,nba,nba,tracked,1788911836,848,1788910988,1,5158,1
euroleague-AIPW_g_VZN0_s90,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911918,972,1788910946,1,3838,1
3fT6aYz2N9w_s2588,3fT6aYz2N9w,nba,nba,tracked,1788911919,867,1788911052,1,4256,1
3fT6aYz2N9w_s90,3fT6aYz2N9w,nba,nba,tracked,1788912226,347,1788911879,1,5217,1
3fT6aYz2N9w_s5086,3fT6aYz2N9w,nba,nba,tracked,1788912307,531,1788911776,1,632,1
tDpmV777-IQ_s2676,tDpmV777-IQ,ncaa_basketball,ncaa_basketball,tracked,1788912328,429,1788911899,1,2999,1
tDpmV777-IQ_s5262,tDpmV777-IQ,ncaa_basketball,ncaa_basketball,tracked,1788912513,328,1788912185,1,2863,1
tDpmV777-IQ_s90,tDpmV777-IQ,ncaa_basketball,ncaa_basketball,tracked,1788912595,328,1788912267,1,2283,1
wHs1OssEcAw_s1183,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788912697,429,1788912268,1,3248,1
50pp-OqYVok_s2750,50pp-OqYVok,nba,nba,tracked,1788912900,427,1788912473,1,4508,1
wHs1OssEcAw_s2276,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788912921,366,1788912555,1,1704,1
wHs1OssEcAw_s5555,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788913063,406,1788912657,1,818,1
50pp-OqYVok_s4080,50pp-OqYVok,nba,nba,tracked,1788913186,671,1788912515,1,6016,1
50pp-OqYVok_s5410,50pp-OqYVok,nba,nba,tracked,1788913267,732,1788912535,1,4194,1
7Ci3zQ5Vm4M_s2312,7Ci3zQ5Vm4M,wnba,wnba,tracked,1788913370,387,1788912983,1,4257,1
50pp-OqYVok_s90,50pp-OqYVok,nba,nba,tracked,1788913431,591,1788912840,1,3929,1
wHs1OssEcAw_s90,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788913431,570,1788912861,1,1749,1
wHs1OssEcAw_s4462,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788913616,1000,1788912616,1,2360,1
wHs1OssEcAw_s3369,wHs1OssEcAw,ncaa_basketball,ncaa_basketball,tracked,1788913637,1061,1788912576,1,1649,1
1zPhldjbJnU_s1196,1zPhldjbJnU,wnba,wnba,tracked,1788913678,532,1788913146,1,4017,1
1zPhldjbJnU_s2302,1zPhldjbJnU,wnba,wnba,tracked,1788913821,614,1788913207,1,2834,1
1zPhldjbJnU_s3408,1zPhldjbJnU,wnba,wnba,tracked,1788913984,655,1788913329,1,4316,1
1zPhldjbJnU_s90,1zPhldjbJnU,wnba,wnba,tracked,1788914005,634,1788913371,1,3450,1
1zPhldjbJnU_s4514,1zPhldjbJnU,wnba,wnba,tracked,1788914045,695,1788913350,1,3768,1
1zPhldjbJnU_s5620,1zPhldjbJnU,wnba,wnba,tracked,1788914045,675,1788913370,1,5636,1
fiba-1DKl1QOo_b8_s1289,fiba-1DKl1QOo_b8,basketball,fiba,tracked,1788914334,799,1788913535,1,1650,1
