window_id,game_id,competition,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,source_height,source_fps,start_frame,end_frame,max_frame_tracking,max_frame_ball
lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA_s90,lnb,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s90/tracking_data.csv,822a2238ce73c2623f3f4dd5bba5ab96de93635f48bd7de4521a14aa3a908da9,1911133,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s90/ball_tracking.csv,8fae9189286df838d29bfc1e3a2a7d673582fa10306ebd4966b2c7dcd8402743,29229,1080,30.0,600,659,2997,2997
nbl-U6Ng-QmKKzk_s90,nbl-U6Ng-QmKKzk_s90,nbl,/workspace/nba-ai-system/data/tracking/nbl-U6Ng-QmKKzk_s90/tracking_data.csv,9576b11034279c4e2cbee6dbb788df7d8bccd98406e13b03e71776a528496004,779501,/workspace/nba-ai-system/data/tracking/nbl-U6Ng-QmKKzk_s90/ball_tracking.csv,ebcfbf73107c254a33520dec225c0cf0cbe68f0a9d26b09c5e4d8683b7265d62,20259,1080,50.0,600,659,3175,3175
ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs_s1161,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s1161/tracking_data.csv,e60ad1ac07f0733b276938fac4a1f1c7dde39428f989896cfad29bb477e48908,1605333,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s1161/ball_tracking.csv,3fb7a33217c2d7f1d395e0bbae60ae66d11f39901c66d6776731c27e043455dd,34238,1080,29.97002997002997,600,659,2997,2997
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs_s2232,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s2232/tracking_data.csv,418c24ab2d96569b0b90dc8330cd806f7237b87ab3ac36c62fb002804454b081,1445007,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s2232/ball_tracking.csv,9ca34fc6ebc040ae77d44ed371c6a8889348df04044646f4a75d72ffbba0f0b6,35857,1080,29.97002997002997,600,659,3177,3177
ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs_s3303,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s3303/tracking_data.csv,62a79fea3435e6cb924927184e5650e248884cfc9bac7e0557b4c88fd7d7447e,2049111,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s3303/ball_tracking.csv,b3c5c9d5db19784c9ac9e34259985ceb95060a83a958d9b799b1d8f6c1dccc3a,34953,1080,29.97002997002997,600,659,3357,3357
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs_s4374,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/tracking_data.csv,b6f056816b6023d26e02e16b9f770afa0094685421f3a27e183c8138ce88fd16,1128335,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s4374/ball_tracking.csv,5db998d6d10b19a547bf4dde2f788d01e9e3a06c67899e2d4297a6edc4a87f43,31887,1080,29.97002997002997,600,659,3447,3447
acb-8Oh7-GrvKvE_s1360,acb-8Oh7-GrvKvE_s1360,acb,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s1360/tracking_data.csv,ef2d49ad0135d836a24e8b4ba291035fb667132e3beed1ca418cad6340ad22ab,691619,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s1360/ball_tracking.csv,a48eb37679b15705771229167886b438f5863afa1ab206c34139069b4d389a44,16190,1080,60.0,600,659,3084,3084
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE_s2630,acb,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s2630/tracking_data.csv,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,966830,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s2630/ball_tracking.csv,01c1adcc1b1295c2bd00ef51071017f6b25ad270cbd41a5e888da02f8bdf320f,13998,1080,60.0,600,659,2994,2994
ncaaw-lFZWLVzvCEs_s5445,ncaaw-lFZWLVzvCEs_s5445,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s5445/tracking_data.csv,710a8fa47be6432f47b1b6f4e6efb98b6744df1079374481baa491f3a4000f74,1797217,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s5445/ball_tracking.csv,08f1d894fbf0a7a1955edb4b41aa91d7108806cbcbb455a4de251786d7111973,35045,1080,29.97002997002997,600,659,3267,3267
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs_s90,ncaaw,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/tracking_data.csv,85fa05c44451f6fb320452501bdf19fd0a98667cf6186bebfbe2e0fa6722df36,1582720,/workspace/nba-ai-system/data/tracking/ncaaw-lFZWLVzvCEs_s90/ball_tracking.csv,eba088e7fe21f49534b61f51135c91d4c5ff13c4a627fcdb50e672235ed1af6e,37116,1080,29.97002997002997,600,659,3087,3087
acb-8Oh7-GrvKvE_s3900,acb-8Oh7-GrvKvE_s3900,acb,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s3900/tracking_data.csv,53f2e8edfa5a83da8388019082e76730696e9868955302e0bdc1353f8aaa240a,18889,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s3900/ball_tracking.csv,d24a6b1b0588021361a26fd6406f9e196cc9f80dc833835ddabef4fbceb593dd,13301,1080,60.0,600,659,2994,2994
acb-8Oh7-GrvKvE_s5170,acb-8Oh7-GrvKvE_s5170,acb,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s5170/tracking_data.csv,9694b1281a53a4694830b579b3e984c2740fe0ba31adc61a714bc7054fadce59,471216,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s5170/ball_tracking.csv,87f65d40cc84cb45951dbff36eddb6520f82954df8d91da592e60afa084a6c89,13326,1080,60.0,600,659,3084,3084
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE_s6440,acb,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s6440/tracking_data.csv,909178536fcf1fd139552837c563cd3ff2ac5178b6c3ab42ff7601d113e35f62,974433,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s6440/ball_tracking.csv,3dc0dc375427a95bcea0f885b29301fa212f72ec927f75cec3579e6bcbbf05c2,16407,1080,60.0,600,659,3084,3084
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI_s1385,fiba,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s1385/tracking_data.csv,286d338681f898a2e1bc98e3d06c67ccec6d45c78f11ade91d561a98a4009541,1686353,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s1385/ball_tracking.csv,85ff9c4128c854265966c3675623d5763fb480dbbfe5142d25e862c93799ffb4,33384,1080,30.0,600,659,3447,3447
fiba-UG_eQNRDHiI_s2680,fiba-UG_eQNRDHiI_s2680,fiba,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s2680/tracking_data.csv,9cf497611ef490a5f8c6adddf77a5797bee666253a56aa3634f9db47f6e02eff,1337925,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s2680/ball_tracking.csv,55534b6ddf0b0212c2c1ec9ad1ef5a5e143c1c575d92306d1c546c3fed86c1ee,29017,1080,30.0,600,659,2997,2997
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI_s3975,fiba,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s3975/tracking_data.csv,b8e841e864645685aadeef79260c522c6e1b7307a65d3e43415706a65d3e5b01,2185118,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s3975/ball_tracking.csv,951acba7f5f57d2360e27af19a8b68c27322e9e978bc141d31e088d324c70d82,31020,1080,30.0,600,659,3717,3717
fiba-UG_eQNRDHiI_s5270,fiba-UG_eQNRDHiI_s5270,fiba,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s5270/tracking_data.csv,3ebd121347b0c05464a1f08f94c37d402923d5ed44bd3e541f48aa54f594357a,1905121,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s5270/ball_tracking.csv,24be436a7797b1d89d5a350e66aed2a028b084b1d3cdee6eab58fa411f858483,32380,1080,30.0,600,659,3537,3537
UPco-jzOoEg_s2796,UPco-jzOoEg_s2796,UPco,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s2796/tracking_data.csv,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,578985,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s2796/ball_tracking.csv,74dd069dc7f5f1f07c0b8bc7e5d9866d218225f01828930d003c0098cdf82725,15765,1080,60.0,600,659,3174,3174
UPco-jzOoEg_s1443,UPco-jzOoEg_s1443,UPco,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s1443/tracking_data.csv,5396eafb5a3bd373a8419080e379149bd2fa63275d7856b836f5bd9d21489d24,745925,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s1443/ball_tracking.csv,61a7818ab08b975e5255098de768e9aeb43290c7cfb6d1b30b4544cb5052d121,15431,1080,60.0,600,659,3354,3354
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI_s90,fiba,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s90/tracking_data.csv,ef5a741fa90f285b88bc8014d4170cb733ef63f1bb38ac5621abb81e921f70ba,1839848,/workspace/nba-ai-system/data/tracking/fiba-UG_eQNRDHiI_s90/ball_tracking.csv,5f16ef518c8332c8fd84cdfece3ef06eacbd0ee983759b6e3ecfdeee05daa282,30291,1080,30.0,600,659,3087,3087
