window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
fiba-jFUMvm_epUE_s6740,000630,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000631,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000632,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000633,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000634,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000635,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000636,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000637,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000638,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000639,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000640,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000641,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000642,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000643,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000644,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000645,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000646,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000647,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000648,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000649,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000650,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000651,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000652,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000653,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000654,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000655,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000656,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000657,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000658,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000659,ABSENT,none,,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000600,OBSERVED_VALID,detected,0,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000601,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000602,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000603,ABSENT,none,3,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000604,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000605,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000606,INFERRED,inferred,6,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000607,ABSENT,none,7,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000608,ABSENT,none,8,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000609,ABSENT,none,9,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000610,ABSENT,none,10,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000611,ABSENT,none,11,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000612,INFERRED,inferred,12,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000613,ABSENT,none,13,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000614,ABSENT,none,14,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000615,ABSENT,none,15,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000616,ABSENT,none,16,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000617,ABSENT,none,17,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000618,INFERRED,inferred,18,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000619,ABSENT,none,19,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s1221,000620,ABSENT,none,20,,,no_ball,,,,0,px,0
