track_id,observation_count,step_count,first_frame,last_frame,min_x_px,max_x_px,min_y_px,max_y_px,path_length_px,footpoint_bbox_diagonal_px,median_step_displacement_px,eligible,observations_top_strip_0_89,observations_score_bug_90_300,observations_lower_third_850_980,observations_bottom_strip_990_1079,observations_other
79,1,0,22760,22760,1821.0,1821.0,958.5,958.5,0.0,0.0,,False,0,0,1,0,0
80,242,241,22819,23180,19.0078125,648.0,287.625,989.25,7162.911340067129,942.289134268795,13.52081728298996,True,0,12,73,0,157
81,196,195,22856,23184,564.0,1900.5,164.8125,981.75,11370.458821718916,1566.4032459447503,11.715374513859981,True,0,6,91,0,99
82,58,57,22863,22932,1111.5,1870.5,591.0,981.0,1998.5704069089575,853.3352213520781,7.648529270389178,True,0,0,43,0,15
83,480,479,22863,23399,102.09375,1229.25,158.8125,978.0,7719.624345163815,1393.3949088719653,5.460082416960389,True,0,100,300,0,80
84,59,58,22863,22936,34.734375,434.25,595.5,804.75,1378.4702401782301,450.9970034480724,7.170493571915144,True,0,0,0,0,59
85,52,51,22866,22937,53.34375,1608.0,558.75,970.5,3668.4856903255813,1608.2581006057649,15.62899948813103,True,0,0,2,0,50
86,116,115,23005,23192,373.125,1834.5,276.9375,975.0,7393.14184121354,1619.5394853263845,18.140079933671736,True,0,4,11,0,101
87,81,80,23086,23184,849.0,1524.0,113.25,852.75,1537.0125433886276,1001.2418538994463,7.350885828147108,True,0,50,1,0,30
88,97,96,23089,23222,1038.0,1845.0,114.1875,952.5,3772.8850963318573,1163.6222959604418,12.049622283817207,True,0,25,7,0,65
89,98,97,23300,23397,985.5,999.0,353.25,486.0,323.5788685729704,133.43467502864465,1.6770509831248424,True,0,0,0,0,98
90,98,97,23300,23399,1191.0,1216.5,137.8125,284.25,197.69118356099608,148.64114977438112,0.5625,True,0,98,0,0,0
91,100,99,23300,23399,1347.0,1395.0,200.25,337.5,189.25770398920713,145.40138410620443,0.375,True,0,8,0,0,92
92,14,13,23300,23313,493.5,542.25,691.875,822.0,210.86274750166803,138.95710894013303,1.637273362178717,False,0,0,0,0,14
93,88,87,23300,23399,1414.5,1449.0,721.5,830.25,238.93930232766002,114.09124637762531,1.6770509831248424,True,0,0,0,0,88
94,100,99,23300,23399,402.0,423.65625,879.0,976.5,167.74286688706584,99.8761391127155,0.75,True,0,0,100,0,0
95,85,84,23300,23390,48.703125,525.0,393.0,829.5,1272.0666103127721,646.0580183967734,0.375,True,0,0,0,0,85
96,2,1,23305,23306,495.65625,496.125,817.5,819.0,1.5715363700850198,1.5715363700850198,1.5715363700850198,False,0,0,0,0,2
97,27,26,23363,23399,467.15625,535.5,681.0,825.0,308.6446741005278,159.39532039574593,4.139064852638489,True,0,0,0,0,27
98,2,1,23390,23391,41.15625,45.796875,392.25,402.375,11.137819597687198,11.137819597687198,11.137819597687198,False,0,0,0,0,2
