control_id,control_set,rater,tile_index,angle_degrees,state,answered,conversion_ok,span_px,perp_p1,perp_p2,perp_p3,signed_p1,signed_p2,signed_p3,pos_p1,pos_p2,pos_p3,angle_error_deg,passed,fail_reason
G392_PRACTICE_014,practice,sol,2,30.0,VISIBLE,1,1,190.895,1.619,0.981,1.050,1.619,0.981,1.050,0.1006,0.8960,0.4965,0.192,1,
G392_PRACTICE_015,practice,sol,3,60.0,VISIBLE,1,1,189.528,0.843,0.570,0.505,-0.843,-0.570,-0.505,0.1054,0.8951,0.4863,0.082,1,
G392_PRACTICE_016,practice,sol,4,0.0,VISIBLE,1,1,200.000,0.995,0.995,0.995,-0.995,-0.995,-0.995,0.0842,0.9175,0.4842,0.000,1,
G392_PRACTICE_017,practice,sol,5,30.0,VISIBLE,1,1,202.425,0.561,0.837,0.264,-0.561,0.837,-0.264,0.0767,0.9201,0.4705,0.396,1,
G392_PRACTICE_018,practice,sol,6,60.0,VISIBLE,1,1,190.394,0.057,0.285,0.220,-0.057,-0.285,-0.220,0.1110,0.9043,0.4955,0.068,1,
G392_PRACTICE_019,practice,sol,1,0.0,VISIBLE,1,1,190.000,0.718,0.718,0.718,-0.718,-0.718,-0.718,0.0951,0.8867,0.5242,0.000,1,
G392_PRACTICE_020,practice,sol,2,30.0,VISIBLE,1,1,196.224,0.194,0.064,0.227,-0.194,-0.064,-0.227,0.0918,0.9094,0.5249,0.038,1,
G392_PRACTICE_021,practice,sol,3,60.0,VISIBLE,1,1,192.130,0.747,0.480,0.452,0.747,-0.480,-0.452,0.1016,0.9021,0.5269,0.366,1,
G392_PRACTICE_022,practice,sol,4,0.0,VISIBLE,1,1,205.000,0.946,0.946,0.946,0.946,0.946,0.946,0.0688,0.9230,0.4646,0.000,1,
G392_PRACTICE_023,practice,sol,5,30.0,VISIBLE,1,1,195.727,0.149,0.846,0.022,-0.149,0.846,-0.022,0.0811,0.8966,0.4320,0.291,1,
G392_PRACTICE_024,practice,sol,6,60.0,VISIBLE,1,1,190.895,0.230,0.408,0.241,-0.230,0.408,0.241,0.0949,0.8903,0.4665,0.192,1,
G392_PRACTICE_025,practice,sol,1,0.0,VISIBLE,1,1,190.000,0.948,0.948,0.052,0.948,0.948,-0.052,0.1011,0.8928,0.5011,0.000,1,
G392_PRACTICE_026,practice,sol,2,30.0,VISIBLE,1,1,195.233,0.958,0.903,0.126,-0.958,0.903,-0.126,0.0926,0.9060,0.5236,0.546,1,
G392_PRACTICE_027,practice,sol,3,60.0,VISIBLE,1,1,185.930,0.852,0.893,0.654,0.852,0.893,0.654,0.1207,0.8954,0.5388,0.012,1,
G392_PRACTICE_028,practice,sol,4,0.0,VISIBLE,1,1,200.000,0.279,0.279,0.279,0.279,0.279,0.279,0.0861,0.9195,0.4653,0.000,1,
G392_PRACTICE_029,practice,sol,5,30.0,VISIBLE,1,1,203.789,0.629,0.403,0.302,-0.629,0.403,0.302,0.0786,0.9277,0.4853,0.290,1,
G392_PRACTICE_030,practice,sol,6,60.0,VISIBLE,1,1,194.859,1.323,0.827,1.294,1.323,0.827,1.294,0.0838,0.8957,0.4590,0.146,1,
