fixture_id,game_id,league,tracking_path,sidecar_path,window_start,window_end,tracking_sha256,sidecar_sha256,source_file_bytes,attempted_frames,rows_in_window,sidecar_present
000011,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s5217/tracking_data.csv,,0,57,61978c9b44211ea532c3db014cc35c40faa16f3a7c0b937ecd5ae689087afe17,,2342953,20,102,0
000012,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s5599/tracking_data.csv,,0,57,a8ac881b905e6f6bc334b70d4ca862df297fa95f039b8736a3a718ffad553fcd,,1143433,20,58,0
000013,0022401198,nba,/workspace/nba-ai-system/data/tracking/0022401198_s60/tracking_data.csv,,0,57,e00a408c4a6782cec7b889797c43a05431342ea5c3c03181499fbed206950269,,1406876,20,91,0
000014,0022401198,nba,/workspace/nba-ai-system/data/tracking/0022401198_s968/tracking_data.csv,,0,57,73d124d1438b71aa8aebfc2c24691a696db0c05ebbbda89f8f82b459021b58b4,,983876,20,40,0
000015,0022401198,nba,/workspace/nba-ai-system/data/tracking/0022401198_s1876/tracking_data.csv,,0,57,23956cf693e9774ffcfae7c5b8535143801e846a3d11c0c894f417bc0d941907,,1957336,20,55,0
000016,0022401198,nba,/workspace/nba-ai-system/data/tracking/0022401198_s2784/tracking_data.csv,,0,57,ee16096c873c6979cc69066bbc81cb9a481ead063ff4ce86613985f3a5559aa6,,1354233,20,64,0
000017,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,90,147,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,151,0
000018,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,582,639,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,134,0
000019,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,1071,1128,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,138,0
000020,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,1560,1617,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,79,0
000021,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,2049,2106,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,87,0
000022,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,2538,2595,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,127,0
000023,wnba_02,wnba,/workspace/nba-ai-system/data/tracking/wnba_02/tracking_data.csv,,3030,3087,5c7d174bda1503d5cf5b2f0af6085c8052692a9337d2bbde3cb1552c0fab8d43,,2398304,20,144,0
000024,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,30,78,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,17,25,0
000025,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,666,723,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,20,115,0
000026,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,1302,1359,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,20,104,0
000027,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,1935,1992,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,20,116,0
000028,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,2571,2607,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,13,32,0
000029,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,3204,3261,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,20,115,0
000030,wnba_05,wnba,/workspace/nba-ai-system/data/tracking/wnba_05/tracking_data.csv,,3840,3897,07077b311c50b1c9482ded969f4e9f736cf05f0b0d130c288cbd5cd407f59413,,1759850,20,125,0
