section_name,game_id,offset_s,pool,sport,status,finished_at,rows,decoded_frames,evaluated_frames,stride,source_fps,source_resolution,unique_frames,frame_size_source,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,eligible,ineligible_reason,selected,select_index
G8bPOW37Sp0_s550,G8bPOW37Sp0,550,FRESH_POST_RELAUNCH,wnba,tracked,1789055211,4639,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/G8bPOW37Sp0_s550/tracking_data.csv,76359b5455f8fabed89630974c9817c477fdc4096243d92e74872fbd96a0ba14,1864365,/workspace/data/tracking/G8bPOW37Sp0_s550/ball_tracking.csv,9fedab85455f852db83937f406a5a53fbf1bac8a1dc7de8b5445735bc640746b,034517,1,,1,000010
G8bPOW37Sp0_s90,G8bPOW37Sp0,90,FRESH_POST_RELAUNCH,wnba,tracked,1789055030,3430,3897,1299,3,29.97002997002997,1920x1080,000941,estimated,/workspace/data/tracking/G8bPOW37Sp0_s90/tracking_data.csv,606363e091bf38e49232d4a7dea8e8f510f941a623cb967208b3bc02d9f05cd6,1316293,/workspace/data/tracking/G8bPOW37Sp0_s90/ball_tracking.csv,0e8398a24db9b26feaed52743320a4cfe44c987b0f45aec5e349bbe71bb17e5a,031142,1,,1,000011
N-eE7ZwTuno_s1308,N-eE7ZwTuno,1308,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789053696,6123,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/N-eE7ZwTuno_s1308/tracking_data.csv,31d3bf06872774b1157a874c7e92b58e192b7ddf5a1fcf0d06ffdd924ceba2db,2390165,/workspace/data/tracking/N-eE7ZwTuno_s1308/ball_tracking.csv,287dfadaccc954e613d03e9c834e4971b7836fe37390b821013e8c2b6b8c2444,032493,1,,1,000012
N-eE7ZwTuno_s2526,N-eE7ZwTuno,2526,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789053716,2696,3897,1299,3,29.97002997002997,1920x1080,000962,estimated,/workspace/data/tracking/N-eE7ZwTuno_s2526/tracking_data.csv,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44,1060945,/workspace/data/tracking/N-eE7ZwTuno_s2526/ball_tracking.csv,628b099cac81cd8049326eb56e002ad66d8f38b8a9adef00f7bc21e0e599ce8e,036116,1,,1,000013
N-eE7ZwTuno_s3744,N-eE7ZwTuno,3744,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789053716,5328,3897,1299,3,29.97002997002997,1920x1080,000988,estimated,/workspace/data/tracking/N-eE7ZwTuno_s3744/tracking_data.csv,ffad744e69144add9d7fa583d67c2b2794345d9e41bfb6b2db508017f0d4b13a,2028192,/workspace/data/tracking/N-eE7ZwTuno_s3744/ball_tracking.csv,7770ffd4423679d369071f895f3b5c4c3ac1f3f2fde54133968fe8b0063902dd,032209,1,,1,000014
N-eE7ZwTuno_s4962,N-eE7ZwTuno,4962,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789053757,3983,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/N-eE7ZwTuno_s4962/tracking_data.csv,ab1d74fa67c399f11f4504a8166ed6b930e4da99d17c62f9c43f3c8f73f7e471,1533007,/workspace/data/tracking/N-eE7ZwTuno_s4962/ball_tracking.csv,346e38082caf1f64044fc55d03dbc14750db50753d44708413ed7ef48fa225ea,031477,1,,1,000015
N-eE7ZwTuno_s90,N-eE7ZwTuno,90,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789053716,4027,3897,1299,3,29.97002997002997,1920x1080,000992,estimated,/workspace/data/tracking/N-eE7ZwTuno_s90/tracking_data.csv,67b8ee0873e2b6ff0919a6605fe0aa408a2eb2ef49810ac6fa7998fa9ffa9381,1572645,/workspace/data/tracking/N-eE7ZwTuno_s90/ball_tracking.csv,24656c7fa6409b4e3995c24a9b4585f6e5eba6f0763fea230e18e5954aee4c7b,033435,1,,1,000016
RIrGQJ_jsGQ_s1410,RIrGQJ_jsGQ,1410,FRESH_POST_RELAUNCH,nba,tracked,1789057146,5319,3901,1301,3,30.0,1920x1080,001000,estimated,/workspace/data/tracking/RIrGQJ_jsGQ_s1410/tracking_data.csv,df7792cc0099549820df2e5ccda5ad7466a9eff7ab3e3e3f11af1d162271256c,2043893,/workspace/data/tracking/RIrGQJ_jsGQ_s1410/ball_tracking.csv,aa5aa077b23b9ee9aa9eb8bcdefcd6a4a5899e705033558ab2067789f64798e4,033462,1,,1,000017
RIrGQJ_jsGQ_s2730,RIrGQJ_jsGQ,2730,FRESH_POST_RELAUNCH,nba,tracked,1789057167,3307,3901,1301,3,30.0,1920x1080,000778,estimated,/workspace/data/tracking/RIrGQJ_jsGQ_s2730/tracking_data.csv,2232f7ad54c4c25cba85f01d2b3ed3f060e0bb3ae65bf1681e11bd45fba2b2b8,1248427,/workspace/data/tracking/RIrGQJ_jsGQ_s2730/ball_tracking.csv,bcf29aa24360ab65eb9ee9cd52f6b084d82bda770d28e6e9b10dd6cfffb40065,035284,1,,1,000018
RIrGQJ_jsGQ_s4050,RIrGQJ_jsGQ,4050,FRESH_POST_RELAUNCH,nba,tracked,1789057085,3902,3901,1301,3,30.0,1920x1080,001000,estimated,/workspace/data/tracking/RIrGQJ_jsGQ_s4050/tracking_data.csv,ba5f193240258c0014d6837e8457b9fe28076dc2daa48106f5ca869acb387286,1494987,/workspace/data/tracking/RIrGQJ_jsGQ_s4050/ball_tracking.csv,041315211b9e2c1623ee5014d159ae95b6b242061909f818f6511db3111054e9,032174,1,,1,000019
RIrGQJ_jsGQ_s5370,RIrGQJ_jsGQ,5370,FRESH_POST_RELAUNCH,nba,tracked,1789057126,3078,3901,1301,3,30.0,1920x1080,000999,estimated,/workspace/data/tracking/RIrGQJ_jsGQ_s5370/tracking_data.csv,0a2c535876870f66697c81ad1b3236a5892d8d1d30586eefcb2def7235d17270,1155005,/workspace/data/tracking/RIrGQJ_jsGQ_s5370/ball_tracking.csv,76cfa808a01384fb703404c599aded1ab9d3aa8355f8f07d85fda17f494634ca,034399,1,,1,000020
RIrGQJ_jsGQ_s90,RIrGQJ_jsGQ,90,FRESH_POST_RELAUNCH,nba,tracked,1789057106,1321,3901,1301,3,30.0,1920x1080,000532,estimated,/workspace/data/tracking/RIrGQJ_jsGQ_s90/tracking_data.csv,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,492895,/workspace/data/tracking/RIrGQJ_jsGQ_s90/ball_tracking.csv,fa0c032527a5f34be1b8c84ae41cf10abcbde637a931941c9513083d2e5a9ea2,026340,1,,1,000021
XCaGht2GmPg_s1416,XCaGht2GmPg,1416,FRESH_POST_RELAUNCH,nba,tracked,1789055494,2212,7793,1299,6,59.940062481771484,1920x1080,000493,estimated,/workspace/data/tracking/XCaGht2GmPg_s1416/tracking_data.csv,465b725e1c805aabe3cca05e4765f0afa39ba792e7976db0fcb365578a5e4bfa,911687,/workspace/data/tracking/XCaGht2GmPg_s1416/ball_tracking.csv,43fbe7e922f74c89dd88e20a441c5e14e8ab13f78cdf809545fc6a7f613e2254,017406,1,,1,000022
XCaGht2GmPg_s2742,XCaGht2GmPg,2742,FRESH_POST_RELAUNCH,nba,tracked,1789055515,2654,7793,1299,6,59.94006243850289,1920x1080,000500,estimated,/workspace/data/tracking/XCaGht2GmPg_s2742/tracking_data.csv,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,1098922,/workspace/data/tracking/XCaGht2GmPg_s2742/ball_tracking.csv,ecc24810dbc4ecc6db4e010b671170571bec2174e2e56256c100ab76bddb2a62,017420,1,,1,000023
XCaGht2GmPg_s4068,XCaGht2GmPg,4068,FRESH_POST_RELAUNCH,nba,tracked,1789055696,1748,7793,1299,6,59.94006504362977,1920x1080,000495,estimated,/workspace/data/tracking/XCaGht2GmPg_s4068/tracking_data.csv,acf5677c3bf2dfa53ed4b2bf7634ebee0ddf9f6068ffe7b9f5a38daeeb98c560,685678,/workspace/data/tracking/XCaGht2GmPg_s4068/ball_tracking.csv,95348f62508f4ce637a3d5fabeec0956bb4f6f0c3f5c43ddb6b4796586df8a7a,014643,1,,1,000024
XCaGht2GmPg_s5394,XCaGht2GmPg,5394,FRESH_POST_RELAUNCH,nba,tracked,1789055736,2347,7793,1299,6,59.940064956411184,1920x1080,000499,estimated,/workspace/data/tracking/XCaGht2GmPg_s5394/tracking_data.csv,e88f02b4db1883a48811591cc4598c36ebd14ed6ae285acab0d226b0553e8d40,979131,/workspace/data/tracking/XCaGht2GmPg_s5394/ball_tracking.csv,bf56d1f42e0167e86890efc7f62b1d13b206db4f0e1d0a7ac180b3f1ce3c5bea,017631,1,,1,000025
XCaGht2GmPg_s90,XCaGht2GmPg,90,FRESH_POST_RELAUNCH,nba,tracked,1789055716,989,7793,1299,6,59.9400649176314,1920x1080,000497,estimated,/workspace/data/tracking/XCaGht2GmPg_s90/tracking_data.csv,a80523182927b2eea0be802a484ffb541e5b5740ed068973f0c7513f330fb6ec,397365,/workspace/data/tracking/XCaGht2GmPg_s90/ball_tracking.csv,3d4d3a4292062f90c0100ff41a484c1c45c03ea80fa1bf153d1438fb054f85a6,017523,1,,1,000026
XzIzQZBrPBY_s244,XzIzQZBrPBY,244,FRESH_POST_RELAUNCH,nba,tracked,1789053757,1288,7793,1299,6,59.94006240761597,1920x1080,000494,estimated,/workspace/data/tracking/XzIzQZBrPBY_s244/tracking_data.csv,c7797dea84fab53e8abaa0b4d06141aea67d59e01b811e0c8d0b6acb4ffe7656,507255,/workspace/data/tracking/XzIzQZBrPBY_s244/ball_tracking.csv,bee4fd25352e696157a4159f2cc2773cfe62ac6174eb5a51b772923694513c20,014959,1,,1,000027
XzIzQZBrPBY_s398,XzIzQZBrPBY,398,FRESH_POST_RELAUNCH,nba,tracked,1789053777,2042,7793,1299,6,59.94006504754756,1920x1080,000493,estimated,/workspace/data/tracking/XzIzQZBrPBY_s398/tracking_data.csv,92b38f07a70a8bf18fb94ef1ec6c3115cf31238ab07a9d840ddaf9778b81271a,829585,/workspace/data/tracking/XzIzQZBrPBY_s398/ball_tracking.csv,293faa3d9dac2675646cda062d0cc2b691ccc05d8611ada15140a698f954e297,016704,1,,1,000028
XzIzQZBrPBY_s90,XzIzQZBrPBY,90,FRESH_POST_RELAUNCH,nba,tracked,1789053797,1864,7793,1299,6,59.94006488189246,1920x1080,000499,estimated,/workspace/data/tracking/XzIzQZBrPBY_s90/tracking_data.csv,9bcd2f158c84c27989ec6633d25beef56021fa7da68bc63014731eb0ffcc8057,761440,/workspace/data/tracking/XzIzQZBrPBY_s90/ball_tracking.csv,e79436b8d90b1947b9b7c6c12cea86b2ed1613aba5e4787100e28c580da96549,016876,1,,1,000029
fXLNra4sjjU_s1238,fXLNra4sjjU,1238,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054526,3182,3898,1300,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/fXLNra4sjjU_s1238/tracking_data.csv,5a13434cda9b42e1288fcc97fcf4a554d94bd28b3f80de29ff2ee1825e439c43,1258187,/workspace/data/tracking/fXLNra4sjjU_s1238/ball_tracking.csv,327e41f57a0b0860dcd8fa03d6c6bf8f8ad209807fb8c9872790663fad224a05,041786,1,,1,000030
fXLNra4sjjU_s2386,fXLNra4sjjU,2386,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054566,6521,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/fXLNra4sjjU_s2386/tracking_data.csv,d35002f0641b4897b4c47ccc4374c6705487f6600622b578ccf7895eb94ae2ed,2758266,/workspace/data/tracking/fXLNra4sjjU_s2386/ball_tracking.csv,06dc314587fb25aaacd44312b0dc294972d1f0e0cbc0619c04126e775f3c71eb,035251,1,,1,000031
fXLNra4sjjU_s3534,fXLNra4sjjU,3534,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054566,4475,3897,1299,3,29.97002997002997,1920x1080,000986,estimated,/workspace/data/tracking/fXLNra4sjjU_s3534/tracking_data.csv,65287ec11f7ebc83fced93cc8475d4d364ff7837abfed1f512188be2678acac2,1791583,/workspace/data/tracking/fXLNra4sjjU_s3534/ball_tracking.csv,486f0a7ad5b2a2ae47090388144249e1515f3470f15bbc109abc978f2c069cd1,029747,1,,1,000032
fXLNra4sjjU_s4682,fXLNra4sjjU,4682,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054627,2186,3897,1299,3,29.97002997002997,1920x1080,000422,estimated,/workspace/data/tracking/fXLNra4sjjU_s4682/tracking_data.csv,5b3aa120b52d34a9b4d748ee482b239b4354255e8735365f841a7fc0fa38e3c0,890089,/workspace/data/tracking/fXLNra4sjjU_s4682/ball_tracking.csv,d4eaa4e9f1f7adbbf901a46e419f44828fd116aeea6d44607ec4fbe32435474c,033794,1,,1,000033
fXLNra4sjjU_s5830,fXLNra4sjjU,5830,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054627,3959,3897,1299,3,29.97002997002997,1920x1080,000949,estimated,/workspace/data/tracking/fXLNra4sjjU_s5830/tracking_data.csv,2624005da4542c15ef77141ff7786333f173acb3be23170e583b3daac26ff573,1543229,/workspace/data/tracking/fXLNra4sjjU_s5830/ball_tracking.csv,de2ed038913220cb5ebe79c6489988b37dff2e10ede16cf3bbb310903fc2cb28,034592,1,,1,000034
fXLNra4sjjU_s90,fXLNra4sjjU,90,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789054587,3533,3897,1299,3,29.97002997002997,1920x1080,000999,estimated,/workspace/data/tracking/fXLNra4sjjU_s90/tracking_data.csv,0107aa7585cf97a029c07a84b156e255528b5eb052fce9297f03025fd2b6ad05,1378533,/workspace/data/tracking/fXLNra4sjjU_s90/ball_tracking.csv,26c1d0d91a98a1a623bd07d63357f8719e475cf983c13e1f8e48106a12727b82,032664,1,,1,000035
h6j_iLYRx8U_s1424,h6j_iLYRx8U,1424,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055009,1518,7793,1299,6,59.94006488189246,1920x1080,000500,estimated,/workspace/data/tracking/h6j_iLYRx8U_s1424/tracking_data.csv,ff199e92b90cbc39b42011c03221ef7640ce8db67f0d79726bc452b7f639e7bd,611354,/workspace/data/tracking/h6j_iLYRx8U_s1424/ball_tracking.csv,aa9398bb868050b9f04eec7dc8c95384b84faea8efda44b291eae59f4b2f121b,017363,1,,1,000036
h6j_iLYRx8U_s2758,h6j_iLYRx8U,2758,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055110,3117,7793,1299,6,59.94006496905001,1920x1080,000500,estimated,/workspace/data/tracking/h6j_iLYRx8U_s2758/tracking_data.csv,68dca4e6e56098e0a13c3d64b9151c833cb32fcb855280078c3e574a18a02937,1292380,/workspace/data/tracking/h6j_iLYRx8U_s2758/ball_tracking.csv,05e792d9c319d806c7117248ab2033803854d614e12dcb1e838759479510bb7f,016851,1,,1,000037
h6j_iLYRx8U_s4092,h6j_iLYRx8U,4092,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055171,2255,7793,1299,6,59.94006494509043,1920x1080,000500,estimated,/workspace/data/tracking/h6j_iLYRx8U_s4092/tracking_data.csv,dcf8d6212251be1b207c5fd376899a61f2a66e206d7c02e8a7808afc8281ebd4,909191,/workspace/data/tracking/h6j_iLYRx8U_s4092/ball_tracking.csv,e97a88bd359aaafc5006420696569efff3086fd9fa88ce4c39b2ee531e97bedd,016534,1,,1,000038
h6j_iLYRx8U_s5426,h6j_iLYRx8U,5426,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055151,2701,7793,1299,6,59.94006480480806,1920x1080,000500,estimated,/workspace/data/tracking/h6j_iLYRx8U_s5426/tracking_data.csv,4595d352ece78724e7e233d3b5cb5538f1f51700c6d54bfb35fdf224d71542da,1082024,/workspace/data/tracking/h6j_iLYRx8U_s5426/ball_tracking.csv,f8b090960f06edcc42f2bfa8ffacbde07adfa07661b4f5f3ce89447181c0b1e9,015021,1,,1,000039
h6j_iLYRx8U_s6760,h6j_iLYRx8U,6760,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055191,1441,7794,1299,6,59.9400624435167,1920x1080,000494,estimated,/workspace/data/tracking/h6j_iLYRx8U_s6760/tracking_data.csv,f2963a744fb8b19ef20f4f33cbed22a0cb789ad99ae39a3a46c356de43af3e5c,546367,/workspace/data/tracking/h6j_iLYRx8U_s6760/ball_tracking.csv,2af9162888aa6d6bb7cb324d2707d1697d774c6327b35a295bdc7caa2aba2e03,017196,1,,1,000040
h6j_iLYRx8U_s90,h6j_iLYRx8U,90,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789055211,1936,7793,1299,6,59.940065020248696,1920x1080,000499,estimated,/workspace/data/tracking/h6j_iLYRx8U_s90/tracking_data.csv,7f8bcbfd6a4dc1217c9d59fd443b2f05e4aa9921e7c0b30b868633da9362b834,785806,/workspace/data/tracking/h6j_iLYRx8U_s90/ball_tracking.csv,f1a5632ed9b818b6c39b507ab7692274db37f1c4d5a94064f863ae9421aed2ce,017844,1,,1,000041
wJSOHbeQcg4_s1180,wJSOHbeQcg4,1180,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789057227,6085,3901,1301,3,30.0,1920x1080,001000,estimated,/workspace/data/tracking/wJSOHbeQcg4_s1180/tracking_data.csv,9a6352a10d8d517e8af4d3a9d9bf906c98baeece6b6730b455e0b249afa7b00b,2215322,/workspace/data/tracking/wJSOHbeQcg4_s1180/ball_tracking.csv,243c11c19e9a67846e500083a3417feeea0877709c893c31b7cad24ea6dc7eb3,033630,1,,1,000042
wJSOHbeQcg4_s2270,wJSOHbeQcg4,2270,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789057328,4448,3901,1301,3,30.0,1920x1080,000999,estimated,/workspace/data/tracking/wJSOHbeQcg4_s2270/tracking_data.csv,dbabf11944f633ff4f1ee627ce3a255d7974247812db48767d744fa753dba988,1665379,/workspace/data/tracking/wJSOHbeQcg4_s2270/ball_tracking.csv,e3f119c55b9ab416bcd392ea9f32c68180eff461a49c19a34c57d6f91e7eae50,030256,1,,1,000043
