section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
IeGm750cb90_s5520,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
IeGm750cb90_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
LPDnemFoqVk_s3306,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
LPDnemFoqVk_s4378,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
LPDnemFoqVk_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
N-eE7ZwTuno_s1308,FRESH_G366,PRESENT,0.513514,0.481370,0.136208,005534,000000,000000,000000,000000,000007,000000,000000,000000,000000,000000,000029,000000
N-eE7ZwTuno_s2526,FRESH_G366,PRESENT,0.584807,0.237624,0.683605,001655,000000,000000,000000,000000,000138,000000,000000,000000,000000,000000,000018,000000
N-eE7ZwTuno_s3744,FRESH_G366,PRESENT,0.917933,0.838812,0.284535,002489,000000,000000,000000,000000,000079,000000,000000,000002,000000,000000,000182,000000
N-eE7ZwTuno_s4962,FRESH_G366,PRESENT,0.721722,0.666667,0.143108,002758,000000,000000,000000,000000,000010,000000,000000,000004,000000,000000,000097,000000
N-eE7ZwTuno_s90,FRESH_G366,PRESENT,0.016145,0.004405,0.689099,003985,000000,000000,000000,000000,000017,000000,000000,000000,000000,000000,000000,000000
OdGDLXvM76w_s1299,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
OdGDLXvM76w_s2508,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
OdGDLXvM76w_s3717,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
OdGDLXvM76w_s4926,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
OdGDLXvM76w_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
b00bP6hM95Q_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
gLdwA_gHN8Y_s1261,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
gLdwA_gHN8Y_s2432,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
