section_name,corpus,status,rows,tracks,unparsed_frame_rows,ticks,tick_pairs,moved_pairs,motion_share,ledger_evaluated_frames,sidecar_evaluated_frames,recorded_sha256,observed_sha256,sha256_check
fXLNra4sjjU_s3534,FRESH_REPL,PRESENT,004475,000010,000000,000986,000985,000350,0.355330,1299,1000,65287ec11f7ebc83fced93cc8475d4d364ff7837abfed1f512188be2678acac2,65287ec11f7ebc83fced93cc8475d4d364ff7837abfed1f512188be2678acac2,MATCH
fXLNra4sjjU_s4682,FRESH_REPL,PRESENT,002186,000010,000000,000422,000421,000372,0.883610,1299,464,5b3aa120b52d34a9b4d748ee482b239b4354255e8735365f841a7fc0fa38e3c0,5b3aa120b52d34a9b4d748ee482b239b4354255e8735365f841a7fc0fa38e3c0,MATCH
fXLNra4sjjU_s5830,FRESH_REPL,PRESENT,003959,000010,000000,000949,000948,000013,0.013713,1299,1000,2624005da4542c15ef77141ff7786333f173acb3be23170e583b3daac26ff573,2624005da4542c15ef77141ff7786333f173acb3be23170e583b3daac26ff573,MATCH
fXLNra4sjjU_s90,FRESH_REPL,PRESENT,003533,000010,000000,000999,000998,000027,0.027054,1299,1000,0107aa7585cf97a029c07a84b156e255528b5eb052fce9297f03025fd2b6ad05,0107aa7585cf97a029c07a84b156e255528b5eb052fce9297f03025fd2b6ad05,MATCH
h6j_iLYRx8U_s1424,FRESH_REPL,PRESENT,001518,000010,000000,000500,000499,000094,0.188377,1299,500,ff199e92b90cbc39b42011c03221ef7640ce8db67f0d79726bc452b7f639e7bd,ff199e92b90cbc39b42011c03221ef7640ce8db67f0d79726bc452b7f639e7bd,MATCH
h6j_iLYRx8U_s2758,FRESH_REPL,PRESENT,003117,000010,000000,000500,000499,000233,0.466934,1299,500,68dca4e6e56098e0a13c3d64b9151c833cb32fcb855280078c3e574a18a02937,68dca4e6e56098e0a13c3d64b9151c833cb32fcb855280078c3e574a18a02937,MATCH
h6j_iLYRx8U_s4092,FRESH_REPL,PRESENT,002255,000010,000000,000500,000499,000094,0.188377,1299,500,dcf8d6212251be1b207c5fd376899a61f2a66e206d7c02e8a7808afc8281ebd4,dcf8d6212251be1b207c5fd376899a61f2a66e206d7c02e8a7808afc8281ebd4,MATCH
h6j_iLYRx8U_s5426,FRESH_REPL,PRESENT,002701,000010,000000,000500,000499,000016,0.032064,1299,500,4595d352ece78724e7e233d3b5cb5538f1f51700c6d54bfb35fdf224d71542da,4595d352ece78724e7e233d3b5cb5538f1f51700c6d54bfb35fdf224d71542da,MATCH
h6j_iLYRx8U_s6760,FRESH_REPL,PRESENT,001441,000010,000000,000494,000493,000138,0.279919,1299,500,f2963a744fb8b19ef20f4f33cbed22a0cb789ad99ae39a3a46c356de43af3e5c,f2963a744fb8b19ef20f4f33cbed22a0cb789ad99ae39a3a46c356de43af3e5c,MATCH
h6j_iLYRx8U_s90,FRESH_REPL,PRESENT,001936,000010,000000,000499,000498,000021,0.042169,1299,500,7f8bcbfd6a4dc1217c9d59fd443b2f05e4aa9921e7c0b30b868633da9362b834,7f8bcbfd6a4dc1217c9d59fd443b2f05e4aa9921e7c0b30b868633da9362b834,MATCH
wJSOHbeQcg4_s1180,FRESH_REPL,PRESENT,006085,000010,000000,001000,000999,000694,0.694695,1301,1000,9a6352a10d8d517e8af4d3a9d9bf906c98baeece6b6730b455e0b249afa7b00b,9a6352a10d8d517e8af4d3a9d9bf906c98baeece6b6730b455e0b249afa7b00b,MATCH
wJSOHbeQcg4_s2270,FRESH_REPL,PRESENT,004448,000010,000000,000999,000998,000556,0.557114,1301,1000,dbabf11944f633ff4f1ee627ce3a255d7974247812db48767d744fa753dba988,dbabf11944f633ff4f1ee627ce3a255d7974247812db48767d744fa753dba988,MATCH
0SQ709_N0Yg_s1325,FRESH_G366,ABSENT,,,,,,,,,,,,
0SQ709_N0Yg_s2560,FRESH_G366,ABSENT,,,,,,,,,,,,
0SQ709_N0Yg_s3795,FRESH_G366,ABSENT,,,,,,,,,,,,
0SQ709_N0Yg_s5030,FRESH_G366,ABSENT,,,,,,,,,,,,
0SQ709_N0Yg_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
3eeaJz1PJTM_s6295,FRESH_G366,ABSENT,,,,,,,,,,,,
3eeaJz1PJTM_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
6FlZaoWSfFw_s337,FRESH_G366,PRESENT,004015,000010,000000,001000,000999,000110,0.110110,1300,1000,1a5d19b8efa94fd487e66686b5053c3628d925054b05e92ccd0945e085ea0f12,b831f1220bc07ecb4c45099b2d6410bca6f6143f38535020961b0380c8801337,DIFFER
7XQ5Ud4FGFE_s1431,FRESH_G366,ABSENT,,,,,,,,,,,,
7XQ5Ud4FGFE_s2772,FRESH_G366,ABSENT,,,,,,,,,,,,
7XQ5Ud4FGFE_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s1177,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s2264,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s3351,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s4438,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s5525,FRESH_G366,ABSENT,,,,,,,,,,,,
AIMOY6CoQKI_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s1176,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s2262,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s3348,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s4434,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s5520,FRESH_G366,ABSENT,,,,,,,,,,,,
IeGm750cb90_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
LPDnemFoqVk_s3306,FRESH_G366,ABSENT,,,,,,,,,,,,
LPDnemFoqVk_s4378,FRESH_G366,ABSENT,,,,,,,,,,,,
LPDnemFoqVk_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
N-eE7ZwTuno_s1308,FRESH_G366,PRESENT,006123,000010,000000,001000,000999,000513,0.513514,1299,1000,67a2e0ba20a073af00552f37b19449339c5f86f42b2d4257005015a1601e7af4,31d3bf06872774b1157a874c7e92b58e192b7ddf5a1fcf0d06ffdd924ceba2db,DIFFER
N-eE7ZwTuno_s2526,FRESH_G366,PRESENT,002696,000010,000000,000962,000961,000562,0.584807,1299,1000,d9fc4ae2b2d2ad56f6dcf2b6d6ac694b27677bfa3e6d3c8f81b67d492a912a7c,502c49271a815ebc8a0de75572662fbf09e561e3b446d786b093d8a863dc8d44,DIFFER
N-eE7ZwTuno_s3744,FRESH_G366,PRESENT,005328,000010,000000,000988,000987,000906,0.917933,1299,1000,126578c169fe4263439f6956d544a1e61047df7a379544881eb271086659a5b3,ffad744e69144add9d7fa583d67c2b2794345d9e41bfb6b2db508017f0d4b13a,DIFFER
N-eE7ZwTuno_s4962,FRESH_G366,PRESENT,003983,000010,000000,001000,000999,000721,0.721722,1299,1000,e0b7239b2f918abb994516ea57db0988979fbbaac0ba9a669a2806159b8f8c10,ab1d74fa67c399f11f4504a8166ed6b930e4da99d17c62f9c43f3c8f73f7e471,DIFFER
N-eE7ZwTuno_s90,FRESH_G366,PRESENT,004027,000010,000000,000992,000991,000016,0.016145,1299,1000,4d9f01b551d77d9b66918976eb6f4d46b5b7bfbd5a2d533293028f49570e66b2,67b8ee0873e2b6ff0919a6605fe0aa408a2eb2ef49810ac6fa7998fa9ffa9381,DIFFER
OdGDLXvM76w_s1299,FRESH_G366,ABSENT,,,,,,,,,,,,
OdGDLXvM76w_s2508,FRESH_G366,ABSENT,,,,,,,,,,,,
OdGDLXvM76w_s3717,FRESH_G366,ABSENT,,,,,,,,,,,,
OdGDLXvM76w_s4926,FRESH_G366,ABSENT,,,,,,,,,,,,
OdGDLXvM76w_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
b00bP6hM95Q_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s1261,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s2432,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s3603,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s4774,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s5945,FRESH_G366,ABSENT,,,,,,,,,,,,
gLdwA_gHN8Y_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s1178,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s2266,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s3354,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s4442,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s5530,FRESH_G366,ABSENT,,,,,,,,,,,,
mJRz1DoW6VU_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
ouRk-j987wk_s1275,FRESH_G366,ABSENT,,,,,,,,,,,,
ouRk-j987wk_s2460,FRESH_G366,ABSENT,,,,,,,,,,,,
ouRk-j987wk_s3645,FRESH_G366,ABSENT,,,,,,,,,,,,
ouRk-j987wk_s4830,FRESH_G366,ABSENT,,,,,,,,,,,,
ouRk-j987wk_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
wptZj4SuFtE_s1344,FRESH_G366,ABSENT,,,,,,,,,,,,
wptZj4SuFtE_s2598,FRESH_G366,ABSENT,,,,,,,,,,,,
wptZj4SuFtE_s3852,FRESH_G366,ABSENT,,,,,,,,,,,,
wptZj4SuFtE_s5106,FRESH_G366,ABSENT,,,,,,,,,,,,
wptZj4SuFtE_s90,FRESH_G366,ABSENT,,,,,,,,,,,,
1zPhldjbJnU_s1196,G358,PRESENT,004017,000010,000000,000995,000994,000029,0.029175,1301,1000,59300fd217b9db1da637dd4a98034a3a49583b77e933825a0c3be1a4a60b6d34,59300fd217b9db1da637dd4a98034a3a49583b77e933825a0c3be1a4a60b6d34,MATCH
1zPhldjbJnU_s3408,G358,PRESENT,004316,000010,000000,000996,000995,000465,0.467337,1301,1000,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d,MATCH
1zPhldjbJnU_s5620,G358,PRESENT,005636,000010,000000,001000,000999,000060,0.060060,1301,1000,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9,MATCH
3fT6aYz2N9w_s1339,G358,PRESENT,005158,000010,000000,000980,000979,000434,0.443309,1299,1000,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476,MATCH
