table,sport,data_state,n_frames_when_needed,coordinate_spaces,usable_player_fields,unique_positive_modal_stride,first_blocker,rollup_bucket
0022500719,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500720,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500721,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500722,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500723,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500724,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500725,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500728,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500729,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500732,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500733,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500734,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500735,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500736,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500737,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500738,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500739,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500740,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500741,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500742,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500743,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500744,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500745,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500746,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500747,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500748,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500749,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500750,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500752,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500753,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500756,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500792,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500794,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500795,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500796,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500797,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500799,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500800,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500802,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500805,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500807,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500809,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500880,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500881,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500882,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500891,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500892,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500894,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500897,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500898,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500904,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500906,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500908,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500913,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500914,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500915,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500917,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500920,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500921,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500922,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500927,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500933,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500934,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
