section_identity,measured_class,actual_rendition,sealed_window_status,decoded_source_frames,attempted_reads,evaluated_ticks,suspension_ticks,zero_output_evaluated_ticks,held_pairs,shared_pairs,raw_overrun_rows,derived_out_of_window_rows,schedule_status
e3E_WApsLV4_s5750,720p30,232,SEALED,60,20,20,0,0,71,71,4035,0,KNOWN
e3E_WApsLV4_s90,720p30,232,SEALED,60,20,20,0,1,69,72,3171,0,KNOWN
euroleague-QmoPpJI7OCI_s10670,720p25,UNRESOLVED,SEALED,51,6,6,0,0,12,12,1614,0,KNOWN
euroleague-QmoPpJI7OCI_s2206,720p25,UNRESOLVED,SEALED,50,0,0,0,0,0,0,2682,0,KNOWN
euroleague-QmoPpJI7OCI_s4322,720p25,UNRESOLVED,SEALED,50,16,16,0,0,46,49,4385,0,KNOWN
euroleague-QmoPpJI7OCI_s6438,720p25,UNRESOLVED,SEALED,50,16,16,0,0,49,49,3597,0,KNOWN
euroleague-QmoPpJI7OCI_s8554,720p25,UNRESOLVED,SEALED,50,6,6,0,0,5,6,3498,0,KNOWN
euroleague-QmoPpJI7OCI_s90,720p25,UNRESOLVED,SEALED,50,0,0,0,0,0,0,0,0,ball_table_absent
fiba-6BYeUynVAqI_s1600,1080p30,270,SEALED,60,20,20,0,0,20,55,5981,0,KNOWN
fiba-6BYeUynVAqI_s3110,1080p30,270,SEALED,60,20,20,0,0,37,99,5899,0,KNOWN
fiba-6BYeUynVAqI_s4620,1080p30,270,SEALED,60,20,20,0,0,45,73,4131,0,KNOWN
fiba-6BYeUynVAqI_s6130,1080p30,270,SEALED,60,20,20,0,0,48,48,3098,0,KNOWN
fiba-6BYeUynVAqI_s7640,1080p30,270,SEALED,60,0,0,0,0,0,0,1772,0,KNOWN
fiba-6BYeUynVAqI_s90,1080p30,270,SEALED,60,20,20,0,0,4,17,2007,0,KNOWN
gleague-TUXsofc3mgg_s1771,1080p60,270,SEALED,120,0,0,0,0,0,0,2344,0,KNOWN
gleague-TUXsofc3mgg_s3452,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-TUXsofc3mgg_s5133,1080p60,270,SEALED,120,0,0,0,0,0,0,1653,0,KNOWN
gleague-TUXsofc3mgg_s6814,1080p60,270,SEALED,120,0,0,0,0,0,0,2674,0,KNOWN
gleague-TUXsofc3mgg_s8495,1080p60,270,SEALED,120,0,0,0,0,0,0,930,0,KNOWN
gleague-TUXsofc3mgg_s90,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-YuLn6qQVEv0_s1254,720p25,UNRESOLVED,SEALED,50,16,16,0,16,0,0,2171,0,KNOWN
gleague-YuLn6qQVEv0_s2418,720p25,UNRESOLVED,SEALED,50,16,16,0,0,45,57,4842,0,KNOWN
gleague-YuLn6qQVEv0_s3582,720p25,UNRESOLVED,SEALED,50,16,16,0,0,42,42,3318,0,KNOWN
gleague-YuLn6qQVEv0_s4746,720p25,UNRESOLVED,SEALED,50,11,11,0,0,17,17,3993,0,KNOWN
gleague-YuLn6qQVEv0_s90,720p25,UNRESOLVED,SEALED,50,16,16,0,0,40,40,3373,0,KNOWN
gleague-Z9LZwPvEMTU_s1877,1080p60,270,SEALED,120,0,0,0,0,0,0,1575,0,KNOWN
gleague-Z9LZwPvEMTU_s3664,1080p60,270,SEALED,120,0,0,0,0,0,0,2353,0,KNOWN
gleague-Z9LZwPvEMTU_s5451,1080p60,270,SEALED,120,0,0,0,0,0,0,208,0,KNOWN
gleague-Z9LZwPvEMTU_s7238,1080p60,270,SEALED,120,0,0,0,0,0,0,3115,0,KNOWN
gleague-Z9LZwPvEMTU_s90,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-Z9LZwPvEMTU_s9025,1080p60,270,SEALED,120,20,20,0,1,20,20,898,0,KNOWN
gleague-a0FMMvE3B5k_s1722,1080p60,270,SEALED,120,20,0,20,0,0,0,2513,0,KNOWN
gleague-a0FMMvE3B5k_s3354,1080p60,270,SEALED,120,0,0,0,0,0,0,2064,0,KNOWN
gleague-a0FMMvE3B5k_s4986,1080p60,270,SEALED,120,20,20,0,0,123,148,3181,0,KNOWN
gleague-a0FMMvE3B5k_s6618,1080p60,270,SEALED,120,5,0,5,0,0,0,1661,0,KNOWN
gleague-a0FMMvE3B5k_s8250,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-a0FMMvE3B5k_s90,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-cl9uwvP1Fe8_s1659,1080p60,270,SEALED,120,0,0,0,0,0,0,902,0,KNOWN
gleague-cl9uwvP1Fe8_s3228,1080p60,270,SEALED,120,0,0,0,0,0,0,2603,0,KNOWN
gleague-cl9uwvP1Fe8_s4797,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-cl9uwvP1Fe8_s6366,1080p60,270,SEALED,120,9,9,0,0,9,24,1891,0,KNOWN
gleague-cl9uwvP1Fe8_s7935,1080p60,270,SEALED,120,0,0,0,0,0,0,2568,0,KNOWN
gleague-cl9uwvP1Fe8_s90,1080p60,270,SEALED,120,0,0,0,0,0,0,0,0,ball_table_absent
gleague-dd_QSkmUWyU_s1675,1080p30,270,SEALED,60,20,20,0,0,107,138,6168,0,KNOWN
gleague-dd_QSkmUWyU_s3260,1080p30,270,SEALED,60,20,20,0,0,77,81,6733,0,KNOWN
gleague-dd_QSkmUWyU_s4845,1080p30,270,SEALED,60,20,20,0,0,94,94,3840,0,KNOWN
gleague-dd_QSkmUWyU_s6430,1080p30,270,SEALED,60,20,20,0,0,83,83,4781,0,KNOWN
gleague-dd_QSkmUWyU_s8015,1080p30,270,SEALED,60,20,20,0,0,51,61,3338,0,KNOWN
gleague-dd_QSkmUWyU_s90,1080p30,270,SEALED,60,0,0,0,0,0,0,0,0,ball_table_absent
gleague-iUn3klfUOkM_s1390,720p30,UNRESOLVED,SEALED,59,20,20,0,0,50,50,4354,0,KNOWN
gleague-iUn3klfUOkM_s2690,720p30,UNRESOLVED,SEALED,59,20,20,0,0,80,86,4058,0,KNOWN
gleague-iUn3klfUOkM_s3990,720p30,UNRESOLVED,SEALED,59,20,20,0,0,79,79,5451,0,KNOWN
gleague-iUn3klfUOkM_s90,720p30,UNRESOLVED,SEALED,59,20,20,0,0,17,34,3588,0,KNOWN
gleague-oA9IHkrPNws_s1190,720p60,UNRESOLVED,SEALED,119,10,10,0,0,41,51,1974,0,KNOWN
gleague-oA9IHkrPNws_s2290,720p60,UNRESOLVED,SEALED,119,0,0,0,0,0,0,3008,0,KNOWN
gleague-oA9IHkrPNws_s3390,720p60,UNRESOLVED,SEALED,119,0,0,0,0,0,0,1735,0,KNOWN
gleague-oA9IHkrPNws_s4490,720p60,UNRESOLVED,SEALED,119,0,0,0,0,0,0,1935,0,KNOWN
gleague-oA9IHkrPNws_s90,720p60,UNRESOLVED,SEALED,119,0,0,0,0,0,0,2558,0,KNOWN
mn5dZWT3HBQ_s1785,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
mn5dZWT3HBQ_s3480,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
mn5dZWT3HBQ_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
