section_identity,scope,measured_class,actual_rendition,held_pairs,shared_pairs,held_share,zero_output_evaluated_ticks,schedule_status
euroleague-QmoPpJI7OCI_s2206,FULL_ADMITTED,720p25,UNRESOLVED,1459,2089,0.698420,11,KNOWN
euroleague-QmoPpJI7OCI_s2206,SEALED_2S,720p25,UNRESOLVED,0,0,UNKNOWN,0,KNOWN
euroleague-QmoPpJI7OCI_s4322,FULL_ADMITTED,720p25,UNRESOLVED,2353,3708,0.634574,4,KNOWN
euroleague-QmoPpJI7OCI_s4322,SEALED_2S,720p25,UNRESOLVED,46,49,0.938776,0,KNOWN
euroleague-QmoPpJI7OCI_s6438,FULL_ADMITTED,720p25,UNRESOLVED,2846,2893,0.983754,14,KNOWN
euroleague-QmoPpJI7OCI_s6438,SEALED_2S,720p25,UNRESOLVED,49,49,1.000000,0,KNOWN
euroleague-QmoPpJI7OCI_s8554,FULL_ADMITTED,720p25,UNRESOLVED,2158,2698,0.799852,20,KNOWN
euroleague-QmoPpJI7OCI_s8554,SEALED_2S,720p25,UNRESOLVED,5,6,0.833333,0,KNOWN
euroleague-QmoPpJI7OCI_s90,FULL_ADMITTED,720p25,UNRESOLVED,0,0,UNKNOWN,0,ball_table_absent
euroleague-QmoPpJI7OCI_s90,SEALED_2S,720p25,UNRESOLVED,0,0,UNKNOWN,0,ball_table_absent
fiba-6BYeUynVAqI_s1600,FULL_ADMITTED,1080p30,270,2827,5036,0.561358,8,KNOWN
fiba-6BYeUynVAqI_s1600,SEALED_2S,1080p30,270,20,55,0.363636,0,KNOWN
fiba-6BYeUynVAqI_s3110,FULL_ADMITTED,1080p30,270,3138,5046,0.621879,3,KNOWN
fiba-6BYeUynVAqI_s3110,SEALED_2S,1080p30,270,37,99,0.373737,0,KNOWN
fiba-6BYeUynVAqI_s4620,FULL_ADMITTED,1080p30,270,2375,3511,0.676445,27,KNOWN
fiba-6BYeUynVAqI_s4620,SEALED_2S,1080p30,270,45,73,0.616438,0,KNOWN
fiba-6BYeUynVAqI_s6130,FULL_ADMITTED,1080p30,270,2398,2459,0.975193,5,KNOWN
fiba-6BYeUynVAqI_s6130,SEALED_2S,1080p30,270,48,48,1.000000,0,KNOWN
fiba-6BYeUynVAqI_s7640,FULL_ADMITTED,1080p30,270,1248,1282,0.973479,18,KNOWN
fiba-6BYeUynVAqI_s7640,SEALED_2S,1080p30,270,0,0,UNKNOWN,0,KNOWN
fiba-6BYeUynVAqI_s90,FULL_ADMITTED,1080p30,270,825,1429,0.577327,2,KNOWN
fiba-6BYeUynVAqI_s90,SEALED_2S,1080p30,270,4,17,0.235294,0,KNOWN
gleague-TUXsofc3mgg_s1771,FULL_ADMITTED,1080p60,270,1925,1988,0.968310,0,KNOWN
gleague-TUXsofc3mgg_s1771,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-TUXsofc3mgg_s3452,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-TUXsofc3mgg_s3452,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-TUXsofc3mgg_s5133,FULL_ADMITTED,1080p60,270,1089,1244,0.875402,2,KNOWN
gleague-TUXsofc3mgg_s5133,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-TUXsofc3mgg_s6814,FULL_ADMITTED,1080p60,270,2194,2277,0.963549,0,KNOWN
gleague-TUXsofc3mgg_s6814,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-TUXsofc3mgg_s8495,FULL_ADMITTED,1080p60,270,578,795,0.727044,124,KNOWN
gleague-TUXsofc3mgg_s8495,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-TUXsofc3mgg_s90,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-TUXsofc3mgg_s90,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-YuLn6qQVEv0_s1254,FULL_ADMITTED,720p25,UNRESOLVED,1326,1887,0.702703,440,KNOWN
gleague-YuLn6qQVEv0_s1254,SEALED_2S,720p25,UNRESOLVED,0,0,UNKNOWN,16,KNOWN
gleague-YuLn6qQVEv0_s2418,FULL_ADMITTED,720p25,UNRESOLVED,3699,4452,0.830863,9,KNOWN
gleague-YuLn6qQVEv0_s2418,SEALED_2S,720p25,UNRESOLVED,45,57,0.789474,0,KNOWN
gleague-YuLn6qQVEv0_s3582,FULL_ADMITTED,720p25,UNRESOLVED,2469,2652,0.930995,12,KNOWN
gleague-YuLn6qQVEv0_s3582,SEALED_2S,720p25,UNRESOLVED,42,42,1.000000,0,KNOWN
gleague-YuLn6qQVEv0_s4746,FULL_ADMITTED,720p25,UNRESOLVED,3383,3405,0.993539,17,KNOWN
gleague-YuLn6qQVEv0_s4746,SEALED_2S,720p25,UNRESOLVED,17,17,1.000000,0,KNOWN
gleague-YuLn6qQVEv0_s90,FULL_ADMITTED,720p25,UNRESOLVED,2738,2803,0.976811,5,KNOWN
gleague-YuLn6qQVEv0_s90,SEALED_2S,720p25,UNRESOLVED,40,40,1.000000,0,KNOWN
gleague-Z9LZwPvEMTU_s1877,FULL_ADMITTED,1080p60,270,1094,1328,0.823795,13,KNOWN
gleague-Z9LZwPvEMTU_s1877,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-Z9LZwPvEMTU_s3664,FULL_ADMITTED,1080p60,270,1378,1976,0.697368,17,KNOWN
gleague-Z9LZwPvEMTU_s3664,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-Z9LZwPvEMTU_s5451,FULL_ADMITTED,1080p60,270,161,167,0.964072,357,KNOWN
gleague-Z9LZwPvEMTU_s5451,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-Z9LZwPvEMTU_s7238,FULL_ADMITTED,1080p60,270,2152,2773,0.776055,1,KNOWN
gleague-Z9LZwPvEMTU_s7238,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-Z9LZwPvEMTU_s90,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-Z9LZwPvEMTU_s90,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-Z9LZwPvEMTU_s9025,FULL_ADMITTED,1080p60,270,650,725,0.896552,12,KNOWN
gleague-Z9LZwPvEMTU_s9025,SEALED_2S,1080p60,270,20,20,1.000000,1,KNOWN
gleague-a0FMMvE3B5k_s1722,FULL_ADMITTED,1080p60,270,1132,2136,0.529963,11,KNOWN
gleague-a0FMMvE3B5k_s1722,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-a0FMMvE3B5k_s3354,FULL_ADMITTED,1080p60,270,1572,1632,0.963235,0,KNOWN
gleague-a0FMMvE3B5k_s3354,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-a0FMMvE3B5k_s4986,FULL_ADMITTED,1080p60,270,2505,3032,0.826187,0,KNOWN
gleague-a0FMMvE3B5k_s4986,SEALED_2S,1080p60,270,123,148,0.831081,0,KNOWN
gleague-a0FMMvE3B5k_s6618,FULL_ADMITTED,1080p60,270,1224,1303,0.939371,6,KNOWN
gleague-a0FMMvE3B5k_s6618,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-a0FMMvE3B5k_s8250,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-a0FMMvE3B5k_s8250,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-a0FMMvE3B5k_s90,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-a0FMMvE3B5k_s90,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-cl9uwvP1Fe8_s1659,FULL_ADMITTED,1080p60,270,661,683,0.967789,5,KNOWN
gleague-cl9uwvP1Fe8_s1659,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-cl9uwvP1Fe8_s3228,FULL_ADMITTED,1080p60,270,2064,2166,0.952909,1,KNOWN
gleague-cl9uwvP1Fe8_s3228,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-cl9uwvP1Fe8_s4797,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-cl9uwvP1Fe8_s4797,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-cl9uwvP1Fe8_s6366,FULL_ADMITTED,1080p60,270,1131,1607,0.703796,26,KNOWN
gleague-cl9uwvP1Fe8_s6366,SEALED_2S,1080p60,270,9,24,0.375000,0,KNOWN
gleague-cl9uwvP1Fe8_s7935,FULL_ADMITTED,1080p60,270,2071,2181,0.949564,0,KNOWN
gleague-cl9uwvP1Fe8_s7935,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,KNOWN
gleague-cl9uwvP1Fe8_s90,FULL_ADMITTED,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-cl9uwvP1Fe8_s90,SEALED_2S,1080p60,270,0,0,UNKNOWN,0,ball_table_absent
gleague-dd_QSkmUWyU_s1675,FULL_ADMITTED,1080p30,270,4174,5608,0.744294,2,KNOWN
gleague-dd_QSkmUWyU_s1675,SEALED_2S,1080p30,270,107,138,0.775362,0,KNOWN
gleague-dd_QSkmUWyU_s3260,FULL_ADMITTED,1080p30,270,5370,6120,0.877451,0,KNOWN
gleague-dd_QSkmUWyU_s3260,SEALED_2S,1080p30,270,77,81,0.950617,0,KNOWN
gleague-dd_QSkmUWyU_s4845,FULL_ADMITTED,1080p30,270,3207,3224,0.994727,10,KNOWN
gleague-dd_QSkmUWyU_s4845,SEALED_2S,1080p30,270,94,94,1.000000,0,KNOWN
gleague-dd_QSkmUWyU_s6430,FULL_ADMITTED,1080p30,270,3989,4097,0.973639,0,KNOWN
gleague-dd_QSkmUWyU_s6430,SEALED_2S,1080p30,270,83,83,1.000000,0,KNOWN
gleague-dd_QSkmUWyU_s8015,FULL_ADMITTED,1080p30,270,2162,2726,0.793103,3,KNOWN
gleague-dd_QSkmUWyU_s8015,SEALED_2S,1080p30,270,51,61,0.836066,0,KNOWN
gleague-dd_QSkmUWyU_s90,FULL_ADMITTED,1080p30,270,0,0,UNKNOWN,0,ball_table_absent
gleague-dd_QSkmUWyU_s90,SEALED_2S,1080p30,270,0,0,UNKNOWN,0,ball_table_absent
gleague-iUn3klfUOkM_s1390,FULL_ADMITTED,720p30,UNRESOLVED,3354,3625,0.925241,2,KNOWN
gleague-iUn3klfUOkM_s1390,SEALED_2S,720p30,UNRESOLVED,50,50,1.000000,0,KNOWN
gleague-iUn3klfUOkM_s2690,FULL_ADMITTED,720p30,UNRESOLVED,3303,3463,0.953797,14,KNOWN
gleague-iUn3klfUOkM_s2690,SEALED_2S,720p30,UNRESOLVED,80,86,0.930233,0,KNOWN
gleague-iUn3klfUOkM_s3990,FULL_ADMITTED,720p30,UNRESOLVED,4142,4866,0.851212,5,KNOWN
gleague-iUn3klfUOkM_s3990,SEALED_2S,720p30,UNRESOLVED,79,79,1.000000,0,KNOWN
gleague-iUn3klfUOkM_s90,FULL_ADMITTED,720p30,UNRESOLVED,2150,2885,0.745234,1,KNOWN
gleague-iUn3klfUOkM_s90,SEALED_2S,720p30,UNRESOLVED,17,34,0.500000,0,KNOWN
gleague-oA9IHkrPNws_s1190,FULL_ADMITTED,720p60,UNRESOLVED,927,1769,0.524025,32,KNOWN
gleague-oA9IHkrPNws_s1190,SEALED_2S,720p60,UNRESOLVED,41,51,0.803922,0,KNOWN
gleague-oA9IHkrPNws_s2290,FULL_ADMITTED,720p60,UNRESOLVED,2496,2606,0.957790,0,KNOWN
gleague-oA9IHkrPNws_s2290,SEALED_2S,720p60,UNRESOLVED,0,0,UNKNOWN,0,KNOWN
gleague-oA9IHkrPNws_s3390,FULL_ADMITTED,720p60,UNRESOLVED,1294,1404,0.921652,80,KNOWN
gleague-oA9IHkrPNws_s3390,SEALED_2S,720p60,UNRESOLVED,0,0,UNKNOWN,0,KNOWN
