# prereg_sha256=5dbdff4299ccdc29672d65fb9b6495b3981f35a4c9b7e65a909091e496b30ecc k_at_launch=17
game_id,game_date,unit,home,away,elapsed,score_home,score_away,elo_until_date,prior_stale,p0_asof,model,neutral_0.5,market,y,loss_model,loss_market,d
401704642,2024-10-24,2024-25,SAC,MIN,24.0,59,55,2024-10-24,False,0.5455372309795754,0.691432518610443,0.662401522542415,0.565,0.0,0.4780789277919806,0.3192249999999999,-0.15885392779198065
401704643,2024-10-25,2024-25,ORL,BKN,24.0,49,46,2024-10-25,False,0.7393718817076356,0.7787014940251792,0.6233418880343243,0.83,1.0,0.048973028746687804,0.028900000000000012,-0.02007302874668779
401704644,2024-10-25,2024-25,TOR,PHI,24.0,62,56,2024-10-25,False,0.37511807156777516,0.6566904643218316,0.7351746649733287,0.565,1.0,0.11786143728755955,0.18922500000000006,0.07136356271244051
401704645,2024-10-25,2024-25,ATL,CHA,24.0,62,58,2024-10-25,False,0.7100776077995171,0.7911703086126249,0.662401522542415,0.72,1.0,0.04360984000494631,0.07840000000000001,0.0347901599950537
401704646,2024-10-25,2024-25,CLE,DET,24.0,65,55,2024-10-25,False,0.8458908617648172,0.9614766199691929,0.8525806036555329,0.905,1.0,0.0014840508089979897,0.009024999999999995,0.007540949191002005
401704647,2024-10-25,2024-25,NYK,IND,24.0,61,45,2024-10-25,False,0.6269202701848589,0.9716100139462569,0.9531411825778361,0.9299999999999999,1.0,0.0008059913081317276,0.0049000000000000085,0.004094008691868281
401704648,2024-10-25,2024-25,HOU,MEM,24.0,59,65,2024-10-25,False,0.702747410262284,0.40046909574387674,0.26482533502667127,0.405,1.0,0.3594373051581648,0.354025,-0.005412305158164821
401704649,2024-10-25,2024-25,MIL,CHI,24.0,64,63,2024-10-25,False,0.6842232302192325,0.671422139259938,0.5417155098601273,0.74,0.0,0.4508076890883916,0.5476,0.09679231091160839
401704651,2024-10-25,2024-25,LAL,PHX,24.0,52,61,2024-10-25,False,0.5810696355427154,0.2124023600178898,0.1728892930755802,0.28,1.0,0.6203100425053897,0.5184,-0.10191004250538971
401704653,2024-10-26,2024-25,DEN,LAC,24.0,42,48,2024-10-26,False,0.6794648346769326,0.3825142071047508,0.26482533502667127,0.5449999999999999,0.0,0.1463171186369762,0.29702499999999993,0.15070788136302374
401704654,2024-10-26,2024-25,CHA,MIA,24.0,48,56,2024-10-26,False,0.42312958976766607,0.16474144824613135,0.20100061452710255,0.16500000000000004,0.0,0.027139744770232774,0.027225000000000013,8.525522976723932e-05
401704655,2024-10-26,2024-25,DET,BOS,24.0,62,73,2024-10-26,False,0.16979399802230752,0.03380519810835281,0.12459435667052643,0.05500000000000005,0.0,0.0011427914191449802,0.0030250000000000055,0.0018822085808550253
401704656,2024-10-26,2024-25,WAS,CLE,24.0,53,59,2024-10-26,False,0.31231807729277067,0.1648992358732677,0.26482533502667127,0.15500000000000003,0.0,0.02719175799158758,0.024025000000000008,-0.0031667579915875717
401704657,2024-10-26,2024-25,CHI,OKC,24.0,39,59,2024-10-26,False,0.4458876378077268,0.014213639391128241,0.018079665399400147,0.06000000000000005,0.0,0.0002020275447410324,0.0036000000000000064,0.003397972455258974
401704658,2024-10-26,2024-25,MEM,ORL,24.0,69,43,2024-10-26,False,0.4250793238751773,0.9952024129155308,0.9967719565386741,0.98,1.0,2.3016841833065694e-05,0.0004000000000000007,0.000376983158166935
401704659,2024-10-26,2024-25,MIN,TOR,24.0,56,44,2024-10-26,False,0.8403949264728247,0.9750847010156757,0.8956374344123389,0.951,1.0,0.0006207721234782724,0.0024010000000000043,0.0017802278765217318
401704661,2024-10-26,2024-25,PHX,DAL,24.0,63,55,2024-10-26,False,0.6154456552490457,0.8521311185459337,0.7989993854728974,0.63,1.0,0.02186520610247671,0.1369,0.11503479389752329
401704662,2024-10-26,2024-25,LAL,SAC,24.0,64,60,2024-10-26,False,0.6970662336377558,0.7834447525324896,0.662401522542415,0.61,1.0,0.04689617520571468,0.1521,0.10520382479428533
401704663,2024-10-27,2024-25,IND,PHI,24.0,58,52,2024-10-27,False,0.6461831354586526,0.8142667683692251,0.7351746649733287,0.815,0.0,0.6630303700704613,0.664225,0.0011946299295386709
