cell,source_frame,n_raw_keys,n_mapped_names,n_structures,n_named_landmarks,n_on_player,n_false_proposals,raw_keys,names,structures,stage_contours,stage_perimeter,stage_vertices,stage_quad_ok,stage_area,stage_side,stage_support
R3,30335,0,0,0,0,0,0,,,,3265,621,35,3,2,0,0
R3,37919,0,0,0,0,0,0,,,,3396,692,43,6,1,0,0
R3,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R3,53087,0,0,0,0,0,0,,,,3385,690,49,5,2,0,0
R3,60671,0,0,0,0,0,0,,,,562,145,22,2,0,0,0
R3,68255,0,0,0,0,0,0,,,,3342,651,39,5,2,0,0
R3,75839,0,0,0,0,0,0,,,,3170,613,42,8,3,0,0
R3,83423,0,0,0,0,0,0,,,,3256,653,45,6,3,0,0
R3,91006,0,0,0,0,0,0,,,,2836,629,33,5,2,0,0
R3,98590,0,0,0,0,0,0,,,,2449,526,46,7,1,0,0
R3,106174,0,0,0,0,0,0,,,,3434,648,31,7,2,0,0
R3,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R3,121342,0,0,0,0,0,0,,,,2267,505,56,3,1,0,0
R3,128926,0,0,0,0,0,0,,,,1257,301,49,4,2,0,0
R3,136510,0,0,0,0,0,0,,,,1846,487,62,1,0,0,0
R3,144094,0,0,0,0,0,0,,,,3157,643,54,2,1,0,0
R3,151677,0,0,0,0,0,0,,,,2930,625,28,9,4,0,0
R3,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R3,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R3,174429,0,0,0,0,0,0,,,,732,156,27,4,2,0,0
R4,0,0,0,0,0,0,0,,,,3601,671,31,4,0,0,0
R4,7584,0,0,0,0,0,0,,,,2079,512,47,5,2,1,0
R4,15168,0,0,0,0,0,0,,,,3272,634,36,7,2,0,0
R4,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
R4,30335,0,0,0,0,0,0,,,,3265,621,35,3,1,0,0
R4,37919,0,0,0,0,0,0,,,,3396,692,43,6,0,0,0
R4,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R4,53087,0,0,0,0,0,0,,,,3385,690,49,5,0,0,0
R4,60671,0,0,0,0,0,0,,,,562,145,22,2,0,0,0
R4,68255,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,3342,651,39,5,2,2,1
R4,75839,0,0,0,0,0,0,,,,3170,613,42,8,0,0,0
R4,83423,0,0,0,0,0,0,,,,3256,653,45,6,0,0,0
R4,91006,0,0,0,0,0,0,,,,2836,629,33,5,1,0,0
R4,98590,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,2449,526,46,7,1,1,1
R4,106174,0,0,0,0,0,0,,,,3434,648,31,7,0,0,0
R4,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R4,121342,0,0,0,0,0,0,,,,2267,505,56,3,1,0,0
R4,128926,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,1257,301,49,4,2,2,2
R4,136510,0,0,0,0,0,0,,,,1846,487,62,1,0,0,0
R4,144094,0,0,0,0,0,0,,,,3157,643,54,2,1,0,0
R4,151677,6,5,2,5,0,5,center_circle|left_ft_circle|left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|KEY_TOP|LANE_BASE_L|LANE_BASE_R,free_throw_line|lane_boundary,2930,625,28,9,4,4,4
R4,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R4,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R4,174429,0,0,0,0,0,0,,,,732,156,27,4,0,0,0
R5,0,0,0,0,0,0,0,,,,3601,671,152,6,1,0,0
R5,7584,0,0,0,0,0,0,,,,2079,512,152,9,0,0,0
R5,15168,0,0,0,0,0,0,,,,3272,634,154,14,3,0,0
R5,22752,0,0,0,0,0,0,,,,769,196,44,5,0,0,0
R5,30335,0,0,0,0,0,0,,,,3265,621,137,14,1,0,0
R5,37919,0,0,0,0,0,0,,,,3396,692,181,17,1,0,0
R5,45503,0,0,0,0,0,0,,,,1577,361,106,4,0,0,0
R5,53087,0,0,0,0,0,0,,,,3385,690,154,6,0,0,0
R5,60671,0,0,0,0,0,0,,,,562,145,29,0,0,0,0
R5,68255,0,0,0,0,0,0,,,,3342,651,168,18,2,0,0
R5,75839,0,0,0,0,0,0,,,,3170,613,145,16,2,0,0
R5,83423,0,0,0,0,0,0,,,,3256,653,182,11,2,0,0
R5,91006,0,0,0,0,0,0,,,,2836,629,158,15,5,0,0
R5,98590,0,0,0,0,0,0,,,,2449,526,135,15,1,0,0
R5,106174,0,0,0,0,0,0,,,,3434,648,176,24,2,0,0
R5,113758,0,0,0,0,0,0,,,,581,153,23,3,1,0,0
R5,121342,0,0,0,0,0,0,,,,2267,505,133,8,2,0,0
R5,128926,0,0,0,0,0,0,,,,1257,301,97,16,1,0,0
R5,136510,0,0,0,0,0,0,,,,1846,487,147,17,0,0,0
R5,144094,0,0,0,0,0,0,,,,3157,643,161,10,1,0,0
R5,151677,0,0,0,0,0,0,,,,2930,625,173,20,3,0,0
R5,159261,0,0,0,0,0,0,,,,908,180,38,3,1,1,0
R5,166845,0,0,0,0,0,0,,,,638,177,47,7,0,0,0
R5,174429,0,0,0,0,0,0,,,,732,156,47,2,0,0,0
R6,0,0,0,0,0,0,0,,,,3601,671,113,67,3,0,0
R6,7584,0,0,0,0,0,0,,,,2079,512,141,88,5,2,0
R6,15168,0,0,0,0,0,0,,,,3272,634,135,99,11,0,0
R6,22752,0,0,0,0,0,0,,,,769,196,77,34,6,3,0
R6,30335,0,0,0,0,0,0,,,,3265,621,122,83,4,0,0
R6,37919,0,0,0,0,0,0,,,,3396,692,150,99,3,0,0
R6,45503,0,0,0,0,0,0,,,,1577,361,106,72,2,0,0
R6,53087,0,0,0,0,0,0,,,,3385,690,156,97,5,0,0
R6,60671,5,5,2,5,0,5,left_ft_circle|left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|KEY_TOP|LANE_BASE_L|LANE_BASE_R,free_throw_line|lane_boundary,562,145,48,24,3,2,1
R6,68255,0,0,0,0,0,0,,,,3342,651,140,89,9,0,0
R6,75839,0,0,0,0,0,0,,,,3170,613,126,80,7,1,0
R6,83423,0,0,0,0,0,0,,,,3256,653,137,89,5,1,0
R6,91006,0,0,0,0,0,0,,,,2836,629,110,68,4,0,0
R6,98590,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,2449,526,144,89,8,4,2
R6,106174,0,0,0,0,0,0,,,,3434,648,124,87,7,4,0
R6,113758,0,0,0,0,0,0,,,,581,153,44,17,1,0,0
R6,121342,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,2267,505,163,100,8,3,1
R6,128926,0,0,0,0,0,0,,,,1257,301,107,54,4,0,0
R6,136510,0,0,0,0,0,0,,,,1846,487,185,107,4,0,0
R6,144094,5,5,2,5,0,5,left_ft_circle|left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|KEY_TOP|LANE_BASE_L|LANE_BASE_R,free_throw_line|lane_boundary,3157,643,150,88,8,2,1
R6,151677,0,0,0,0,0,0,,,,2930,625,116,86,13,0,0
R6,159261,5,5,2,5,0,5,left_ft_circle|left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|KEY_TOP|LANE_BASE_L|LANE_BASE_R,free_throw_line|lane_boundary,908,180,59,34,3,2,2
R6,166845,0,0,0,0,0,0,,,,638,177,68,32,3,1,0
R6,174429,4,4,1,4,0,4,left_paint_bl|left_paint_br|left_paint_tl|left_paint_tr,FT_LINE_L|FT_LINE_R|LANE_BASE_L|LANE_BASE_R,lane_boundary,732,156,54,30,7,2,1
R7,0,0,0,0,0,0,0,,,,3601,1344,68,6,0,0,0
R7,7584,0,0,0,0,0,0,,,,2079,1029,92,6,2,0,0
R7,15168,0,0,0,0,0,0,,,,3272,1339,89,8,2,0,0
R7,22752,0,0,0,0,0,0,,,,769,417,69,2,0,0,0
R7,30335,0,0,0,0,0,0,,,,3265,1312,86,4,1,0,0
R7,37919,0,0,0,0,0,0,,,,3396,1361,91,7,0,0,0
R7,45503,0,0,0,0,0,0,,,,1577,811,83,0,0,0,0
R7,53087,0,0,0,0,0,0,,,,3385,1330,93,6,0,0,0
R7,60671,0,0,0,0,0,0,,,,562,323,36,3,0,0,0
R7,68255,0,0,0,0,0,0,,,,3342,1320,80,6,2,0,0
R7,75839,0,0,0,0,0,0,,,,3170,1255,82,9,0,0,0
R7,83423,0,0,0,0,0,0,,,,3256,1321,92,7,0,0,0
R7,91006,0,0,0,0,0,0,,,,2836,1295,90,5,1,0,0
R7,98590,0,0,0,0,0,0,,,,2449,1126,100,8,1,0,0
R7,106174,0,0,0,0,0,0,,,,3434,1348,95,9,0,0,0
R7,113758,0,0,0,0,0,0,,,,581,344,35,2,1,0,0
R7,121342,0,0,0,0,0,0,,,,2267,1149,134,3,1,0,0
R7,128926,0,0,0,0,0,0,,,,1257,633,82,5,2,0,0
R7,136510,0,0,0,0,0,0,,,,1846,1008,126,1,0,0,0
R7,144094,0,0,0,0,0,0,,,,3157,1374,111,5,1,0,0
R7,151677,0,0,0,0,0,0,,,,2930,1257,81,9,4,0,0
R7,159261,0,0,0,0,0,0,,,,908,413,36,0,0,0,0
R7,166845,0,0,0,0,0,0,,,,638,360,51,0,0,0,0
R7,174429,0,0,0,0,0,0,,,,732,387,38,5,0,0,0
R8,0,0,0,0,0,0,0,,,,3601,671,31,6,0,0,0
R8,7584,0,0,0,0,0,0,,,,2079,512,47,6,2,0,0
R8,15168,0,0,0,0,0,0,,,,3272,634,36,8,2,0,0
R8,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
R8,30335,0,0,0,0,0,0,,,,3265,621,35,4,1,0,0
R8,37919,0,0,0,0,0,0,,,,3396,692,43,8,0,0,0
R8,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R8,53087,0,0,0,0,0,0,,,,3385,690,49,9,0,0,0
R8,60671,0,0,0,0,0,0,,,,562,145,22,3,0,0,0
R8,68255,0,0,0,0,0,0,,,,3342,651,39,6,2,0,0
R8,75839,0,0,0,0,0,0,,,,3170,613,42,11,0,0,0
R8,83423,0,0,0,0,0,0,,,,3256,653,45,8,2,0,0
R8,91006,0,0,0,0,0,0,,,,2836,629,33,10,1,0,0
R8,98590,0,0,0,0,0,0,,,,2449,526,46,10,3,0,0
R8,106174,0,0,0,0,0,0,,,,3434,648,31,10,0,0,0
R8,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R8,121342,0,0,0,0,0,0,,,,2267,505,56,8,1,0,0
R8,128926,0,0,0,0,0,0,,,,1257,301,49,5,2,0,0
R8,136510,0,0,0,0,0,0,,,,1846,487,62,4,1,0,0
R8,144094,0,0,0,0,0,0,,,,3157,643,54,4,1,0,0
R8,151677,0,0,0,0,0,0,,,,2930,625,28,9,4,0,0
R8,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R8,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R8,174429,0,0,0,0,0,0,,,,732,156,27,5,0,0,0
R9,0,0,0,0,0,0,0,,,,1355,59,4,1,0,0,0
R9,7584,0,0,0,0,0,0,,,,847,61,5,4,0,0,0
R9,15168,0,0,0,0,0,0,,,,1538,79,7,5,2,0,0
R9,22752,0,0,0,0,0,0,,,,447,53,5,4,0,0,0
R9,30335,0,0,0,0,0,0,,,,1344,70,5,2,0,0,0
R9,37919,0,0,0,0,0,0,,,,1554,79,10,6,1,0,0
R9,45503,0,0,0,0,0,0,,,,531,63,2,1,0,0,0
R9,53087,0,0,0,0,0,0,,,,1509,81,7,3,1,0,0
R9,60671,0,0,0,0,0,0,,,,285,36,1,1,0,0,0
R9,68255,0,0,0,0,0,0,,,,1302,74,4,2,0,0,0
R9,75839,0,0,0,0,0,0,,,,1565,79,6,3,2,0,0
R9,83423,0,0,0,0,0,0,,,,1329,69,7,3,1,0,0
R9,91006,0,0,0,0,0,0,,,,1184,65,7,5,2,0,0
R9,98590,0,0,0,0,0,0,,,,961,68,8,3,1,0,0
R9,106174,0,0,0,0,0,0,,,,1508,91,7,3,0,0,0
R9,113758,0,0,0,0,0,0,,,,314,37,4,2,2,0,0
R9,121342,0,0,0,0,0,0,,,,852,74,5,1,0,0,0
R9,128926,0,0,0,0,0,0,,,,489,62,6,2,0,0,0
R9,136510,0,0,0,0,0,0,,,,544,46,4,4,1,0,0
R9,144094,0,0,0,0,0,0,,,,1298,82,4,1,0,0,0
R9,151677,0,0,0,0,0,0,,,,1123,81,11,5,2,0,0
R9,159261,0,0,0,0,0,0,,,,200,20,2,1,1,0,0
R9,166845,0,0,0,0,0,0,,,,282,57,3,1,0,0,0
R9,174429,0,0,0,0,0,0,,,,421,60,10,2,0,0,0
