sample_ordinal,frame_index,seed,spacing_previous
87,8304,16120260903,96
88,8400,16120260903,96
89,8496,16120260903,96
90,8591,16120260903,95
91,8687,16120260903,96
92,8783,16120260903,96
93,8879,16120260903,96
94,8975,16120260903,96
95,9071,16120260903,96
96,9167,16120260903,96
97,9263,16120260903,96
98,9359,16120260903,96
99,9455,16120260903,96
100,9551,16120260903,96
101,9647,16120260903,96
102,9742,16120260903,95
103,9838,16120260903,96
104,9934,16120260903,96
105,10030,16120260903,96
106,10126,16120260903,96
107,10222,16120260903,96
108,10318,16120260903,96
109,10414,16120260903,96
110,10510,16120260903,96
111,10606,16120260903,96
112,10702,16120260903,96
113,10797,16120260903,95
114,10893,16120260903,96
115,10989,16120260903,96
116,11085,16120260903,96
117,11181,16120260903,96
118,11277,16120260903,96
119,11373,16120260903,96
120,11469,16120260903,96
121,11565,16120260903,96
122,11661,16120260903,96
123,11757,16120260903,96
124,11852,16120260903,95
125,11948,16120260903,96
126,12044,16120260903,96
127,12140,16120260903,96
128,12236,16120260903,96
129,12332,16120260903,96
130,12428,16120260903,96
131,12524,16120260903,96
132,12620,16120260903,96
133,12716,16120260903,96
134,12812,16120260903,96
135,12907,16120260903,95
136,13003,16120260903,96
137,13099,16120260903,96
138,13195,16120260903,96
139,13291,16120260903,96
140,13387,16120260903,96
141,13483,16120260903,96
142,13579,16120260903,96
143,13675,16120260903,96
144,13771,16120260903,96
145,13867,16120260903,96
146,13962,16120260903,95
147,14058,16120260903,96
148,14154,16120260903,96
149,14250,16120260903,96
150,14346,16120260903,96
151,14442,16120260903,96
152,14538,16120260903,96
153,14634,16120260903,96
154,14730,16120260903,96
155,14826,16120260903,96
156,14922,16120260903,96
157,15017,16120260903,95
158,15113,16120260903,96
159,15209,16120260903,96
160,15305,16120260903,96
161,15401,16120260903,96
162,15497,16120260903,96
163,15593,16120260903,96
164,15689,16120260903,96
165,15785,16120260903,96
166,15881,16120260903,96
167,15977,16120260903,96
168,16072,16120260903,95
169,16168,16120260903,96
170,16264,16120260903,96
171,16360,16120260903,96
172,16456,16120260903,96
173,16552,16120260903,96
174,16648,16120260903,96
175,16744,16120260903,96
176,16840,16120260903,96
177,16936,16120260903,96
178,17032,16120260903,96
179,17127,16120260903,95
180,17223,16120260903,96
181,17319,16120260903,96
182,17415,16120260903,96
183,17511,16120260903,96
184,17607,16120260903,96
185,17703,16120260903,96
186,17799,16120260903,96
187,17895,16120260903,96
188,17991,16120260903,96
189,18087,16120260903,96
190,18182,16120260903,95
191,18278,16120260903,96
192,18374,16120260903,96
193,18470,16120260903,96
194,18566,16120260903,96
195,18662,16120260903,96
196,18758,16120260903,96
197,18854,16120260903,96
198,18950,16120260903,96
199,19046,16120260903,96
200,19142,16120260903,96
201,19238,16120260903,96
202,19333,16120260903,95
203,19429,16120260903,96
204,19525,16120260903,96
205,19621,16120260903,96
206,19717,16120260903,96
207,19813,16120260903,96
208,19909,16120260903,96
209,20005,16120260903,96
210,20101,16120260903,96
211,20197,16120260903,96
212,20293,16120260903,96
213,20388,16120260903,95
214,20484,16120260903,96
215,20580,16120260903,96
216,20676,16120260903,96
217,20772,16120260903,96
218,20868,16120260903,96
219,20964,16120260903,96
220,21060,16120260903,96
221,21156,16120260903,96
222,21252,16120260903,96
223,21348,16120260903,96
224,21443,16120260903,95
225,21539,16120260903,96
226,21635,16120260903,96
227,21731,16120260903,96
228,21827,16120260903,96
229,21923,16120260903,96
230,22019,16120260903,96
231,22115,16120260903,96
232,22211,16120260903,96
233,22307,16120260903,96
234,22403,16120260903,96
235,22498,16120260903,95
236,22594,16120260903,96
237,22690,16120260903,96
238,22786,16120260903,96
239,22882,16120260903,96
240,22978,16120260903,96
241,23074,16120260903,96
242,23170,16120260903,96
243,23266,16120260903,96
244,23362,16120260903,96
245,23458,16120260903,96
246,23553,16120260903,95
247,23649,16120260903,96
248,23745,16120260903,96
249,23841,16120260903,96
250,23937,16120260903,96
251,24033,16120260903,96
252,24129,16120260903,96
253,24225,16120260903,96
254,24321,16120260903,96
255,24417,16120260903,96
256,24513,16120260903,96
257,24608,16120260903,95
258,24704,16120260903,96
259,24800,16120260903,96
260,24896,16120260903,96
261,24992,16120260903,96
262,25088,16120260903,96
263,25184,16120260903,96
264,25280,16120260903,96
265,25376,16120260903,96
266,25472,16120260903,96
267,25568,16120260903,96
268,25663,16120260903,95
269,25759,16120260903,96
270,25855,16120260903,96
271,25951,16120260903,96
272,26047,16120260903,96
273,26143,16120260903,96
274,26239,16120260903,96
275,26335,16120260903,96
276,26431,16120260903,96
277,26527,16120260903,96
278,26623,16120260903,96
279,26718,16120260903,95
280,26814,16120260903,96
281,26910,16120260903,96
282,27006,16120260903,96
283,27102,16120260903,96
284,27198,16120260903,96
285,27294,16120260903,96
286,27390,16120260903,96
287,27486,16120260903,96
288,27582,16120260903,96
289,27678,16120260903,96
290,27773,16120260903,95
291,27869,16120260903,96
292,27965,16120260903,96
293,28061,16120260903,96
294,28157,16120260903,96
295,28253,16120260903,96
296,28349,16120260903,96
297,28445,16120260903,96
298,28541,16120260903,96
299,28637,16120260903,96
300,28733,16120260903,96
