frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose
822,13.714,1,green,1610,1616,49.37,1.78,9.7,backcourt,0,,,136.0,none,0.0,1621.5,1549.0,0,0,,,341.0,180.0,819.0,670.0,,,0.0,1643.4,-47.0,0,0,5,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.2,half_court,,,0.1407249508234646,0,unknown,,,0.0,30.68,49.37,460.2,0.0,30.68,49.37,460.2,0.0,30.68,49.37,460.2,0.0,0,0,0,0,24.68,,,1451.1,-14.79,0.0,1451.1,-14.79,0.0,1451.1,-14.79,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,46020.0,46020.0,46020.0,0.141,0,0.0
822,13.714,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,136.0,none,0.0,1621.5,1549.0,0,0,,,290.906982421875,-13.76947021484375,656.906982421875,545.8392333984375,,,0.0,1607.0,0.0,0,0,5,0,0.933,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24.68,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
822,13.714,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,136.0,none,0.0,1621.5,1549.0,0,0,,,290.906982421875,-13.76947021484375,656.906982421875,545.8392333984375,,,0.0,1607.0,0.0,0,0,5,0,0.933,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24.68,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
822,13.714,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,136.0,none,0.0,1621.5,1549.0,0,0,,,290.906982421875,-13.76947021484375,656.906982421875,545.8392333984375,,,0.0,1607.0,0.0,0,0,5,0,0.933,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.2,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24.68,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
825,13.764,1,green,1437,1584,58.64,9.27,190.5,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,420.0,193.0,829.0,670.0,,,0.0,1476.1,55.42,0,0,6,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.1407249508234646,0,unknown,,,0.0,32.43,58.64,518.9,0.0,32.43,58.64,518.9,0.0,32.43,58.64,518.9,0.0,0,0,0,0,29.32,,,1452.7,-10.4,0.0,1452.7,-10.4,0.0,1452.7,-10.4,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,51890.0,51890.0,51890.0,0.141,0,0.0
825,13.764,1,green,1437,1584,58.64,9.27,190.5,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,420.0,193.0,829.0,670.0,,,0.0,1476.1,55.42,0,0,6,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.1407249508234646,0,unknown,,,0.0,33.97,58.64,577.5,0.0,33.97,58.64,577.5,0.0,33.97,58.64,577.5,0.0,0,0,0,0,29.32,,,1454.1,-6.53,0.0,1454.1,-6.53,0.0,1454.1,-6.53,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,57750.0,57750.0,57750.0,0.141,0,0.0
825,13.764,1,green,1437,1584,58.64,9.27,190.5,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,420.0,193.0,829.0,670.0,,,0.0,1476.1,55.42,0,0,6,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.1407249508234646,0,unknown,,,0.0,35.34,58.64,636.2,0.0,35.34,58.64,636.2,0.0,35.34,58.64,636.2,0.0,0,0,0,0,29.32,,,1455.3,-3.08,0.0,1455.3,-3.08,0.0,1455.3,-3.08,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,63620.0,63620.0,63620.0,0.141,0,0.0
825,13.764,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,328.5814208984375,-15.397369384765623,694.5814208984375,544.2113342285156,,,0.0,1607.0,0.0,0,0,6,0,0.867,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29.32,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
825,13.764,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,328.5814208984375,-15.397369384765623,694.5814208984375,544.2113342285156,,,0.0,1607.0,0.0,0,0,6,0,0.867,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29.32,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
825,13.764,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,221.0,none,0.0,1535.0,1533.0,0,0,,,328.5814208984375,-15.397369384765623,694.5814208984375,544.2113342285156,,,0.0,1607.0,0.0,0,0,6,0,0.867,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.25,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29.32,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
