Season,Date,Match,Score,Odds_1,Odds_2
2023-2024,06.04.2024,Brooklyn Nets - Detroit Pistons,113:103,1.20,4.63
2023-2024,06.04.2024,Denver Nuggets - Atlanta Hawks,142:110,1.15,5.55
2023-2024,06.04.2024,Los Angeles Lakers - Cleveland Cavaliers,116:97,1.48,2.68
2023-2024,06.04.2024,Memphis Grizzlies - Philadelphia 76ers,96:116,8.45,1.08
2023-2024,05.04.2024,Boston Celtics - Sacramento Kings,101:100,1.24,4.10
2023-2024,05.04.2024,Charlotte Hornets - Orlando Magic,124:115,6.09,1.13
2023-2024,05.04.2024,Chicago Bulls - New York Knicks,108:100,2.01,1.83
2023-2024,05.04.2024,Dallas Mavericks - Golden State Warriors,108:106,1.89,1.92
2023-2024,05.04.2024,Houston Rockets - Miami Heat,104:119,2.32,1.63
2023-2024,05.04.2024,Indiana Pacers - Oklahoma City Thunder,126:112,1.41,2.93
2023-2024,05.04.2024,Los Angeles Clippers - Utah Jazz,131:102,1.12,6.52
2023-2024,05.04.2024,Memphis Grizzlies - Detroit Pistons,108:90,1.92,1.91
2023-2024,05.04.2024,Milwaukee Bucks - Toronto Raptors,111:117,1.09,7.80
2023-2024,05.04.2024,New Orleans Pelicans - San Antonio Spurs,109:111,1.15,5.61
2023-2024,05.04.2024,Phoenix Suns - Minnesota Timberwolves,97:87,1.52,2.57
2023-2024,05.04.2024,Washington Wizards - Portland Trail Blazers,102:108,1.70,2.19
2023-2024,04.04.2024,Dallas Mavericks - Atlanta Hawks,109:95,1.14,5.86
2023-2024,04.04.2024,Houston Rockets - Golden State Warriors,110:133,2.28,1.65
2023-2024,04.04.2024,Los Angeles Clippers - Denver Nuggets,102:100,2.26,1.66
2023-2024,04.04.2024,Miami Heat - Philadelphia 76ers,105:109,1.67,2.23
2023-2024,04.04.2024,New York Knicks - Sacramento Kings,120:109,1.60,2.38
2023-2024,03.04.2024,Atlanta Hawks - Detroit Pistons,121:113,1.14,5.82
2023-2024,03.04.2024,Boston Celtics - Oklahoma City Thunder,135:100,1.13,6.05
2023-2024,03.04.2024,Brooklyn Nets - Indiana Pacers,115:111,3.18,1.37
2023-2024,03.04.2024,Charlotte Hornets - Portland Trail Blazers,86:89,1.81,2.03
2023-2024,03.04.2024,Milwaukee Bucks - Memphis Grizzlies,101:111,1.11,6.74
2023-2024,03.04.2024,Minnesota Timberwolves - Toronto Raptors,133:85,1.04,11.57
2023-2024,03.04.2024,New Orleans Pelicans - Orlando Magic,108:117,1.51,2.62
2023-2024,03.04.2024,Phoenix Suns - Cleveland Cavaliers,122:101,1.41,2.94
2023-2024,03.04.2024,Washington Wizards - Los Angeles Lakers,120:125,6.59,1.12
2023-2024,02.04.2024,Denver Nuggets - San Antonio Spurs,110:105,1.07,9.15
2023-2024,02.04.2024,Golden State Warriors - Dallas Mavericks,104:100,1.93,1.90
2023-2024,02.04.2024,Miami Heat - New York Knicks,109:99,1.72,2.16
2023-2024,02.04.2024,Minnesota Timberwolves - Houston Rockets,113:106,1.32,3.43
2023-2024,02.04.2024,Philadelphia 76ers - Oklahoma City Thunder,109:105,1.68,2.23
2023-2024,02.04.2024,Sacramento Kings - Los Angeles Clippers,109:95,1.69,2.20
2023-2024,02.04.2024,Toronto Raptors - Los Angeles Lakers,111:128,7.32,1.10
2023-2024,02.04.2024,Utah Jazz - Cleveland Cavaliers,113:129,4.54,1.21
2023-2024,02.04.2024,Washington Wizards - Milwaukee Bucks,117:113,7.01,1.11
2023-2024,01.04.2024,Charlotte Hornets - Boston Celtics,104:118,11.70,1.04
2023-2024,01.04.2024,Chicago Bulls - Atlanta Hawks,101:113,1.76,2.09
2023-2024,01.04.2024,Detroit Pistons - Memphis Grizzlies,108:110,1.72,2.16
2023-2024,01.04.2024,Indiana Pacers - Brooklyn Nets,133:111,1.14,6.00
2023-2024,01.04.2024,New Orleans Pelicans - Phoenix Suns,111:124,1.83,2.01
2023-2024,01.04.2024,Orlando Magic - Portland Trail Blazers,104:103,1.05,10.86
2023-2024,31.03.2024,Brooklyn Nets - Los Angeles Lakers,104:116,3.16,1.37
2023-2024,31.03.2024,Charlotte Hornets - Los Angeles Clippers,118:130,8.02,1.08
2023-2024,31.03.2024,Denver Nuggets - Cleveland Cavaliers,130:101,1.53,2.57
2023-2024,31.03.2024,Houston Rockets - Dallas Mavericks,107:125,2.36,1.61
2023-2024,31.03.2024,Minnesota Timberwolves - Chicago Bulls,101:109,1.26,3.98
2023-2024,31.03.2024,New York Knicks - Oklahoma City Thunder,112:113,2.02,1.82
2023-2024,31.03.2024,Sacramento Kings - Utah Jazz,127:106,1.11,6.98
2023-2024,31.03.2024,San Antonio Spurs - Golden State Warriors,113:117,4.78,1.19
2023-2024,31.03.2024,Toronto Raptors - Philadelphia 76ers,120:135,4.23,1.23
2023-2024,31.03.2024,Washington Wizards - Miami Heat,107:119,5.73,1.14
2023-2024,30.03.2024,Atlanta Hawks - Milwaukee Bucks,113:122,2.64,1.51
2023-2024,30.03.2024,New Orleans Pelicans - Boston Celtics,92:104,2.92,1.42
2023-2024,30.03.2024,Orlando Magic - Memphis Grizzlies,118:88,1.12,6.65
2023-2024,29.03.2024,Brooklyn Nets - Chicago Bulls,125:108,2.25,1.66
2023-2024,29.03.2024,Charlotte Hornets - Golden State Warriors,97:115,6.56,1.12
2023-2024,29.03.2024,Cleveland Cavaliers - Philadelphia 76ers,117:114,1.37,3.15
2023-2024,29.03.2024,Denver Nuggets - Minnesota Timberwolves,98:111,1.66,2.27
2023-2024,29.03.2024,Indiana Pacers - Los Angeles Lakers,109:90,1.62,2.34
2023-2024,29.03.2024,Miami Heat - Portland Trail Blazers,142:82,1.09,7.86
2023-2024,29.03.2024,Oklahoma City Thunder - Phoenix Suns,128:103,2.08,1.77
2023-2024,29.03.2024,Orlando Magic - Los Angeles Clippers,97:100,2.04,1.80
2023-2024,29.03.2024,Sacramento Kings - Dallas Mavericks,103:107,1.96,1.87
2023-2024,29.03.2024,San Antonio Spurs - New York Knicks,130:126 AET,3.80,1.28
2023-2024,29.03.2024,Utah Jazz - Houston Rockets,100:101,3.63,1.30
2023-2024,29.03.2024,Washington Wizards - Detroit Pistons,87:96,1.62,2.33
2023-2024,28.03.2024,Atlanta Hawks - Boston Celtics,123:122 AET,8.27,1.08
2023-2024,28.03.2024,New Orleans Pelicans - Milwaukee Bucks,107:100,2.10,1.75
2023-2024,27.03.2024,Atlanta Hawks - Portland Trail Blazers,120:106,1.15,5.72
2023-2024,27.03.2024,Charlotte Hornets - Cleveland Cavaliers,118:111,4.50,1.21
2023-2024,27.03.2024,Chicago Bulls - Indiana Pacers,125:99,2.29,1.65
2023-2024,27.03.2024,Denver Nuggets - Phoenix Suns,97:104,1.43,2.84
2023-2024,27.03.2024,Memphis Grizzlies - Los Angeles Lakers,124:136,2.51,1.55
2023-2024,27.03.2024,Minnesota Timberwolves - Detroit Pistons,106:91,1.05,10.40
2023-2024,27.03.2024,Oklahoma City Thunder - Houston Rockets,126:132 AET,1.52,2.59
2023-2024,27.03.2024,Orlando Magic - Golden State Warriors,93:101,1.57,2.46
2023-2024,27.03.2024,Philadelphia 76ers - Los Angeles Clippers,107:108,3.07,1.39
2023-2024,27.03.2024,Toronto Raptors - New York Knicks,101:145,7.39,1.10
2023-2024,27.03.2024,Utah Jazz - San Antonio Spurs,111:118,1.57,2.46
2023-2024,27.03.2024,Washington Wizards - Brooklyn Nets,119:122 AET,2.41,1.58
2023-2024,26.03.2024,Miami Heat - Golden State Warriors,92:113,2.69,1.48
2023-2024,26.03.2024,Milwaukee Bucks - Los Angeles Lakers,124:128 AET,1.23,4.29
2023-2024,26.03.2024,New Orleans Pelicans - Oklahoma City Thunder,112:119,1.97,1.87
2023-2024,26.03.2024,Sacramento Kings - Dallas Mavericks,96:132,1.87,1.95
2023-2024,25.03.2024,Atlanta Hawks - Boston Celtics,120:118,4.98,1.18
2023-2024,25.03.2024,Chicago Bulls - Washington Wizards,105:107,1.13,6.30
2023-2024,25.03.2024,Cleveland Cavaliers - Charlotte Hornets,115:92,1.16,5.42
2023-2024,25.03.2024,Denver Nuggets - Memphis Grizzlies,128:103,1.12,6.54
2023-2024,25.03.2024,Houston Rockets - Portland Trail Blazers,110:92,1.09,7.59
2023-2024,25.03.2024,Los Angeles Clippers - Indiana Pacers,116:133,1.41,2.96
2023-2024,25.03.2024,New York Knicks - Detroit Pistons,124:99,1.05,10.55
2023-2024,25.03.2024,Sacramento Kings - Philadelphia 76ers,108:96,1.33,3.36
2023-2024,25.03.2024,San Antonio Spurs - Phoenix Suns,104:102,5.90,1.14
2023-2024,25.03.2024,Toronto Raptors - Brooklyn Nets,88:96,3.03,1.40
2023-2024,25.03.2024,Utah Jazz - Dallas Mavericks,105:115,3.55,1.31
2023-2024,24.03.2024,Detroit Pistons - New Orleans Pelicans,101:114,8.04,1.09
2023-2024,24.03.2024,Los Angeles Clippers - Philadelphia 76ers,107:121,1.25,4.04
2023-2024,24.03.2024,Los Angeles Lakers - Indiana Pacers,150:145,1.72,2.15
2023-2024,24.03.2024,Miami Heat - Cleveland Cavaliers,121:84,1.62,2.34
2023-2024,24.03.2024,Milwaukee Bucks - Oklahoma City Thunder,118:93,1.71,2.17
2023-2024,24.03.2024,Minnesota Timberwolves - Golden State Warriors,114:110,1.73,2.14
2023-2024,23.03.2024,Atlanta Hawks - Charlotte Hornets,132:91,1.33,3.36
2023-2024,23.03.2024,Chicago Bulls - Boston Celtics,113:124,2.77,1.46
2023-2024,23.03.2024,Houston Rockets - Utah Jazz,147:119,1.18,4.92
2023-2024,23.03.2024,New York Knicks - Brooklyn Nets,105:93,1.34,3.33
2023-2024,23.03.2024,Orlando Magic - Sacramento Kings,107:109,1.69,2.20
2023-2024,23.03.2024,Portland Trail Blazers - Denver Nuggets,111:114,4.87,1.19
2023-2024,23.03.2024,San Antonio Spurs - Phoenix Suns,106:131,4.58,1.21
2023-2024,23.03.2024,Washington Wizards - Toronto Raptors,112:109,1.43,2.86
2023-2024,22.03.2024,Detroit Pistons - Boston Celtics,102:129,7.32,1.10
2023-2024,22.03.2024,Golden State Warriors - Indiana Pacers,111:123,1.52,2.58
2023-2024,22.03.2024,Los Angeles Lakers - Philadelphia 76ers,101:94,1.31,3.48
2023-2024,22.03.2024,Miami Heat - New Orleans Pelicans,88:111,1.69,2.21
2023-2024,22.03.2024,Minnesota Timberwolves - Cleveland Cavaliers,104:91,1.33,3.37
2023-2024,22.03.2024,Portland Trail Blazers - Los Angeles Clippers,117:125,8.46,1.08
2023-2024,22.03.2024,San Antonio Spurs - Memphis Grizzlies,97:99,1.39,3.06
2023-2024,22.03.2024,Toronto Raptors - Oklahoma City Thunder,103:123,9.69,1.06
2023-2024,21.03.2024,Dallas Mavericks - Utah Jazz,113:97,1.09,7.81
2023-2024,21.03.2024,Denver Nuggets - New York Knicks,113:100,1.25,4.01
2023-2024,21.03.2024,Houston Rockets - Chicago Bulls,127:117,1.63,2.31
2023-2024,21.03.2024,Milwaukee Bucks - Brooklyn Nets,115:108,1.20,4.74
2023-2024,21.03.2024,Orlando Magic - New Orleans Pelicans,121:106,2.17,1.71
2023-2024,21.03.2024,Phoenix Suns - Atlanta Hawks,128:115,1.23,4.28
2023-2024,21.03.2024,Washington Wizards - Sacramento Kings,109:102,5.33,1.16
2023-2024,20.03.2024,Boston Celtics - Milwaukee Bucks,122:119,1.18,5.08
2023-2024,20.03.2024,Cleveland Cavaliers - Miami Heat,104:107,1.69,2.20
2023-2024,20.03.2024,Detroit Pistons - Indiana Pacers,103:122,5.35,1.16
2023-2024,20.03.2024,Golden State Warriors - Memphis Grizzlies,137:116,1.16,5.45
2023-2024,20.03.2024,Oklahoma City Thunder - Utah Jazz,119:107,1.07,8.87
2023-2024,20.03.2024,Phoenix Suns - Philadelphia 76ers,115:102,1.24,4.22
2023-2024,20.03.2024,Portland Trail Blazers - Los Angeles Clippers,103:116,5.86,1.14
2023-2024,20.03.2024,Toronto Raptors - Sacramento Kings,89:123,5.45,1.16
2023-2024,19.03.2024,Brooklyn Nets - New Orleans Pelicans,91:104,3.19,1.36
2023-2024,19.03.2024,Minnesota Timberwolves - Denver Nuggets,112:115,3.39,1.33
2023-2024,19.03.2024,Orlando Magic - Charlotte Hornets,112:92,1.11,6.82
2023-2024,19.03.2024,San Antonio Spurs - Dallas Mavericks,107:113,4.01,1.25
2023-2024,19.03.2024,Washington Wizards - Houston Rockets,114:137,4.78,1.19
2023-2024,18.03.2024,Boston Celtics - Detroit Pistons,119:94,1.07,9.22
2023-2024,18.03.2024,Chicago Bulls - Portland Trail Blazers,110:107,1.29,3.69
2023-2024,18.03.2024,Golden State Warriors - New York Knicks,112:119,1.40,2.99
2023-2024,18.03.2024,Indiana Pacers - Cleveland Cavaliers,103:108,1.39,3.06
2023-2024,18.03.2024,Los Angeles Lakers - Atlanta Hawks,136:105,1.22,4.39
2023-2024,18.03.2024,Philadelphia 76ers - Miami Heat,98:91,1.68,2.23
2023-2024,18.03.2024,Sacramento Kings - Memphis Grizzlies,121:111 AET,1.16,5.42
2023-2024,18.03.2024,Utah Jazz - Minnesota Timberwolves,104:114,2.48,1.56
2023-2024,17.03.2024,Dallas Mavericks - Denver Nuggets,107:105,1.97,1.87
2023-2024,17.03.2024,Detroit Pistons - Miami Heat,101:104,2.80,1.45
2023-2024,17.03.2024,Los Angeles Clippers - Atlanta Hawks,93:110,1.21,4.48
2023-2024,17.03.2024,Milwaukee Bucks - Phoenix Suns,140:129,2.13,1.76
2023-2024,17.03.2024,Orlando Magic - Toronto Raptors,111:96,1.15,5.52
2023-2024,17.03.2024,San Antonio Spurs - Brooklyn Nets,122:115 AET,1.77,2.08
2023-2024,17.03.2024,Washington Wizards - Boston Celtics,104:130,8.50,1.08
2023-2024,16.03.2024,Chicago Bulls - Washington Wizards,127:98,1.23,4.30
2023-2024,16.03.2024,Houston Rockets - Cleveland Cavaliers,117:103,2.64,1.50
2023-2024,16.03.2024,Indiana Pacers - Brooklyn Nets,121:100,1.30,3.60
2023-2024,16.03.2024,Los Angeles Lakers - Golden State Warriors,121:128,1.81,2.04
2023-2024,16.03.2024,Memphis Grizzlies - Oklahoma City Thunder,112:118,5.01,1.19
2023-2024,16.03.2024,New Orleans Pelicans - Portland Trail Blazers,126:107,1.11,6.86
2023-2024,16.03.2024,Philadelphia 76ers - Charlotte Hornets,109:98,1.20,4.68
2023-2024,16.03.2024,Sacramento Kings - New York Knicks,91:98,1.65,2.29
2023-2024,16.03.2024,Utah Jazz - Minnesota Timberwolves,100:119,3.44,1.32
2023-2024,15.03.2024,Charlotte Hornets - Phoenix Suns,96:107,4.98,1.19
2023-2024,15.03.2024,Detroit Pistons - Miami Heat,95:108,3.60,1.30
2023-2024,15.03.2024,New Orleans Pelicans - Los Angeles Clippers,112:104,1.38,3.08
2023-2024,15.03.2024,San Antonio Spurs - Denver Nuggets,106:117,4.79,1.19
2023-2024,15.03.2024,Toronto Raptors - Orlando Magic,103:113,3.54,1.31
2023-2024,15.03.2024,Utah Jazz - Atlanta Hawks,124:122,1.99,1.85
2023-2024,14.03.2024,Boston Celtics - Phoenix Suns,127:112,1.42,2.86
2023-2024,14.03.2024,Chicago Bulls - Los Angeles Clippers,111:126,2.97,1.41
2023-2024,14.03.2024,Houston Rockets - Washington Wizards,135:119,1.27,3.84
2023-2024,14.03.2024,Milwaukee Bucks - Philadelphia 76ers,114:105,1.33,3.41
2023-2024,14.03.2024,Oklahoma City Thunder - Dallas Mavericks,126:119,1.21,4.47
2023-2024,14.03.2024,Portland Trail Blazers - New York Knicks,93:105,6.04,1.14
2023-2024,13.03.2024,Dallas Mavericks - Golden State Warriors,109:99,1.28,3.80
2023-2024,13.03.2024,Detroit Pistons - Toronto Raptors,113:104,1.62,2.34
2023-2024,13.03.2024,Indiana Pacers - Chicago Bulls,129:132 AET,1.49,2.66
2023-2024,13.03.2024,Memphis Grizzlies - Charlotte Hornets,98:110,2.13,1.74
2023-2024,13.03.2024,Miami Heat - Denver Nuggets,88:100,2.34,1.62
2023-2024,13.03.2024,New Orleans Pelicans - Cleveland Cavaliers,95:116,1.45,2.79
2023-2024,13.03.2024,Orlando Magic - Brooklyn Nets,114:106,1.40,2.98
2023-2024,13.03.2024,Portland Trail Blazers - Atlanta Hawks,106:102,2.53,1.54
2023-2024,13.03.2024,Sacramento Kings - Los Angeles Lakers,120:107,2.16,1.72
2023-2024,12.03.2024,Los Angeles Clippers - Minnesota Timberwolves,100:118,1.43,2.89
2023-2024,12.03.2024,Memphis Grizzlies - Washington Wizards,109:97,2.11,1.76
2023-2024,12.03.2024,New York Knicks - Philadelphia 76ers,106:79,1.43,2.87
2023-2024,12.03.2024,Oklahoma City Thunder - Indiana Pacers,111:121,1.45,2.78
2023-2024,12.03.2024,Sacramento Kings - Milwaukee Bucks,129:94,1.82,2.02
2023-2024,12.03.2024,San Antonio Spurs - Houston Rockets,101:103,2.26,1.66
2023-2024,12.03.2024,Utah Jazz - Boston Celtics,107:123,3.08,1.38
2023-2024,11.03.2024,Chicago Bulls - Dallas Mavericks,92:127,2.36,1.61
2023-2024,11.03.2024,Cleveland Cavaliers - Phoenix Suns,111:117,3.09,1.38
2023-2024,11.03.2024,Denver Nuggets - Toronto Raptors,125:119,1.05,10.50
2023-2024,11.03.2024,Detroit Pistons - Charlotte Hornets,114:97,1.51,2.62
2023-2024,11.03.2024,Portland Trail Blazers - Boston Celtics,99:121,5.60,1.15
2023-2024,11.03.2024,San Antonio Spurs - Golden State Warriors,102:112,2.64,1.50
2023-2024,10.03.2024,Atlanta Hawks - New Orleans Pelicans,103:116,3.02,1.40
2023-2024,10.03.2024,Cleveland Cavaliers - Brooklyn Nets,101:120,1.37,3.22
2023-2024,10.03.2024,Los Angeles Clippers - Milwaukee Bucks,117:124,3.05,1.40
2023-2024,10.03.2024,Los Angeles Lakers - Minnesota Timberwolves,120:109,1.48,2.71
2023-2024,10.03.2024,Miami Heat - Washington Wizards,108:110,1.15,5.60
2023-2024,10.03.2024,New York Knicks - Philadelphia 76ers,73:79,1.35,3.28
2023-2024,10.03.2024,Oklahoma City Thunder - Memphis Grizzlies,124:93,1.08,8.35
2023-2024,10.03.2024,Orlando Magic - Indiana Pacers,97:111,1.93,1.90
2023-2024,10.03.2024,Sacramento Kings - Houston Rockets,104:112,1.37,3.19
2023-2024,09.03.2024,Charlotte Hornets - Brooklyn Nets,110:99,2.93,1.41
2023-2024,09.03.2024,Denver Nuggets - Utah Jazz,142:121,1.13,6.20
2023-2024,09.03.2024,Detroit Pistons - Dallas Mavericks,124:142,4.03,1.25
2023-2024,09.03.2024,Golden State Warriors - San Antonio Spurs,113:126,1.13,6.18
2023-2024,09.03.2024,Los Angeles Clippers - Chicago Bulls,112:102,1.29,3.69
2023-2024,09.03.2024,Phoenix Suns - Boston Celtics,107:117,2.76,1.46
2023-2024,09.03.2024,Portland Trail Blazers - Toronto Raptors,128:118 AET,2.14,1.73
2023-2024,08.03.2024,Cleveland Cavaliers - Minnesota Timberwolves,113:104 AET,1.84,1.99
2023-2024,08.03.2024,Los Angeles Lakers - Milwaukee Bucks,123:122,2.53,1.54
2023-2024,08.03.2024,Memphis Grizzlies - Atlanta Hawks,92:99,2.30,1.65
2023-2024,08.03.2024,New York Knicks - Orlando Magic,98:74,1.71,2.18
2023-2024,08.03.2024,Oklahoma City Thunder - Miami Heat,107:100,1.26,3.90
2023-2024,08.03.2024,Philadelphia 76ers - New Orleans Pelicans,95:103,3.57,1.30
2023-2024,08.03.2024,Portland Trail Blazers - Houston Rockets,107:123,3.12,1.38
2023-2024,08.03.2024,Washington Wizards - Charlotte Hornets,112:100,1.71,2.19
2023-2024,07.03.2024,Dallas Mavericks - Miami Heat,114:108,1.52,2.57
2023-2024,07.03.2024,Denver Nuggets - Boston Celtics,115:109,2.09,1.77
2023-2024,07.03.2024,Detroit Pistons - Brooklyn Nets,118:112,2.14,1.73
2023-2024,07.03.2024,Golden State Warriors - Chicago Bulls,122:125,1.28,3.85
2023-2024,07.03.2024,Indiana Pacers - Minnesota Timberwolves,111:113,1.85,1.98
2023-2024,07.03.2024,Phoenix Suns - Toronto Raptors,120:113,1.18,5.02
2023-2024,07.03.2024,Sacramento Kings - San Antonio Spurs,131:129,1.14,5.90
2023-2024,06.03.2024,Atlanta Hawks - Cleveland Cavaliers,112:101,1.68,2.23
2023-2024,06.03.2024,Golden State Warriors - Milwaukee Bucks,125:90,1.69,2.21
2023-2024,06.03.2024,Houston Rockets - Los Angeles Clippers,116:122,3.04,1.39
2023-2024,06.03.2024,Los Angeles Lakers - Sacramento Kings,120:130,1.67,2.24
2023-2024,06.03.2024,Philadelphia 76ers - Memphis Grizzlies,109:115,1.58,2.44
2023-2024,06.03.2024,Portland Trail Blazers - Oklahoma City Thunder,120:128,6.85,1.11
2023-2024,06.03.2024,Utah Jazz - Chicago Bulls,117:119,2.43,1.58
2023-2024,06.03.2024,Washington Wizards - Orlando Magic,109:119,3.18,1.37
2023-2024,05.03.2024,Brooklyn Nets - Philadelphia 76ers,112:107,1.92,1.90
2023-2024,05.03.2024,Charlotte Hornets - Orlando Magic,89:101,3.87,1.27
2023-2024,05.03.2024,Cleveland Cavaliers - Boston Celtics,105:104,3.98,1.26
2023-2024,05.03.2024,Dallas Mavericks - Indiana Pacers,120:137,1.45,2.79
2023-2024,05.03.2024,Denver Nuggets - Phoenix Suns,107:117 AET,1.25,4.07
2023-2024,05.03.2024,Houston Rockets - San Antonio Spurs,114:101,1.36,3.25
