Season,Date,Match,Score,Odds_1,Odds_2
2022-2023,02.04.2023,New York Knicks - Washington Wizards,118:109,1.16,5.55
2022-2023,02.04.2023,Oklahoma City Thunder - Phoenix Suns,118:128,2.77,1.47
2022-2023,02.04.2023,Orlando Magic - Detroit Pistons,128:102,1.17,5.27
2022-2023,02.04.2023,Sacramento Kings - San Antonio Spurs,134:142 AET,1.07,9.63
2022-2023,01.04.2023,Miami Heat - Dallas Mavericks,129:122,2.18,1.71
2022-2023,01.04.2023,New Orleans Pelicans - Los Angeles Clippers,122:114,1.56,2.49
2022-2023,31.03.2023,Boston Celtics - Utah Jazz,122:114,1.11,6.82
2022-2023,31.03.2023,Brooklyn Nets - Atlanta Hawks,124:107,2.02,1.84
2022-2023,31.03.2023,Charlotte Hornets - Chicago Bulls,91:121,5.30,1.17
2022-2023,31.03.2023,Cleveland Cavaliers - New York Knicks,116:130,1.61,2.40
2022-2023,31.03.2023,Golden State Warriors - San Antonio Spurs,130:115,1.05,11.53
2022-2023,31.03.2023,Houston Rockets - Detroit Pistons,121:115,1.42,2.98
2022-2023,31.03.2023,Indiana Pacers - Oklahoma City Thunder,121:117,2.85,1.45
2022-2023,31.03.2023,Memphis Grizzlies - Los Angeles Clippers,108:94,1.47,2.78
2022-2023,31.03.2023,Minnesota Timberwolves - Los Angeles Lakers,111:123,2.07,1.80
2022-2023,31.03.2023,Philadelphia 76ers - Toronto Raptors,117:110,1.57,2.48
2022-2023,31.03.2023,Phoenix Suns - Denver Nuggets,100:93,1.12,6.70
2022-2023,31.03.2023,Portland Trail Blazers - Sacramento Kings,114:138,8.19,1.08
2022-2023,31.03.2023,Washington Wizards - Orlando Magic,109:116,2.59,1.53
2022-2023,30.03.2023,Denver Nuggets - New Orleans Pelicans,88:107,1.78,2.07
2022-2023,30.03.2023,Milwaukee Bucks - Boston Celtics,99:140,1.75,2.13
2022-2023,29.03.2023,Brooklyn Nets - Houston Rockets,123:114,1.17,5.33
2022-2023,29.03.2023,Chicago Bulls - Los Angeles Lakers,110:121,2.48,1.57
2022-2023,29.03.2023,Indiana Pacers - Milwaukee Bucks,136:149,6.57,1.12
2022-2023,29.03.2023,Memphis Grizzlies - Los Angeles Clippers,132:141,1.77,2.09
2022-2023,29.03.2023,New York Knicks - Miami Heat,101:92,1.44,2.84
2022-2023,29.03.2023,Oklahoma City Thunder - Detroit Pistons,107:106,1.21,4.60
2022-2023,29.03.2023,Philadelphia 76ers - Dallas Mavericks,116:108,1.41,3.04
2022-2023,29.03.2023,Phoenix Suns - Minnesota Timberwolves,107:100,1.41,2.99
2022-2023,29.03.2023,Portland Trail Blazers - Sacramento Kings,80:120,7.88,1.09
2022-2023,29.03.2023,San Antonio Spurs - Utah Jazz,117:128,2.14,1.75
2022-2023,28.03.2023,Atlanta Hawks - Cleveland Cavaliers,120:118,1.68,2.26
2022-2023,28.03.2023,Golden State Warriors - New Orleans Pelicans,120:109,1.27,3.99
2022-2023,28.03.2023,Memphis Grizzlies - Orlando Magic,113:108,1.39,3.09
2022-2023,28.03.2023,Oklahoma City Thunder - Charlotte Hornets,134:137,1.22,4.43
2022-2023,28.03.2023,Toronto Raptors - Miami Heat,106:92,1.44,2.88
2022-2023,28.03.2023,Washington Wizards - Boston Celtics,130:111,5.30,1.16
2022-2023,27.03.2023,Denver Nuggets - Philadelphia 76ers,116:111,1.23,4.35
2022-2023,27.03.2023,Detroit Pistons - Milwaukee Bucks,117:126,6.27,1.13
2022-2023,27.03.2023,Indiana Pacers - Dallas Mavericks,104:127,3.39,1.34
2022-2023,27.03.2023,Los Angeles Clippers - Chicago Bulls,124:112,1.54,2.55
2022-2023,27.03.2023,New York Knicks - Houston Rockets,137:115,1.12,6.66
2022-2023,27.03.2023,Portland Trail Blazers - New Orleans Pelicans,90:124,5.71,1.15
2022-2023,27.03.2023,Sacramento Kings - Minnesota Timberwolves,115:119,1.43,2.95
2022-2023,27.03.2023,Utah Jazz - Phoenix Suns,103:117,2.65,1.51
2022-2023,26.03.2023,Atlanta Hawks - Memphis Grizzlies,119:123,2.08,1.78
2022-2023,26.03.2023,Boston Celtics - San Antonio Spurs,137:93,1.06,9.68
2022-2023,26.03.2023,Charlotte Hornets - Dallas Mavericks,110:104,6.31,1.13
2022-2023,26.03.2023,Cleveland Cavaliers - Houston Rockets,108:91,1.10,7.58
2022-2023,26.03.2023,Golden State Warriors - Minnesota Timberwolves,96:99,1.46,2.78
2022-2023,26.03.2023,Los Angeles Lakers - Chicago Bulls,108:118,1.46,2.79
2022-2023,26.03.2023,Orlando Magic - Brooklyn Nets,119:106,1.81,2.04
2022-2023,26.03.2023,Portland Trail Blazers - Oklahoma City Thunder,112:118,4.82,1.20
2022-2023,26.03.2023,Toronto Raptors - Washington Wizards,114:104,1.21,4.55
2022-2023,25.03.2023,Atlanta Hawks - Indiana Pacers,143:130,1.21,4.59
2022-2023,25.03.2023,Denver Nuggets - Milwaukee Bucks,129:106,1.63,2.35
