Season,Date,Match,Score,Odds_1,Odds_2
2024-2025,01.04.2025,Milwaukee Bucks - Phoenix Suns,133:123,1.38,3.09
2024-2025,01.04.2025,New York Knicks - Philadelphia 76ers,105:91,1.11,6.78
2024-2025,01.04.2025,San Antonio Spurs - Orlando Magic,105:116,2.66,1.50
2024-2025,31.03.2025,Charlotte Hornets - Utah Jazz,110:106,1.55,2.48
2024-2025,31.03.2025,Dallas Mavericks - Brooklyn Nets,109:113,1.22,4.39
2024-2025,31.03.2025,Indiana Pacers - Sacramento Kings,111:109,1.58,2.42
2024-2025,31.03.2025,Los Angeles Lakers - Houston Rockets,104:98,1.55,2.50
2024-2025,31.03.2025,Memphis Grizzlies - Boston Celtics,103:117,2.50,1.55
2024-2025,31.03.2025,Oklahoma City Thunder - Chicago Bulls,145:117,1.08,7.99
2024-2025,31.03.2025,Orlando Magic - Los Angeles Clippers,87:96,2.22,1.68
2024-2025,31.03.2025,Washington Wizards - Miami Heat,94:120,4.29,1.22
2024-2025,30.03.2025,Cleveland Cavaliers - Los Angeles Clippers,127:122,1.36,3.25
2024-2025,30.03.2025,Milwaukee Bucks - Atlanta Hawks,124:145,1.56,2.48
2024-2025,30.03.2025,Minnesota Timberwolves - Detroit Pistons,123:104,1.35,3.27
2024-2025,30.03.2025,New Orleans Pelicans - Charlotte Hornets,98:94,1.70,2.17
2024-2025,30.03.2025,New York Knicks - Portland Trail Blazers,110:93,1.34,3.36
2024-2025,30.03.2025,Philadelphia 76ers - Toronto Raptors,109:127,2.98,1.41
2024-2025,30.03.2025,Phoenix Suns - Houston Rockets,109:148,2.14,1.74
2024-2025,30.03.2025,San Antonio Spurs - Golden State Warriors,106:148,5.31,1.16
2024-2025,29.03.2025,Chicago Bulls - Dallas Mavericks,119:120,1.71,2.19
2024-2025,29.03.2025,Memphis Grizzlies - Los Angeles Lakers,127:134,1.78,2.08
2024-2025,29.03.2025,Oklahoma City Thunder - Indiana Pacers,132:111,1.26,3.94
2024-2025,29.03.2025,Orlando Magic - Sacramento Kings,121:91,1.88,1.96
2024-2025,29.03.2025,Philadelphia 76ers - Miami Heat,95:118,3.66,1.29
2024-2025,29.03.2025,San Antonio Spurs - Boston Celtics,111:121,6.05,1.13
2024-2025,29.03.2025,Washington Wizards - Brooklyn Nets,112:115,1.76,2.10
2024-2025,28.03.2025,Brooklyn Nets - Los Angeles Clippers,100:132,6.52,1.12
2024-2025,28.03.2025,Denver Nuggets - Utah Jazz,129:93,1.04,12.30
2024-2025,28.03.2025,Detroit Pistons - Cleveland Cavaliers,133:122,3.10,1.38
2024-2025,28.03.2025,Milwaukee Bucks - New York Knicks,107:116,1.84,1.99
2024-2025,28.03.2025,Minnesota Timberwolves - Phoenix Suns,124:109,1.32,3.44
2024-2025,28.03.2025,New Orleans Pelicans - Golden State Warriors,95:111,8.77,1.07
2024-2025,28.03.2025,Toronto Raptors - Charlotte Hornets,108:97,1.43,2.88
2024-2025,27.03.2025,Chicago Bulls - Los Angeles Lakers,119:117,2.46,1.57
2024-2025,27.03.2025,Cleveland Cavaliers - San Antonio Spurs,124:116,1.10,7.22
2024-2025,27.03.2025,Miami Heat - Atlanta Hawks,122:112,1.82,2.03
2024-2025,27.03.2025,Oklahoma City Thunder - Memphis Grizzlies,125:104,1.18,5.01
2024-2025,27.03.2025,Orlando Magic - Dallas Mavericks,92:101,1.39,3.06
2024-2025,27.03.2025,Sacramento Kings - Portland Trail Blazers,128:107,1.42,2.91
2024-2025,27.03.2025,Utah Jazz - Houston Rockets,110:121,6.85,1.11
2024-2025,27.03.2025,Washington Wizards - Indiana Pacers,109:162,6.35,1.12
2024-2025,26.03.2025,Brooklyn Nets - Toronto Raptors,86:116,1.73,2.15
2024-2025,26.03.2025,Denver Nuggets - Milwaukee Bucks,127:117,1.17,5.28
2024-2025,26.03.2025,Indiana Pacers - Los Angeles Lakers,119:120,1.97,1.87
2024-2025,26.03.2025,New York Knicks - Los Angeles Clippers,113:126,2.56,1.53
2024-2025,26.03.2025,Philadelphia 76ers - Washington Wizards,114:119,1.67,2.24
2024-2025,26.03.2025,Phoenix Suns - Boston Celtics,102:132,2.67,1.49
2024-2025,25.03.2025,Charlotte Hornets - Orlando Magic,104:111,2.66,1.50
2024-2025,25.03.2025,Detroit Pistons - San Antonio Spurs,122:96,1.26,4.00
2024-2025,25.03.2025,Houston Rockets - Atlanta Hawks,121:114,1.31,3.55
2024-2025,25.03.2025,Miami Heat - Golden State Warriors,112:86,2.52,1.54
2024-2025,25.03.2025,New York Knicks - Dallas Mavericks,128:113,1.18,5.12
2024-2025,25.03.2025,Portland Trail Blazers - Cleveland Cavaliers,111:122,3.07,1.39
2024-2025,25.03.2025,Sacramento Kings - Oklahoma City Thunder,105:121,3.97,1.26
2024-2025,25.03.2025,Utah Jazz - Memphis Grizzlies,103:140,5.14,1.17
2024-2025,24.03.2025,Brooklyn Nets - Dallas Mavericks,101:120,2.29,1.65
2024-2025,24.03.2025,Denver Nuggets - Chicago Bulls,119:129,1.69,2.22
2024-2025,24.03.2025,Indiana Pacers - Minnesota Timberwolves,119:103,2.01,1.83
2024-2025,24.03.2025,New Orleans Pelicans - Philadelphia 76ers,112:99,1.66,2.27
2024-2025,24.03.2025,Orlando Magic - Los Angeles Lakers,118:106,2.47,1.57
2024-2025,24.03.2025,Phoenix Suns - Milwaukee Bucks,108:106,1.66,2.27
2024-2025,24.03.2025,Sacramento Kings - Boston Celtics,95:113,2.65,1.50
2024-2025,24.03.2025,Washington Wizards - Toronto Raptors,104:112,1.76,2.11
2024-2025,23.03.2025,Atlanta Hawks - Philadelphia 76ers,132:119,1.20,4.67
2024-2025,23.03.2025,Detroit Pistons - New Orleans Pelicans,136:130,1.14,6.21
2024-2025,23.03.2025,Houston Rockets - Denver Nuggets,111:116,1.34,3.36
2024-2025,23.03.2025,Los Angeles Clippers - Oklahoma City Thunder,101:103,2.02,1.83
2024-2025,23.03.2025,Miami Heat - Charlotte Hornets,122:105,1.35,3.24
2024-2025,23.03.2025,Portland Trail Blazers - Boston Celtics,116:129,3.11,1.38
2024-2025,23.03.2025,Toronto Raptors - San Antonio Spurs,89:123,1.90,1.93
2024-2025,23.03.2025,Utah Jazz - Cleveland Cavaliers,91:120,9.85,1.06
2024-2025,22.03.2025,Atlanta Hawks - Golden State Warriors,124:115,2.17,1.72
2024-2025,22.03.2025,Indiana Pacers - Brooklyn Nets,108:103,1.14,5.92
2024-2025,22.03.2025,Los Angeles Lakers - Chicago Bulls,115:146,1.20,4.72
2024-2025,22.03.2025,New York Knicks - Washington Wizards,122:103,1.08,8.41
2024-2025,22.03.2025,Sacramento Kings - Milwaukee Bucks,108:114,1.81,2.04
2024-2025,21.03.2025,Dallas Mavericks - Detroit Pistons,123:117,4.16,1.24
2024-2025,21.03.2025,Los Angeles Clippers - Memphis Grizzlies,128:108,1.39,3.05
2024-2025,21.03.2025,Miami Heat - Houston Rockets,98:102,2.55,1.53
2024-2025,21.03.2025,Minnesota Timberwolves - New Orleans Pelicans,134:93,1.07,8.50
2024-2025,21.03.2025,Oklahoma City Thunder - Charlotte Hornets,141:106,1.04,12.86
2024-2025,21.03.2025,Phoenix Suns - Cleveland Cavaliers,123:112,3.76,1.28
2024-2025,21.03.2025,Portland Trail Blazers - Denver Nuggets,128:109,2.06,1.80
2024-2025,21.03.2025,San Antonio Spurs - Philadelphia 76ers,128:120,1.44,2.85
2024-2025,21.03.2025,Utah Jazz - Boston Celtics,99:121,7.86,1.08
2024-2025,21.03.2025,Washington Wizards - Orlando Magic,105:120,3.76,1.28
2024-2025,20.03.2025,Charlotte Hornets - New York Knicks,115:98,3.43,1.33
2024-2025,20.03.2025,Golden State Warriors - Toronto Raptors,117:114,1.09,7.66
2024-2025,20.03.2025,Indiana Pacers - Brooklyn Nets,105:99 AET,1.30,3.61
2024-2025,20.03.2025,Los Angeles Lakers - Milwaukee Bucks,89:118,3.57,1.31
2024-2025,20.03.2025,Sacramento Kings - Chicago Bulls,116:128,1.34,3.36
2024-2025,19.03.2025,Indiana Pacers - Dallas Mavericks,135:131,1.19,4.79
2024-2025,19.03.2025,Los Angeles Lakers - Denver Nuggets,120:108,1.48,2.72
2024-2025,19.03.2025,Miami Heat - Detroit Pistons,113:116,2.63,1.51
2024-2025,19.03.2025,Minnesota Timberwolves - New Orleans Pelicans,115:119,1.12,6.60
2024-2025,19.03.2025,Oklahoma City Thunder - Philadelphia 76ers,133:100,1.16,5.41
2024-2025,19.03.2025,Orlando Magic - Houston Rockets,108:116,2.13,1.74
2024-2025,19.03.2025,Phoenix Suns - Chicago Bulls,127:121,1.45,2.79
2024-2025,19.03.2025,Portland Trail Blazers - Memphis Grizzlies,115:99,2.52,1.54
2024-2025,19.03.2025,Sacramento Kings - Cleveland Cavaliers,123:119,3.08,1.39
2024-2025,19.03.2025,San Antonio Spurs - New York Knicks,120:105,3.90,1.27
2024-2025,19.03.2025,Utah Jazz - Washington Wizards,128:112,1.71,2.18
2024-2025,18.03.2025,Boston Celtics - Brooklyn Nets,104:96,1.12,6.52
2024-2025,18.03.2025,Charlotte Hornets - Atlanta Hawks,102:134,3.59,1.31
2024-2025,18.03.2025,Golden State Warriors - Milwaukee Bucks,104:93,2.05,1.81
2024-2025,18.03.2025,Los Angeles Clippers - Cleveland Cavaliers,132:119,2.19,1.71
2024-2025,17.03.2025,Golden State Warriors - Denver Nuggets,105:114,1.17,5.21
2024-2025,17.03.2025,Houston Rockets - Philadelphia 76ers,144:137 AET,1.06,9.97
2024-2025,17.03.2025,Los Angeles Lakers - San Antonio Spurs,125:109,1.24,4.19
2024-2025,17.03.2025,Minnesota Timberwolves - Indiana Pacers,130:132 AET,1.18,5.01
2024-2025,17.03.2025,New Orleans Pelicans - Detroit Pistons,81:127,3.12,1.39
2024-2025,17.03.2025,New York Knicks - Miami Heat,116:95,1.36,3.26
2024-2025,17.03.2025,Phoenix Suns - Toronto Raptors,129:89,1.25,4.11
2024-2025,17.03.2025,Portland Trail Blazers - Washington Wizards,112:97,1.43,2.93
2024-2025,17.03.2025,Sacramento Kings - Memphis Grizzlies,132:122,1.70,2.21
2024-2025,17.03.2025,Utah Jazz - Chicago Bulls,97:111,2.59,1.53
2024-2025,16.03.2025,Brooklyn Nets - Atlanta Hawks,122:114,2.94,1.42
2024-2025,16.03.2025,Cleveland Cavaliers - Orlando Magic,103:108,1.19,4.86
2024-2025,16.03.2025,Dallas Mavericks - Philadelphia 76ers,125:130,1.38,3.15
2024-2025,16.03.2025,Los Angeles Clippers - Charlotte Hornets,123:88,1.12,6.64
2024-2025,16.03.2025,Los Angeles Lakers - Phoenix Suns,107:96,1.72,2.17
2024-2025,16.03.2025,Milwaukee Bucks - Oklahoma City Thunder,105:121,2.76,1.46
2024-2025,16.03.2025,Minnesota Timberwolves - Utah Jazz,128:102,1.11,7.13
2024-2025,16.03.2025,Portland Trail Blazers - Toronto Raptors,105:102,1.35,3.27
2024-2025,15.03.2025,Brooklyn Nets - Boston Celtics,113:115,5.20,1.17
2024-2025,15.03.2025,Denver Nuggets - Washington Wizards,123:126,1.14,6.11
2024-2025,15.03.2025,Detroit Pistons - Oklahoma City Thunder,107:113,2.49,1.56
2024-2025,15.03.2025,Golden State Warriors - New York Knicks,97:94,1.39,3.11
2024-2025,15.03.2025,Houston Rockets - Chicago Bulls,117:114,1.28,3.76
2024-2025,15.03.2025,Memphis Grizzlies - Miami Heat,125:91,1.42,2.95
2024-2025,15.03.2025,Milwaukee Bucks - Indiana Pacers,126:119,1.60,2.39
2024-2025,15.03.2025,San Antonio Spurs - New Orleans Pelicans,119:115,2.05,1.81
2024-2025,14.03.2025,Atlanta Hawks - Los Angeles Clippers,98:121,2.68,1.50
2024-2025,14.03.2025,Denver Nuggets - Los Angeles Lakers,131:126,1.09,7.81
2024-2025,14.03.2025,Houston Rockets - Dallas Mavericks,133:96,1.15,5.64
2024-2025,14.03.2025,Memphis Grizzlies - Cleveland Cavaliers,124:133,2.14,1.74
2024-2025,14.03.2025,Miami Heat - Boston Celtics,91:103,3.55,1.32
2024-2025,14.03.2025,Minnesota Timberwolves - Orlando Magic,118:111,1.19,4.96
2024-2025,14.03.2025,Philadelphia 76ers - Indiana Pacers,100:112,6.81,1.11
2024-2025,14.03.2025,Phoenix Suns - Sacramento Kings,122:106,1.75,2.13
2024-2025,14.03.2025,San Antonio Spurs - Charlotte Hornets,134:145,1.71,2.18
2024-2025,14.03.2025,Utah Jazz - Toronto Raptors,118:126,1.81,2.05
2024-2025,13.03.2025,Chicago Bulls - Brooklyn Nets,116:110,1.82,2.04
2024-2025,13.03.2025,Detroit Pistons - Washington Wizards,125:129,1.12,6.61
2024-2025,13.03.2025,Golden State Warriors - Sacramento Kings,130:104,1.35,3.33
2024-2025,13.03.2025,Milwaukee Bucks - Los Angeles Lakers,126:106,1.42,2.97
2024-2025,13.03.2025,New Orleans Pelicans - Orlando Magic,93:113,2.09,1.78
2024-2025,12.03.2025,Atlanta Hawks - Charlotte Hornets,123:110,1.33,3.41
2024-2025,12.03.2025,Boston Celtics - Oklahoma City Thunder,112:118,1.68,2.25
2024-2025,12.03.2025,Denver Nuggets - Minnesota Timberwolves,95:115,1.77,2.11
2024-2025,12.03.2025,Houston Rockets - Phoenix Suns,111:104,1.54,2.56
2024-2025,12.03.2025,Memphis Grizzlies - Utah Jazz,122:115,1.20,4.76
2024-2025,12.03.2025,Miami Heat - Los Angeles Clippers,104:119,1.79,2.08
2024-2025,12.03.2025,Portland Trail Blazers - New York Knicks,113:114 AET,2.43,1.59
2024-2025,12.03.2025,San Antonio Spurs - Dallas Mavericks,126:116,1.41,3.02
2024-2025,12.03.2025,Toronto Raptors - Philadelphia 76ers,118:105,1.69,2.22
2024-2025,11.03.2025,Cleveland Cavaliers - Brooklyn Nets,109:104,1.10,7.76
2024-2025,11.03.2025,Detroit Pistons - Washington Wizards,123:103,1.10,7.67
2024-2025,11.03.2025,Indiana Pacers - Milwaukee Bucks,115:114,1.89,1.95
2024-2025,11.03.2025,New Orleans Pelicans - Los Angeles Clippers,127:120,3.48,1.33
2024-2025,10.03.2025,Atlanta Hawks - Philadelphia 76ers,132:123,1.23,4.35
2024-2025,10.03.2025,Boston Celtics - Utah Jazz,114:108,1.07,8.81
2024-2025,10.03.2025,Brooklyn Nets - Los Angeles Lakers,111:108,2.84,1.45
2024-2025,10.03.2025,Chicago Bulls - Indiana Pacers,121:103,2.45,1.58
2024-2025,10.03.2025,Golden State Warriors - Portland Trail Blazers,130:120,1.15,5.81
2024-2025,10.03.2025,Houston Rockets - Orlando Magic,97:84,1.64,2.32
2024-2025,10.03.2025,Memphis Grizzlies - Phoenix Suns,120:118,1.69,2.22
2024-2025,10.03.2025,Miami Heat - Charlotte Hornets,102:105,1.25,4.18
2024-2025,10.03.2025,Oklahoma City Thunder - Denver Nuggets,127:140,1.26,4.06
2024-2025,10.03.2025,Sacramento Kings - New York Knicks,104:133,2.03,1.83
2024-2025,10.03.2025,San Antonio Spurs - Dallas Mavericks,129:133,1.39,3.12
2024-2025,10.03.2025,Toronto Raptors - Washington Wizards,119:104,1.37,3.19
2024-2025,09.03.2025,Dallas Mavericks - Phoenix Suns,116:125,3.17,1.37
2024-2025,09.03.2025,Los Angeles Clippers - Sacramento Kings,111:110 AET,1.41,3.01
2024-2025,09.03.2025,Milwaukee Bucks - Cleveland Cavaliers,100:112,3.24,1.37
2024-2025,09.03.2025,Minnesota Timberwolves - San Antonio Spurs,141:124,1.19,4.98
2024-2025,09.03.2025,New Orleans Pelicans - Memphis Grizzlies,104:107,4.60,1.21
2024-2025,09.03.2025,Oklahoma City Thunder - Denver Nuggets,127:103,1.33,3.45
2024-2025,09.03.2025,Philadelphia 76ers - Utah Jazz,126:122,1.40,3.07
2024-2025,09.03.2025,Portland Trail Blazers - Detroit Pistons,112:119,2.38,1.61
2024-2025,08.03.2025,Atlanta Hawks - Indiana Pacers,120:118,1.94,1.90
2024-2025,08.03.2025,Boston Celtics - Los Angeles Lakers,111:101,1.42,2.98
2024-2025,08.03.2025,Charlotte Hornets - Brooklyn Nets,105:102,2.75,1.47
2024-2025,08.03.2025,Golden State Warriors - Detroit Pistons,115:110,1.50,2.69
2024-2025,08.03.2025,Houston Rockets - New Orleans Pelicans,146:117,1.35,3.31
2024-2025,08.03.2025,Miami Heat - Chicago Bulls,109:114,1.50,2.68
2024-2025,08.03.2025,Milwaukee Bucks - Orlando Magic,109:111,1.38,3.17
2024-2025,08.03.2025,Toronto Raptors - Washington Wizards,117:118,1.55,2.52
2024-2025,07.03.2025,Charlotte Hornets - Cleveland Cavaliers,117:118,8.96,1.07
2024-2025,07.03.2025,Dallas Mavericks - Memphis Grizzlies,111:122,4.46,1.22
2024-2025,07.03.2025,Denver Nuggets - Phoenix Suns,149:141 AET,1.26,4.03
2024-2025,07.03.2025,Los Angeles Clippers - New York Knicks,105:95,1.39,3.08
2024-2025,07.03.2025,Miami Heat - Minnesota Timberwolves,104:106,2.35,1.63
2024-2025,07.03.2025,Oklahoma City Thunder - Portland Trail Blazers,107:89,1.79,2.08
2024-2025,07.03.2025,Sacramento Kings - San Antonio Spurs,127:109,1.40,3.06
2024-2025,07.03.2025,Toronto Raptors - Utah Jazz,118:109,1.45,2.81
2024-2025,06.03.2025,Atlanta Hawks - Indiana Pacers,124:118,1.83,2.04
2024-2025,06.03.2025,Boston Celtics - Philadelphia 76ers,123:105,1.10,7.40
2024-2025,06.03.2025,Brooklyn Nets - Golden State Warriors,119:121,5.08,1.18
2024-2025,06.03.2025,Los Angeles Lakers - New York Knicks,113:109 AET,1.70,2.21
2024-2025,06.03.2025,New Orleans Pelicans - Houston Rockets,97:109,2.36,1.62
2024-2025,06.03.2025,Orlando Magic - Chicago Bulls,123:125,1.31,3.59
2024-2025,05.03.2025,Boston Celtics - Portland Trail Blazers,128:118,1.25,4.10
2024-2025,05.03.2025,Charlotte Hornets - Minnesota Timberwolves,110:125,4.02,1.26
2024-2025,05.03.2025,Cleveland Cavaliers - Miami Heat,112:107,1.11,6.84
2024-2025,05.03.2025,Denver Nuggets - Sacramento Kings,116:110,1.29,3.74
2024-2025,05.03.2025,Los Angeles Clippers - Detroit Pistons,123:115,2.34,1.63
2024-2025,05.03.2025,Memphis Grizzlies - Oklahoma City Thunder,103:120,3.26,1.36
2024-2025,05.03.2025,Milwaukee Bucks - Dallas Mavericks,137:107,1.15,5.76
2024-2025,05.03.2025,Washington Wizards - Utah Jazz,125:122,1.49,2.70
2024-2025,04.03.2025,Atlanta Hawks - Milwaukee Bucks,121:127,2.73,1.48
2024-2025,04.03.2025,Chicago Bulls - Cleveland Cavaliers,117:139,6.73,1.12
