frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,dribble_count,lineup_id,homography_valid,team_abbrev,ft_x,ft_y,dist_to_basket_ft,acceleration_mean_30,velocity_std_30,acceleration_mean_90,velocity_std_90,acceleration_mean_150,velocity_std_150,acceleration_std_90,defender_dist_mean_30,defender_dist_mean_90,defender_dist_mean_150,defender_dist_min_90,contested_fraction_90,off_ball_dist_mean_90,off_ball_dist_mean_150,off_ball_dist_std_90,paint_pressure_90,paint_pressure_opp_90,shot_selection_shift,velocity_ewma,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose,bbref_bpm,bbref_vorp,bbref_ws,bbref_ws_per_48,hustle_deflections_pg,hustle_charges_pg,hustle_contested_shots,on_off_diff,on_court_net_rtg,synergy_iso_ppp,synergy_pnr_ppp,synergy_spotup_ppp,injury_status_multiplier,contract_year_flag,cap_hit_pct,contested_shot_pct,catch_and_shoot_pct,pull_up_pct,avg_defender_dist,elo_home,elo_away,elo_diff,opp_def_rtg_trend,home_away_pts_delta,home_away_reb_delta,home_away_ast_delta,drive_finish_rate,drive_foul_rate,drive_kickout_rate,drive_tov_rate
15,0.5,2,green,2466,1388,0.7244,0.8112,1.8,-24.95,158.2,3pt_arc,0,,5.4,,none,,0.0,2680.0,1156.5,1,0,right,,1002.9026947021484,324.7510223388672,1282.4481353759766,667.3956451416016,2531.0,1194.0,12.53,948.4,-1.75,0,0,6,0,0.933,unclassified,0,0.0,24.0,,,1,0,0.0,0.5,half_court,,,0.0,0,unknown,,,1.3743685418725535,,,0,3,1,OKC,68.09,40.56,25.86,-0.822,24.409,-0.822,24.409,-0.822,24.409,41.097,5.4,5.4,5.4,5.4,0.2,0.0,0.0,0.0,0.667,0.167,0.0,21.017,21.03,60.0,105.1,0.0,21.03,60.0,105.1,0.0,21.03,60.0,105.1,0.0,0,0,0,0,20.74,0.0,0.0,876.6,-15.54,0.0,876.6,-15.54,0.0,876.6,-15.54,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,10510.0,10510.0,10510.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
15,0.5,6,white,2471,1386,0.7259,0.8101,0.0,0.0,0.0,3pt_arc,0,,5.4,,none,,0.0,2471.0,1386.0,0,1,right,,1002.0,329.0,1293.0,668.0,2531.0,1194.0,12.53,943.2,0.0,0,0,6,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.5,half_court,,,0.0,0,unknown,,,1.3743685418725535,,,0,3,1,HOU,68.23,40.51,25.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,5.4,5.4,1.0,0.0,0.0,0.0,0.667,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.74,0.0,943.2,0.0,0.0,943.2,0.0,0.0,943.2,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
18,0.6,1,green,2872,941,0.8437,0.55,9.07,-30.62,144.0,3pt_arc,0,,,,none,,0.0,2670.0,1163.0,0,0,right,,683.9608612060547,169.63369750976562,821.7112579345703,405.2756042480469,2539.0,1190.0,8.94,388.3,-8.33,0,0,7,0,0.867,unclassified,0,0.0,24.0,,,1,0,0.0,0.6,half_court,,,0.0,0,unknown,,,1.0540925533894598,,,0,3,1,OKC,79.31,27.5,9.77,-0.374,27.418,-0.374,27.418,-0.374,27.418,43.073,613.0,613.0,613.0,600.3,0.0,0.0,0.0,0.0,0.571,0.143,0.0,33.817,33.83,60.0,236.8,0.0,33.83,60.0,236.8,0.0,33.83,60.0,236.8,0.0,0,0,0,0,5.14,1.05,0.0,342.6,-15.58,0.0,342.6,-15.58,0.0,342.6,-15.58,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,23680.0,23680.0,23680.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
18,0.6,2,green,2468,1385,0.725,0.8095,1.2,-0.6,303.7,3pt_arc,0,,0.0,,none,,0.0,2670.0,1163.0,0,0,right,,996.5469818115234,324.65016174316406,1276.0924224853516,667.2947845458984,2539.0,1190.0,8.94,945.1,1.11,0,0,7,0,0.867,unclassified,0,0.0,24.0,,,1,0,0.0,0.6,half_court,,,0.0,0,unknown,,,1.0540925533894598,,,0,3,1,OKC,68.15,40.48,25.77,-0.785,23.284,-0.785,23.284,-0.785,23.284,36.759,2.7,2.7,2.7,0.0,0.333,0.0,0.0,0.0,0.571,0.143,0.0,17.701,17.72,60.0,106.3,0.0,17.72,60.0,106.3,0.0,17.72,60.0,106.3,0.0,0,0,0,0,5.14,1.05,0.0,888.0,-12.76,0.0,888.0,-12.76,0.0,888.0,-12.76,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,10630.0,10630.0,10630.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
18,0.6,6,white,2468,1385,0.725,0.8095,1.05,1.05,198.4,3pt_arc,0,,0.0,,none,,0.0,2468.0,1385.0,0,0,right,,1007.0,328.0,1294.0,671.0,2539.0,1190.0,8.94,945.1,-0.64,0,0,7,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.6,half_court,,,0.0,0,unknown,,,1.0540925533894598,,,0,3,1,HOU,68.15,40.48,25.77,0.525,0.742,0.525,0.742,0.525,0.742,0.742,2.7,2.7,2.7,0.0,1.0,0.0,0.0,0.0,0.571,0.143,0.0,0.525,0.52,1.05,1.0,0.0,0.52,1.05,1.0,0.0,0.52,1.05,1.0,0.0,0,0,0,0,1.05,5.14,0.0,944.2,-0.32,0.0,944.2,-0.32,0.0,944.2,-0.32,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
21,0.7,1,green,2848,958,0.8367,0.5599,9.8,0.73,144.7,3pt_arc,0,,,,none,,0.0,2665.5,1167.5,0,0,right,,678.2518768310547,163.40966796875,816.0022735595703,399.0515747070313,2542.0,1188.0,3.61,415.7,-9.15,0,0,8,0,0.8,unclassified,0,0.0,24.0,,,1,0,0.0,0.7,half_court,,,0.0,0,unknown,,,0.4714045207910317,,,0,3,1,OKC,78.65,27.99,10.53,-0.236,26.769,-0.236,26.769,-0.236,26.769,39.88,593.9,593.9,593.9,555.7,0.0,0.0,0.0,0.0,0.5,0.125,0.0,30.799,30.83,60.0,246.6,0.0,30.83,60.0,246.6,0.0,30.83,60.0,246.6,0.0,0,0,0,0,7.74,5.67,0.0,351.7,-14.77,0.0,351.7,-14.77,0.0,351.7,-14.77,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,24660.0,24660.0,24660.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
21,0.7,2,green,2483,1377,0.7294,0.8048,5.67,4.47,331.9,3pt_arc,0,198.0,0.0,,none,,0.0,2665.5,1167.5,0,0,right,,990.1912689208984,324.54930114746094,1269.7367095947266,667.1939239501953,2542.0,1188.0,3.61,928.2,5.63,0,0,8,0,0.8,unclassified,0,0.0,24.0,,,1,0,0.0,0.7,half_court,,,0.0,0,unknown,,,0.4714045207910317,,,0,3,1,OKC,68.56,40.24,25.3,-0.034,21.738,-0.034,21.738,-0.034,21.738,33.615,1.8,1.8,1.8,0.0,0.429,0.0,0.0,0.0,0.5,0.125,0.0,15.975,16.0,60.0,112.0,0.0,16.0,60.0,112.0,0.0,16.0,60.0,112.0,0.0,0,0,0,0,7.74,5.67,0.0,893.7,-10.14,0.0,893.7,-10.14,0.0,893.7,-10.14,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,11200.0,11200.0,11200.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
21,0.7,6,white,2483,1377,0.7294,0.8048,5.67,4.62,331.9,3pt_arc,0,198.0,0.0,,none,,0.0,2483.0,1377.0,0,0,right,,1010.0,334.0,1293.0,669.0,2542.0,1188.0,3.61,928.2,5.63,0,0,8,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.7,half_court,,,0.0,0,unknown,,,0.4714045207910317,,,0,3,1,HOU,68.56,40.24,25.3,1.89,3.017,1.89,3.017,1.89,3.017,2.422,1.8,1.8,1.8,0.0,1.0,0.0,0.0,0.0,0.5,0.125,0.0,2.243,2.24,5.67,6.7,0.0,2.24,5.67,6.7,0.0,2.24,5.67,6.7,0.0,0,0,0,0,5.67,7.74,0.0,938.8,1.66,0.0,938.8,1.66,0.0,938.8,1.66,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,670.0,670.0,670.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
24,0.8,1,green,2822,976,0.829,0.5704,10.54,0.74,145.3,3pt_arc,0,,,,none,,0.0,2665.5,1169.0,0,0,right,,672.5428924560547,157.18563842773438,810.2932891845703,392.8275451660156,2545.0,1187.0,3.16,445.4,-9.97,0,0,9,0,0.733,unclassified,0,0.0,24.0,,,1,0,0.0,0.8,half_court,,,0.0,0,unknown,88.09204916742759,134.72869445272886,0.3333333333333333,,,0,3,1,OKC,77.93,28.52,11.38,-0.128,25.937,-0.128,25.937,-0.128,25.937,37.305,569.7,569.7,569.7,497.0,0.0,0.0,0.0,0.0,0.444,0.111,0.0,28.534,28.57,60.0,257.2,0.0,28.57,60.0,257.2,0.0,28.57,60.0,257.2,0.0,0,0,0,0,10.27,10.01,0.0,362.1,-14.24,0.0,362.1,-14.24,0.0,362.1,-14.24,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,25720.0,25720.0,25720.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
24,0.8,2,green,2509,1362,0.7371,0.796,10.01,4.34,330.0,3pt_arc,0,178.7,0.0,,none,,0.0,2665.5,1169.0,0,0,right,,983.8355560302734,324.4484405517578,1263.3809967041016,667.0930633544922,2545.0,1187.0,3.16,898.2,9.98,0,0,9,0,0.733,unclassified,0,0.0,24.0,,,1,0,0.0,0.8,half_court,,,0.0,0,unknown,88.09204916742759,134.72869445272886,0.3333333333333333,,,0,3,1,OKC,69.29,39.8,24.45,0.513,20.237,0.513,20.237,0.513,20.237,31.16,1.4,1.4,1.4,0.0,0.5,0.0,0.0,0.0,0.444,0.111,0.0,15.225,15.25,60.0,122.0,0.0,15.25,60.0,122.0,0.0,15.25,60.0,122.0,0.0,0,0,0,0,10.27,10.01,0.0,894.3,-7.62,0.0,894.3,-7.62,0.0,894.3,-7.62,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,12200.0,12200.0,12200.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
