game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,score_diff,pbp_play_type,pbp_score_home,pbp_score_away,pbp_period,pbp_matched,source
0022401123,93,white,20358,20429,72,2.4,252212.8,185.6,,0,1,20400.0,0,off_screen,foul,0,7,foul,,,1,True,
0022401123,94,green,20448,20534,87,2.9,73796.0,207.0,,0,1,20448.0,0,spot_up,missed_shot,0,7,missed_2,,,1,True,
0022401123,95,white,20631,20738,108,3.6,207224.2,300.7,,0,1,20637.0,0,spot_up,missed_shot,0,7,missed_2,,,1,True,
0022401123,96,white,20760,20855,96,3.2,257920.3,194.7,,0,1,20850.0,0,spot_up,missed_shot,0,7,missed_3,,,1,True,
0022401123,97,green,21018,21131,114,3.8,78882.5,237.9,,0,1,21075.0,0,off_screen,foul,0,7,foul,,,1,True,
0022401123,98,white,21312,21482,171,5.7,322274.5,197.1,,0,1,21318.0,0,hand_off,missed_shot,0,7,missed_3,,,1,True,
0022401123,99,green,21483,21560,78,2.6,47455.4,333.8,,0,1,21525.0,0,spot_up,missed_shot,0,7,missed_3,,,1,True,
0022401123,100,white,21561,21839,278,9.27,174648.2,395.3,,0,1,21651.0,0,hand_off,scored,3,7,made_3,38,28,2,True,
0022401123,101,green,21924,22247,324,10.8,67015.4,211.9,,0,1,21954.0,0,hand_off,scored,3,10,made_3,38,28,2,True,
0022401123,102,white,22248,22313,66,2.2,359872.3,418.8,,0,1,22296.0,0,transition,scored,3,10,made_3,38,28,2,True,
0022401123,103,green,22344,22526,183,6.1,11612.2,195.1,,0,1,22350.0,0,spot_up,missed_shot,0,10,missed_2,,,2,True,
0022401123,104,green,22611,22670,60,2.0,,225.1,,0,1,22653.0,0,transition,missed_shot,0,10,missed_2,,,2,True,
0022401123,105,white,22671,23072,401,13.37,448211.3,244.7,,0,1,22947.0,0,hand_off,scored,2,10,made_2,40,28,2,True,
0022401123,106,white,23121,23216,96,3.2,382672.8,479.5,,0,1,23175.0,0,hand_off,scored,2,10,made_2,40,28,2,True,
0022401123,107,green,23217,23321,105,3.5,77875.9,236.1,,0,1,23223.0,0,hand_off,scored,2,12,made_2,40,28,2,True,
0022401123,108,white,23322,23594,273,9.1,411708.3,249.8,,0,1,23331.0,0,hand_off,foul,0,12,foul,,,2,True,
0022401123,109,white,24024,24296,273,9.1,338583.2,286.7,,0,1,24042.0,0,hand_off,missed_shot,0,12,missed_2,,,2,True,
0022401123,110,green,24297,24641,345,11.5,53631.6,197.8,,0,1,24483.0,0,hand_off,scored,2,12,made_2,40,32,2,True,
0022401123,111,white,24798,24929,132,4.4,29443.5,255.0,,0,0,,0,spot_up,scored,3,8,made_3,43,32,2,True,
0022401123,112,green,24930,24989,60,2.0,69041.4,200.0,,0,1,24930.0,0,fast_break,scored,3,8,made_3,43,32,2,True,
0022401123,113,green,25026,25139,114,3.8,54438.9,252.9,,0,1,25026.0,0,spot_up,scored,3,11,made_3,43,32,2,True,
0022401123,114,green,25164,25463,300,10.0,84442.8,200.0,-56.81,0,1,25194.0,0,fast_break,scored,3,8,made_3,43,35,2,True,
0022401123,115,green,25503,25985,483,16.1,113324.3,206.2,,0,1,25575.0,0,hand_off,missed_shot,0,8,missed_2,,,2,True,
