section_id,kind,identifiable,detected,status
acb-8Oh7-GrvKvE_s2630,COAST,1,0,UNIDENTIFIABLE
acb-8Oh7-GrvKvE_s6440,COAST,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s1221,COAST,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s3483,COAST,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s5745,COAST,0,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s1153,COAST,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s3279,COAST,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s5405,COAST,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s1289,COAST,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s4886,COAST,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s1385,COAST,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s3975,COAST,0,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s90,COAST,1,0,UNIDENTIFIABLE
fiba-jFUMvm_epUE_s6740,COAST,1,0,UNIDENTIFIABLE
lnb-1CBY-LXG8VA_s6525,COAST,1,0,UNIDENTIFIABLE
lnb-ouDVA0vM20g_s1379,COAST,0,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s363,COAST,1,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s90,COAST,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s2232,COAST,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s4374,COAST,0,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s90,COAST,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s1196,ID_MERGE,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s3408,ID_MERGE,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s5620,ID_MERGE,1,1,REJECT
3fT6aYz2N9w_s1339,ID_MERGE,1,0,UNIDENTIFIABLE
3fT6aYz2N9w_s5086,ID_MERGE,1,0,UNIDENTIFIABLE
50pp-OqYVok_s2750,ID_MERGE,1,0,UNIDENTIFIABLE
50pp-OqYVok_s5410,ID_MERGE,1,0,UNIDENTIFIABLE
7Ci3zQ5Vm4M_s2312,ID_MERGE,1,0,UNIDENTIFIABLE
UPco-jzOoEg_s2796,ID_MERGE,1,0,UNIDENTIFIABLE
acb-8Oh7-GrvKvE_s2630,ID_MERGE,1,0,UNIDENTIFIABLE
acb-8Oh7-GrvKvE_s6440,ID_MERGE,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s1221,ID_MERGE,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s3483,ID_MERGE,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s5745,ID_MERGE,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s1153,ID_MERGE,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s3279,ID_MERGE,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s5405,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s1289,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s4886,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s1385,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s3975,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s90,ID_MERGE,1,0,UNIDENTIFIABLE
fiba-jFUMvm_epUE_s6740,ID_MERGE,1,0,UNIDENTIFIABLE
lnb-1CBY-LXG8VA_s6525,ID_MERGE,1,0,UNIDENTIFIABLE
lnb-ouDVA0vM20g_s1379,ID_MERGE,1,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s363,ID_MERGE,1,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s90,ID_MERGE,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s2232,ID_MERGE,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s4374,ID_MERGE,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s90,ID_MERGE,1,0,UNIDENTIFIABLE
