state_id,game_id,state_ts,stratum,check,verdict,reason
000014,401810693,2026-02-25T01:13:26+00:00,p1_m0_3_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000014,401810693,2026-02-25T01:13:26+00:00,p1_m0_3_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000014,401810693,2026-02-25T01:13:26+00:00,p1_m0_3_cgt_300,settlement,ACCEPTED,final_tick_after_state
000015,401704725,2024-11-05T01:45:02+00:00,p1_m0_3_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000015,401704725,2024-11-05T01:45:02+00:00,p1_m0_3_clt_60,status,ACCEPTED,active_s309_mask
000015,401704725,2024-11-05T01:45:02+00:00,p1_m0_3_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000015,401704725,2024-11-05T01:45:02+00:00,p1_m0_3_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000015,401704725,2024-11-05T01:45:02+00:00,p1_m0_3_clt_60,settlement,ACCEPTED,final_tick_after_state
000016,401704884,2024-12-03T01:33:03+00:00,p1_m0_3_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000016,401704884,2024-12-03T01:33:03+00:00,p1_m0_3_clt_60,status,ACCEPTED,active_s309_mask
000016,401704884,2024-12-03T01:33:03+00:00,p1_m0_3_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000016,401704884,2024-12-03T01:33:03+00:00,p1_m0_3_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
000016,401704884,2024-12-03T01:33:03+00:00,p1_m0_3_clt_60,settlement,ACCEPTED,final_tick_after_state
000017,401705112,2025-01-13T01:34:04+00:00,p1_m0_3_clt_60,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000017,401705112,2025-01-13T01:34:04+00:00,p1_m0_3_clt_60,status,ACCEPTED,active_s309_mask
000017,401705112,2025-01-13T01:34:04+00:00,p1_m0_3_clt_60,polarity,NOT_VERIFIED,side_or_home_column_absent
000017,401705112,2025-01-13T01:34:04+00:00,p1_m0_3_clt_60,duplicate,ACCEPTED,unique_game_id_state_ts
