"table","sport","source_present","tracking_csv_mtime_utc","corpus_policy_commit_utc","tracking_csv_mtime_before_corpus_policy"
"football_P_TdW-vpywo","football","False","2026-09-01T13:25:33Z","2026-09-01T15:12:15Z","True"
"football_qzjIo3_M_3U","football","False","2026-09-01T13:49:19Z","2026-09-01T15:12:15Z","True"
"football_r3nqqnCyZw8","football","False","2026-09-01T09:04:56Z","2026-09-01T15:12:15Z","True"
"football_S3ZqSGRVU3w","football","True","2026-09-02T22:30:51Z","2026-09-01T15:12:15Z","False"
"football_tEpTKZKk7ks","football","False","2026-09-01T14:38:52Z","2026-09-01T15:12:15Z","True"
"football_tKc73Meexzo","football","False","2026-09-01T13:33:35Z","2026-09-01T15:12:15Z","True"
"football_TqKwnvxbKDw","football","False","2026-09-01T13:48:47Z","2026-09-01T15:12:15Z","True"
"football_VEoXn84p9o8","football","False","2026-09-01T15:41:42Z","2026-09-01T15:12:15Z","False"
"football_wHZt1eY3A9s","football","True","2026-09-01T05:56:01Z","2026-09-01T15:12:15Z","True"
"football_wPk3WVHBib4","football","True","2026-09-02T22:54:31Z","2026-09-01T15:12:15Z","False"
"football_xnHO7JWdRcQ","football","False","2026-09-01T09:17:04Z","2026-09-01T15:12:15Z","True"
"football_yahhMkUWd7c","football","False","2026-09-01T05:59:36Z","2026-09-01T15:12:15Z","True"
"football_yaLoyksqqFY","football","False","2026-09-01T03:31:24Z","2026-09-01T15:12:15Z","True"
"football_Z8Ezd95NnjM","football","False","2026-09-01T05:53:27Z","2026-09-01T15:12:15Z","True"
"football_ZHJWGNGE0Cg","football","False","2026-09-01T14:38:48Z","2026-09-01T15:12:15Z","True"
"g89_tennis_09","tennis","True","2026-09-02T21:12:28Z","2026-09-01T15:12:15Z","False"
"g89_tennis_10","tennis","True","2026-09-02T21:06:01Z","2026-09-01T15:12:15Z","False"
"g89_tennis_nyYk2nPZAwY_720p","tennis","True","2026-09-02T21:08:48Z","2026-09-01T15:12:15Z","False"
"kbo_01","kbo","False","2026-09-01T05:49:58Z","2026-09-01T15:12:15Z","True"
"kbo_02","kbo","False","2026-09-01T06:01:21Z","2026-09-01T15:12:15Z","True"
"kbo_03","kbo","False","2026-09-01T05:19:24Z","2026-09-01T15:12:15Z","True"
"kbo_04","kbo","False","2026-09-01T05:36:07Z","2026-09-01T15:12:15Z","True"
"kbo_05","kbo","False","2026-09-01T05:22:49Z","2026-09-01T15:12:15Z","True"
"kbo_06","kbo","False","2026-09-01T07:21:15Z","2026-09-01T15:12:15Z","True"
"kbo_07","kbo","False","2026-09-01T07:34:30Z","2026-09-01T15:12:15Z","True"
"kbo_08","kbo","False","2026-09-01T07:51:50Z","2026-09-01T15:12:15Z","True"
"kbo_09","kbo","False","2026-09-01T07:51:52Z","2026-09-01T15:12:15Z","True"
"kbo_10","kbo","False","2026-09-01T13:46:45Z","2026-09-01T15:12:15Z","True"
"kbo_1IwwT5ysVSY","kbo","False","2026-09-01T14:38:57Z","2026-09-01T15:12:15Z","True"
"kbo_2WqtNa-uUZU","kbo","True","2026-09-02T21:57:59Z","2026-09-01T15:12:15Z","False"
"kbo_2ZtgAvs67so","kbo","False","2026-09-01T18:01:20Z","2026-09-01T15:12:15Z","False"
"kbo_64cdlFkEuCc","kbo","False","2026-09-01T14:38:57Z","2026-09-01T15:12:15Z","True"
"kbo_8yxSFxuR2Lk","kbo","True","2026-09-01T15:42:05Z","2026-09-01T15:12:15Z","False"
"kbo_9Hv-cd-BmSY","kbo","True","2026-09-01T15:22:03Z","2026-09-01T15:12:15Z","False"
"kbo_ahHGpSJWcIU","kbo","True","2026-09-01T17:18:23Z","2026-09-01T15:12:15Z","False"
"kbo_bGQwZl43E9Y","kbo","True","2026-09-01T15:41:54Z","2026-09-01T15:12:15Z","False"
"kbo_cyRosVcG7zI","kbo","False","2026-09-01T13:44:12Z","2026-09-01T15:12:15Z","True"
"kbo_eeH8RMtS24U","kbo","False","2026-09-01T14:03:22Z","2026-09-01T15:12:15Z","True"
"kbo_FA3W5xMyYRY","kbo","False","2026-09-01T14:38:56Z","2026-09-01T15:12:15Z","True"
"kbo_FDSWjM_OaTs","kbo","True","2026-09-01T15:42:19Z","2026-09-01T15:12:15Z","False"
"kbo_fy6pf01O2gE","kbo","False","2026-09-01T14:04:07Z","2026-09-01T15:12:15Z","True"
"kbo_h7IUxRgXbL8","kbo","False","2026-09-01T12:35:13Z","2026-09-01T15:12:15Z","True"
"kbo_hl_xGuMseB8","kbo","False","2026-09-01T12:42:05Z","2026-09-01T15:12:15Z","True"
"kbo_Lh8n_DUXyGE","kbo","True","2026-09-01T17:37:08Z","2026-09-01T15:12:15Z","False"
"kbo_lIxmDQyQDtc","kbo","True","2026-09-01T15:21:59Z","2026-09-01T15:12:15Z","False"
"kbo_lrK_Hv6BEE0","kbo","True","2026-09-01T18:32:40Z","2026-09-01T15:12:15Z","False"
"kbo_OJfFKo9Dq2A","kbo","False","2026-09-01T14:05:43Z","2026-09-01T15:12:15Z","True"
"kbo_qLQbGFQ0-EQ","kbo","True","2026-09-01T15:42:03Z","2026-09-01T15:12:15Z","False"
"kbo_QrO9d2csjsg","kbo","False","2026-09-01T13:43:54Z","2026-09-01T15:12:15Z","True"
"kbo_tHih8xD7MSY","kbo","True","2026-09-02T22:02:54Z","2026-09-01T15:12:15Z","False"
"kbo_tzC71aneg9c","kbo","True","2026-09-01T15:21:59Z","2026-09-01T15:12:15Z","False"
"kbo_UuivYJVZYtY","kbo","False","2026-09-01T14:03:30Z","2026-09-01T15:12:15Z","True"
"kbo_vPUqzscNQIk","kbo","False","2026-09-01T14:38:56Z","2026-09-01T15:12:15Z","True"
"kbo_W-tKSex-WPU","kbo","True","2026-09-01T15:22:03Z","2026-09-01T15:12:15Z","False"
"kbo_Y4HqKr58TZk","kbo","False","2026-09-01T12:31:39Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_03d78bee","baseball","False","2026-09-01T06:34:51Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_08b16ce9","baseball","False","2026-09-01T05:19:53Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_0f36e8cc","baseball","False","2026-09-01T10:37:56Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_10893dca","baseball","False","2026-09-01T05:13:05Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_1c6706c6","baseball","False","2026-09-01T02:25:17Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_2143de43","baseball","False","2026-09-01T06:46:30Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_2b814fad","baseball","False","2026-09-01T06:17:56Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_3a02d9b3","baseball","False","2026-09-01T05:08:26Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_7e8080e5","baseball","False","2026-09-01T10:38:12Z","2026-09-01T15:12:15Z","True"
"mlb_2026-08-30_f8812b72","baseball","False","2026-09-01T08:32:42Z","2026-09-01T15:12:15Z","True"
"mlb_231Mmqijar8","baseball","True","2026-09-02T21:51:39Z","2026-09-01T15:12:15Z","False"
"mlb_2iosUkpL0Bc","baseball","True","2026-09-01T23:56:24Z","2026-09-01T15:12:15Z","False"
"mlb_3Oc4S_1np98","baseball","True","2026-09-01T23:53:09Z","2026-09-01T15:12:15Z","False"
"mlb_5IA4jaKNOYg","baseball","True","2026-09-01T15:42:32Z","2026-09-01T15:12:15Z","False"
"mlb_5WpMyA0Xj6Y","baseball","False","2026-09-01T14:03:24Z","2026-09-01T15:12:15Z","True"
"mlb_6SEjheAAtcs","baseball","False","2026-09-01T13:44:28Z","2026-09-01T15:12:15Z","True"
"mlb_7T-rpI5l0ro","baseball","True","2026-09-01T15:22:04Z","2026-09-01T15:12:15Z","False"
"mlb_A5AkcaXA2fk","baseball","False","2026-09-01T12:42:19Z","2026-09-01T15:12:15Z","True"
"mlb_ARtRmUHC7dw","baseball","True","2026-09-01T23:54:35Z","2026-09-01T15:12:15Z","False"
"mlb_cC3rQWxcOqk","baseball","False","2026-09-01T14:58:45Z","2026-09-01T15:12:15Z","True"
"mlb_dSX2ujmGBgg","baseball","False","2026-09-01T13:46:17Z","2026-09-01T15:12:15Z","True"
"mlb_dVNOESziFWQ","baseball","True","2026-09-01T18:42:18Z","2026-09-01T15:12:15Z","False"
"mlb_FGtFanovws4","baseball","True","2026-09-01T18:41:18Z","2026-09-01T15:12:15Z","False"
"mlb_Fu9kVrQRg0M","baseball","False","2026-09-01T14:39:02Z","2026-09-01T15:12:15Z","True"
"mlb_gDv5xF2AA2E","baseball","False","2026-09-01T13:00:22Z","2026-09-01T15:12:15Z","True"
"mlb_gMm3EODDb6w","baseball","True","2026-09-01T23:52:23Z","2026-09-01T15:12:15Z","False"
"mlb_MUbgCYez-LY","baseball","False","2026-09-01T14:07:19Z","2026-09-01T15:12:15Z","True"
"mlb_NiSezRTvsew","baseball","True","2026-09-01T15:21:58Z","2026-09-01T15:12:15Z","False"
"mlb_nLoG6gvC-Nk","baseball","False","2026-09-01T13:00:14Z","2026-09-01T15:12:15Z","True"
"mlb_PPj97yvNGOo","baseball","True","2026-09-02T01:29:36Z","2026-09-01T15:12:15Z","False"
"mlb_ptIBgr6U1Y8","baseball","True","2026-09-02T01:28:18Z","2026-09-01T15:12:15Z","False"
"mlb_QqHhEShXAX0","baseball","False","2026-09-01T16:07:23Z","2026-09-01T15:12:15Z","False"
"mlb_VxQlqZhLJso","baseball","False","2026-09-01T14:09:33Z","2026-09-01T15:12:15Z","True"
"mlb_x6YpMlNYbrU","baseball","True","2026-09-01T18:42:39Z","2026-09-01T15:12:15Z","False"
"mlb_yihNr8zCgkA","baseball","False","2026-09-01T15:02:23Z","2026-09-01T15:12:15Z","True"
"mlb_Z5u9T4b1qxk","baseball","False","2026-09-01T13:45:39Z","2026-09-01T15:12:15Z","True"
"ncaa_basketball_IB-_u4gW3ds","basketball","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"ncaa_basketball_mRkuGgeECak","basketball","True","2026-09-02T22:33:30Z","2026-09-01T15:12:15Z","False"
"ncaa_basketball_sRtHQbywiTE","basketball","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"ncaa_basketball_tiUvyvWOCxo","basketball","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"ncaa_basketball_WFl3V7ZY4ss","basketball","True","2026-09-02T21:51:48Z","2026-09-01T15:12:15Z","False"
"ncaa_basketball_zqBCKovJCQU","basketball","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"npb_01","npb","True","2026-09-01T12:42:21Z","2026-09-01T15:12:15Z","True"
"npb_02","npb","False","2026-09-01T12:42:22Z","2026-09-01T15:12:15Z","True"
"npb_03","npb","False","2026-09-01T04:45:19Z","2026-09-01T15:12:15Z","True"
"npb_04","npb","False","2026-09-01T12:42:23Z","2026-09-01T15:12:15Z","True"
"npb_05","npb","False","2026-09-01T04:49:21Z","2026-09-01T15:12:15Z","True"
"npb_06","npb","False","2026-09-01T06:12:57Z","2026-09-01T15:12:15Z","True"
"npb_07","npb","False","2026-09-01T06:11:17Z","2026-09-01T15:12:15Z","True"
"npb_08","npb","False","2026-09-01T07:14:50Z","2026-09-01T15:12:15Z","True"
"npb_09","npb","False","2026-09-01T12:42:18Z","2026-09-01T15:12:15Z","True"
"npb_10","npb","False","2026-09-01T13:37:06Z","2026-09-01T15:12:15Z","True"
"npb_2iFIuWxu6HI","npb","False","2026-09-01T14:09:11Z","2026-09-01T15:12:15Z","True"
"npb_3PwJwWdTMek","npb","True","2026-09-01T21:18:59Z","2026-09-01T15:12:15Z","False"
"npb_aEpT4HU_ilg","npb","False","2026-09-01T13:46:29Z","2026-09-01T15:12:15Z","True"
"npb_Arpw32zVTuc","npb","False","2026-09-01T13:46:28Z","2026-09-01T15:12:15Z","True"
"npb_cHZcTsFreJY","npb","True","2026-09-02T22:29:27Z","2026-09-01T15:12:15Z","False"
"npb_dTLgOoX4nhc","npb","False","2026-09-01T15:05:02Z","2026-09-01T15:12:15Z","True"
"npb_HQfhD5Iwm7U","npb","True","2026-09-01T16:15:15Z","2026-09-01T15:12:15Z","False"
"npb_jm2Ocr-LAtc","npb","True","2026-09-01T16:19:04Z","2026-09-01T15:12:15Z","False"
"npb_kqPv-_WwWLk","npb","True","2026-09-01T17:18:04Z","2026-09-01T15:12:15Z","False"
"npb_RIwbEjh-zTs","npb","False","2026-09-01T13:46:24Z","2026-09-01T15:12:15Z","True"
"npb_ul7Kq_Km7eA","npb","True","2026-09-02T22:05:38Z","2026-09-01T15:12:15Z","False"
"npb_V3FrwLVwCpA","npb","True","2026-09-01T16:19:10Z","2026-09-01T15:12:15Z","False"
"npb_wZgoTPoZXKM","npb","False","2026-09-01T15:04:25Z","2026-09-01T15:12:15Z","True"
"npb_XGhDpaeFSKc","npb","False","2026-09-01T15:03:38Z","2026-09-01T15:12:15Z","True"
"npb_YI146E0gNnA","npb","False","2026-09-01T14:02:15Z","2026-09-01T15:12:15Z","True"
"soccer_2TwKQrkV7FA","soccer","True","2026-09-02T22:33:42Z","2026-09-01T15:12:15Z","False"
"soccer_6dIn3fUfI6U","soccer","False","2026-09-01T12:15:26Z","2026-09-01T15:12:15Z","True"
"soccer_7fOG8j_ncWY","soccer","False","2026-09-01T14:08:28Z","2026-09-01T15:12:15Z","True"
"soccer_8_DRy2i5-hs","soccer","False","2026-09-01T13:04:39Z","2026-09-01T15:12:15Z","True"
"soccer_A9ad17VZvs8","soccer","False","2026-09-01T14:48:28Z","2026-09-01T15:12:15Z","True"
"soccer_AgspyOj5BPk","soccer","True","2026-09-01T18:47:01Z","2026-09-01T15:12:15Z","False"
"soccer_c1mzmBGHQr4","soccer","False","2026-09-01T04:39:00Z","2026-09-01T15:12:15Z","True"
"soccer_ci4vyd6PsNg","soccer","False","2026-09-01T13:58:13Z","2026-09-01T15:12:15Z","True"
"soccer_cKXZysISV4w","soccer","True","2026-09-01T18:32:30Z","2026-09-01T15:12:15Z","False"
"soccer_Cn26lFZ0_jI","soccer","False","2026-09-01T12:59:43Z","2026-09-01T15:12:15Z","True"
"soccer_cS4OpYJ0Pps","soccer","True","2026-09-02T21:51:07Z","2026-09-01T15:12:15Z","False"
"soccer_DdnvC6-PGYY","soccer","True","2026-09-01T18:45:05Z","2026-09-01T15:12:15Z","False"
"soccer_dnR5C6WLJI4","soccer","False","2026-09-01T05:33:04Z","2026-09-01T15:12:15Z","True"
"soccer_EKhrdU9bVZA","soccer","True","2026-09-01T17:16:07Z","2026-09-01T15:12:15Z","False"
"soccer_GF-WteOINCc","soccer","False","2026-09-01T13:48:33Z","2026-09-01T15:12:15Z","True"
"soccer_HkN1E3HESS8","soccer","False","2026-09-01T06:47:13Z","2026-09-01T15:12:15Z","True"
"soccer_HxBqMbI5kqQ","soccer","False","2026-09-01T13:07:20Z","2026-09-01T15:12:15Z","True"
"soccer_JIQnnYy7qYk","soccer","False","2026-09-01T13:03:14Z","2026-09-01T15:12:15Z","True"
"soccer_JLMH7eUeJBY","soccer","False","2026-09-01T07:17:31Z","2026-09-01T15:12:15Z","True"
"soccer_kSgNjoaqCpI","soccer","True","2026-09-01T05:50:05Z","2026-09-01T15:12:15Z","True"
"soccer_lv2CukQcR5s","soccer","False","2026-09-01T09:15:22Z","2026-09-01T15:12:15Z","True"
"soccer_Pbyn08kfhXY","soccer","False","2026-09-01T14:11:35Z","2026-09-01T15:12:15Z","True"
"soccer_QIpZ1pad73w","soccer","False","2026-09-01T13:57:49Z","2026-09-01T15:12:15Z","True"
"soccer_y0-6FHIaiZA","soccer","False","2026-09-01T08:52:23Z","2026-09-01T15:12:15Z","True"
"soccer_-YbZsM26GDI","soccer","False","2026-09-01T08:07:12Z","2026-09-01T15:12:15Z","True"
"soccer_Z6NTDyxcODs","soccer","False","2026-09-01T05:59:12Z","2026-09-01T15:12:15Z","True"
"tennis_01","tennis","False","2026-09-01T06:04:44Z","2026-09-01T15:12:15Z","True"
"tennis_02","tennis","False","2026-09-01T06:48:34Z","2026-09-01T15:12:15Z","True"
"tennis_03","tennis","False","2026-09-01T07:30:24Z","2026-09-01T15:12:15Z","True"
"tennis_04","tennis","False","2026-09-01T07:31:13Z","2026-09-01T15:12:15Z","True"
"tennis_05","tennis","False","2026-09-01T07:39:12Z","2026-09-01T15:12:15Z","True"
"tennis_06","tennis","True","2026-09-02T22:21:34Z","2026-09-01T15:12:15Z","False"
"tennis_07","tennis","True","2026-09-02T22:36:38Z","2026-09-01T15:12:15Z","False"
"tennis_08","tennis","True","2026-09-01T18:58:22Z","2026-09-01T15:12:15Z","False"
"tennis_09","tennis","True","2026-09-01T21:20:36Z","2026-09-01T15:12:15Z","False"
"tennis_10","tennis","True","2026-09-01T21:22:22Z","2026-09-01T15:12:15Z","False"
"tennis_3x3eEWCZmWQ","tennis","True","2026-09-01T17:14:58Z","2026-09-01T15:12:15Z","False"
"tennis_459iho5_AFs","tennis","True","2026-09-01T21:20:21Z","2026-09-01T15:12:15Z","False"
"tennis_nyYk2nPZAwY","tennis","True","2026-09-01T17:18:36Z","2026-09-01T15:12:15Z","False"
"test720_4MoMewm2j-o","UNKNOWN","True","2026-08-31T16:54:18Z","2026-09-01T15:12:15Z","True"
"wnba_01","wnba","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"wnba_02","wnba","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"wnba_03","wnba","False","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"wnba_04","wnba","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"wnba_05","wnba","True","2026-09-01T19:19:46Z","2026-09-01T15:12:15Z","False"
"wnba_06","UNKNOWN","True","2026-09-02T23:00:51Z","2026-09-01T15:12:15Z","False"
"wnba_kangps_g1","wnba","False","2026-09-01T19:19:47Z","2026-09-01T15:12:15Z","False"
"wnba_kangps_g2","wnba","False","2026-09-01T19:19:56Z","2026-09-01T15:12:15Z","False"
