"table","sport","source_present","retained_locations","source_files","committed_memo_paths"
"football_wHZt1eY3A9s","football","True","data/footage_corpus","football__football_wHZt1eY3A9s_1080p.mp4;football__football_wHZt1eY3A9s.mp4","docs/evidence/tracking/FOOTBALL_WAVE_6D_SCALE_SOURCE.md;docs/evidence/tracking/FOOTBALL_WAVE_6F_FIELD_ROI.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/corpus_sibling_variants_2026-09-04.md;docs/evidence/tracking/gapfinder_2026-09-02/highres_copies_never_tracked.md"
"football_yahhMkUWd7c","football","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"football_Z8Ezd95NnjM","football","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"g89_tennis_09","tennis","True","data/footage_corpus","tennis__tennis_09.mp4","docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md"
"g89_tennis_10","tennis","True","data/footage_corpus","tennis__tennis_10.mp4","docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md"
"g89_tennis_nyYk2nPZAwY_720p","tennis","True","data/footage_corpus","tennis__tennis_nyYk2nPZAwY_720p.mp4","docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md"
"kbo_08","kbo","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"kbo_10","kbo","False","","","docs/evidence/tracking/EVIDENCE_DURABILITY_AUDIT_2026-09-02.md;docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g47_contract_rejection_census_2026-09-02.md"
"kbo_2WqtNa-uUZU","kbo","True","data/footage_corpus","kbo__kbo_2WqtNa-uUZU.mp4","docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md"
"kbo_2ZtgAvs67so","kbo","False","","","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"kbo_8yxSFxuR2Lk","kbo","True","data/footage_corpus","kbo__kbo_8yxSFxuR2Lk.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_9Hv-cd-BmSY","kbo","True","data/footage_corpus","kbo__kbo_9Hv-cd-BmSY.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_ahHGpSJWcIU","kbo","True","data/footage_corpus","kbo__kbo_ahHGpSJWcIU.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md"
"kbo_bGQwZl43E9Y","kbo","True","data/footage_corpus","kbo__kbo_bGQwZl43E9Y.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_FDSWjM_OaTs","kbo","True","data/footage_corpus","kbo__kbo_FDSWjM_OaTs.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_hl_xGuMseB8","kbo","False","","","docs/evidence/tracking/ingest_regate_2026-09-02.md"
"kbo_lIxmDQyQDtc","kbo","True","data/footage_corpus","kbo__kbo_lIxmDQyQDtc.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_lrK_Hv6BEE0","kbo","True","data/footage_corpus","kbo__kbo_lrK_Hv6BEE0.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/baseball_s4_packet_2026-09-01.md"
"kbo_qLQbGFQ0-EQ","kbo","True","data/footage_corpus","kbo__kbo_qLQbGFQ0-EQ.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_tzC71aneg9c","kbo","True","data/footage_corpus","kbo__kbo_tzC71aneg9c.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_W-tKSex-WPU","kbo","True","data/footage_corpus","kbo__kbo_W-tKSex-WPU.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"kbo_Y4HqKr58TZk","kbo","False","","","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md"
"mlb_2026-08-30_10893dca","baseball","False","","","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md"
"mlb_2026-08-30_2143de43","baseball","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"mlb_231Mmqijar8","baseball","True","data/footage_corpus","mlb__mlb_231Mmqijar8.mp4","docs/evidence/tracking/corpus_mislabel_2026-09-01.md;docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md"
"mlb_2iosUkpL0Bc","baseball","True","data/footage_corpus","mlb__mlb_2iosUkpL0Bc.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/baseball_footage_acq_2026-09-01.md;docs/evidence/tracking/baseball_night_pitchview_2026-09-01.md;docs/evidence/tracking/baseball_scale_validation_2026-09-01.md;docs/evidence/tracking/g33b_baseball_scale_bins_2026-09-02.md;docs/evidence/tracking/g64_segment_bisect/g64_segment_count_bisect_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/corpus_resolution.md"
"mlb_3Oc4S_1np98","baseball","True","data/footage_corpus","mlb__mlb_3Oc4S_1np98.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/baseball_footage_acq_2026-09-01.md;docs/evidence/tracking/baseball_night_pitchview_2026-09-01.md;docs/evidence/tracking/baseball_scale_validation_2026-09-01.md;docs/evidence/tracking/gapfinder_2026-09-02/corpus_resolution.md"
"mlb_5IA4jaKNOYg","baseball","True","data/footage_corpus","mlb__mlb_5IA4jaKNOYg.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"mlb_7T-rpI5l0ro","baseball","True","data/footage_corpus","mlb__mlb_7T-rpI5l0ro.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"mlb_ARtRmUHC7dw","baseball","True","data/footage_corpus","mlb__mlb_ARtRmUHC7dw.mp4","docs/evidence/tracking/baseball_footage_acq_2026-09-01.md;docs/evidence/tracking/baseball_scale_validation_2026-09-01.md;docs/evidence/tracking/g33b_baseball_scale_bins_2026-09-02.md;docs/evidence/tracking/g64_segment_bisect/g64_segment_count_bisect_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/corpus_resolution.md"
"mlb_FGtFanovws4","baseball","True","data/footage_corpus","mlb__mlb_FGtFanovws4.mp4","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"mlb_gMm3EODDb6w","baseball","True","data/footage_corpus","mlb__mlb_gMm3EODDb6w.mp4","docs/evidence/tracking/baseball_footage_acq_2026-09-01.md;docs/evidence/tracking/baseball_scale_validation_2026-09-01.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/corpus_resolution.md"
"mlb_NiSezRTvsew","baseball","True","data/footage_corpus","mlb__mlb_NiSezRTvsew.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"mlb_PPj97yvNGOo","baseball","True","data/footage_corpus","mlb__mlb_PPj97yvNGOo.mp4","docs/evidence/tracking/baseball_footage_acq2_2026-09-02.md"
"mlb_ptIBgr6U1Y8","baseball","True","data/footage_corpus","mlb__mlb_ptIBgr6U1Y8.mp4","docs/evidence/tracking/baseball_footage_acq2_2026-09-02.md"
"mlb_QqHhEShXAX0","baseball","False","","","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"mlb_x6YpMlNYbrU","baseball","True","data/footage_corpus","mlb__mlb_x6YpMlNYbrU.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/baseball_s4_packet_2026-09-01.md"
"ncaa_basketball_IB-_u4gW3ds","basketball","True","data/footage_corpus","ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4;ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_relabel_2026-09-01.md;docs/evidence/tracking/corpus_sibling_variants_2026-09-04.md;docs/evidence/tracking/g47_contract_rejection_census_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/highres_copies_never_tracked.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"ncaa_basketball_sRtHQbywiTE","basketball","True","data/footage_corpus","ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4","docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md"
"ncaa_basketball_tiUvyvWOCxo","basketball","True","data/footage_corpus","ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4","docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md"
"ncaa_basketball_WFl3V7ZY4ss","basketball","True","data/footage_corpus","ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"ncaa_basketball_zqBCKovJCQU","basketball","True","data/footage_corpus","ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4","docs/evidence/tracking/basketball_floor_gate_2026-09-02.md;docs/evidence/tracking/basketball_imagepx_features_2026-09-02.md"
"npb_01","npb","True","data/footage_corpus","npb__npb_01_720p.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md"
"npb_06","npb","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"npb_HQfhD5Iwm7U","npb","True","data/footage_corpus","npb__npb_HQfhD5Iwm7U.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"npb_jm2Ocr-LAtc","npb","True","data/footage_corpus","npb__npb_jm2Ocr-LAtc.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"npb_kqPv-_WwWLk","npb","True","data/footage_corpus","npb__npb_kqPv-_WwWLk.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"npb_V3FrwLVwCpA","npb","True","data/footage_corpus","npb__npb_V3FrwLVwCpA.mp4","docs/evidence/tracking/baseball_cut_detector_2026-09-01.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"soccer_6dIn3fUfI6U","soccer","False","","","docs/evidence/tracking/g47_contract_rejection_census_2026-09-02.md"
"soccer_AgspyOj5BPk","soccer","True","data/footage_corpus","soccer__soccer_AgspyOj5BPk.mp4","docs/evidence/tracking/soccer_role_classifier_v3_2026-09-04.md;docs/evidence/tracking/soccer_role_filter_2026-09-01.md;docs/evidence/tracking/soccer_roles_labels/README.md;docs/evidence/tracking/soccer_s1_blind_verdict_2026-09-01.md;docs/evidence/tracking/soccer_s1_blind_verdict_n100_2026-09-01.md;docs/evidence/tracking/soccer_s4_packet_2026-09-01.md;docs/evidence/tracking/soccer_stream_packet_2026-09-02.md"
"soccer_c1mzmBGHQr4","soccer","False","","","docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md"
"soccer_cS4OpYJ0Pps","soccer","True","data/footage_corpus","soccer__soccer_cS4OpYJ0Pps.mp4","docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md"
"soccer_DdnvC6-PGYY","soccer","True","data/footage_corpus","soccer__soccer_DdnvC6-PGYY.mp4","docs/evidence/tracking/soccer_role_classifier_v3_2026-09-04.md;docs/evidence/tracking/soccer_role_filter_2026-09-01.md;docs/evidence/tracking/soccer_roles_labels/README.md;docs/evidence/tracking/soccer_s1_blind_verdict_2026-09-01.md;docs/evidence/tracking/soccer_s1_blind_verdict_n100_2026-09-01.md;docs/evidence/tracking/soccer_stream_packet_2026-09-02.md"
"soccer_HxBqMbI5kqQ","soccer","False","","","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md"
"soccer_kSgNjoaqCpI","soccer","True","data/footage_corpus","soccer__soccer_kSgNjoaqCpI_1080p.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/gapfinder_2026-09-02/highres_copies_never_tracked.md"
"tennis_01","tennis","False","","","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g38_tennis_jump_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/ball_rows_absent.md;docs/evidence/tracking/jump_p95_gap_bridging_2026-09-01.md"
"tennis_02","tennis","False","","","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38_tennis_jump_diagnosis_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g39_ball_projection_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g45_ball_projection_guard_2026-09-02.md;docs/evidence/tracking/g46_court_scale_premise_2026-09-02.md;docs/evidence/tracking/g66_player_candidate_labels_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g82_jump_statistic_limit_2026-09-02.md"
"tennis_03","tennis","False","","","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38_tennis_jump_diagnosis_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g39_ball_projection_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g45_ball_projection_guard_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/jump_p95_gap_bridging_2026-09-01.md"
"tennis_04","tennis","False","","","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38_tennis_jump_diagnosis_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g39_ball_projection_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g45_ball_projection_guard_2026-09-02.md;docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md;docs/evidence/tracking/jump_p95_gap_bridging_2026-09-01.md"
"tennis_05","tennis","False","","","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38_tennis_jump_diagnosis_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g39_ball_projection_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g45_ball_projection_guard_2026-09-02.md;docs/evidence/tracking/g46_court_scale_premise_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g66_player_candidate_labels_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g82_jump_statistic_limit_2026-09-02.md"
"tennis_06","tennis","True","data/footage_corpus","tennis__tennis_06.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g46_court_scale_premise_2026-09-02.md;docs/evidence/tracking/g55_timeout_budget_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g60_clay_horizontals_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md"
"tennis_07","tennis","True","data/footage_corpus","tennis__tennis_07.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g114_tennis_coordinate_declaration_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g55_timeout_budget_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md;docs/evidence/tracking/synthcal_w7_verdict_2026-09-01.md"
"tennis_08","tennis","True","data/footage_corpus","tennis__tennis_08.mp4","docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g55_timeout_budget_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/ball_rows_absent.md"
"tennis_09","tennis","True","data/footage_corpus","tennis__tennis_09.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_DAY1_EXECUTION_PLAN_2026-09-04.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g48_sampling_interval_2026-09-02.md;docs/evidence/tracking/g50b_null_degenerate_metrics_2026-09-02.md;docs/evidence/tracking/g55_timeout_budget_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g60_clay_horizontals_2026-09-02.md;docs/evidence/tracking/g65_ball_label_set_2026-09-02.md;docs/evidence/tracking/g66_player_candidate_labels_2026-09-02.md;docs/evidence/tracking/g70_player_vs_bystander_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g80_insufficient_data_verdict_2026-09-02.md;docs/evidence/tracking/g85_ball_label_consistency_2026-09-02.md;docs/evidence/tracking/g85_consistency/README.md;docs/evidence/tracking/g90_jump_max_reader_survey_2026-09-02.md;docs/evidence/tracking/g92_ball_criterion_calibration_2026-09-02.md;docs/evidence/tracking/g92_criterion/README.md;docs/evidence/tracking/g96_jump_flip_adjudication_2026-09-02.md;docs/evidence/tracking/g98_ball_metrics/step0_identity_check.md;docs/evidence/tracking/g98_ball_recall_precision_2026-09-02.md;docs/evidence/tracking/tennis_camera_lock_honest_measurement_2026-09-01.md;docs/evidence/tracking/tennis_player_select_2026-09-02.md"
"tennis_10","tennis","True","data/footage_corpus","tennis__tennis_10.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_DAY1_EXECUTION_PLAN_2026-09-04.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/daemon_endtoend_verdict_census_2026-09-02.md;docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md;docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md;docs/evidence/tracking/g34_view_share_and_denominator_2026-09-02.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md;docs/evidence/tracking/g38b_jump_cause_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g48_sampling_interval_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g60_clay_horizontals_2026-09-02.md;docs/evidence/tracking/g65_ball_label_set_2026-09-02.md;docs/evidence/tracking/g66_player_candidate_labels_2026-09-02.md;docs/evidence/tracking/g70_player_vs_bystander_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/g85_ball_label_consistency_2026-09-02.md;docs/evidence/tracking/g85_consistency/README.md;docs/evidence/tracking/g90_jump_max_reader_survey_2026-09-02.md;docs/evidence/tracking/g92_ball_criterion_calibration_2026-09-02.md;docs/evidence/tracking/g92_criterion/README.md;docs/evidence/tracking/g96_jump_flip_adjudication_2026-09-02.md;docs/evidence/tracking/g98_ball_metrics/step0_identity_check.md;docs/evidence/tracking/g98_ball_recall_precision_2026-09-02.md;docs/evidence/tracking/tennis_player_select_2026-09-02.md"
"tennis_3x3eEWCZmWQ","tennis","True","data/footage_corpus","tennis__tennis_3x3eEWCZmWQ.mp4","docs/evidence/tracking/TENNIS_STATE_OF_KNOWLEDGE_2026-09-02.md;docs/evidence/tracking/TRACKING_GAPS_2026-09-01.md;docs/evidence/tracking/g107_jump_statistic_policy_2026-09-02.md;docs/evidence/tracking/g39_ball_projection_diagnosis_2026-09-02.md;docs/evidence/tracking/g42_tennis_collapse_cause_2026-09-02.md;docs/evidence/tracking/g46_court_scale_premise_2026-09-02.md;docs/evidence/tracking/g57_tennis_solver_generalization_2026-09-02.md;docs/evidence/tracking/g71_rejected_code_table_census_2026-09-02.md;docs/evidence/tracking/gapfinder_2026-09-02/ball_rows_absent.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
