clip,frame_index,role,visible,baseline_detected,enlarged_detected,stable_detected,outcome,baseline_group_indices,enlarged_group_indices,stable_group_indices,group_outcomes,endpoints
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,true,true,ABSORBED,4;50,4;38;52,4;50;75;89,ABSORBED;ABSORBED,"[[638,293],[355,277]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,false,false,,,,,,"[[620,160],[620,290]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,false,false,,,,,,"[[360,196],[360,272]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,false,false,,,,,,"[[620,160],[360,196]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,true,true,SURVIVED,10;37,14;52,10;37;60;63,ABSORBED;SURVIVED,"[[620,290],[360,272]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,false,false,,,,,,"[[3,134],[3,249]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,false,true,true,,,19,59,,"[[266,166],[266,235]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,true,true,SURVIVED,42,55,42,SURVIVED,"[[3,134],[266,166]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,true,true,ABSORBED,11;12;27;33,18;34,11;12;27;33;58;67,ABSORBED;ABSORBED;ABSORBED;ABSORBED,"[[3,249],[266,235]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,false,false,,,,,,"[[600,142],[600,278]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,false,false,,,,,,"[[420,181],[420,251]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,false,false,,,,,,"[[600,142],[420,181]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,true,true,SURVIVED,47,63,47,SURVIVED,"[[600,278],[420,251]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,baseline,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,free_throw,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_left,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,lane_right,false,false,false,false,,,,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,baseline,true,false,false,false,,,,,,"[[600,138],[600,278]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,free_throw,true,false,false,false,,,,,,"[[408,177],[408,250]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_left,true,false,false,false,,,,,,"[[600,138],[408,177]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,true,true,SURVIVED,19;43,20;52,19;43,SURVIVED;SURVIVED,"[[600,278],[408,250]]"
wnba__wnba_01,8448,baseline,true,false,false,false,,,,,,"[[639,144],[639,237]]"
wnba__wnba_01,8448,free_throw,true,false,false,false,,,,,,"[[382,180],[382,238]]"
wnba__wnba_01,8448,lane_left,true,false,false,false,,,,,,"[[639,144],[382,180]]"
wnba__wnba_01,8448,lane_right,true,true,true,true,SURVIVED,5;23;28,5;26;32;43,5;23;28;75,SURVIVED;SURVIVED;SURVIVED,"[[639,237],[382,238]]"
wnba__wnba_01,11904,baseline,true,false,false,false,,,,,,"[[0,167],[0,241]]"
wnba__wnba_01,11904,free_throw,true,false,false,false,,,,,,"[[267,187],[267,249]]"
wnba__wnba_01,11904,lane_left,true,true,true,true,SURVIVED,5,7,5;73;79,SURVIVED,"[[0,167],[267,187]]"
wnba__wnba_01,11904,lane_right,true,false,false,true,,,,48,,"[[0,241],[267,249]]"
wnba__wnba_01,13632,baseline,true,false,false,false,,,,,,"[[639,126],[639,211]]"
wnba__wnba_01,13632,free_throw,true,false,false,false,,,,,,"[[359,168],[359,222]]"
wnba__wnba_01,13632,lane_left,true,false,false,false,,,,,,"[[639,126],[359,168]]"
wnba__wnba_01,13632,lane_right,true,true,true,true,ABSORBED,2;3,2;3,2;3;52;55;61,ABSORBED;ABSORBED,"[[639,211],[359,222]]"
wnba__wnba_01_1080p,360,baseline,true,false,false,false,,,,,,"[[639,130],[639,213]]"
wnba__wnba_01_1080p,360,free_throw,true,false,false,false,,,,,,"[[417,170],[417,223]]"
wnba__wnba_01_1080p,360,lane_left,true,true,true,true,ABSORBED,7;25;43,10;28,7;25;43;78;97,ABSORBED;ABSORBED;ABSORBED,"[[639,130],[417,170]]"
wnba__wnba_01_1080p,360,lane_right,true,true,true,true,SURVIVED,14;20;48;56,17;22;54;65,14;20;48;56;74;79;90,SURVIVED;ABSORBED;SURVIVED;SURVIVED,"[[639,213],[417,223]]"
wnba__wnba_01_1080p,12720,baseline,true,false,false,false,,,,,,"[[600,142],[600,260]]"
wnba__wnba_01_1080p,12720,free_throw,true,true,true,true,ABSORBED,2,3,2;52,ABSORBED,"[[407,180],[407,244]]"
wnba__wnba_01_1080p,12720,lane_left,true,true,true,true,SURVIVED,2;43,3;50,2;43;52,ABSORBED;SURVIVED,"[[600,142],[407,180]]"
wnba__wnba_01_1080p,12720,lane_right,true,false,true,true,,,2;51,51;57;76,,"[[600,260],[407,244]]"
wnba__wnba_01_1080p,17280,baseline,false,false,false,false,,,,,,
wnba__wnba_01_1080p,17280,free_throw,false,false,false,false,,,,,,
wnba__wnba_01_1080p,17280,lane_left,false,false,false,false,,,,,,
wnba__wnba_01_1080p,17280,lane_right,false,false,false,false,,,,,,
wnba__wnba_02,4416,baseline,false,false,false,false,,,,,,
wnba__wnba_02,4416,free_throw,false,false,false,false,,,,,,
wnba__wnba_02,4416,lane_left,false,false,false,false,,,,,,
wnba__wnba_02,4416,lane_right,false,false,false,false,,,,,,
wnba__wnba_02,18624,baseline,false,false,false,false,,,,,,
wnba__wnba_02,18624,free_throw,false,false,false,false,,,,,,
wnba__wnba_02,18624,lane_left,false,false,false,false,,,,,,
wnba__wnba_02,18624,lane_right,false,false,false,false,,,,,,
wnba__wnba_02,20736,baseline,false,false,false,false,,,,,,
wnba__wnba_02,20736,free_throw,false,false,false,false,,,,,,
wnba__wnba_02,20736,lane_left,false,false,false,false,,,,,,
wnba__wnba_02,20736,lane_right,false,false,false,false,,,,,,
wnba__wnba_04,1920,baseline,false,false,false,false,,,,,,
wnba__wnba_04,1920,free_throw,false,false,false,false,,,,,,
wnba__wnba_04,1920,lane_left,false,false,false,false,,,,,,
wnba__wnba_04,1920,lane_right,false,false,false,false,,,,,,
wnba__wnba_04,3648,baseline,false,false,false,false,,,,,,
wnba__wnba_04,3648,free_throw,false,false,false,false,,,,,,
wnba__wnba_04,3648,lane_left,false,false,false,false,,,,,,
wnba__wnba_04,3648,lane_right,false,false,false,false,,,,,,
wnba__wnba_04,23424,baseline,false,false,false,false,,,,,,
wnba__wnba_04,23424,free_throw,false,false,false,false,,,,,,
wnba__wnba_04,23424,lane_left,false,false,false,false,,,,,,
wnba__wnba_04,23424,lane_right,false,false,false,false,,,,,,
wnba__wnba_05,2304,baseline,false,false,false,false,,,,,,
wnba__wnba_05,2304,free_throw,false,false,false,false,,,,,,
wnba__wnba_05,2304,lane_left,false,false,false,false,,,,,,
wnba__wnba_05,2304,lane_right,false,false,false,false,,,,,,
wnba__wnba_05,6912,baseline,true,false,false,false,,,,,,"[[630,126],[630,264]]"
wnba__wnba_05,6912,free_throw,true,false,false,false,,,,,,"[[415,172],[415,250]]"
wnba__wnba_05,6912,lane_left,true,false,false,false,,,,,,"[[630,126],[415,172]]"
wnba__wnba_05,6912,lane_right,true,true,true,true,SURVIVED,55,72,55,SURVIVED,"[[630,264],[415,250]]"
wnba__wnba_05,23424,baseline,false,false,false,false,,,,,,
wnba__wnba_05,23424,free_throw,false,false,false,false,,,,,,
wnba__wnba_05,23424,lane_left,false,false,false,false,,,,,,
wnba__wnba_05,23424,lane_right,false,false,false,false,,,,,,
