geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,0.25,27,3668985247,0.209707,0.226876,0.230124,-0.017169,-0.020417,548,548,2,6,ok
G1_SYNTH_QUAD,0.25,28,1090688980,0.192537,0.283894,0.241000,-0.091357,-0.048463,546,546,2,8,ok
G1_SYNTH_QUAD,0.25,29,1048565226,0.631919,0.253665,0.360575,0.378254,0.271344,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,30,1741727586,0.326895,0.193965,0.222456,0.132931,0.104439,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,31,2407999921,0.204552,0.178357,0.175924,0.026195,0.028628,547,547,2,8,ok
G1_SYNTH_QUAD,0.25,32,2180224907,0.104445,0.099069,0.101995,0.005376,0.002450,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,33,4214122755,0.287896,0.282471,0.281650,0.005426,0.006246,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,34,2589443267,0.351832,0.266102,0.288819,0.085730,0.063012,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,35,3422709858,0.288388,0.237932,0.237833,0.050456,0.050555,547,547,2,8,ok
G1_SYNTH_QUAD,0.25,36,3086245208,0.289195,0.159285,0.189345,0.129910,0.099850,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,37,1384260304,0.112827,0.137029,0.126829,-0.024202,-0.014002,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,38,392935718,0.126245,0.114317,0.105815,0.011928,0.020430,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,39,440588585,0.279281,0.175027,0.205849,0.104255,0.073432,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,0,1171595885,0.814147,0.585644,0.671542,0.228503,0.142604,546,546,2,7,ok
G1_SYNTH_QUAD,0.50,1,1281985365,0.485577,0.440403,0.380979,0.045174,0.104598,546,546,3,9,ok
G1_SYNTH_QUAD,0.50,2,1072330809,0.861209,0.702095,0.670068,0.159114,0.191141,547,547,2,7,ok
G1_SYNTH_QUAD,0.50,3,2243995587,0.254354,0.242061,0.251084,0.012293,0.003270,546,546,2,9,ok
G1_SYNTH_QUAD,0.50,4,3831452733,0.682359,0.647001,0.650556,0.035358,0.031803,548,548,2,7,ok
G1_SYNTH_QUAD,0.50,5,1876593574,0.421995,0.268185,0.285163,0.153810,0.136832,546,546,3,9,ok
G1_SYNTH_QUAD,0.50,6,2144057476,0.544743,0.465532,0.489420,0.079210,0.055323,547,547,2,6,ok
