section_identity,requested_format_id,fetch_receipt_status,pod_sha256,pc_sha256,digest_match,probe_agreement,measured_width,measured_height,measured_fps,avg_frame_rate_rational,r_frame_rate_rational,codec_name,itag_consistency,actual_format_id,actual_rendition,format_join_status,measured_class,measured_fps_bin,source_height,source_fps
I33o9UnUe1A_s2920,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
I33o9UnUe1A_s4335,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
I33o9UnUe1A_s5750,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
I33o9UnUe1A_s7165,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
I33o9UnUe1A_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
LS2gHvzAW9Y_s1776,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
LS2gHvzAW9Y_s3462,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
LS2gHvzAW9Y_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
OdGDLXvM76w_s1299,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,30.0
OdGDLXvM76w_s2508,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,30.0
OdGDLXvM76w_s3717,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,30.0
OdGDLXvM76w_s4926,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,30.0
OdGDLXvM76w_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,30.0
SNeyXC57K1Y_s1785,270,BOUND,d4171c42c68491dc2bc0cd04969bd102a14fd1b3486f01864ed895818a232394,d4171c42c68491dc2bc0cd04969bd102a14fd1b3486f01864ed895818a232394,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
SNeyXC57K1Y_s3480,270,BOUND,31ab6eab75f45225adc125517259b6125172ecab7eac8c7f3caa242d323618fd,31ab6eab75f45225adc125517259b6125172ecab7eac8c7f3caa242d323618fd,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
SNeyXC57K1Y_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
TcRGoJEF-Us_s1328,270,BOUND,4eba52f0d49cb54343d5fc82a7c10f496262ec624fb0b7203e56915cb3a0b356,4eba52f0d49cb54343d5fc82a7c10f496262ec624fb0b7203e56915cb3a0b356,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
TcRGoJEF-Us_s2566,270,BOUND,95ed3077a26226b4043e6e0e84c920efc2a24ece6a29ac1ba39f64a1fd8a7ac6,95ed3077a26226b4043e6e0e84c920efc2a24ece6a29ac1ba39f64a1fd8a7ac6,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
TcRGoJEF-Us_s3804,270,BOUND,8d99a3c6963e76ee8201b717b790183740d646046e894d4446109ff0591dbff7,8d99a3c6963e76ee8201b717b790183740d646046e894d4446109ff0591dbff7,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
TcRGoJEF-Us_s5042,270,BOUND,e278a88f64eb0916f6a516488a3fa188ec381b39487997f95c79c6861d7cc69d,e278a88f64eb0916f6a516488a3fa188ec381b39487997f95c79c6861d7cc69d,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
TcRGoJEF-Us_s90,270,BOUND,3d6b47978f7dcf24f03a602a58a805b92bbc9327ee8ab892cd7ee1cd7ccd84a7,3d6b47978f7dcf24f03a602a58a805b92bbc9327ee8ab892cd7ee1cd7ccd84a7,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
a2pEHm9YzFo_s1501,270,BOUND,c80f643bfdac45093d8866caccb23c4504eb78f20b1326d487c9621b29c06af3,c80f643bfdac45093d8866caccb23c4504eb78f20b1326d487c9621b29c06af3,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
a2pEHm9YzFo_s2912,270,BOUND,2967e4c3f3b06d4e099a15b74b75ca76ab90ae5b909f853f9ec0ccb3855619ce,2967e4c3f3b06d4e099a15b74b75ca76ab90ae5b909f853f9ec0ccb3855619ce,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
a2pEHm9YzFo_s4323,270,BOUND,54539f7b88e926c9d88d130ae443277d167a3118b0c7b58f5d554fe6d6b985ca,54539f7b88e926c9d88d130ae443277d167a3118b0c7b58f5d554fe6d6b985ca,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
a2pEHm9YzFo_s90,270,BOUND,e72553dcc4bb3508b9837aa7739af2cbe7afec8b630cf7b75429ea0b6a566be8,e72553dcc4bb3508b9837aa7739af2cbe7afec8b630cf7b75429ea0b6a566be8,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s1533,270,BOUND,775dcff4120cab432a3642181def178321f094276ef6d649cb82f2450ea26b60,775dcff4120cab432a3642181def178321f094276ef6d649cb82f2450ea26b60,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s2976,270,BOUND,d133408a48346ab5a57d3b3b4aa9bed64b73695f1c2315bcc675bcf548044de4,d133408a48346ab5a57d3b3b4aa9bed64b73695f1c2315bcc675bcf548044de4,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s4419,270,BOUND,948221a2adf038533f590f91f8cea9b765c04c01f28e452d04ce7332627d7d0b,948221a2adf038533f590f91f8cea9b765c04c01f28e452d04ce7332627d7d0b,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s5862,270,BOUND,dd303badf87d6c9254cb713ca0ff99eaddf5919ccebba40a1edf760aba697b5e,dd303badf87d6c9254cb713ca0ff99eaddf5919ccebba40a1edf760aba697b5e,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s7305,270,BOUND,7ed65f4d4ff6e0d589236b764f41f67bda026037108130945ae173afe4cb3ba2,7ed65f4d4ff6e0d589236b764f41f67bda026037108130945ae173afe4cb3ba2,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-Dys4JeucBBk_s90,270,BOUND,69f61e6bbb7a3c52fcab5b98c9d2f7154326cbafd05547a470d1c386d1ba7677,69f61e6bbb7a3c52fcab5b98c9d2f7154326cbafd05547a470d1c386d1ba7677,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
cba-He_gTzSCeuQ_s1476,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-He_gTzSCeuQ_s2862,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-He_gTzSCeuQ_s4248,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-He_gTzSCeuQ_s5634,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-He_gTzSCeuQ_s7020,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-He_gTzSCeuQ_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-MnUJJaAE92U_s5354,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-MnUJJaAE92U_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-SMI0am_NG-c_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,1080,25.0
cba-cW8E3iYZVBI_s1216,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-cW8E3iYZVBI_s2342,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-cW8E3iYZVBI_s3468,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-cW8E3iYZVBI_s4594,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-cW8E3iYZVBI_s5720,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
cba-cW8E3iYZVBI_s90,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,29.97002997002997
e3E_WApsLV4_s1222,232,BOUND,fa8f117d306097e2842d8d7f7798632675b9118e2fc3d23cf12ae38725bd0118,fa8f117d306097e2842d8d7f7798632675b9118e2fc3d23cf12ae38725bd0118,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
e3E_WApsLV4_s2354,232,BOUND,121b369b00863eeebd853190c8a5549e13f1fd45cd6ce20f0dfeec4a1f15a27c,121b369b00863eeebd853190c8a5549e13f1fd45cd6ce20f0dfeec4a1f15a27c,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
e3E_WApsLV4_s3486,232,BOUND,fbe2c8d6e8950fc4c7572a13258b101e71faa9f6a358662cd15130e11b328be3,fbe2c8d6e8950fc4c7572a13258b101e71faa9f6a358662cd15130e11b328be3,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
e3E_WApsLV4_s4618,232,BOUND,351b0fdc6b33600f4eda7cc95851a930f5f005546997669024a362474bb23a58,351b0fdc6b33600f4eda7cc95851a930f5f005546997669024a362474bb23a58,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
e3E_WApsLV4_s5750,232,BOUND,54abbef268035687a6e84632e4cb9bc58484a83d95907add2a3513d31a5b13b0,54abbef268035687a6e84632e4cb9bc58484a83d95907add2a3513d31a5b13b0,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
e3E_WApsLV4_s90,232,BOUND,79900966d0bfcd3f0eb09c0d0f7a92b20e37d493e653f526b34fc03df4f9c616,79900966d0bfcd3f0eb09c0d0f7a92b20e37d493e653f526b34fc03df4f9c616,1,AGREE,1280,720,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
euroleague-QmoPpJI7OCI_s10670,270,BOUND,a35ac3349bd1c1484ed314e3aea92346dcfc12d7049ca84f087240682cf67f24,a35ac3349bd1c1484ed314e3aea92346dcfc12d7049ca84f087240682cf67f24,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
euroleague-QmoPpJI7OCI_s2206,270,BOUND,31c1496a5418c1acd0e49fe5b43aaa66bf04aabe04483515516447887bbd8da3,31c1496a5418c1acd0e49fe5b43aaa66bf04aabe04483515516447887bbd8da3,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
euroleague-QmoPpJI7OCI_s4322,270,BOUND,77570077aec9b74c9e5a9df69ad0b5be7327756ac902ddb4845cc89bb7bf33a0,77570077aec9b74c9e5a9df69ad0b5be7327756ac902ddb4845cc89bb7bf33a0,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
euroleague-QmoPpJI7OCI_s6438,270,BOUND,beef08158bf11671be30b373d9d3c81844e6257c76cc48f35d8bc5f889c569ec,beef08158bf11671be30b373d9d3c81844e6257c76cc48f35d8bc5f889c569ec,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
euroleague-QmoPpJI7OCI_s8554,270,BOUND,955c3497a02dd898f68d90288c560749a60bd653f130ef4095f17ab008f5321f,955c3497a02dd898f68d90288c560749a60bd653f130ef4095f17ab008f5321f,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
euroleague-QmoPpJI7OCI_s90,270,BOUND,482600a3eca59d9643e4ef2d2e3c4bf6062c8df84340e17b5d6559b624817aca,482600a3eca59d9643e4ef2d2e3c4bf6062c8df84340e17b5d6559b624817aca,1,AGREE,1280,720,25.0,25/1,25/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p25,25,720,25.0
fiba-6BYeUynVAqI_s1600,270,BOUND,1ffd9a6122cfc6767e10d6af74490886f38b340ac39730b96857feb3b2f60f8a,1ffd9a6122cfc6767e10d6af74490886f38b340ac39730b96857feb3b2f60f8a,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
fiba-6BYeUynVAqI_s3110,270,BOUND,e962b3cfed749c26fe666b686858f0153850bf73ea13765b913fd5b84999d013,e962b3cfed749c26fe666b686858f0153850bf73ea13765b913fd5b84999d013,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
fiba-6BYeUynVAqI_s4620,270,BOUND,b9977ebc2b34e9ac75b1456a6e94503f94986ef4e0d8ceb2adfc90ad61f50305,b9977ebc2b34e9ac75b1456a6e94503f94986ef4e0d8ceb2adfc90ad61f50305,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
fiba-6BYeUynVAqI_s6130,270,BOUND,98e5da3feba8cdb3e6de4b9c623844477d42eda5efe7699a2284decc318eb2fd,98e5da3feba8cdb3e6de4b9c623844477d42eda5efe7699a2284decc318eb2fd,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
fiba-6BYeUynVAqI_s7640,270,BOUND,cd2bd19c4c0dfccce6952046b8b397ee38c2754e54de1c85bb0797ad88c2b04b,cd2bd19c4c0dfccce6952046b8b397ee38c2754e54de1c85bb0797ad88c2b04b,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
fiba-6BYeUynVAqI_s90,270,BOUND,3adc17b495062a4ef4068c56db4395f259c946d6323908da89d624441b857264,3adc17b495062a4ef4068c56db4395f259c946d6323908da89d624441b857264,1,AGREE,1920,1080,30.0,30/1,30/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p30,30,1080,30.0
gleague-TUXsofc3mgg_s1771,270,BOUND,455d3279b5ee711035f3c49079460f0e6b5b01e6b461caec68d848e621ce4fe8,455d3279b5ee711035f3c49079460f0e6b5b01e6b461caec68d848e621ce4fe8,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-TUXsofc3mgg_s3452,270,BOUND,152e0280f2b12a8b8615f98747aaa35598a263ab65e53ce2b3d326fa9bd0fe12,152e0280f2b12a8b8615f98747aaa35598a263ab65e53ce2b3d326fa9bd0fe12,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-TUXsofc3mgg_s5133,270,BOUND,d50eafae0ce93404436be8e6a873d9f2f41bd83c43cd46f674118665377c6869,d50eafae0ce93404436be8e6a873d9f2f41bd83c43cd46f674118665377c6869,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-TUXsofc3mgg_s6814,270,BOUND,cf5b1d164e32466752fd59031ce9912239253401360c0fe0c9aa8693985b093c,cf5b1d164e32466752fd59031ce9912239253401360c0fe0c9aa8693985b093c,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
gleague-TUXsofc3mgg_s8495,270,BOUND,8ed2ac77b95e3249f0a9889fd57b62d49502acbbc262063c68d4aa57eb7207d5,8ed2ac77b95e3249f0a9889fd57b62d49502acbbc262063c68d4aa57eb7207d5,1,AGREE,1920,1080,60.0,60/1,60/1,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,1080p60,60,1080,60.0
