measured_class,ordinal,section_identity,card_kind,card,class_decision_set,cards_for_class
1080p60,16,gleague-a0FMMvE3B5k_s8250,NATIVE_FRAME,1080p60__16__gleague-a0FMMvE3B5k_s8250.jpg,24,24
1080p60,17,gleague-a0FMMvE3B5k_s90,NATIVE_FRAME,1080p60__17__gleague-a0FMMvE3B5k_s90.jpg,24,24
1080p60,18,gleague-cl9uwvP1Fe8_s1659,NATIVE_FRAME,1080p60__18__gleague-cl9uwvP1Fe8_s1659.jpg,24,24
1080p60,19,gleague-cl9uwvP1Fe8_s3228,NATIVE_FRAME,1080p60__19__gleague-cl9uwvP1Fe8_s3228.jpg,24,24
1080p60,20,gleague-cl9uwvP1Fe8_s4797,NATIVE_FRAME,1080p60__20__gleague-cl9uwvP1Fe8_s4797.jpg,24,24
1080p60,21,gleague-cl9uwvP1Fe8_s6366,NATIVE_FRAME,1080p60__21__gleague-cl9uwvP1Fe8_s6366.jpg,24,24
1080p60,22,gleague-cl9uwvP1Fe8_s7935,NATIVE_FRAME,1080p60__22__gleague-cl9uwvP1Fe8_s7935.jpg,24,24
1080p60,23,gleague-cl9uwvP1Fe8_s90,NATIVE_FRAME,1080p60__23__gleague-cl9uwvP1Fe8_s90.jpg,24,24
720p25,0,euroleague-QmoPpJI7OCI_s10670,NATIVE_FRAME,720p25__00__euroleague-QmoPpJI7OCI_s10670.jpg,11,11
720p25,1,euroleague-QmoPpJI7OCI_s2206,NATIVE_FRAME,720p25__01__euroleague-QmoPpJI7OCI_s2206.jpg,11,11
720p25,2,euroleague-QmoPpJI7OCI_s4322,NATIVE_FRAME,720p25__02__euroleague-QmoPpJI7OCI_s4322.jpg,11,11
720p25,3,euroleague-QmoPpJI7OCI_s6438,NATIVE_FRAME,720p25__03__euroleague-QmoPpJI7OCI_s6438.jpg,11,11
720p25,4,euroleague-QmoPpJI7OCI_s8554,NATIVE_FRAME,720p25__04__euroleague-QmoPpJI7OCI_s8554.jpg,11,11
720p25,5,euroleague-QmoPpJI7OCI_s90,NATIVE_FRAME,720p25__05__euroleague-QmoPpJI7OCI_s90.jpg,11,11
720p25,6,gleague-YuLn6qQVEv0_s1254,NATIVE_FRAME,720p25__06__gleague-YuLn6qQVEv0_s1254.jpg,11,11
720p25,7,gleague-YuLn6qQVEv0_s2418,NATIVE_FRAME,720p25__07__gleague-YuLn6qQVEv0_s2418.jpg,11,11
720p25,8,gleague-YuLn6qQVEv0_s3582,NATIVE_FRAME,720p25__08__gleague-YuLn6qQVEv0_s3582.jpg,11,11
720p25,9,gleague-YuLn6qQVEv0_s4746,NATIVE_FRAME,720p25__09__gleague-YuLn6qQVEv0_s4746.jpg,11,11
720p25,10,gleague-YuLn6qQVEv0_s90,NATIVE_FRAME,720p25__10__gleague-YuLn6qQVEv0_s90.jpg,11,11
720p30,0,gleague-iUn3klfUOkM_s1390,NATIVE_FRAME,720p30__00__gleague-iUn3klfUOkM_s1390.jpg,26,26
720p30,1,gleague-iUn3klfUOkM_s2690,NATIVE_FRAME,720p30__01__gleague-iUn3klfUOkM_s2690.jpg,26,26
720p30,2,gleague-iUn3klfUOkM_s3990,NATIVE_FRAME,720p30__02__gleague-iUn3klfUOkM_s3990.jpg,26,26
720p30,3,gleague-iUn3klfUOkM_s90,NATIVE_FRAME,720p30__03__gleague-iUn3klfUOkM_s90.jpg,26,26
720p30,4,2nn-umdCxXo_s1162,NATIVE_FRAME,720p30__04__2nn-umdCxXo_s1162.jpg,26,26
720p30,5,2nn-umdCxXo_s2234,NATIVE_FRAME,720p30__05__2nn-umdCxXo_s2234.jpg,26,26
720p30,6,2nn-umdCxXo_s3306,NATIVE_FRAME,720p30__06__2nn-umdCxXo_s3306.jpg,26,26
720p30,7,2nn-umdCxXo_s4378,NATIVE_FRAME,720p30__07__2nn-umdCxXo_s4378.jpg,26,26
720p30,8,2nn-umdCxXo_s5450,NATIVE_FRAME,720p30__08__2nn-umdCxXo_s5450.jpg,26,26
720p30,9,2nn-umdCxXo_s90,NATIVE_FRAME,720p30__09__2nn-umdCxXo_s90.jpg,26,26
720p30,10,HnNYinCzPFU_s1413,NATIVE_FRAME,720p30__10__HnNYinCzPFU_s1413.jpg,26,26
720p30,11,HnNYinCzPFU_s2736,NATIVE_FRAME,720p30__11__HnNYinCzPFU_s2736.jpg,26,26
720p30,12,HnNYinCzPFU_s90,NATIVE_FRAME,720p30__12__HnNYinCzPFU_s90.jpg,26,26
720p30,13,SNeyXC57K1Y_s1785,NATIVE_FRAME,720p30__13__SNeyXC57K1Y_s1785.jpg,26,26
720p30,14,SNeyXC57K1Y_s3480,NATIVE_FRAME,720p30__14__SNeyXC57K1Y_s3480.jpg,26,26
720p30,15,TcRGoJEF-Us_s1328,NATIVE_FRAME,720p30__15__TcRGoJEF-Us_s1328.jpg,26,26
720p30,16,TcRGoJEF-Us_s2566,NATIVE_FRAME,720p30__16__TcRGoJEF-Us_s2566.jpg,26,26
720p30,17,TcRGoJEF-Us_s3804,NATIVE_FRAME,720p30__17__TcRGoJEF-Us_s3804.jpg,26,26
720p30,18,TcRGoJEF-Us_s5042,NATIVE_FRAME,720p30__18__TcRGoJEF-Us_s5042.jpg,26,26
720p30,19,TcRGoJEF-Us_s90,NATIVE_FRAME,720p30__19__TcRGoJEF-Us_s90.jpg,26,26
720p30,20,e3E_WApsLV4_s1222,NATIVE_FRAME,720p30__20__e3E_WApsLV4_s1222.jpg,26,26
720p30,21,e3E_WApsLV4_s2354,NATIVE_FRAME,720p30__21__e3E_WApsLV4_s2354.jpg,26,26
720p30,22,e3E_WApsLV4_s3486,NATIVE_FRAME,720p30__22__e3E_WApsLV4_s3486.jpg,26,26
720p30,23,e3E_WApsLV4_s4618,NATIVE_FRAME,720p30__23__e3E_WApsLV4_s4618.jpg,26,26
720p30,24,e3E_WApsLV4_s5750,NATIVE_FRAME,720p30__24__e3E_WApsLV4_s5750.jpg,26,26
720p30,25,e3E_WApsLV4_s90,NATIVE_FRAME,720p30__25__e3E_WApsLV4_s90.jpg,26,26
720p60,0,gleague-oA9IHkrPNws_s1190,NATIVE_FRAME,720p60__00__gleague-oA9IHkrPNws_s1190.jpg,5,5
720p60,1,gleague-oA9IHkrPNws_s2290,NATIVE_FRAME,720p60__01__gleague-oA9IHkrPNws_s2290.jpg,5,5
720p60,2,gleague-oA9IHkrPNws_s3390,NATIVE_FRAME,720p60__02__gleague-oA9IHkrPNws_s3390.jpg,5,5
720p60,3,gleague-oA9IHkrPNws_s4490,NATIVE_FRAME,720p60__03__gleague-oA9IHkrPNws_s4490.jpg,5,5
720p60,4,gleague-oA9IHkrPNws_s90,NATIVE_FRAME,720p60__04__gleague-oA9IHkrPNws_s90.jpg,5,5
UNKNOWN,0,cba-He_gTzSCeuQ_s1476,METADATA_CARD,UNKNOWN__00__cba-He_gTzSCeuQ_s1476.txt,33,30
UNKNOWN,1,cba-He_gTzSCeuQ_s2862,METADATA_CARD,UNKNOWN__01__cba-He_gTzSCeuQ_s2862.txt,33,30
UNKNOWN,2,cba-He_gTzSCeuQ_s4248,METADATA_CARD,UNKNOWN__02__cba-He_gTzSCeuQ_s4248.txt,33,30
UNKNOWN,3,cba-He_gTzSCeuQ_s5634,METADATA_CARD,UNKNOWN__03__cba-He_gTzSCeuQ_s5634.txt,33,30
UNKNOWN,4,cba-He_gTzSCeuQ_s7020,METADATA_CARD,UNKNOWN__04__cba-He_gTzSCeuQ_s7020.txt,33,30
UNKNOWN,5,cba-MnUJJaAE92U_s5354,METADATA_CARD,UNKNOWN__05__cba-MnUJJaAE92U_s5354.txt,33,30
UNKNOWN,6,cba-MnUJJaAE92U_s90,METADATA_CARD,UNKNOWN__06__cba-MnUJJaAE92U_s90.txt,33,30
UNKNOWN,7,cba-SMI0am_NG-c_s90,METADATA_CARD,UNKNOWN__07__cba-SMI0am_NG-c_s90.txt,33,30
UNKNOWN,8,cba-cW8E3iYZVBI_s1216,METADATA_CARD,UNKNOWN__08__cba-cW8E3iYZVBI_s1216.txt,33,30
UNKNOWN,9,cba-cW8E3iYZVBI_s2342,METADATA_CARD,UNKNOWN__09__cba-cW8E3iYZVBI_s2342.txt,33,30
UNKNOWN,10,cba-cW8E3iYZVBI_s3468,METADATA_CARD,UNKNOWN__10__cba-cW8E3iYZVBI_s3468.txt,33,30
UNKNOWN,11,cba-cW8E3iYZVBI_s4594,METADATA_CARD,UNKNOWN__11__cba-cW8E3iYZVBI_s4594.txt,33,30
UNKNOWN,12,cba-cW8E3iYZVBI_s5720,METADATA_CARD,UNKNOWN__12__cba-cW8E3iYZVBI_s5720.txt,33,30
UNKNOWN,13,cba-cW8E3iYZVBI_s90,METADATA_CARD,UNKNOWN__13__cba-cW8E3iYZVBI_s90.txt,33,30
UNKNOWN,14,I33o9UnUe1A_s1505,METADATA_CARD,UNKNOWN__14__I33o9UnUe1A_s1505.txt,33,30
UNKNOWN,15,I33o9UnUe1A_s4335,METADATA_CARD,UNKNOWN__15__I33o9UnUe1A_s4335.txt,33,30
UNKNOWN,16,I33o9UnUe1A_s5750,METADATA_CARD,UNKNOWN__16__I33o9UnUe1A_s5750.txt,33,30
UNKNOWN,17,I33o9UnUe1A_s7165,METADATA_CARD,UNKNOWN__17__I33o9UnUe1A_s7165.txt,33,30
UNKNOWN,18,I33o9UnUe1A_s90,METADATA_CARD,UNKNOWN__18__I33o9UnUe1A_s90.txt,33,30
UNKNOWN,19,LS2gHvzAW9Y_s1776,METADATA_CARD,UNKNOWN__19__LS2gHvzAW9Y_s1776.txt,33,30
UNKNOWN,20,LS2gHvzAW9Y_s3462,METADATA_CARD,UNKNOWN__20__LS2gHvzAW9Y_s3462.txt,33,30
UNKNOWN,21,LS2gHvzAW9Y_s90,METADATA_CARD,UNKNOWN__21__LS2gHvzAW9Y_s90.txt,33,30
UNKNOWN,22,OdGDLXvM76w_s1299,METADATA_CARD,UNKNOWN__22__OdGDLXvM76w_s1299.txt,33,30
UNKNOWN,23,OdGDLXvM76w_s2508,METADATA_CARD,UNKNOWN__23__OdGDLXvM76w_s2508.txt,33,30
UNKNOWN,24,OdGDLXvM76w_s3717,METADATA_CARD,UNKNOWN__24__OdGDLXvM76w_s3717.txt,33,30
UNKNOWN,25,OdGDLXvM76w_s90,METADATA_CARD,UNKNOWN__25__OdGDLXvM76w_s90.txt,33,30
UNKNOWN,26,SNeyXC57K1Y_s90,METADATA_CARD,UNKNOWN__26__SNeyXC57K1Y_s90.txt,33,30
UNKNOWN,27,mn5dZWT3HBQ_s1785,METADATA_CARD,UNKNOWN__27__mn5dZWT3HBQ_s1785.txt,33,30
UNKNOWN,28,mn5dZWT3HBQ_s3480,METADATA_CARD,UNKNOWN__28__mn5dZWT3HBQ_s3480.txt,33,30
UNKNOWN,29,mn5dZWT3HBQ_s90,METADATA_CARD,UNKNOWN__29__mn5dZWT3HBQ_s90.txt,33,30
