draw_j,source_name,frame_index,kind,previous_pts_s,pts_s,step_s,native_interval_s,dropped_ordinal
3,nba__3gBeJyl7Szg_s1196.mp4,2417,duplicate,40.266667,40.266667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,2423,dropped,40.350000,40.383333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,2721,duplicate,45.333333,45.333333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,2727,dropped,45.416667,45.450000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,3025,duplicate,50.400000,50.400000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,3032,dropped,50.500000,50.533333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,3329,duplicate,55.466667,55.466667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,3331,dropped,55.483333,55.516667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,3633,duplicate,60.533333,60.533333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,3639,dropped,60.616667,60.650000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,3937,duplicate,65.600000,65.600000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,3938,dropped,65.600000,65.633333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,3943,duplicate,65.700000,65.700000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,3945,dropped,65.716667,65.750000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,4055,duplicate,67.566667,67.566667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,4057,dropped,67.583333,67.616667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,4241,duplicate,70.666667,70.666667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,4243,dropped,70.683333,70.716667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,4545,duplicate,75.733333,75.733333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,4550,dropped,75.800000,75.833333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,4737,duplicate,78.933333,78.933333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,4738,dropped,78.933333,78.966667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,4849,duplicate,80.800000,80.800000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,4851,dropped,80.816667,80.850000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,5153,duplicate,85.866667,85.866667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,5157,dropped,85.916667,85.950000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,5457,duplicate,90.933333,90.933333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,5461,dropped,90.983333,91.016667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,5761,duplicate,96.000000,96.000000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,5767,dropped,96.083333,96.116667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,5879,duplicate,97.966667,97.966667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,5885,dropped,98.050000,98.083333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6065,duplicate,101.066667,101.066667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6069,dropped,101.116667,101.150000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6369,duplicate,106.133333,106.133333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6373,dropped,106.183333,106.216667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6476,duplicate,107.916667,107.916667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6481,dropped,107.983333,108.016667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6673,duplicate,111.200000,111.200000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6679,dropped,111.283333,111.316667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6714,duplicate,111.883333,111.883333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6716,dropped,111.900000,111.933333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,6977,duplicate,116.266667,116.266667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,6980,dropped,116.300000,116.333333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,7172,duplicate,119.516667,119.516667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,7178,dropped,119.600000,119.633333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,7281,duplicate,121.333333,121.333333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,7287,dropped,121.416667,121.450000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,7585,duplicate,126.400000,126.400000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,7591,dropped,126.483333,126.516667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,7800,dropped,129.983333,130.033333,0.050000,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,7800,dropped,129.983333,130.033333,0.050000,0.016667,2
4,nba__3gBeJyl7Szg_s4514.mp4,25,duplicate,0.400000,0.400000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,31,dropped,0.483333,0.516667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,329,duplicate,5.466667,5.466667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,336,dropped,5.566667,5.600000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,503,duplicate,8.366667,8.366667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,504,dropped,8.366667,8.400000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,633,duplicate,10.533333,10.533333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,634,dropped,10.533333,10.566667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,929,duplicate,15.466667,15.466667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,931,dropped,15.483333,15.516667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,937,duplicate,15.600000,15.600000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,944,dropped,15.700000,15.733333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,1241,duplicate,20.666667,20.666667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,1245,dropped,20.716667,20.750000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,1545,duplicate,25.733333,25.733333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,1549,dropped,25.783333,25.816667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,1679,duplicate,27.966667,27.966667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,1685,dropped,28.050000,28.083333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,1849,duplicate,30.800000,30.800000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,1856,dropped,30.900000,30.933333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,2153,duplicate,35.866667,35.866667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,2160,dropped,35.966667,36.000000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,2457,duplicate,40.933333,40.933333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,2463,dropped,41.016667,41.050000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,2761,duplicate,46.000000,46.000000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,2765,dropped,46.050000,46.083333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,3065,duplicate,51.066667,51.066667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,3068,dropped,51.100000,51.133333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,3268,duplicate,54.450000,54.450000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,3274,dropped,54.533333,54.566667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,3369,duplicate,56.133333,56.133333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,3375,dropped,56.216667,56.250000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,3673,duplicate,61.200000,61.200000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,3680,dropped,61.300000,61.333333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,3977,duplicate,66.266667,66.266667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,3981,dropped,66.316667,66.350000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,4281,duplicate,71.333333,71.333333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,4287,dropped,71.416667,71.450000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,4585,duplicate,76.400000,76.400000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,4591,dropped,76.483333,76.516667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,4649,duplicate,77.466667,77.466667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,4650,dropped,77.466667,77.500000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,4764,duplicate,79.383333,79.383333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,4766,dropped,79.400000,79.433333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,4889,duplicate,81.466667,81.466667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,4891,dropped,81.483333,81.516667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,5193,duplicate,86.533333,86.533333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,5197,dropped,86.583333,86.616667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,5497,duplicate,91.600000,91.600000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,5504,dropped,91.700000,91.733333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,5801,duplicate,96.666667,96.666667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,5805,dropped,96.716667,96.750000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6105,duplicate,101.733333,101.733333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6111,dropped,101.816667,101.850000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6409,duplicate,106.800000,106.800000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6415,dropped,106.883333,106.916667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6638,duplicate,110.616667,110.616667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6639,dropped,110.616667,110.650000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6713,duplicate,111.866667,111.866667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6718,dropped,111.933333,111.966667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6830,duplicate,113.816667,113.816667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6831,dropped,113.816667,113.850000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6914,duplicate,115.216667,115.216667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6915,dropped,115.216667,115.250000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,6920,duplicate,115.316667,115.316667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,6922,dropped,115.333333,115.366667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7017,duplicate,116.933333,116.933333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7019,dropped,116.950000,116.983333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7321,duplicate,122.000000,122.000000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7323,dropped,122.016667,122.050000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7441,duplicate,124.000000,124.000000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7447,dropped,124.083333,124.116667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7462,duplicate,124.350000,124.350000,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7463,dropped,124.350000,124.383333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7482,duplicate,124.683333,124.683333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7483,dropped,124.683333,124.716667,0.033334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7506,duplicate,125.083333,125.083333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7509,dropped,125.116667,125.150000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7518,duplicate,125.283333,125.283333,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7524,dropped,125.366667,125.400000,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7625,duplicate,127.066667,127.066667,0.000000,0.016667,
4,nba__3gBeJyl7Szg_s4514.mp4,7631,dropped,127.150000,127.183333,0.033333,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7800,dropped,129.983333,130.066667,0.083334,0.016667,1
4,nba__3gBeJyl7Szg_s4514.mp4,7800,dropped,129.983333,130.066667,0.083334,0.016667,2
4,nba__3gBeJyl7Szg_s4514.mp4,7800,dropped,129.983333,130.066667,0.083334,0.016667,3
4,nba__3gBeJyl7Szg_s4514.mp4,7800,dropped,129.983333,130.066667,0.083334,0.016667,4
5,nba__FnbFGnX4Qgo_s2822.mp4,178,duplicate,2.952944,2.952944,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,183,dropped,3.019678,3.053044,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,482,duplicate,8.024678,8.024678,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,484,dropped,8.041367,8.074733,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,786,duplicate,13.096411,13.096411,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,788,dropped,13.113100,13.146467,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,1090,duplicate,18.168144,18.168144,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,1095,dropped,18.234878,18.268244,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,1394,duplicate,23.239878,23.239878,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,1396,dropped,23.256567,23.289933,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,1698,duplicate,28.311611,28.311611,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,1700,dropped,28.328300,28.361667,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,2002,duplicate,33.383344,33.383344,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,2007,dropped,33.450078,33.483444,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,2306,duplicate,38.455078,38.455078,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,2311,dropped,38.521811,38.555178,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,2610,duplicate,43.526811,43.526811,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,2611,dropped,43.526811,43.560178,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,2914,duplicate,48.598544,48.598544,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,2915,dropped,48.598544,48.631911,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,3218,duplicate,53.670278,53.670278,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,3223,dropped,53.737011,53.770378,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,3522,duplicate,58.742011,58.742011,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,3527,dropped,58.808744,58.842111,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,3826,duplicate,63.813744,63.813744,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,3831,dropped,63.880478,63.913844,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,4130,duplicate,68.885478,68.885478,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,4135,dropped,68.952211,68.985578,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,4434,duplicate,73.957211,73.957211,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,4439,dropped,74.023944,74.057311,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,4738,duplicate,79.028944,79.028944,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,4743,dropped,79.095678,79.129044,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,5042,duplicate,84.100678,84.100678,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,5043,dropped,84.100678,84.134044,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,5346,duplicate,89.172411,89.172411,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,5351,dropped,89.239144,89.272511,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,5650,duplicate,94.244144,94.244144,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,5652,dropped,94.260833,94.294200,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,5954,duplicate,99.315878,99.315878,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,5959,dropped,99.382611,99.415978,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,6258,duplicate,104.387611,104.387611,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,6259,dropped,104.387611,104.420978,0.033367,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,6562,duplicate,109.459344,109.459344,0.000000,0.016683,
5,nba__FnbFGnX4Qgo_s2822.mp4,6567,dropped,109.526078,109.559444,0.033366,0.016683,1
5,nba__FnbFGnX4Qgo_s2822.mp4,6866,duplicate,114.531078,114.531078,0.000000,0.016683,
