frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
195,True,calibration_unavailable,unavailable,0,47,1,,0
196,True,calibration_unavailable,unavailable,0,47,1,,0
197,True,calibration_unavailable,unavailable,0,47,1,,0
198,True,calibration_unavailable,unavailable,0,48,0,,0
199,True,calibration_unavailable,unavailable,0,49,0,,0
200,True,calibration_unavailable,unavailable,0,50,0,,0
201,True,calibration_unavailable,unavailable,0,51,0,,0
202,True,calibration_unavailable,unavailable,0,52,0,,0
203,True,calibration_unavailable,unavailable,0,52,0,,0
204,True,calibration_unavailable,unavailable,0,52,0,,0
205,True,calibration_unavailable,unavailable,0,52,0,,0
206,True,calibration_unavailable,unavailable,0,52,0,,0
207,True,calibration_unavailable,unavailable,0,52,0,,0
208,True,calibration_unavailable,unavailable,0,52,0,,0
209,True,calibration_unavailable,unavailable,0,53,0,,0
210,True,calibration_unavailable,unavailable,0,53,0,,0
211,True,calibration_unavailable,unavailable,0,53,0,,0
212,True,calibration_unavailable,unavailable,0,53,0,,0
213,True,emitted_players,solved,2,54,1,0.0,4
214,True,calibration_unavailable,unavailable,0,54,1,,0
215,True,emitted_players,solved,2,54,2,0.0,4
216,True,calibration_unavailable,unavailable,0,55,0,,0
217,True,calibration_unavailable,unavailable,0,56,0,,0
218,True,calibration_unavailable,unavailable,0,57,0,,0
219,True,calibration_unavailable,unavailable,0,58,0,,0
220,True,calibration_unavailable,unavailable,0,58,0,,0
221,True,calibration_unavailable,unavailable,0,58,0,,0
222,True,calibration_unavailable,unavailable,0,58,0,,0
223,True,calibration_unavailable,unavailable,0,58,0,,0
224,True,calibration_unavailable,unavailable,0,58,0,,0
225,True,calibration_unavailable,unavailable,0,59,0,,0
226,True,calibration_unavailable,unavailable,0,59,0,,0
227,True,emitted_players,solved,2,59,1,0.0,4
228,True,emitted_players,solved,2,59,2,0.0,4
229,True,calibration_unavailable,unavailable,0,60,0,,0
