class,draw_kind,section_id,frame,player_id,render,decoded_index_reported,decode_status,on_sealed_class_draw,render_width,render_height,sha256
CLAMP,1080p30,UCVSlzgun0o_s90,850,2,CLAMP_UCVSlzgun0o_s90_f850_p2.jpg,850,OK,1,1920,1080,ba8532956040ffaf889cece200bcf0569f4e2b452bd1c0b6b44a6d05d160381f
CLAMP,1080p30,Vm0FqeGo-8g_s1317,1080,1,CLAMP_Vm0FqeGo-8g_s1317_f1080_p1.jpg,1080,OK,1,1920,1080,6075ba6e15a6dd7b9e9878192a8d86eeaaf189af33a6bce8b9b3c58e3fc3db0f
CLAMP,1080p30,X5w3V6rh26s_s90,1247,5,CLAMP_X5w3V6rh26s_s90_f1247_p5.jpg,1247,OK,1,1920,1080,462f4271f868a24be721638211aaaaceb4a32ad1ba3529710aadf0fa2f6749d2
CLAMP,1080p30,Y1cgaIWW8gk_s2784,1424,2,CLAMP_Y1cgaIWW8gk_s2784_f1424_p2.jpg,1424,OK,1,1920,1080,d32a9c79f76a33993a6f9beda4d92c698700daafa781e68c2cf11c3ce786dbfa
CLAMP,1080p30,tFnl0NVn6FA_s2774,1622,10,CLAMP_tFnl0NVn6FA_s2774_f1622_p10.jpg,1622,OK,1,1920,1080,77fe6d462a3cefd2cb52a180cb5508ec3f16cccc4fe598a835e50356e6ce0fd0
CLAMP,1080p30,tFnl0NVn6FA_s2774,1787,1,CLAMP_tFnl0NVn6FA_s2774_f1787_p1.jpg,1787,OK,0,1920,1080,ed303f3822b288f1ed261fdaab5c157f62a9f8ba418ef0c300374ddc4b094642
CLAMP,1080p30,tFnl0NVn6FA_s90,1915,4,CLAMP_tFnl0NVn6FA_s90_f1915_p4.jpg,1915,OK,1,1920,1080,2290bcdc8af92dbd882b4678d06f30c936c1d0b653305bb50552b88f53feeb8b
CLAMP,1080p30,tZeqmc_-_sA_s2574,1938,3,CLAMP_tZeqmc_-_sA_s2574_f1938_p3.jpg,1938,OK,0,1920,1080,f687b3453488709716ba6bcc7584f253ac66abd52f7ceb6997f0964f04b25976
CLAMP,1080p30,tZeqmc_-_sA_s2574,2088,1,CLAMP_tZeqmc_-_sA_s2574_f2088_p1.jpg,2088,OK,1,1920,1080,3308dd460990e88192becf21cc98b583aae8a187429213bb07507e5baf86eb1d
CLAMP,1080p30,yZ5u2sOpiNU_s90,2311,5,CLAMP_yZ5u2sOpiNU_s90_f2311_p5.jpg,2311,OK,0,1920,1080,80030ba5b3558361bade1a79bce9a740e360f32ef6f48771d963cc1e767f5ff1
CLAMP,1080p30,yZ5u2sOpiNU_s90,2398,1,CLAMP_yZ5u2sOpiNU_s90_f2398_p1.jpg,2398,OK,1,1920,1080,5702091962b50ad81a51e6a25f8be519b167280f86b88f5f80f66b66e0192063
CLAMP,720p60,3gBeJyl7Szg_s2302,775,1,CLAMP_3gBeJyl7Szg_s2302_f775_p1.jpg,775,OK,1,1280,720,3aa3969fa7b9eb5e958968f21cf060634ce1133ea9af9e68fa53ad27e05daa2e
CLAMP,720p60,3gBeJyl7Szg_s2302,1171,1,CLAMP_3gBeJyl7Szg_s2302_f1171_p1.jpg,1171,OK,0,1280,720,e863b4c8d0d9a0f620eed5513eaa32e9af7e45d24d4a6bf902b16135e1a5cd5f
CLAMP,720p60,3gBeJyl7Szg_s90,1266,1,CLAMP_3gBeJyl7Szg_s90_f1266_p1.jpg,1266,OK,1,1280,720,9e7dd8be675675405d605ca53c994a7ac3bdeba44c21bf822b94a1cad227ed9e
CLAMP,720p60,3gBeJyl7Szg_s90,1512,1,CLAMP_3gBeJyl7Szg_s90_f1512_p1.jpg,1512,OK,0,1280,720,077967d4c159c2d8331fbb720479902f918ce45dd1c212648b9f87e35ea8c7d2
CLAMP,720p60,6rQ2sV4upfc_s1509,3108,2,CLAMP_6rQ2sV4upfc_s1509_f3108_p2.jpg,3108,OK,1,1280,720,f95553dc03d69bd57c960d5bdead29508cfbbb56498cbecefb5c3b06d287175b
CLAMP,720p60,6rQ2sV4upfc_s90,3741,10,CLAMP_6rQ2sV4upfc_s90_f3741_p10.jpg,3741,OK,1,1280,720,20a835437b5f94e809684df991fd4fea872e8037403ba23cc6a1572cfe089d6d
CLAMP,720p60,7blRl4zVfrY_s90,4110,4,CLAMP_7blRl4zVfrY_s90_f4110_p4.jpg,4110,OK,1,1280,720,5de2033bf45680f79e544f84277be0693c7469d85fee911555bb9b7e9be91088
CLAMP,720p60,7blRl4zVfrY_s90,4260,1,CLAMP_7blRl4zVfrY_s90_f4260_p1.jpg,4260,OK,0,1280,720,18e8942bdd1df45a40553ca60d431f9aa945e5f00cb4757a024dc7b1c5d69639
CLAMP,720p60,Ge4uewCFUFQ_s2382,4525,2,CLAMP_Ge4uewCFUFQ_s2382_f4525_p2.jpg,4525,OK,1,1280,720,68158b0d86cc4cf18a1aa0822d143f4e97bd5ab2fab1452b2604127741d19985
CLAMP,720p60,Ge4uewCFUFQ_s4674,4968,4,CLAMP_Ge4uewCFUFQ_s4674_f4968_p4.jpg,4968,OK,0,1280,720,44f4cf828fe163af03623764d5881bc69492b5d7357adba4da9bf9070fb2bee6
CLAMP,720p60,KZK9rv9TnGE_s1474,4987,2,CLAMP_KZK9rv9TnGE_s1474_f4987_p2.jpg,4987,OK,1,1280,720,2a309c17bde62ab5e53fd62a1b00d87374a728b5c56241bcf4239f0db4df92a0
CLAMP,720p60,KZK9rv9TnGE_s1474,5143,5,CLAMP_KZK9rv9TnGE_s1474_f5143_p5.jpg,5143,OK,0,1280,720,411ae78a6580c819a05b02a6fd705772e57133e12ef94a39c4c9f896cd01f39d
CLAMP,720p60,KZK9rv9TnGE_s90,5649,3,CLAMP_KZK9rv9TnGE_s90_f5649_p3.jpg,5649,OK,1,1280,720,3080ac6dd6b4216f00c5dba31599e22d51103c2fcd56cfa0aedb9a826fdad524
CLAMP,720p60,Kh7Fj4ogPN4_s5950,1920,2,CLAMP_Kh7Fj4ogPN4_s5950_f1920_p2.jpg,1920,OK,1,1280,720,f9e72188ee786d9e7b59fdb3a8fe6448c6da62becadcc20ee5b0d141204474f8
CLAMP,720p60,Ktu6yFS9iMo_s6195,2001,1,CLAMP_Ktu6yFS9iMo_s6195_f2001_p1.jpg,2001,OK,1,1280,720,26a7d7d01007e0c9006d96c4d1f2f4bac7379a4c69faffa72da2d922369eb5dd
CLAMP,720p60,Ktu6yFS9iMo_s6195,2013,1,CLAMP_Ktu6yFS9iMo_s6195_f2013_p1.jpg,2013,OK,0,1280,720,8096182edfa08074999cb7f6877a538b784dca5881bef20013a4bec9d42547ac
CLAMP,720p60,L7o4UCIIqS4_s5222,2729,10,CLAMP_L7o4UCIIqS4_s5222_f2729_p10.jpg,2729,OK,1,1280,720,08bb50b9ab64489e8d2f8078ebe19ba0aab48e5b6bcbdb70f717b9f23893fe68
CLAMP,720p60,acb-jHcR5UxPGuE_s1393,628,2,CLAMP_acb-jHcR5UxPGuE_s1393_f628_p2.jpg,628,OK,0,1280,720,28cd2b87dd89e580e612d4d8bf207a664d954701cf44c213607180af9d8819ff
CLAMP,720p60,dAy3tnlu3EQ_s4326,5816,1,CLAMP_dAy3tnlu3EQ_s4326_f5816_p1.jpg,5816,OK,0,1280,720,7f5f5cffbc815401993ab1ac65619c5b31bd317b2c438790a5afbbe0a4ec00ff
CLAMP,720p60,dAy3tnlu3EQ_s4326,6164,4,CLAMP_dAy3tnlu3EQ_s4326_f6164_p4.jpg,6164,OK,1,1280,720,acbbcb24eec81b855c99e0cb4b494a31eaa903f74e9db22eab5c9200c1c47e8f
CLAMP,720p60,oL9Uaie2v2A_s2438,3027,6,CLAMP_oL9Uaie2v2A_s2438_f3027_p6.jpg,3027,OK,0,1280,720,4504b5227ba323f8f9e2e6e784113d0512afa8cbf7b0f5f700f386cb2487b4de
CLAMP,720p60,s-0Y7aLxXgM_s1275,6422,4,CLAMP_s-0Y7aLxXgM_s1275_f6422_p4.jpg,6422,OK,1,1280,720,3f61ce13f07658400fac2afea375be2ad48523b2ce00a56e77bc631cfd82022c
CLAMP,720p60,s-0Y7aLxXgM_s1275,6512,10,CLAMP_s-0Y7aLxXgM_s1275_f6512_p10.jpg,6512,OK,0,1280,720,ba0628d9aeefdd1ae57c79e0c6acffd95a80222bb247c160f8c01e11e65b9184
CLAMP,720p60,s-0Y7aLxXgM_s4830,6931,1,CLAMP_s-0Y7aLxXgM_s4830_f6931_p1.jpg,6931,OK,1,1280,720,b30bcb344eb6a45e94806367710f47884f2e156069cef5824881ffd975b6469f
CLAMP,720p60,xv0WyG7_99c_s4530,7557,1,CLAMP_xv0WyG7_99c_s4530_f7557_p1.jpg,7557,OK,1,1280,720,efb83cc2290684476835ce434a5c118d04e2327f50df8311132f0dafa393bf70
SUBPIXEL,1080p30,3eeaJz1PJTM_s3813,2993,1,SUBPIXEL_3eeaJz1PJTM_s3813_f2993_p1.jpg,2993,OK,1,1920,1080,8da3e754b500e4fe32a1990a5c5cac2846db748b06aaa552fb81ad02a6d99c56
SUBPIXEL,1080p30,3eeaJz1PJTM_s90,3256,5,SUBPIXEL_3eeaJz1PJTM_s90_f3256_p5.jpg,3256,OK,1,1920,1080,b465d0ece131bea8c9415b8beacd30330c16ac3e6d8bde560206401b91dc3549
SUBPIXEL,1080p30,3eeaJz1PJTM_s90,3382,5,SUBPIXEL_3eeaJz1PJTM_s90_f3382_p5.jpg,3382,OK,1,1920,1080,347ce7bf3490ed89f6c0bc3adf9456ca8620ac361426d0390b6217af3437b78f
SUBPIXEL,1080p30,4JS090XPhmM_s3537,2507,7,SUBPIXEL_4JS090XPhmM_s3537_f2507_p7.jpg,2507,OK,1,1920,1080,24b6c1e46a7d90f0b9cd33c3eba01270e9ca2c3569d7efd05b1b28b989273183
SUBPIXEL,1080p30,4JS090XPhmM_s4686,2790,1,SUBPIXEL_4JS090XPhmM_s4686_f2790_p1.jpg,2790,OK,1,1920,1080,0c40688d150dfec23c771c23a66af1b02aa68ae25101f75ed1f1946fb9ba6c57
SUBPIXEL,1080p30,9sq-YMlIo9Q_s2346,394,9,SUBPIXEL_9sq-YMlIo9Q_s2346_f394_p9.jpg,394,OK,1,1920,1080,fbf8eee6c31c11de49c4a86e480400f9dd9e0daa454d0cf502b4660a792f7e0c
SUBPIXEL,1080p30,J8pMOFvFlsU_s3972,3391,2,SUBPIXEL_J8pMOFvFlsU_s3972_f3391_p2.jpg,3391,OK,1,1920,1080,5c12a343deaa135be96d8292408f9413b4cc34fefd6364eba1a4f6fbebc47876
SUBPIXEL,1080p30,UCVSlzgun0o_s2298,594,5,SUBPIXEL_UCVSlzgun0o_s2298_f594_p5.jpg,594,OK,1,1920,1080,c5bd5981f5229de2a78afbed4b14f74f07d1aac767b411a5031700d14e2bc20e
SUBPIXEL,1080p30,UCVSlzgun0o_s90,784,2,SUBPIXEL_UCVSlzgun0o_s90_f784_p2.jpg,784,OK,1,1920,1080,c9d7b816518afadc577f6fa4866cc9e4bd333db259056cf30c4e0e47f2056efa
SUBPIXEL,1080p30,Vm0FqeGo-8g_s1317,1056,3,SUBPIXEL_Vm0FqeGo-8g_s1317_f1056_p3.jpg,1056,OK,1,1920,1080,e4fdc0842252388c71c7239f87ecedc42f850f79d2c2e210cfc15bf89544bac6
SUBPIXEL,1080p30,Y1cgaIWW8gk_s2784,1340,2,SUBPIXEL_Y1cgaIWW8gk_s2784_f1340_p2.jpg,1340,OK,1,1920,1080,b1be9764874be18259f542397d49cb9163a2b9d14f1eff2bc9cf9609c39c388b
SUBPIXEL,1080p30,tFnl0NVn6FA_s2774,1787,10,SUBPIXEL_tFnl0NVn6FA_s2774_f1787_p10.jpg,1787,OK,1,1920,1080,d704ee366a81c7a9894b5632ab5959446900edbd9cdb58480b56da08fda7b9bb
SUBPIXEL,1080p30,tZeqmc_-_sA_s2574,1938,2,SUBPIXEL_tZeqmc_-_sA_s2574_f1938_p2.jpg,1938,OK,1,1920,1080,2f479a2cb51193edbec1ff695fc98c84dddbab2597b6ce3451a0b6ae66d6176b
SUBPIXEL,1080p30,yZ5u2sOpiNU_s5214,2113,5,SUBPIXEL_yZ5u2sOpiNU_s5214_f2113_p5.jpg,2113,OK,1,1920,1080,64b03c0db100badd274e2f98e62166e42ff380e9047246033a8e8e30c14b0db5
SUBPIXEL,1080p30,yZ5u2sOpiNU_s90,2311,2,SUBPIXEL_yZ5u2sOpiNU_s90_f2311_p2.jpg,2311,OK,1,1920,1080,10fce7077c58b9944086d31e327462282018ee6911b0c2653924dd63455a6cf2
SUBPIXEL,720p60,3gBeJyl7Szg_s2302,1171,9,SUBPIXEL_3gBeJyl7Szg_s2302_f1171_p9.jpg,1171,OK,1,1280,720,ffe776bec312c44f13741814a724d3f57392914ad5700aa8e161126de0b444ee
SUBPIXEL,720p60,3gBeJyl7Szg_s90,1266,2,SUBPIXEL_3gBeJyl7Szg_s90_f1266_p2.jpg,1266,OK,0,1280,720,ea9453e74f76c03ff6a6a561ccfae981fd60fe1ba3992869226d1836e3b27c7e
SUBPIXEL,720p60,3gBeJyl7Szg_s90,1512,10,SUBPIXEL_3gBeJyl7Szg_s90_f1512_p10.jpg,1512,OK,1,1280,720,dee0055afd3dd36885fcc0856f6977197a079332c07010e96b4c57c0f0511cea
SUBPIXEL,720p60,6rQ2sV4upfc_s1509,3096,9,SUBPIXEL_6rQ2sV4upfc_s1509_f3096_p9.jpg,3096,OK,1,1280,720,0473995a39821fbb2ecfd8de8cc629c20c09d9a9c8452e0b4b94bf3cea2e4970
SUBPIXEL,720p60,7blRl4zVfrY_s90,4260,9,SUBPIXEL_7blRl4zVfrY_s90_f4260_p9.jpg,4260,OK,1,1280,720,9ef4100cca7d64dc81c9a651e2c66743eb591bc2a89fccc4fa6a066add434774
SUBPIXEL,720p60,Ge4uewCFUFQ_s4674,4968,5,SUBPIXEL_Ge4uewCFUFQ_s4674_f4968_p5.jpg,4968,OK,1,1280,720,5e9d1edd95551eb07ef889e7a983632ecb116776ce64c09c2fde3e5af601bc95
SUBPIXEL,720p60,KZK9rv9TnGE_s1474,4987,9,SUBPIXEL_KZK9rv9TnGE_s1474_f4987_p9.jpg,4987,OK,0,1280,720,96481dd30180252b5bf352953d008672ae55e67ad71317b424442303f4e2675c
SUBPIXEL,720p60,KZK9rv9TnGE_s1474,5143,6,SUBPIXEL_KZK9rv9TnGE_s1474_f5143_p6.jpg,5143,OK,1,1280,720,3b4a5b2e5dc7fc013caee1b6d63054fe8a65581c878e8eb43e62c7c5f28d10b7
SUBPIXEL,720p60,KZK9rv9TnGE_s4242,5429,10,SUBPIXEL_KZK9rv9TnGE_s4242_f5429_p10.jpg,5429,OK,1,1280,720,db8e2366d55a2e7b9b04d689214c6ac42530249aed9cf4bb8105b18b252b329f
SUBPIXEL,720p60,Kh7Fj4ogPN4_s3606,1533,2,SUBPIXEL_Kh7Fj4ogPN4_s3606_f1533_p2.jpg,1533,OK,1,1280,720,df17e169026f6d3ce14df3dcbdab9c9827dce5b69b9198ad6ce159e5dc4e8717
SUBPIXEL,720p60,Ktu6yFS9iMo_s6195,2013,9,SUBPIXEL_Ktu6yFS9iMo_s6195_f2013_p9.jpg,2013,OK,1,1280,720,46a6793a857316efb558ba1e9251c5fec1ebf1145a4380f074a9c28dbca60b94
SUBPIXEL,720p60,acb-jHcR5UxPGuE_s1393,628,8,SUBPIXEL_acb-jHcR5UxPGuE_s1393_f628_p8.jpg,628,OK,1,1280,720,03f1283f7ed9a87d80ff4b6acd6790ad86679c622e77c550da06d79b4bf68eed
SUBPIXEL,720p60,acb-jHcR5UxPGuE_s90,885,5,SUBPIXEL_acb-jHcR5UxPGuE_s90_f885_p5.jpg,885,OK,1,1280,720,32195ae9f9c8fc135eb3aeedb73c116558b887ab80d22086be57c5dc75a07325
SUBPIXEL,720p60,dAy3tnlu3EQ_s4326,5816,10,SUBPIXEL_dAy3tnlu3EQ_s4326_f5816_p10.jpg,5816,OK,1,1280,720,930636ae4b71587430a43026a7e7e926b42ef18de12c44518b3854ff257db680
SUBPIXEL,720p60,oL9Uaie2v2A_s2438,3027,2,SUBPIXEL_oL9Uaie2v2A_s2438_f3027_p2.jpg,3027,OK,1,1280,720,c55199154967a5751afe68658305622be31ce57bf9558ae1aa8bf76ff0560123
SUBPIXEL,720p60,s-0Y7aLxXgM_s1275,6512,3,SUBPIXEL_s-0Y7aLxXgM_s1275_f6512_p3.jpg,6512,OK,1,1280,720,bfb71f5a1ef916cf7560837e637337769bb58e1aa7880026528a7f634283e967
SUBPIXEL,720p60,xv0WyG7_99c_s4530,7095,2,SUBPIXEL_xv0WyG7_99c_s4530_f7095_p2.jpg,7095,OK,1,1280,720,9707567e5897f8afad4ee67d9f36fbd1c7f4c1018123ed448e2e8a758da08223
