draw_kind,section_id,frame,slot,player_id,landed_position_source,derived_same_invocation_state,derived_branch,stored_box_derived_branch,trace_box_derived_branch,current_box_projection_minus_prior_position_px,branch_guard_px,stored_box_y1,stored_box_x1,stored_box_y2,stored_box_x2,pre_call_box_y2,stored_pre_call_box_y1,stored_pre_call_box_x1,stored_pre_call_box_y2,stored_pre_call_box_x2,stored_box_projection_x,stored_box_projection_y,trace_box_projection_x,trace_box_projection_y,archived_head_x,archived_foot_y,archived_foot_clipped,observed_x,observed_y,expected_x,expected_y,position_equals_current_box_projection,position_equals_prior_evaluated_tick,backprojected_image_x,backprojected_image_y,backprojected_minus_archived_foot_y,backprojection_inside_stored_box,frame_w,frame_h,map_w,map_h,classification_reason,classification
1080p30,4JS090XPhmM_s3537,2537,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,3166.654,750,-222.441,712.655,264.424,998.71,305.679,-181.185,759.86,305.679,1045.92,82,66,14,36,855,249,0,494,208,14,36,0,0,1219.621,493.711,244.711,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,0,1,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,9.434,750,107.0,549.0,843.0,1155.0,843.0,107.0,549.0,843.0,1155.0,3345,1394,3345,1394,852,828,0,3337,1399,3345,1394,0,1,846.294,841.251,13.251,1,1920,1020,3404,1711,,STALE_BOX
1080p30,4JS090XPhmM_s4686,2790,5,6,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,,750,-1377.97,726.93,-706.136,1365.61,-474.659,-1146.5,611.859,-474.659,1250.54,4697,595,4922,483,1045,-721,0,3388,1304,4922,483,0,0,539.831,581.424,1302.424,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,7,8,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,12.530,750,71.4373,305.297,846.929,1094.34,846.997,71.5053,299.15,846.997,1088.2,3283,1410,3285,1409,699,831,0,3277,1414,3285,1409,0,0,690.941,840.387,9.387,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2790,9,10,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,26.683,750,341.726,145.215,859.526,598.215,857.0,354.0,127.0,857.0,580.0,2982,1489,3008,1483,371,844,0,2997,1491,3008,1483,0,0,370.055,857.905,13.905,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,1,2,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,29.732,750,-49.6056,-24.2878,956.188,502.161,980.191,-25.602,-20.4823,980.191,505.966,2674,1621,2680,1611,243,941,1,2658,1623,2680,1611,0,0,237.442,954.317,13.317,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,2,3,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,6.708,750,117.0,850.0,846.0,1243.0,846.0,117.0,850.0,846.0,1243.0,3393,1383,3393,1383,1046,831,0,3394,1382,3393,1383,0,0,1031.474,823.105,-7.895,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,4,5,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,9.434,750,303.0,501.0,847.0,828.0,847.0,303.0,501.0,847.0,828.0,3268,1414,3268,1414,664,832,0,3260,1419,3268,1414,0,1,660.152,843.673,11.673,1,1920,1020,3404,1711,,STALE_BOX
1080p30,4JS090XPhmM_s4686,2820,5,6,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,0.000,750,-14.0,-15.0,1023.0,723.0,1023.0,-14.0,-15.0,1023.0,723.0,2880,1568,2880,1568,354,1008,0,2881,1568,2880,1568,0,0,353.578,1005.553,-2.447,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,6,7,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,,750,233.0,690.0,860.0,1318.0,838.044,214.812,740.638,838.044,1421.01,3404,1379,3378,1389,1004,845,0,3378,1389,3378,1389,1,0,999.703,843.809,-1.191,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,4JS090XPhmM_s4686,2820,8,9,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,18.868,750,-18.0933,-16.8566,985.264,510.072,1023.0,-2.0,-15.0,1023.0,516.0,2667,1638,2677,1622,247,970,1,2667,1630,2677,1622,0,0,245.288,982.082,12.082,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,127,0,1,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,43.932,750,225.0,1275.0,457.0,1377.0,457.0,225.0,1275.0,457.0,1377.0,178,987,178,987,1326,442,0,149,1020,178,987,0,1,1329.006,455.513,13.513,1,1920,1020,3404,1711,,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,2,3,PREDICTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,22.804,750,211.0,647.0,421.0,737.0,421.0,211.0,647.0,421.0,737.0,917,246,917,246,692,406,0,903,264,917,246,0,1,696.866,415.639,9.639,1,1920,1020,3404,1711,,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,3,4,DETECTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,55.444,750,365.0,820.0,607.0,988.0,607.0,365.0,820.0,607.0,988.0,366,859,366,859,904,592,0,331,902,366,859,0,1,904.994,606.511,14.511,1,1920,1020,3404,1711,,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,4,5,PREDICTION,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,43.186,750,184.0,1527.0,399.0,1641.0,399.0,184.0,1527.0,399.0,1641.0,47,1102,47,1102,1584,384,0,18,1134,47,1102,0,1,1589.978,396.467,12.467,1,1920,1020,3404,1711,,STALE_BOX
1080p30,9sq-YMlIo9Q_s2346,127,6,7,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,182.0,1548.0,397.0,1668.0,,,,,,,,29,1118,1608,382,0,29,1118,29,1118,1,0,1626.825,373.815,-8.185,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,9sq-YMlIo9Q_s2346,127,7,8,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,102.0,756.0,336.0,868.0,,,,,,,,862,281,812,321,0,862,281,862,281,1,0,813.826,318.930,-2.070,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,9sq-YMlIo9Q_s2346,127,8,9,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,81.0,1015.0,293.0,1114.0,,,,,,,,662,471,1064,278,0,662,471,662,471,1,0,1066.663,275.679,-2.321,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,9sq-YMlIo9Q_s2346,394,0,1,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,973.432,750,647.703,533.046,823.181,674.046,821.088,645.61,530.721,821.088,671.721,519,378,522,379,603,808,0,522,387,522,379,0,0,602.407,822.165,14.165,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,1,2,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,388.0,1402.0,708.0,1633.0,,,,,,,,1418,321,1517,693,0,1418,321,1418,321,1,0,1516.515,692.355,-0.645,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,9sq-YMlIo9Q_s2346,394,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,1028.117,750,463.0,712.0,792.0,841.0,,,,,,,,697,362,776,777,0,697,362,697,362,1,0,775.082,775.346,-1.654,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,9sq-YMlIo9Q_s2346,394,5,6,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,556.249,750,144.417,963.687,416.706,1100.17,409.0,147.0,964.0,409.0,1084.0,924,171,931,174,1031,401,0,932,182,931,174,0,0,1030.566,415.979,14.979,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,6,7,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,1296.033,750,204.0,1101.0,549.0,1261.0,549.0,204.0,1101.0,549.0,1261.0,1080,239,1080,239,1181,534,0,1082,247,1080,239,0,0,1180.860,548.879,14.879,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,9sq-YMlIo9Q_s2346,394,8,9,SUBPIXEL,RETAINED_PRIOR_POSITION,CLAMP_GUARD_REPRODUCED,CLAMP_GUARD_REPRODUCED,CLAMP_GUARD_REPRODUCED,1246.228,750,172.0,1303.0,403.0,1435.0,406.0,173.0,1296.0,406.0,1419.0,1231,172,1242,171,1369,388,0,240,912,1242,171,0,1,386.241,1625.116,1237.116,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,J8pMOFvFlsU_s3972,3391,1,2,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,76.026,750,310.0,349.0,726.0,526.0,726.0,310.0,349.0,726.0,526.0,12,290,12,290,437,711,0,14,214,12,290,0,1,430.259,721.864,10.864,1,1920,1020,3404,1711,,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,2,3,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,37.336,750,333.0,534.0,768.0,727.0,768.0,333.0,534.0,768.0,727.0,19,1260,19,1260,630,753,0,24,1223,19,1260,0,1,629.811,767.139,14.139,1,1920,1020,3404,1711,,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,3,4,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,16.000,750,167.0,284.0,376.0,442.0,376.0,167.0,284.0,376.0,442.0,0,859,0,859,363,361,0,0,843,0,859,0,1,393.840,428.523,67.523,0,1920,1020,3404,1711,,STALE_BOX
1080p30,J8pMOFvFlsU_s3972,3391,6,7,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,47.011,750,290.877,-17.5012,516.294,180.415,492.0,268.0,-15.0,492.0,182.0,4,271,5,224,82,501,1,5,192,5,224,0,0,-16.499,457.414,-43.586,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,J8pMOFvFlsU_s3972,3649,5,6,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,226.0,391.0,730.0,631.0,,,,,,,,12,560,511,715,0,12,560,12,560,1,0,503.989,708.001,-6.999,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,UCVSlzgun0o_s2298,546,1,2,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,7.000,750,15.0,763.0,848.0,1554.0,847.0,21.0,702.0,847.0,1557.0,3323,598,3316,598,1158,833,0,3316,598,3316,598,1,0,1158.040,832.514,-0.486,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,UCVSlzgun0o_s2298,546,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,,750,112.249,1167.07,554.906,1578.01,538.383,95.7254,1204.07,538.383,1615.0,2650,587,2729,589,1372,539,0,2785,589,2729,589,0,0,1408.914,557.383,18.383,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s2298,546,3,4,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,34.015,750,-11.0,1363.0,549.0,1894.0,541.0,-12.0,1368.0,541.0,1902.0,2603,581,2637,582,1628,534,0,2637,582,2637,582,1,0,1641.354,534.785,0.785,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,UCVSlzgun0o_s2298,546,4,5,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,105.304,750,-12.0,174.0,496.0,575.0,487.0,-15.0,184.0,487.0,583.0,2916,685,3021,677,374,481,0,3021,677,3021,677,1,0,375.757,481.233,0.233,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,UCVSlzgun0o_s2298,594,1,2,PREDICTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,50.090,750,-9.0,886.0,849.0,1720.0,849.0,-9.0,748.0,849.0,1497.0,3327,598,3277,595,1303,834,0,3277,595,3277,595,1,0,1364.592,853.654,19.654,0,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,UCVSlzgun0o_s2298,594,10,0,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,259.008,750,-12.0,1479.0,538.0,1869.0,483.0,-13.0,1258.0,483.0,1648.0,2322,582,2581,580,1674,523,0,2581,580,2581,580,1,0,1696.474,524.154,1.154,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,UCVSlzgun0o_s90,784,1,2,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,158.449,750,468.0,441.0,753.0,591.0,753.0,468.0,441.0,753.0,591.0,848,1147,848,1147,516,738,0,957,1032,848,1147,0,1,516.450,751.723,13.723,1,1920,1020,3404,1711,,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,3,4,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,45.277,750,691.0,441.0,997.0,589.0,997.0,691.0,441.0,997.0,589.0,1832,113,1832,113,515,982,0,1863,80,1832,113,0,1,515.982,993.839,11.839,1,1920,1020,3404,1711,,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,4,5,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,62.290,750,697.0,426.0,997.0,551.0,997.0,697.0,426.0,997.0,551.0,1645,356,1645,356,488,982,0,1687,310,1645,356,0,1,488.612,995.043,13.043,1,1920,1020,3404,1711,,STALE_BOX
1080p30,UCVSlzgun0o_s90,784,5,6,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,0.000,750,695.0,421.0,999.0,529.0,999.0,695.0,421.0,999.0,529.0,1539,495,1539,495,475,984,0,1588,440,1539,495,0,0,475.816,996.575,12.575,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s90,784,6,7,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,100.449,750,195.271,601.012,394.493,691.938,397.0,198.0,597.0,397.0,688.0,696,918,765,845,646,379,0,888,738,765,845,0,0,646.248,393.272,14.272,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,UCVSlzgun0o_s90,784,7,8,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,,DETECTION_FRESH_BOX,,750,696.0,412.0,994.0,523.0,,,,,,,,1441,618,467,979,0,1441,618,1441,618,1,0,467.645,977.075,-1.925,1,1920,1020,3404,1711,NO_PRE_CALL_STORED_BOX,UNKNOWN
1080p30,UCVSlzgun0o_s90,850,1,2,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,1198.384,750,236.0,640.0,422.0,747.0,396.555,203.468,583.707,396.555,671.968,242,1376,1602,22,693,407,0,415,1219,1602,22,0,0,627.408,393.838,-13.162,0,1920,1020,3404,1711,,FRAME_MISMATCH
