draw_kind,section_id,retained_path,retained_status,retained_bytes,retained_sha256,matches_g402_receipt,g402_sha256,pod_source_path,replay_start_frame,replay_frames,g402_width,g402_height,g402_avg_fps,readback_status,readback_width,readback_height,readback_frames,readback_fps_rational,readback_fps_float,dimensions_agree
720p60,Kh7Fj4ogPN4_s5950,C:/Users/neelj/g402_receiver/nba__Kh7Fj4ogPN4_s5950.mp4,RETAINED,54056259,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,1,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s5950.mp4,1392,600,1280,720,59.940062,OK,1280,720,7855,19001/317,59.940062,1
720p60,Ktu6yFS9iMo_s6195,C:/Users/neelj/g402_receiver/nba__Ktu6yFS9iMo_s6195.mp4,RETAINED,45328752,dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a,1,dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a,/workspace/data/footage_corpus/nba__Ktu6yFS9iMo_s6195.mp4,1857,600,1280,720,59.940065,OK,1280,720,7938,54006/901,59.940065,1
720p60,L7o4UCIIqS4_s5222,C:/Users/neelj/g402_receiver/nba__L7o4UCIIqS4_s5222.mp4,RETAINED,46736475,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,1,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,/workspace/data/footage_corpus/nba__L7o4UCIIqS4_s5222.mp4,2321,600,1280,720,59.940062,OK,1280,720,7873,19001/317,59.940062,1
720p60,oL9Uaie2v2A_s2438,C:/Users/neelj/g402_receiver/nba__oL9Uaie2v2A_s2438.mp4,RETAINED,50026054,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,1,083be07558717cdfc7f4aa2375b99132e90b1130a2a3fe9452e66eafb5693744,/workspace/data/footage_corpus/nba__oL9Uaie2v2A_s2438.mp4,2553,600,1280,720,59.940065,OK,1280,720,8018,54006/901,59.940065,1
720p60,6rQ2sV4upfc_s1509,C:/Users/neelj/g402_receiver/ncaa_basketball__6rQ2sV4upfc_s1509.mp4,RETAINED,50953115,d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a,1,d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a,/workspace/g402_scratch/srcs/ncaa_basketball__6rQ2sV4upfc_s1509.mp4,3018,600,1280,720,59.940062,OK,1280,720,7955,19001/317,59.940062,1
720p60,6rQ2sV4upfc_s90,C:/Users/neelj/g402_receiver/ncaa_basketball__6rQ2sV4upfc_s90.mp4,RETAINED,54041007,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,1,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,/workspace/g402_scratch/srcs/ncaa_basketball__6rQ2sV4upfc_s90.mp4,3249,600,1280,720,59.940065,OK,1280,720,8020,54006/901,59.940065,1
720p60,7blRl4zVfrY_s90,C:/Users/neelj/g402_receiver/ncaa_basketball__7blRl4zVfrY_s90.mp4,RETAINED,57345020,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,1,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,/workspace/g402_scratch/srcs/ncaa_basketball__7blRl4zVfrY_s90.mp4,3714,600,1280,720,59.940065,OK,1280,720,7922,54006/901,59.940065,1
720p60,Ge4uewCFUFQ_s2382,C:/Users/neelj/g402_receiver/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,RETAINED,56676340,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,1,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,4177,600,1280,720,59.940062,OK,1280,720,8067,19001/317,59.940062,1
720p60,Ge4uewCFUFQ_s4674,C:/Users/neelj/g402_receiver/ncaa_basketball__Ge4uewCFUFQ_s4674.mp4,RETAINED,56750617,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,1,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,/workspace/data/footage_corpus/ncaa_basketball__Ge4uewCFUFQ_s4674.mp4,4410,600,1280,720,59.940065,OK,1280,720,7856,54006/901,59.940065,1
720p60,KZK9rv9TnGE_s1474,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s1474.mp4,RETAINED,56938793,4c74ce17817b717b4daa4b06b745f47b1c3ac745799a586c20bf074168caf7d1,1,4c74ce17817b717b4daa4b06b745f47b1c3ac745799a586c20bf074168caf7d1,/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s1474.mp4,4873,600,1280,720,59.940062,OK,1280,720,7985,19001/317,59.940062,1
720p60,KZK9rv9TnGE_s4242,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s4242.mp4,RETAINED,57308946,89f5a7ef57147b8f06215865b7c502a0334f39dd7e52519815af4b407d3f1060,1,89f5a7ef57147b8f06215865b7c502a0334f39dd7e52519815af4b407d3f1060,/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s4242.mp4,5105,600,1280,720,59.940062,OK,1280,720,7915,19001/317,59.940062,1
720p60,KZK9rv9TnGE_s90,C:/Users/neelj/g402_receiver/ncaa_basketball__KZK9rv9TnGE_s90.mp4,RETAINED,57656755,b66f1198f2b4c2e10e6c195e15717ef045775ad12d35aa5d582997f5298debdd,1,b66f1198f2b4c2e10e6c195e15717ef045775ad12d35aa5d582997f5298debdd,/workspace/data/footage_corpus/ncaa_basketball__KZK9rv9TnGE_s90.mp4,5337,600,1280,720,59.940065,OK,1280,720,8020,54006/901,59.940065,1
720p60,dAy3tnlu3EQ_s4326,C:/Users/neelj/g402_receiver/ncaa_basketball__dAy3tnlu3EQ_s4326.mp4,RETAINED,56393316,4b29aa56d687868bea366ecde8382fff8eac24f2dce52041ef01edca2ccb92ea,1,4b29aa56d687868bea366ecde8382fff8eac24f2dce52041ef01edca2ccb92ea,/workspace/data/footage_corpus/ncaa_basketball__dAy3tnlu3EQ_s4326.mp4,5570,600,1280,720,59.940065,OK,1280,720,7896,54006/901,59.940065,1
720p60,s-0Y7aLxXgM_s1275,C:/Users/neelj/g402_receiver/ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,RETAINED,55405416,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,1,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,/workspace/data/footage_corpus/ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,6266,600,1280,720,59.940062,OK,1280,720,7881,19001/317,59.940062,1
720p60,s-0Y7aLxXgM_s4830,C:/Users/neelj/g402_receiver/ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,RETAINED,54805277,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,1,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,/workspace/data/footage_corpus/ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,6499,600,1280,720,59.940065,OK,1280,720,7854,54006/901,59.940065,1
720p60,xv0WyG7_99c_s4530,C:/Users/neelj/g402_receiver/wnba__xv0WyG7_99c_s4530.mp4,RETAINED,52154279,5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c,1,5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c,/workspace/data/footage_corpus/wnba__xv0WyG7_99c_s4530.mp4,6963,600,1280,720,59.940065,OK,1280,720,8088,54006/901,59.940065,1
