draw_j,source_id,ytid,competition,tag,query,duration_s,dur,title,discovered_at,membership_count,query_memberships,fmt
10,IOPrVtbhAzw,IOPrVtbhAzw,basketball,fibawc,FIBA World Cup 2023 full game,7776,7776,Germany v Slovenia | Full Basketball Game | FIBA Basketball ,2026-09-11T17:23:43Z,1,basketball/FIBA World Cup 2023 full game,270
11,OUgH-3iZnYs,OUgH-3iZnYs,basketball,fibawc,FIBA World Cup 2023 full game,7330,7330,Germany v Finland | Full Basketball Game | FIBA Basketball W,2026-09-11T17:23:43Z,1,basketball/FIBA World Cup 2023 full game,270
12,fXoZZhGQcsg,fXoZZhGQcsg,basketball,fibawc,FIBA World Cup 2023 full game,8100,8100,Australia v Germany | Full Basketball Game | FIBA Basketball,2026-09-11T17:23:43Z,1,basketball/FIBA World Cup 2023 full game,270
13,1fR4CEEbVvU,1fR4CEEbVvU,basketball,kbl,KBL full game replay,2771,2771,【FULL】 4th Quarter | KGC vs Sakers | 20181113 | 2018-19 KBL,2026-09-11T17:24:00Z,1,basketball/KBL full game replay,270
14,uksR2pjXUCc,uksR2pjXUCc,basketball,kbl,KBL full game replay,3385,3385,【FULL】 4th Quarter+Overtime | Sonicboom vs Sakers | 20190206,2026-09-11T17:24:00Z,1,basketball/KBL full game replay,270
15,X_dBf9OZzFw,X_dBf9OZzFw,basketball,lba,Lega Basket Serie A partita completa,6246,6246,Finale Scudetto 2023-24 Olimpia Milano - Virtus Bologna G3 (,2026-09-11T17:23:21Z,1,basketball/Lega Basket Serie A partita completa,270
16,xfeLrkVamaU,xfeLrkVamaU,basketball,lba,Lega Basket Serie A partita completa,7200,7200,Olimpia Milano - Virtus Bologna Finale Scudetto 2023 G1 (FUL,2026-09-11T17:23:21Z,1,basketball/Lega Basket Serie A partita completa,270
17,dd_QSkmUWyU,dd_QSkmUWyU,basketball,gleague,NBA G League full game,8206,8206,NBA G League Ignite v Al Ahly | Full Basketball Game | FIBA ,2026-09-11T17:22:59Z,1,basketball/NBA G League full game,270
18,5IfsjfYqSnA,5IfsjfYqSnA,basketball,nbl,NBL Australia full game replay,7695,7695,NBL26 Round 4 | Adelaide 36ers vs Sydney Kings,2026-09-11T17:23:17Z,1,basketball/NBL Australia full game replay,270
19,UgmcyE8wkRM,UgmcyE8wkRM,basketball,nbl,NBL Australia full game replay,6720,6720,NBL26 Round 6 | New Zealand Breakers vs Brisbane Bullets,2026-09-11T17:23:17Z,1,basketball/NBL Australia full game replay,270
20,qJ8-NFqWhqU,qJ8-NFqWhqU,nba,summerleague,NBA Summer League full game 2025,5666,5666,Charlotte Hornets vs Dallas Mavericks FULL Game  Jul 14 2025,2026-09-11T17:23:34Z,1,nba/NBA Summer League full game 2025,270
21,pY5qP_RvHjg,pY5qP_RvHjg,nba,.,NBA preseason full game 2025,7964,7964,Winner Takes All! Baltimore Ravens vs. Pittsburgh Steelers F,2026-09-11T17:24:04Z,1,nba/NBA preseason full game 2025,270
22,WutCtBQsSe0,WutCtBQsSe0,ncaa_basketball,.,Big East basketball full game replay,5158,5158,1984 Big East Championship Syracuse vs. Georgetown,2026-09-11T17:23:47Z,1,ncaa_basketball/Big East basketball full game replay,270
23,pl9cPZehbQw,pl9cPZehbQw,ncaa_basketball,.,Big East basketball full game replay,4924,4924,Syracuse vs. Kansas: 2003 National Championship | FULL GAME,2026-09-11T17:23:47Z,1,ncaa_basketball/Big East basketball full game replay,270
24,RoeIroj6SXw,RoeIroj6SXw,ncaa_basketball,.,NCAA tournament full game replay 2024,5440,5440,Purdue vs. Tennessee: 2024 NCAA men's Elite Eight | FULL REP,2026-09-11T17:24:09Z,1,ncaa_basketball/NCAA tournament full game replay 2024,270
25,zGTacmyiwiA,zGTacmyiwiA,ncaa_basketball,.,NCAA tournament full game replay 2024,5908,5908,NC State vs. Duke: 2024 NCAA men's Elite Eight | FULL REPLAY,2026-09-11T17:24:09Z,1,ncaa_basketball/NCAA tournament full game replay 2024,270
26,ZUF61y_9P3U,ZUF61y_9P3U,ncaa_basketball,ncaaw,NCAA women basketball full game replay,4527,4527,LSU vs. Virginia Tech - 2023 NCAA women’s Final Four | FULL ,2026-09-11T17:23:29Z,1,ncaa_basketball/NCAA women basketball full game replay,270
27,wYEldEDV3dQ,wYEldEDV3dQ,ncaa_basketball,ncaaw,NCAA women basketball full game replay,5001,5001,Iowa vs. South Carolina - 2023 NCAA women’s Final Four | FUL,2026-09-11T17:23:29Z,1,ncaa_basketball/NCAA women basketball full game replay,270
28,tpIYpVdWscY,tpIYpVdWscY,ncaa_basketball,.,Pac-12 basketball full game replay,10025,10025,#2 Oregon vs #7 Arizona 2014 Pac 12 Championship | Full Game,2026-09-11T17:23:51Z,1,ncaa_basketball/Pac-12 basketball full game replay,270
29,z2byjGVKZWQ,z2byjGVKZWQ,wnba,.,WNBA full game replay 2025,4595,4595,Indiana Fever vs Golden State Valkyries | FULL Game | July 1,2026-09-11T17:23:04Z,1,wnba/WNBA full game replay 2025,270
