draw_j,source_id,competition,tag,query,discovered_at,format_probe_at,compatible_30fps,qualifying_format_ids,listing_qualifying_ids,metadata_qualifying_ids,listing_complete,metadata_complete,listing_formats,metadata_formats,probe_status,raw_inventory_digest,error,hls_h264_720_1080_fps_set,720p30,1080p30,720p60,1080p60
10,IOPrVtbhAzw,basketball,fibawc,FIBA World Cup 2023 full game,2026-09-11T17:23:43Z,2026-09-11T17:31:25Z,YES,232|270,232|270,232|270,True,True,35,47,OK,9131a0af144cc299eeafa32ca99d9461c98bbe7efa2a6de37dde410d6c6add8b,,30,True,True,False,False
11,OUgH-3iZnYs,basketball,fibawc,FIBA World Cup 2023 full game,2026-09-11T17:23:43Z,2026-09-11T17:31:44Z,YES,232|270,232|270,232|270,True,True,28,40,OK,f2fe52c15c9bfe7694acfb17ebbbb94fce09fe56e8aff1b397a66c3e7f57caf8,,30,True,True,False,False
12,fXoZZhGQcsg,basketball,fibawc,FIBA World Cup 2023 full game,2026-09-11T17:23:43Z,2026-09-11T17:32:01Z,YES,232|270,232|270,232|270,True,True,34,46,OK,985d0a1a4f61fd0f2bae6a0b3a450a5865c6957a69c0e1c1b1d2e1499a6f9a98,,30,True,True,False,False
13,1fR4CEEbVvU,basketball,kbl,KBL full game replay,2026-09-11T17:24:00Z,2026-09-11T17:32:18Z,YES,232|270,232|270,232|270,True,True,13,18,OK,2a1184180ceefee6f2756f6c6af360ac60c92d23e7888b5f34c3f70abb3dd74b,,30,True,True,False,False
14,uksR2pjXUCc,basketball,kbl,KBL full game replay,2026-09-11T17:24:00Z,2026-09-11T17:32:36Z,YES,232|270,232|270,232|270,True,True,13,18,OK,bd298cec6d5204ac79a2549c688e87bb03040dd6b7bfd3f7a8c024471b231796,,30,True,True,False,False
15,X_dBf9OZzFw,basketball,lba,Lega Basket Serie A partita completa,2026-09-11T17:23:21Z,2026-09-11T17:32:54Z,NO,,,,True,True,14,19,OK,496f54389935239645dd438cd15ffb540c3b26395d7419a07955ef7b88b70f6d,,25,False,False,False,False
16,xfeLrkVamaU,basketball,lba,Lega Basket Serie A partita completa,2026-09-11T17:23:21Z,2026-09-11T17:33:12Z,NO,,,,True,True,14,19,OK,302501cb48eb992d9caa82069cfccbedc4ac9d331c6641151d76aefc9aa831e6,,25,False,False,False,False
17,dd_QSkmUWyU,basketball,gleague,NBA G League full game,2026-09-11T17:22:59Z,2026-09-11T17:33:29Z,YES,232|270,232|270,232|270,True,True,29,41,OK,8f11054412694289c17bf81ccd5592f3f5bf832c92ef4d55d1e8c0d27975e6aa,,30,True,True,False,False
18,5IfsjfYqSnA,basketball,nbl,NBL Australia full game replay,2026-09-11T17:23:17Z,2026-09-11T17:33:47Z,NO,,,,True,True,35,47,OK,4e7046d09a135972f7c7614603dbde093b4410b4f3d0d255db5c7023ecca7b0f,,60,False,False,True,True
19,UgmcyE8wkRM,basketball,nbl,NBL Australia full game replay,2026-09-11T17:23:17Z,2026-09-11T17:34:07Z,NO,,,,True,True,35,47,OK,bf732a5dad0ce605239ed9ae94056c9ef9eac3798258d0053e4a7aeba0232846,,60,False,False,True,True
20,qJ8-NFqWhqU,nba,summerleague,NBA Summer League full game 2025,2026-09-11T17:23:34Z,2026-09-11T17:34:24Z,YES,232,232,232,True,True,25,37,OK,2a394f49f6c1a43c366b7e34bc32629ff3eb8aa885f55762343ba7557e2db042,,30,True,False,False,False
21,pY5qP_RvHjg,nba,.,NBA preseason full game 2025,2026-09-11T17:24:04Z,2026-09-11T17:34:42Z,YES,232|270,232|270,232|270,True,True,36,48,OK,57c2de09392a62bb296a31a878893693ca95dbe9ee91b39a3e4d13c443d2cc7e,,30,True,True,False,False
22,WutCtBQsSe0,ncaa_basketball,.,Big East basketball full game replay,2026-09-11T17:23:47Z,2026-09-11T17:34:59Z,NO,,,,True,True,25,37,OK,082a93cef9dbe7cc82ccf94920f8cfa8a17c75d092b3468cd6b3a14f88f1f7e0,,none,False,False,False,False
23,pl9cPZehbQw,ncaa_basketball,.,Big East basketball full game replay,2026-09-11T17:23:47Z,2026-09-11T17:35:17Z,NO,,,,True,True,24,36,OK,da40bb886c4660e4a196a3b5795f10a6d59ea222e1efe91af77a4fb4825a3663,,none,False,False,False,False
24,RoeIroj6SXw,ncaa_basketball,.,NCAA tournament full game replay 2024,2026-09-11T17:24:09Z,2026-09-11T17:35:35Z,YES,232|270,232|270,232|270,True,True,35,42,OK,17029ccf328827d2767afa2285af197bcdba8670d8e44e7e771667a8391bc859,,30,True,True,False,False
25,zGTacmyiwiA,ncaa_basketball,.,NCAA tournament full game replay 2024,2026-09-11T17:24:09Z,2026-09-11T17:35:53Z,YES,232|270,232|270,232|270,True,True,14,19,OK,863bf7548c95d3090639dcd9482e2d2e2bf040f8a4b29566176fef9dbcb1e4b4,,30,True,True,False,False
26,ZUF61y_9P3U,ncaa_basketball,ncaaw,NCAA women basketball full game replay,2026-09-11T17:23:29Z,2026-09-11T17:36:10Z,YES,232|270,232|270,232|270,True,True,36,48,OK,d250505c54f25755be7bc322fdb4c496682c3e5d7130337c470944788f08699c,,30,True,True,False,False
27,wYEldEDV3dQ,ncaa_basketball,ncaaw,NCAA women basketball full game replay,2026-09-11T17:23:29Z,2026-09-11T17:36:28Z,NO,,,,True,True,30,42,OK,88a506e8c4a5663edb6f87418494fc02ffa232698437bd672aa00f1e996ceae0,,24,False,False,False,False
28,tpIYpVdWscY,ncaa_basketball,.,Pac-12 basketball full game replay,2026-09-11T17:23:51Z,2026-09-11T17:36:45Z,NO,,,,True,True,12,17,OK,9b3fd5fcd50257891419221da140ba316316a360d625bcb781e5ee2e070a3d1a,,60,False,False,True,False
29,z2byjGVKZWQ,wnba,.,WNBA full game replay 2025,2026-09-11T17:23:04Z,2026-09-11T17:37:03Z,YES,232,232,232,True,True,30,42,OK,220236e762b1152ca27608d3fce7beedf36f65459bb05650a2f38ce0a27dafb7,,30,True,False,False,False
